 	a15	a66	a87	a23	a10	a62	a5	a85	a6	a37	a26	a82	a87	a23	a87	a23	a99	a83	a54	a79	a7	a75	a47	a79	a90	a44	a4	a58	a44	a90	a98	a47	a7	a37	a36	a26	a9	a87	a23	a87	</S>
tu	0.0608064	0.073273	0.044882	0.063759	0.0534226	0.0691865	0.0622468	0.0354159	0.0273532	0.0119222	0.0100842	0.00846619	0.00416853	0.00317041	0.00524567	0.00825553	0.0165233	0.0157182	0.0122804	0.0171437	0.0165042	0.0201425	0.0152427	0.0154107	0.021039	0.0117846	0.028668	0.0164143	0.0115177	0.0175568	0.0157678	0.0207673	0.0163688	0.0134157	0.01846	0.0297343	0.0317221	0.0187641	0.015261	0.0183704	0.023764
peux	0.0249072	0.0323562	0.0324552	0.0355939	0.0386801	0.0529404	0.07724	0.0570892	0.0499262	0.0267905	0.0269234	0.0248123	0.0301196	0.0246867	0.0229922	0.0107458	0.0177494	0.0128547	0.00962049	0.0148467	0.0101737	0.00898982	0.00969506	0.00724943	0.0052219	0.00767133	0.00709596	0.00852579	0.0222846	0.0127968	0.0181586	0.0148659	0.0382453	0.0274658	0.0229794	0.0271635	0.0297852	0.0215863	0.0204498	0.0238775	0.0323879
parler	0.125266	0.0465265	0.025291	0.0187309	0.0277926	0.022355	0.0283804	0.0303264	0.0332928	0.0243864	0.0264801	0.0198959	0.0460741	0.0338856	0.0334581	0.0194505	0.0203123	0.0164227	0.0174592	0.0121142	0.0120531	0.0109155	0.00851981	0.00872566	0.0044572	0.00380108	0.00479687	0.0127391	0.0106342	0.00422898	0.00633385	0.00334238	0.00551377	0.00626958	0.0259422	0.0375067	0.0383662	0.0254919	0.0304429	0.0404018	0.0716159
comme	0.0955238	0.0620097	0.046817	0.025276	0.0316341	0.0199659	0.0224067	0.0172887	0.0130003	0.0145237	0.0141465	0.0114499	0.00719184	0.00631679	0.0104577	0.0110221	0.00789893	0.00640267	0.00774342	0.00591975	0.0045287	0.00441899	0.00535992	0.00436064	0.00531944	0.0133769	0.0284474	0.0218917	0.0140322	0.0164531	0.0162953	0.0185518	0.0252816	0.0333375	0.0415532	0.0479823	0.0619235	0.0519442	0.037765	0.0440444	0.0661365
tu	0.0927915	0.047324	0.0338501	0.0160852	0.0150037	0.00989407	0.00781545	0.0070908	0.00738415	0.010409	0.0124789	0.0151078	0.0109855	0.018663	0.0433391	0.0555038	0.0426414	0.0302605	0.0443676	0.0236887	0.0201979	0.0167491	0.0206968	0.0150665	0.00957908	0.0133085	0.0138314	0.0188465	0.0161566	0.00714248	0.00853715	0.00715882	0.0130066	0.0101568	0.0290973	0.0370971	0.0386127	0.0292607	0.0297135	0.0385653	0.062535
veux	0.10245	0.0496713	0.0413122	0.0217002	0.0236593	0.0167683	0.0148124	0.0129931	0.00712774	0.00621151	0.00622708	0.00608046	0.0136266	0.0151338	0.0185247	0.0328585	0.0180716	0.0243719	0.0404126	0.0371232	0.0360456	0.0380633	0.0184808	0.0167455	0.00861162	0.00999683	0.00860243	0.01903	0.0250532	0.0182258	0.035798	0.0190105	0.015179	0.0160516	0.0366621	0.0322429	0.0217486	0.026125	0.0353244	0.028462	0.0254044
mais	0.0470136	0.0286444	0.0205402	0.0139965	0.0223472	0.0116212	0.00644915	0.00746656	0.00521242	0.00251246	0.00236534	0.00275287	0.00575224	0.00621298	0.00840486	0.0168374	0.0107048	0.020662	0.0342858	0.052388	0.0396569	0.0449764	0.01926	0.0131447	0.0066642	0.00816465	0.00785542	0.0171373	0.0454138	0.0406018	0.0867164	0.0618277	0.0392051	0.0318692	0.0329736	0.0233027	0.027264	0.0330575	0.0341223	0.0354053	0.0252112
n'	0.0500827	0.0349088	0.0174369	0.0168948	0.0280943	0.0154619	0.00659687	0.00571902	0.0046019	0.00171872	0.00161322	0.00294833	0.00422891	0.00416332	0.00415918	0.00477435	0.00476784	0.0079553	0.0110458	0.0228047	0.0155656	0.0242354	0.0181952	0.0098493	0.00773727	0.00535622	0.010386	0.0142416	0.0321649	0.0337991	0.03684	0.043772	0.041657	0.0299566	0.0736967	0.0583273	0.0634958	0.0588285	0.062726	0.0652098	0.0439831
insulte	0.0472354	0.030891	0.0229407	0.0219299	0.0146611	0.0087285	0.00397332	0.00400506	0.00211788	0.00137165	0.00160937	0.00320448	0.00384777	0.00403299	0.00537592	0.00339467	0.00416232	0.00290064	0.00377751	0.00437696	0.00495428	0.00632523	0.00621239	0.00472464	0.00496151	0.00432909	0.00874857	0.0128006	0.0286352	0.0568168	0.0414583	0.0593633	0.0702126	0.0494062	0.0638389	0.0486363	0.0616576	0.06714	0.0701523	0.0652735	0.0698154
pas	0.0551136	0.0413948	0.0350045	0.0420826	0.0244788	0.0120849	0.00334451	0.0032555	0.0025129	0.00280084	0.00321939	0.00653047	0.00829036	0.0112332	0.0159326	0.0138252	0.0128386	0.00964335	0.0105202	0.00796479	0.010609	0.013873	0.016188	0.0159777	0.0125808	0.0103528	0.0187493	0.0203228	0.0325022	0.0361497	0.0243664	0.0348655	0.0438111	0.0265802	0.0397835	0.0375184	0.0487218	0.0555701	0.0477263	0.0588641	0.0728161
