 	a66	a87	a23	a18	a83	a36	a37	a26	a24	a88	a24	a62	a12	a5	a12	a75	a6	a5	a37	a21	a85	a79	a44	a56	a79	a37	a92	a47	a36	a2	a57	a87	a23	a13	a44	a79	a7	a54	a6	a37	a70	a96	a70	a66	a50	a96	a37	a27	a10	a87	a23	a87	a23	a87	</S>
la	0.0411271	0.049827	0.0338292	0.0376172	0.0433099	0.0298166	0.0333578	0.0407013	0.0394977	0.018737	0.0348696	0.0349585	0.0387119	0.0220253	0.0104942	0.0117515	0.0211621	0.00951024	0.00865572	0.0149102	0.0104659	0.0068354	0.0109507	0.0144805	0.0246693	0.0163614	0.0144414	0.0178917	0.014204	0.0296055	0.0306551	0.0189251	0.0144998	0.0189784	0.0105043	0.0183111	0.0100675	0.00857583	0.00459569	0.00313647	0.00537597	0.0047695	0.0034272	0.00347786	0.00535648	0.00648825	0.00792808	0.00830775	0.00820569	0.00958836	0.0112547	0.010542	0.0105046	0.0083861	0.0233624
manière	0.00742963	0.019357	0.0207939	0.0214676	0.0511518	0.0504581	0.0402878	0.0559258	0.0331343	0.01967	0.0317457	0.0393096	0.0564064	0.0297929	0.0651377	0.0319932	0.0431319	0.0242457	0.0116738	0.0159747	0.0106765	0.00482913	0.00381088	0.00498466	0.00692931	0.0231794	0.0155848	0.0146091	0.0220414	0.0131719	0.0147326	0.022296	0.0233635	0.0291684	0.0369738	0.0162506	0.0115864	0.00766304	0.00218807	0.00305701	0.00454031	0.00941391	0.00601691	0.00634135	0.00161561	0.00104104	0.000817735	0.00120633	0.00157017	0.00173734	0.00225253	0.0011815	0.0012873	0.00268257	0.0021115
dont	0.0490101	0.0386059	0.0263855	0.022803	0.0154155	0.0182186	0.0237453	0.0177302	0.00892245	0.00848534	0.00744864	0.0163622	0.013443	0.0197979	0.0314037	0.0311126	0.0445498	0.0690319	0.0638854	0.099813	0.0882856	0.0336378	0.0449874	0.0220744	0.0217792	0.0201137	0.00679418	0.0133807	0.00596235	0.00858079	0.010018	0.00762772	0.00594504	0.00784799	0.0150245	0.00492916	0.00266141	0.00260372	0.00280997	0.00296291	0.0021896	0.00107284	0.000982159	0.000695094	0.000869249	0.000950141	0.00173868	0.00326599	0.00304701	0.00384143	0.00270827	0.00517411	0.00514727	0.00760667	0.00651501
cette	0.0165319	0.0158421	0.0106983	0.00437232	0.00540995	0.00776498	0.00659098	0.00406715	0.00292315	0.00368197	0.00296626	0.00608111	0.00620124	0.0189947	0.011658	0.0245757	0.0163742	0.0942562	0.0433672	0.0417121	0.0527255	0.0283978	0.0275168	0.0238845	0.016925	0.0073301	0.00954005	0.00557103	0.00381537	0.00554611	0.00732024	0.00558242	0.0044863	0.0220405	0.0103819	0.0094083	0.00881509	0.0127037	0.0161798	0.0293533	0.0202228	0.0251088	0.0426627	0.0223995	0.0348299	0.0454928	0.0284661	0.0126255	0.0278755	0.0156024	0.0245247	0.0139585	0.0124824	0.0155778	0.00657728
huile	0.0157958	0.00717878	0.00334687	0.00296918	0.00368224	0.00426195	0.00664128	0.00700287	0.00877084	0.0119793	0.0107391	0.0124327	0.0139235	0.0134168	0.0193938	0.0145134	0.0140962	0.0137052	0.0196118	0.0092345	0.0192439	0.0200569	0.0212837	0.0188815	0.0230903	0.035651	0.0120939	0.0251975	0.0253261	0.024959	0.0204051	0.0152952	0.0144796	0.032382	0.0349827	0.0330641	0.0255118	0.0176754	0.00892301	0.0209349	0.017893	0.0271014	0.025225	0.0165854	0.0244618	0.0304101	0.0138568	0.011882	0.0154695	0.0184277	0.0277103	0.0274913	0.0228652	0.0292003	0.0292868
s'	0.014362	0.00675161	0.00291832	0.00274185	0.00233281	0.0031837	0.00499201	0.00414984	0.00670355	0.0110881	0.00911436	0.0234487	0.0212092	0.032404	0.0397321	0.0579047	0.0363328	0.0797989	0.0778859	0.0566077	0.0892748	0.0322008	0.0411008	0.0587247	0.0465725	0.0299688	0.0101824	0.0220923	0.011344	0.00848402	0.00645151	0.0058664	0.00565009	0.00802365	0.00761095	0.00899771	0.00690552	0.0108424	0.00596133	0.00755387	0.00698872	0.00883791	0.00556955	0.00270767	0.00488548	0.00311073	0.00193973	0.00192309	0.00283656	0.00444078	0.006507	0.00809592	0.00721118	0.00634743	0.0111277
est	0.0183902	0.0144899	0.00716904	0.00671515	0.00737094	0.00675145	0.0106308	0.00681261	0.00715739	0.00969653	0.00830563	0.0149737	0.00933325	0.0135122	0.016424	0.016857	0.0150182	0.0206214	0.0291276	0.0189849	0.0240205	0.0194953	0.0179091	0.0279748	0.0328484	0.020402	0.0301099	0.0150116	0.0139952	0.01451	0.00787714	0.00630518	0.00608463	0.00573768	0.00903228	0.00585635	0.00905708	0.0256457	0.0168343	0.0264101	0.0468151	0.0605121	0.0645629	0.0273025	0.0267604	0.0208102	0.00862215	0.00595155	0.009911	0.0162092	0.0296426	0.0261286	0.0170348	0.0317149	0.0145628
fondue	0.00875697	0.0102012	0.00741992	0.00525196	0.00995064	0.00704804	0.00438953	0.0076264	0.00414133	0.00924643	0.0055878	0.0086022	0.00755785	0.00825299	0.00791213	0.0119861	0.0076781	0.0176558	0.016905	0.0156481	0.0153428	0.0106238	0.0098892	0.0117967	0.0121921	0.00601983	0.00611544	0.00574832	0.00539927	0.00585978	0.00545254	0.00454757	0.00368358	0.00414818	0.00432848	0.00481963	0.00381823	0.00529358	0.00604738	0.0122931	0.00918729	0.0159326	0.0245127	0.0177874	0.029355	0.0259174	0.0300962	0.0319071	0.054868	0.0451472	0.0982975	0.064417	0.0443756	0.0518639	0.131097
il	0.0161305	0.0205994	0.00880209	0.00837747	0.00584844	0.00421991	0.00605739	0.00972491	0.00704518	0.0101599	0.00869598	0.0101762	0.00740356	0.014249	0.021131	0.0237082	0.0236658	0.0410126	0.051001	0.0321585	0.0424973	0.0377011	0.0416823	0.0282302	0.0182944	0.00971159	0.00967814	0.00747489	0.00443946	0.00488443	0.00228867	0.00312101	0.00421083	0.00161848	0.00245286	0.00174142	0.00127657	0.00154275	0.00120449	0.00190251	0.00295525	0.00268945	0.00531961	0.00401623	0.00562462	0.0191767	0.0249147	0.0179358	0.0364541	0.0479373	0.050736	0.0603628	0.0638117	0.05384	0.0481052
ya	0.0205542	0.0295068	0.0134432	0.0126523	0.0112456	0.00712347	0.00903145	0.0133002	0.00983219	0.0124097	0.0117403	0.0114637	0.00854747	0.0134651	0.0222984	0.0169397	0.0274569	0.0136174	0.0269187	0.0130097	0.0216586	0.0259659	0.0327725	0.0231734	0.0219118	0.0166125	0.0163338	0.0115257	0.00788208	0.00893651	0.00380954	0.00449927	0.0071526	0.00229034	0.00503351	0.00290101	0.00310774	0.00292133	0.00157	0.0016743	0.00384907	0.00450782	0.0149051	0.0129374	0.0151961	0.0397061	0.0333266	0.0323172	0.0365186	0.0353894	0.0432284	0.0533004	0.0441826	0.0756543	0.0286919
