 	a23	a97	a10	a87	a30	a53	a15	a79	a37	a12	a96	a75	a21	a5	a37	a75	a85	a5	a12	a0	a11	a75	a25	a44	a58	a75	a25	a56	a96	a47	a75	a34	a75	a56	a75	a21	a61	a18	a0	a47	a62	a83	a62	a83	a9	a10	a87	a10	a87	</S>
c'	0.0161373	0.0263675	0.020448	0.0200546	0.0192384	0.0229902	0.0397155	0.0365768	0.0579979	0.05224	0.0517985	0.0810865	0.0428513	0.0455409	0.0315776	0.0325398	0.0373227	0.0182883	0.0120218	0.0108693	0.00982102	0.0195405	0.0118092	0.00827971	0.00665653	0.00573633	0.00714908	0.0055998	0.00683752	0.00549394	0.00873882	0.0100618	0.0082388	0.01061	0.0104762	0.0115124	0.0100818	0.00929152	0.00647131	0.00659658	0.00928418	0.0136668	0.0119503	0.0168326	0.0199424	0.0160925	0.0147271	0.0121058	0.0122425	0.01849
est	0.0142915	0.0116403	0.00957664	0.00782178	0.00370351	0.00614662	0.00588009	0.0118014	0.0270505	0.0309	0.0272564	0.039958	0.033694	0.0428714	0.0376792	0.0234317	0.0338762	0.0324348	0.0346452	0.0355681	0.0250898	0.0248457	0.0256246	0.0328449	0.0205001	0.0153515	0.0192117	0.0200587	0.0160594	0.0171844	0.0189648	0.0122281	0.0156802	0.0131818	0.0139292	0.0116584	0.00921862	0.0109253	0.0170879	0.0256753	0.0313641	0.0331849	0.0175033	0.0194161	0.0114767	0.0144064	0.00900247	0.0100678	0.0111775	0.00685305
lui	0.0246002	0.0226703	0.0184348	0.0204291	0.0124296	0.0172058	0.00893607	0.0117194	0.0242494	0.0297273	0.0144924	0.0320885	0.0501722	0.0528132	0.0596802	0.0401737	0.0393533	0.0252469	0.0338582	0.0286661	0.0224556	0.0192359	0.0225394	0.0195898	0.0175171	0.0155811	0.0185301	0.0190161	0.0164531	0.0179931	0.0168977	0.0208987	0.0190303	0.0120275	0.0112729	0.0043733	0.00396575	0.00344894	0.00442502	0.0038326	0.00766176	0.0077232	0.00740714	0.0078818	0.00959485	0.0184576	0.0153855	0.0151309	0.0311582	0.0235684
qui	0.0246302	0.0152454	0.00631054	0.00990458	0.0145917	0.0114491	0.0173751	0.0115383	0.0249187	0.0227108	0.0134813	0.0195236	0.0103491	0.0239903	0.0217612	0.0248454	0.0206524	0.0216772	0.0214915	0.0389805	0.0353909	0.0372267	0.0182387	0.0339111	0.0308134	0.0393419	0.0375646	0.0339565	0.0249432	0.0286626	0.0293407	0.0255384	0.0249997	0.0152178	0.0220745	0.0114088	0.00798826	0.00528873	0.00852901	0.00425689	0.0071187	0.00749876	0.00808222	0.0170389	0.0161991	0.0195363	0.0249847	0.0167124	0.0191225	0.0135872
a	0.0507279	0.0238397	0.0105787	0.0104085	0.0062272	0.00650401	0.00365436	0.00309261	0.00469876	0.00351504	0.00281131	0.0057824	0.00792323	0.0177082	0.0188041	0.0252942	0.0401374	0.0453915	0.0343087	0.0313975	0.0471123	0.0413082	0.0255787	0.0428665	0.0318469	0.0296672	0.0263737	0.0173286	0.0160146	0.0226034	0.0258578	0.0187301	0.0437069	0.0312033	0.0348678	0.0226436	0.0177269	0.0169363	0.0242624	0.022439	0.0161091	0.0161489	0.0112581	0.00927448	0.00723821	0.00719457	0.00527423	0.00486263	0.00900765	0.0017525
embourbé	0.0152546	0.00622002	0.00456324	0.00683255	0.00943504	0.00434139	0.0110421	0.00990414	0.0224908	0.0232461	0.0104108	0.0186437	0.0174751	0.0345794	0.0233326	0.027503	0.0186905	0.0237818	0.0188756	0.0382717	0.0370582	0.0263887	0.0222321	0.0379605	0.0471439	0.0595507	0.0579742	0.0573859	0.0429175	0.0376804	0.0462268	0.0426933	0.0327791	0.0208844	0.0197888	0.012049	0.00693456	0.00528048	0.00803393	0.00330492	0.00322079	0.00493963	0.0023744	0.00266393	0.00335314	0.00408228	0.00304988	0.00203073	0.00358421	0.00153924
le	0.0499222	0.0303155	0.0131831	0.00610022	0.00314407	0.0048403	0.00341866	0.00380188	0.00866226	0.013141	0.00966111	0.00939688	0.0167006	0.0148765	0.0285955	0.0321506	0.0281698	0.0284605	0.0350581	0.0312501	0.0384434	0.0431723	0.0485067	0.0557014	0.0403351	0.0481562	0.0400831	0.026404	0.0232734	0.0189957	0.0249556	0.0183591	0.0256322	0.013399	0.0200594	0.0203231	0.0209873	0.0185238	0.0235334	0.00907733	0.00617061	0.00970648	0.0031996	0.00605988	0.00649086	0.00622567	0.00351153	0.00385217	0.00403042	0.00198227
véhicule	0.0217239	0.0113867	0.00401426	0.0028385	0.0018845	0.00373549	0.00165796	0.0013533	0.00216083	0.00297735	0.00287164	0.00628533	0.0103297	0.0115336	0.0290036	0.0450234	0.0437973	0.0434135	0.0390005	0.0377366	0.0507411	0.0667206	0.0782283	0.0571839	0.0397165	0.0379301	0.0326629	0.0297052	0.0212652	0.0205528	0.0278874	0.0153994	0.0245232	0.0147075	0.0148615	0.00965954	0.00854966	0.00702095	0.00847558	0.0124956	0.0126547	0.0161367	0.00574443	0.0113258	0.0141108	0.00908708	0.00916338	0.00946722	0.0077441	0.0035508
à	0.0356539	0.022419	0.0142881	0.0143311	0.0126052	0.0112266	0.00839264	0.00550258	0.0112021	0.00595859	0.00202964	0.00461989	0.00505349	0.011267	0.0204396	0.0252794	0.0198149	0.0370642	0.0133377	0.0192136	0.0294827	0.0162856	0.0163409	0.0118972	0.0151313	0.0154279	0.0155435	0.0161446	0.0162112	0.0220927	0.0228149	0.0142334	0.0187078	0.017715	0.0186709	0.0162484	0.0181016	0.0218912	0.0303198	0.0311733	0.028188	0.0416156	0.0240599	0.0455908	0.0315303	0.0249175	0.0318852	0.0269127	0.038314	0.0228528
l'	0.0184364	0.0107437	0.0090217	0.00818178	0.00435483	0.00487031	0.0029027	0.001556	0.00311139	0.00262405	0.00114363	0.002916	0.00518565	0.00777242	0.0207436	0.0261834	0.0203373	0.037626	0.021747	0.0234917	0.031822	0.0204817	0.0205501	0.0168242	0.0198109	0.017988	0.0178631	0.0154921	0.0147157	0.0180112	0.0184741	0.0152526	0.0172697	0.0158952	0.0194832	0.018633	0.0202484	0.0216708	0.0257741	0.0260922	0.0270495	0.0328509	0.0265063	0.0502995	0.0380724	0.0341187	0.0544455	0.0347127	0.0481675	0.0284754
