 	a66	a87	a23	a9	a24	a88	a62	a12	a88	a11	a90	a44	a58	a75	a6	a36	a37	a88	a71	a9	a99	a83	a88	a9	a83	a53	a79	a44	a4	a13	a50	a12	a5	a6	a36	a26	a38	a83	a71	a83	a71	a88	a9	a84	a4	a13	a38	a13	a9	a71	a9	a38	a36	a27	a87	a23	a87	</S>
nous	0.03176	0.0335586	0.0410119	0.021703	0.0105436	0.012752	0.0148946	0.0175157	0.013383	0.0111367	0.0188673	0.0161113	0.019698	0.0303654	0.0167659	0.014873	0.00996365	0.010275	0.00530174	0.00697771	0.00658421	0.0149612	0.0153535	0.0103751	0.0137647	0.0119729	0.0175253	0.0152796	0.0199353	0.0157107	0.0199138	0.0106562	0.016719	0.0199441	0.0164779	0.0225316	0.0211307	0.0306762	0.0218661	0.0371802	0.0334067	0.066469	0.0303317	0.0155896	0.0159985	0.0116517	0.00454507	0.00856839	0.00651796	0.0103018	0.00536678	0.00661762	0.00996825	0.00955	0.0100971	0.0106528	0.0095483	0.0188025
avons	0.0188983	0.0155392	0.0145977	0.0132281	0.0218753	0.0216757	0.0182845	0.0196161	0.019544	0.0120237	0.00585013	0.0110003	0.0156423	0.00873307	0.0411848	0.0260379	0.0471015	0.0262372	0.0291309	0.0415851	0.0347681	0.0332332	0.0367325	0.0387882	0.0319727	0.0344558	0.0262303	0.0268488	0.026093	0.0236663	0.0250955	0.0155387	0.0122653	0.0152763	0.0138015	0.0130084	0.00951934	0.00793605	0.00991692	0.00802431	0.00936662	0.00632409	0.00374083	0.00350697	0.00671522	0.00692264	0.00662698	0.00640799	0.00635211	0.00614793	0.0052149	0.00736982	0.00711122	0.00791275	0.0103042	0.00617306	0.00993021	0.0129152
fait	0.0293628	0.0119511	0.0118457	0.0112588	0.0181678	0.012388	0.0110594	0.00979824	0.0147446	0.00640928	0.00478011	0.00810411	0.0138845	0.00565869	0.0186811	0.014875	0.0687858	0.0155578	0.0284473	0.0461653	0.0245363	0.0455676	0.0588704	0.0421738	0.0142102	0.0170289	0.00950157	0.0154962	0.0109257	0.0146288	0.0129726	0.0150191	0.020076	0.0164494	0.0213558	0.0208475	0.0170165	0.0127183	0.0156663	0.00693481	0.008026	0.0134095	0.00490821	0.00633518	0.01626	0.00852401	0.00888219	0.0097626	0.0165716	0.0114208	0.0121585	0.013802	0.0122944	0.014664	0.0163071	0.0141718	0.0265524	0.0120286
une	0.0169748	0.0113005	0.00770197	0.00904088	0.00775231	0.00388351	0.00626367	0.00196563	0.00262372	0.00456217	0.00397161	0.010689	0.0142048	0.0106394	0.0150433	0.0116373	0.0122338	0.0131075	0.0120092	0.0110229	0.00838881	0.0162726	0.0181235	0.0131539	0.0129278	0.0142124	0.0137542	0.0105376	0.0110495	0.0136311	0.0178486	0.0326072	0.0368134	0.0366748	0.0400731	0.0333439	0.0295657	0.0356568	0.0286254	0.0388021	0.0616063	0.0397295	0.0331919	0.0239402	0.033105	0.0165051	0.0136346	0.0130068	0.0164335	0.0117524	0.012028	0.0120552	0.00931875	0.00989387	0.00877207	0.0130544	0.0103754	0.0129066
collecte	0.013042	0.0110018	0.00881251	0.0109185	0.0082991	0.00599317	0.00708861	0.00316846	0.00316015	0.00615313	0.005459	0.0151482	0.0216377	0.025414	0.0253472	0.0176488	0.0164155	0.0211954	0.0263018	0.0142949	0.0127267	0.0187152	0.020105	0.0183002	0.0234651	0.0328684	0.0433239	0.0337291	0.0333106	0.044898	0.059478	0.0571566	0.0621038	0.0489383	0.0198485	0.0178187	0.0160098	0.0123791	0.0100855	0.00935001	0.0198364	0.023337	0.0122321	0.0111252	0.0117203	0.00657552	0.006594	0.00330623	0.00319206	0.0026442	0.00240722	0.00198878	0.0045087	0.00425107	0.00580436	0.00365422	0.00833077	0.00738146
d'	0.0475014	0.0402815	0.0308568	0.0401471	0.0208408	0.0246341	0.0197667	0.00881229	0.00668223	0.0106107	0.00709286	0.00813478	0.0105114	0.00970562	0.0155795	0.0190128	0.0134104	0.024315	0.014973	0.0152686	0.0171185	0.0286706	0.0348545	0.0192775	0.0320845	0.040496	0.02829	0.0316141	0.032038	0.0332072	0.0345557	0.0227835	0.0244542	0.0206848	0.00934611	0.0122216	0.0126856	0.0143003	0.0102081	0.0078633	0.0104135	0.0126082	0.00924488	0.00957252	0.0112475	0.0109725	0.00791295	0.0080772	0.00759266	0.00456062	0.0049776	0.00339462	0.00649727	0.00427743	0.0055466	0.00731928	0.00609148	0.0148019
argent	0.0212283	0.0145179	0.0102932	0.00988864	0.00592065	0.00728194	0.00629937	0.00484487	0.00499635	0.00665901	0.00406542	0.00747727	0.00929064	0.00816854	0.0236406	0.0107591	0.0140985	0.0118347	0.017638	0.0253303	0.0265623	0.0253093	0.029288	0.0283814	0.0226102	0.0408685	0.037002	0.0452079	0.056658	0.0530272	0.065987	0.0462173	0.0387548	0.0371413	0.0142363	0.0230539	0.0147531	0.0243969	0.0163674	0.00888342	0.0119142	0.0102581	0.00627649	0.00431147	0.00370751	0.00442823	0.00319707	0.00371918	0.00370488	0.0050707	0.00608063	0.00535518	0.0103751	0.00840908	0.00964893	0.0063426	0.00686943	0.0113917
en	0.0313381	0.0135478	0.0123481	0.00817801	0.0057793	0.00488489	0.00426912	0.00293302	0.00170923	0.00279703	0.00230927	0.00435626	0.00626612	0.00505552	0.0207786	0.0166127	0.0215258	0.019912	0.0211013	0.0159323	0.0162773	0.0266381	0.0361506	0.0373657	0.0321297	0.0559712	0.0589644	0.0599616	0.0537112	0.0423304	0.0431101	0.023866	0.0196706	0.0177601	0.00615588	0.00852284	0.00725776	0.0136726	0.0091758	0.00895553	0.00792067	0.012394	0.00447517	0.00501972	0.00482956	0.00665515	0.00343774	0.0117641	0.00841545	0.0146384	0.0116079	0.0095457	0.0223188	0.012325	0.014587	0.0162864	0.0124623	0.022035
vue	0.0148865	0.0053163	0.00525291	0.00377981	0.00333101	0.00247869	0.003064	0.0017091	0.00142315	0.00205085	0.00139321	0.00508442	0.0103806	0.00670704	0.0281799	0.0201595	0.0248135	0.024732	0.0282011	0.0193578	0.0153845	0.0257052	0.0360047	0.037318	0.0327862	0.0463277	0.0582619	0.0555967	0.046519	0.0275078	0.0413756	0.0265102	0.027752	0.027349	0.0153486	0.0155592	0.0154517	0.0191462	0.0159997	0.0104409	0.0126494	0.0176727	0.00600584	0.00631858	0.00808532	0.0072197	0.00547858	0.00874135	0.00685214	0.0124529	0.00740668	0.00755208	0.0158497	0.0126468	0.0124466	0.0137294	0.0152846	0.0149612
d'	0.0425478	0.0159096	0.0108324	0.00623223	0.00489816	0.00400509	0.00378822	0.00412801	0.00358902	0.00333601	0.00353843	0.00712812	0.012413	0.00779587	0.0182159	0.0232124	0.0671955	0.0327216	0.0349974	0.0421562	0.0321643	0.0390134	0.0590605	0.03975	0.022348	0.0221287	0.0271243	0.0390079	0.0267624	0.0341184	0.00855463	0.0088782	0.00812914	0.0105922	0.00683185	0.00586273	0.00854321	0.0148506	0.00802318	0.0123295	0.00987218	0.0196449	0.0102859	0.0140494	0.00878067	0.00910559	0.00928965	0.0109091	0.00642959	0.0110568	0.00898663	0.00689199	0.0231465	0.0155719	0.0234287	0.00545739	0.0181662	0.0062128
