 	a15	a10	a87	a97	a83	a70	a31	a47	a88	a61	a47	a61	a47	a88	a61	a21	a75	a85	a37	a44	a57	a87	a23	a83	a75	a47	a6	a37	a92	a66	a34	a93	a13	a93	a56	a96	a75	a41	a27	a57	a40	a75	a47	a36	a57	a87	a23	a87	</S>
je	0.0374801	0.0504891	0.0233771	0.018588	0.0156028	0.0167033	0.0187104	0.0206968	0.0296037	0.0436841	0.0471685	0.0431986	0.030866	0.0132893	0.00689157	0.00692944	0.00843393	0.0138177	0.0144313	0.0147198	0.0226898	0.0195582	0.0213704	0.0187626	0.0221354	0.014875	0.0145632	0.0162598	0.0264095	0.016966	0.0230313	0.0338713	0.0347285	0.0369098	0.0177062	0.0168901	0.0105506	0.0134279	0.0120587	0.0090994	0.0127721	0.00981577	0.00995773	0.0121734	0.0168983	0.0120031	0.0152775	0.0162111	0.0183456
t'	0.0248133	0.0270423	0.0265747	0.0311329	0.0190786	0.0347598	0.0334482	0.0251939	0.0211284	0.020436	0.0182222	0.0172189	0.018297	0.0148529	0.0198365	0.0248637	0.025484	0.0254296	0.0270374	0.0365133	0.0287426	0.0285026	0.0307472	0.0458647	0.0338002	0.0323314	0.0195003	0.018782	0.0108299	0.0131314	0.0150937	0.00810089	0.00735002	0.00504601	0.00649406	0.00516025	0.00433015	0.00447386	0.00920826	0.0116165	0.013322	0.0205849	0.0270939	0.0195425	0.0148643	0.0241082	0.0189375	0.0179592	0.0131176
appellais	0.0321797	0.015628	0.0174509	0.0188985	0.0106907	0.0127561	0.00733645	0.0070968	0.00505801	0.00611481	0.00501617	0.00817305	0.0097298	0.0109243	0.0200187	0.0232824	0.0220714	0.0270767	0.0352076	0.030749	0.0498018	0.0248055	0.0291847	0.0465893	0.0215555	0.0334059	0.0190809	0.0313227	0.0260993	0.0600677	0.0232043	0.0149331	0.00933882	0.00576018	0.00381693	0.0067997	0.00487478	0.00647864	0.00847368	0.00941137	0.0163148	0.0179081	0.0191859	0.0216419	0.0294776	0.0297265	0.0313868	0.0542424	0.0196518
à	0.0333372	0.0277191	0.0226151	0.0275658	0.0160622	0.0185514	0.0110455	0.0092154	0.0054569	0.00548777	0.0069042	0.00665718	0.0079904	0.00507467	0.00607111	0.00623949	0.0104075	0.0124804	0.0113466	0.0166189	0.0102774	0.0124038	0.0108841	0.0134585	0.0104877	0.0111589	0.00894774	0.00911433	0.0196092	0.0177738	0.0216653	0.0352805	0.0257099	0.0356392	0.0401213	0.0434185	0.0321711	0.0185748	0.0424158	0.0273843	0.0290649	0.0360038	0.0378995	0.0371548	0.0239021	0.0232602	0.030305	0.0327892	0.0362773
haute	0.0364064	0.0240432	0.0224624	0.0250644	0.0139019	0.013831	0.0129563	0.00967591	0.0107732	0.008279	0.00502148	0.0109426	0.0152408	0.0141124	0.0126961	0.0135115	0.024986	0.0390986	0.0263378	0.0331413	0.0189307	0.0355853	0.0289975	0.0301299	0.0305718	0.0253527	0.0184407	0.0162018	0.0138154	0.016025	0.0134269	0.0147002	0.0146272	0.0264323	0.023577	0.0257681	0.0283446	0.0106324	0.0315299	0.0113845	0.0160395	0.0302072	0.0222746	0.0200809	0.0148847	0.0139477	0.020629	0.0240401	0.0309401
voix	0.0159828	0.00936558	0.00724555	0.00877676	0.00504037	0.00389196	0.00305182	0.0020913	0.00196307	0.00255273	0.00180747	0.00486902	0.00959146	0.00557632	0.00597414	0.00835076	0.0148429	0.0308683	0.0222598	0.0454822	0.0545163	0.0920694	0.0813698	0.130438	0.0632928	0.0588592	0.0240684	0.0281188	0.0207344	0.0294075	0.0171698	0.0141645	0.0126672	0.0231178	0.0111517	0.0202731	0.0116038	0.0031322	0.0102929	0.00412444	0.0055633	0.0100298	0.0110829	0.0112077	0.00644529	0.00865326	0.00955745	0.00910525	0.00819907
mais	0.0331833	0.0182917	0.0156151	0.0202245	0.00769375	0.0080579	0.00371813	0.00326143	0.0019696	0.00195183	0.00172507	0.00347521	0.00590221	0.00492537	0.00806236	0.0125544	0.0185181	0.0267429	0.0285819	0.0495307	0.048248	0.0840526	0.0594965	0.0737057	0.0609845	0.0390555	0.0196909	0.0176909	0.00959147	0.0325507	0.0173379	0.0183057	0.0160887	0.0248331	0.0130638	0.0170665	0.0200022	0.0096335	0.0109713	0.00605085	0.00858565	0.00920067	0.0119487	0.0168457	0.0192915	0.0154469	0.0152586	0.0211116	0.00990505
tu	0.0561876	0.0482904	0.0342226	0.0391926	0.0159613	0.0218422	0.0104409	0.00926613	0.00472903	0.0018599	0.00305602	0.00365936	0.00402789	0.00348958	0.00497396	0.00562346	0.0104485	0.0246137	0.0220445	0.0355782	0.0275495	0.0476536	0.0392087	0.0549137	0.0388559	0.0290835	0.0112769	0.00735819	0.00915059	0.0237527	0.014992	0.018318	0.012597	0.0166914	0.0298462	0.0141173	0.0286053	0.0183654	0.0308625	0.0102892	0.0130741	0.0151193	0.0140229	0.0190625	0.0152143	0.0190986	0.0176509	0.024196	0.019566
ne	0.0240273	0.0233493	0.0172122	0.0189686	0.0089094	0.0115137	0.00685459	0.00854738	0.00521511	0.00438846	0.00404759	0.00909807	0.00881322	0.0100816	0.0119987	0.0114564	0.0129751	0.0293782	0.0295803	0.0375601	0.0474522	0.04511	0.0403103	0.0520513	0.0315107	0.0240502	0.00963286	0.00725315	0.00871104	0.014277	0.0114007	0.0144849	0.0117851	0.0148552	0.0236803	0.0113705	0.0298381	0.0214832	0.0319893	0.00822028	0.016556	0.0243443	0.0220873	0.022594	0.0226223	0.0275534	0.0305773	0.0447983	0.0354252
m'	0.0272282	0.0233869	0.0258841	0.0338811	0.0187071	0.0195302	0.0100974	0.00947254	0.00408071	0.00324276	0.00218445	0.00480614	0.00574604	0.00876072	0.00848295	0.00967537	0.0136847	0.0237153	0.0211723	0.0266962	0.0288477	0.0319037	0.0260418	0.028996	0.0205438	0.0234567	0.0141711	0.0116723	0.0113918	0.0154076	0.0105247	0.0119133	0.0115926	0.0117182	0.0222501	0.0129988	0.0228881	0.0167719	0.0209353	0.0075218	0.0155727	0.0198907	0.0225634	0.0250508	0.0321578	0.0354443	0.0378847	0.0756372	0.0738156
