 	a85	a87	a10	a87	a23	a9	a11	a90	a25	a92	a98	a15	a90	a56	a24	a88	a24	a31	a96	a43	a31	a61	a96	a24	a9	a10	a9	a10	a38	a97	</S>
il	0.0917651	0.0906873	0.0846783	0.0351929	0.0303111	0.0170527	0.0127081	0.0133407	0.031773	0.0398042	0.0486332	0.0445307	0.061739	0.0504557	0.0289791	0.0200299	0.00973892	0.00514231	0.0037817	0.00557041	0.00647256	0.0205854	0.0148351	0.0103933	0.0281415	0.0231134	0.031406	0.0144718	0.0198875	0.0221022	0.0826767
y	0.0181452	0.0188315	0.0272884	0.0321396	0.0537396	0.0305586	0.029933	0.0194608	0.0347955	0.0291831	0.0421214	0.025998	0.0591289	0.0322186	0.0270415	0.0285981	0.0198296	0.0189225	0.0269513	0.0171738	0.0176453	0.0234171	0.0180214	0.0233751	0.0301308	0.0317263	0.0577897	0.0410974	0.0651736	0.066237	0.0333276
a	0.0287844	0.0242487	0.0215004	0.0189858	0.0196718	0.00729357	0.00552275	0.00498642	0.00647988	0.00665156	0.00598514	0.0112236	0.0140051	0.00711932	0.00355889	0.00168444	0.00147503	0.00239689	0.00274865	0.00338192	0.00552913	0.00928663	0.0119091	0.0207291	0.0470268	0.0424361	0.160976	0.120763	0.104955	0.147607	0.131078
des	0.0523789	0.0877707	0.0941736	0.0958548	0.0652426	0.0570977	0.0244326	0.054023	0.0486044	0.0283283	0.0470521	0.0269594	0.0177621	0.0285868	0.0236506	0.0208014	0.0369268	0.0411238	0.0265952	0.0194924	0.0177306	0.0148772	0.0110029	0.00527982	0.00641745	0.00530228	0.00556132	0.00640277	0.00861138	0.00714584	0.0148115
étangs	0.135428	0.0921405	0.0692227	0.0537466	0.0472112	0.0308095	0.0215995	0.0161529	0.0256725	0.0218362	0.0425165	0.0643119	0.0655361	0.102149	0.0344518	0.0137854	0.0198422	0.0109693	0.00657608	0.00481306	0.00385645	0.00377738	0.00294379	0.00314171	0.00369222	0.00572451	0.00676706	0.0124826	0.0240013	0.0172487	0.0375929
stagnants	0.0399691	0.0450504	0.0370744	0.0230373	0.0201126	0.0183203	0.0254671	0.0237073	0.0447159	0.0407104	0.0347834	0.0257204	0.0273709	0.0401101	0.0187318	0.0230243	0.0250183	0.021802	0.0250666	0.0255099	0.0269604	0.0266831	0.0376979	0.0242306	0.0282474	0.0432938	0.0344969	0.0469801	0.0539818	0.0393719	0.0527538
dans	0.0278438	0.0313195	0.0290792	0.0231787	0.0178102	0.0134648	0.0166916	0.0155395	0.0151641	0.0153369	0.0138507	0.0170499	0.0175236	0.0248273	0.0136539	0.0171374	0.0202582	0.0253945	0.0266129	0.0360718	0.0376789	0.0430527	0.0415486	0.0496832	0.0517051	0.0652593	0.0673226	0.0803003	0.0512203	0.0428754	0.0515451
la	0.0281207	0.0348155	0.0304462	0.0208105	0.0156722	0.00796249	0.00644164	0.00518693	0.00527996	0.00581093	0.010289	0.020421	0.0145577	0.0173792	0.015159	0.0207459	0.0196858	0.0131736	0.0146361	0.0272585	0.0436683	0.0736968	0.0664166	0.0541662	0.0999076	0.0883981	0.0767042	0.0588235	0.0273906	0.026758	0.0502173
vallée	0.0562976	0.0439163	0.0357049	0.0240237	0.0177255	0.0076915	0.00560357	0.00288575	0.00313279	0.00445609	0.00658156	0.0172672	0.0255881	0.0399891	0.0295174	0.0262922	0.0253129	0.018958	0.0210357	0.0292085	0.0315876	0.0557468	0.0422279	0.0413613	0.0670102	0.0593809	0.0537603	0.0516411	0.0449266	0.0458405	0.0653284
de	0.0248777	0.0145531	0.00925274	0.00545918	0.00357942	0.00190058	0.00160196	0.00217149	0.00241443	0.00173127	0.00306413	0.00751606	0.00347211	0.00557405	0.00445831	0.00534672	0.005481	0.00587604	0.00584415	0.0129955	0.0226512	0.0381972	0.0406388	0.0287318	0.0922431	0.0921217	0.0971366	0.0948488	0.111117	0.0956038	0.15954
la	0.036291	0.0160264	0.0121663	0.00695408	0.00552059	0.00248153	0.00209001	0.00173697	0.00199271	0.00222015	0.0024334	0.00423607	0.00542484	0.00747099	0.00588631	0.0112236	0.0124362	0.0220504	0.0236512	0.0448062	0.0629461	0.0798489	0.0776168	0.0446929	0.106752	0.0671468	0.0747038	0.0546868	0.0633059	0.0716889	0.0695129
vouma	0.066337	0.0571147	0.0522038	0.0282448	0.0237551	0.0137167	0.00867311	0.00806224	0.00694447	0.00879968	0.011062	0.0252631	0.0403226	0.0289081	0.0181207	0.0103838	0.00708624	0.00471793	0.00428478	0.00741922	0.0101726	0.0244965	0.0178027	0.0178139	0.0354434	0.0361359	0.0407542	0.0510528	0.0684296	0.0863329	0.180145
</S>	0.0590812	0.0167258	0.0142749	0.00633981	0.00545584	0.00423176	0.00203132	0.00378331	0.00275307	0.00126118	0.00246878	0.00346104	0.00246786	0.00190828	0.00218773	0.00287198	0.00277842	0.00329375	0.00326964	0.00496413	0.0065576	0.0212962	0.0257823	0.0290279	0.040822	0.0953844	0.102822	0.155598	0.126767	0.136378	0.113955
