 	a15	a66	a87	a10	a99	a87	a23	a99	a83	a5	a0	a43	a75	a92	a75	a85	a6	a36	a85	a6	a36	a21	a92	a56	a34	a47	a75	a85	a47	a36	a26	a57	a87	a23	a87	a23	a10	a83	a54	a79	a93	a75	a92	a37	a61	a62	a61	a34	a79	a56	a62	a0	a24	a88	a61	a21	a85	a6	a36	a2	a10	a87	a23	a99	a97	</S>
nyasoni	0.0177119	0.0371151	0.0195717	0.0366633	0.0385424	0.0390418	0.0397515	0.046801	0.0416563	0.0427865	0.0400104	0.0372484	0.0298803	0.0279405	0.0250434	0.0221669	0.0106195	0.0128098	0.0106202	0.0190601	0.00710903	0.014491	0.0170096	0.0098416	0.0108177	0.0115457	0.0140731	0.0124959	0.00309924	0.00510224	0.00492713	0.00450303	0.00517756	0.00903068	0.00690716	0.0117395	0.0099995	0.0154118	0.014367	0.0115677	0.00961422	0.00706773	0.00599052	0.00637694	0.00700645	0.00717658	0.00669919	0.00758011	0.00767071	0.00449137	0.00432576	0.00631591	0.00320579	0.00474546	0.00565094	0.00335116	0.00428873	0.00630414	0.0070918	0.00799173	0.00985621	0.00862957	0.00824166	0.0150894	0.0120184	0.0289623
a	0.0154751	0.0139157	0.0196274	0.0208855	0.0117683	0.0107464	0.00829221	0.00540907	0.00730053	0.00833585	0.00880395	0.0110364	0.0113937	0.01665	0.0181577	0.0323125	0.0274994	0.0205633	0.0204777	0.0179074	0.0231814	0.0174391	0.0186337	0.022211	0.0178042	0.0210732	0.0189901	0.018942	0.0234678	0.0165173	0.0150194	0.0164399	0.0191415	0.02082	0.0220238	0.0177743	0.0134958	0.0164922	0.0170263	0.0142259	0.0119412	0.0095705	0.0140594	0.00893954	0.0122512	0.014885	0.0132776	0.0127918	0.0104869	0.00753322	0.00426906	0.00803379	0.00585125	0.00657264	0.00914555	0.0166824	0.0139016	0.0193698	0.0155315	0.0131871	0.0188559	0.0149416	0.017401	0.0142961	0.0145301	0.0144171
du	0.0417206	0.0077247	0.00650839	0.00423628	0.00569282	0.00470679	0.00529773	0.00369843	0.0050302	0.00434576	0.00318112	0.0034369	0.00389687	0.0026997	0.00360973	0.00703095	0.00556785	0.00784107	0.019933	0.0154019	0.024708	0.0151149	0.0246192	0.0193888	0.0204443	0.0247399	0.0286511	0.0212819	0.0193618	0.0263111	0.0308921	0.0328542	0.016371	0.031175	0.0369347	0.0234799	0.0278447	0.017237	0.0300851	0.0296855	0.0164641	0.0206353	0.0210482	0.018082	0.0141062	0.0158419	0.0193113	0.00791	0.0101725	0.010474	0.0110608	0.00519581	0.00561146	0.00621749	0.00525196	0.00477623	0.00803452	0.00610331	0.0116185	0.0105576	0.0119964	0.0162621	0.0187178	0.0160145	0.0224671	0.0233282
mal	0.0392436	0.0226971	0.00870962	0.00997046	0.0179482	0.00964929	0.0172447	0.00599941	0.00740104	0.00392356	0.00281995	0.00285795	0.00276218	0.0015896	0.00268334	0.0016395	0.00395168	0.00459494	0.00315916	0.00240574	0.00318344	0.00523071	0.00325027	0.00640653	0.00817485	0.00245838	0.00609636	0.00189885	0.00116829	0.00396939	0.00190256	0.00352788	0.00582787	0.00500542	0.0043409	0.00870657	0.0216448	0.0318915	0.035203	0.0385249	0.0386162	0.0432466	0.034414	0.0396713	0.0623661	0.0410165	0.0409233	0.034726	0.0349691	0.0424066	0.0342446	0.0402174	0.0325438	0.0456174	0.0107302	0.00597923	0.00567667	0.00479691	0.00387882	0.00365193	0.00594469	0.00473436	0.00377975	0.00540712	0.00401036	0.00676746
à	0.0566371	0.0268329	0.02314	0.0241469	0.0290619	0.0228315	0.0395535	0.0110941	0.011081	0.00635664	0.00624902	0.00684335	0.00610939	0.00557663	0.00990939	0.00691295	0.0159879	0.0183386	0.0115309	0.0134276	0.0114856	0.0233788	0.0120937	0.0144506	0.0238839	0.00527566	0.0185812	0.00360512	0.00842881	0.0180338	0.0124697	0.0182725	0.0140034	0.010701	0.00757688	0.0072576	0.0149024	0.0187473	0.0219505	0.0253081	0.0274447	0.0368315	0.02554	0.0197719	0.0291424	0.0223473	0.0207562	0.0128887	0.0118289	0.0152367	0.0177048	0.0151699	0.011123	0.0128413	0.00933988	0.00470402	0.00579437	0.00492242	0.00667222	0.00535541	0.0092909	0.00896628	0.00802832	0.00630478	0.00385224	0.00611397
préparer	0.0670445	0.0300808	0.0167254	0.0151578	0.0261597	0.0212692	0.023122	0.0131062	0.01463	0.00869968	0.00754014	0.00588414	0.0054872	0.00307171	0.0032492	0.00278295	0.00370034	0.004953	0.00595663	0.00708694	0.0111992	0.0109052	0.0122172	0.0100097	0.0152407	0.010938	0.0181156	0.00883298	0.0120314	0.0173726	0.0197574	0.0130479	0.0123197	0.0145955	0.0134183	0.0139773	0.0215625	0.0250213	0.0228319	0.0331239	0.0266708	0.0341875	0.0243484	0.0189873	0.030081	0.0225281	0.0195634	0.012392	0.0137139	0.0124197	0.0206018	0.0155991	0.00577812	0.012648	0.0108416	0.0121088	0.0140713	0.0124474	0.010865	0.00976964	0.0102975	0.0130341	0.0115481	0.00914217	0.00600383	0.00812579
pour	0.0447324	0.0141187	0.0127649	0.00784902	0.00774188	0.00627701	0.00353263	0.00449968	0.00785158	0.00688104	0.00719046	0.00519876	0.00570174	0.00370992	0.00469176	0.00462215	0.007211	0.00865924	0.0103719	0.0125455	0.0154013	0.0207707	0.0230027	0.0270439	0.028703	0.0266049	0.0507255	0.0142555	0.0152912	0.0213279	0.0386522	0.0241195	0.0214267	0.0346785	0.0263119	0.0222958	0.0234042	0.026336	0.0217707	0.0198501	0.0168883	0.0213494	0.016466	0.0126634	0.0214124	0.0194149	0.0159198	0.00786952	0.0105805	0.0081158	0.011292	0.0101529	0.00427068	0.0102397	0.00858393	0.00593836	0.0100617	0.00821377	0.00946526	0.00797632	0.00948973	0.01308	0.0169932	0.0113556	0.0107162	0.0133672
son	0.0466288	0.0237462	0.022542	0.0170557	0.017	0.0132475	0.00594712	0.00560889	0.00759438	0.00491828	0.00500558	0.00286743	0.00291517	0.00245653	0.00381161	0.00376687	0.00527511	0.0070957	0.0084902	0.0114371	0.0101837	0.0202633	0.0143888	0.0186635	0.0204988	0.00888656	0.0364949	0.0117579	0.00586047	0.0100171	0.0247758	0.0116468	0.0208921	0.0264621	0.0220296	0.0205974	0.0291153	0.0413414	0.0358823	0.0288243	0.020864	0.0180134	0.0156636	0.0142333	0.0160288	0.0162841	0.0138524	0.0144818	0.0188409	0.0146416	0.0137822	0.0198804	0.00900966	0.0143235	0.0188736	0.00978428	0.0124495	0.014059	0.0150141	0.0109102	0.00667226	0.0113185	0.0101409	0.0098192	0.0103581	0.0147085
mari	0.0278815	0.0194642	0.0124387	0.0135472	0.0187087	0.0166398	0.0141254	0.00968881	0.00865046	0.00591103	0.00736745	0.00635878	0.00607768	0.0025741	0.00417012	0.00411322	0.00523595	0.010745	0.0107496	0.0190371	0.0112862	0.0219244	0.0139901	0.00692909	0.019932	0.00405378	0.0323418	0.00737558	0.00432506	0.00764831	0.0166734	0.00992712	0.0120028	0.0187579	0.0165419	0.0134992	0.0153026	0.0261478	0.0372571	0.0295292	0.0288599	0.0234486	0.0242208	0.0228978	0.0265038	0.0275477	0.0254963	0.0239134	0.0219532	0.0175379	0.0142509	0.0177482	0.0106844	0.0107291	0.0089039	0.00402795	0.00705333	0.0077456	0.0150952	0.0126721	0.0160481	0.0140691	0.0163742	0.0179351	0.0152161	0.0201373
car	0.0231814	0.0162116	0.0125624	0.0109577	0.00907177	0.00895203	0.00394744	0.00528624	0.006945	0.00615525	0.00816577	0.00662744	0.0075727	0.00510193	0.0101854	0.00935045	0.0105925	0.0155263	0.0143729	0.0267638	0.0114522	0.0374171	0.0173308	0.0159708	0.0178469	0.0148663	0.0392766	0.0149162	0.0148825	0.010586	0.0320647	0.014362	0.0192511	0.0305353	0.0219925	0.0217196	0.0182561	0.0206704	0.0179927	0.014152	0.012933	0.01068	0.0078578	0.00851323	0.0126871	0.013148	0.0109401	0.0091431	0.00840048	0.00572978	0.00801351	0.00891642	0.00453713	0.0069741	0.00671583	0.00388912	0.00657354	0.00864858	0.0146355	0.0141396	0.0192264	0.0217683	0.0291277	0.0333705	0.0386016	0.0517577
celui-ci	0.0223306	0.0197899	0.00743221	0.00312987	0.00361135	0.00263858	0.00171669	0.00205844	0.00437431	0.00417321	0.00514677	0.00425283	0.00704182	0.00429234	0.00766511	0.00846919	0.00573217	0.00929441	0.0200677	0.0263421	0.0190924	0.0412409	0.0247127	0.0138789	0.0193598	0.0124106	0.0362976	0.0186908	0.0149215	0.00964774	0.0271497	0.0136462	0.0191927	0.0312909	0.0275588	0.0167355	0.0159838	0.0145699	0.0182326	0.0146851	0.00805421	0.00526877	0.0032308	0.00283266	0.00520018	0.00554871	0.00380866	0.0044702	0.00641457	0.00964487	0.0143443	0.013777	0.00970279	0.0169712	0.0190307	0.0112193	0.0189637	0.0194268	0.0307968	0.027543	0.0225228	0.0344006	0.0276062	0.0357206	0.0404416	0.0242015
n'	0.0203614	0.0156974	0.00547181	0.00391544	0.0042163	0.00328806	0.00287519	0.00203878	0.00588532	0.00506874	0.00623194	0.00635117	0.0103801	0.00540135	0.00854458	0.00796511	0.00971686	0.0097932	0.0195804	0.0178558	0.0142659	0.0175878	0.0141539	0.012335	0.0190457	0.00862523	0.0220572	0.00672519	0.0108489	0.00557616	0.0130611	0.00742219	0.0212161	0.016208	0.0346985	0.0210174	0.0159703	0.0160567	0.0226298	0.020699	0.0168508	0.0155952	0.011698	0.00898626	0.0129515	0.0156926	0.0123526	0.012611	0.0175719	0.0199305	0.0184291	0.0212449	0.0282541	0.0273826	0.0252198	0.0152952	0.0251723	0.0157762	0.0209562	0.0182555	0.0178649	0.0230385	0.0162719	0.0301341	0.0366553	0.0249702
