 	a23	a85	a87	a23	a24	a71	a9	a54	a30	a2	a40	a30	a35	a26	a54	a14	a35	a30	a14	a37	a35	a66	a75	a35	a14	a73	a20	a73	a92	a44	a38	a76	a94	a58	a82	a38	a26	a24	a9	a99	a87	</S>
l'	0.0560347	0.0527233	0.0208636	0.0110877	0.0153878	0.00943367	0.00556217	0.00641283	0.0116594	0.01083	0.0112701	0.0123435	0.011663	0.0190948	0.0112287	0.00882817	0.0226798	0.0258047	0.0219573	0.01609	0.0154524	0.0203571	0.00895393	0.0258735	0.0180182	0.0101715	0.0235286	0.102582	0.110772	0.084245	0.0610989	0.0275648	0.0203336	0.0154154	0.0182987	0.0144427	0.0170398	0.0102787	0.00797615	0.00959839	0.00511731	0.0119266
homme	0.00170717	0.00288468	0.00493865	0.00764911	0.0183334	0.108385	0.109797	0.0697375	0.0642066	0.0525397	0.0694525	0.0571406	0.0531684	0.0441991	0.034662	0.0304844	0.030229	0.0835441	0.0461982	0.0242035	0.0150854	0.0141622	0.00362747	0.00927077	0.00559832	0.0064522	0.00369626	0.00267039	0.003932	0.00128523	0.00136007	0.00193066	0.00292108	0.00526138	0.00267395	0.00172629	0.00117034	0.00126648	0.000575044	0.000491311	0.000330803	0.00105122
tirait	0.0307324	0.0231119	0.0287148	0.026702	0.0199196	0.0209641	0.0198625	0.0163457	0.0172874	0.0232151	0.0255206	0.031239	0.0632411	0.0396506	0.0451818	0.0947863	0.0496121	0.0500209	0.0260687	0.0296059	0.0238447	0.0222822	0.0194227	0.0289225	0.0208392	0.0246933	0.0152632	0.0123509	0.0110983	0.0058367	0.00526777	0.00370704	0.00360399	0.00384518	0.00394647	0.00848889	0.0102975	0.0116112	0.0197383	0.0232339	0.0161383	0.0237853
calmement	0.0738083	0.0831801	0.0629018	0.0513228	0.0262058	0.0127696	0.0123416	0.0099197	0.0107087	0.0103402	0.00906539	0.0140475	0.0116004	0.0157933	0.0189245	0.0268571	0.0209108	0.0158419	0.0138389	0.0127108	0.010549	0.0219003	0.0250139	0.0327436	0.035274	0.0238823	0.0297003	0.0229899	0.0391342	0.0269546	0.0185357	0.00936051	0.00744807	0.00627453	0.00856277	0.00997408	0.0189772	0.0132999	0.0180073	0.0217775	0.0350629	0.0514882
des	0.0456026	0.0398783	0.0495539	0.0403616	0.0464084	0.0504339	0.0545509	0.0400412	0.0367056	0.0260356	0.0254883	0.0221587	0.0134057	0.00898969	0.0140827	0.00931185	0.0114835	0.0132913	0.0187486	0.0159258	0.0131587	0.0255372	0.0181926	0.0201338	0.0164419	0.0228139	0.0255777	0.0353717	0.0530574	0.0247643	0.0215201	0.0157592	0.0144628	0.0136454	0.0113295	0.00719138	0.0111323	0.0137652	0.00907953	0.010115	0.0117545	0.0227378
bouffées	0.0446674	0.0279706	0.0296308	0.0270164	0.0371247	0.0485439	0.0405472	0.0282504	0.0217063	0.0135465	0.017683	0.0131728	0.00920718	0.00651707	0.0127353	0.0107058	0.00955093	0.0101469	0.0108732	0.0207164	0.0111961	0.0180252	0.012926	0.00820859	0.0149472	0.0225959	0.0228137	0.0174822	0.0578182	0.0232813	0.0237053	0.0200388	0.0164535	0.0180062	0.0216513	0.0240896	0.0279824	0.0424421	0.0282843	0.0364684	0.0341596	0.0571115
de	0.0686656	0.0322086	0.0207755	0.0150065	0.0125915	0.009264	0.00623916	0.00619186	0.00425032	0.00356227	0.00430148	0.00333199	0.00242567	0.00132734	0.00157479	0.000753215	0.00232069	0.00382123	0.00466353	0.00538061	0.00549092	0.00741275	0.0074784	0.00541432	0.00455854	0.00433402	0.0051343	0.0107816	0.0174227	0.0132959	0.0111232	0.0113439	0.0151439	0.0237876	0.0380955	0.0349084	0.0778014	0.0898514	0.0966925	0.113127	0.0600876	0.138058
sa	0.0376923	0.0256644	0.0216704	0.0131209	0.0138789	0.0106902	0.00784389	0.00758741	0.00513124	0.00596919	0.00683836	0.00351195	0.00377168	0.00277484	0.0052471	0.00554093	0.00798087	0.00923061	0.00945205	0.0179113	0.0130555	0.0136622	0.0133947	0.0100143	0.0117069	0.0139171	0.0127233	0.0165408	0.0279064	0.0202122	0.0261706	0.0231734	0.0192987	0.0205157	0.0208161	0.0401495	0.0527164	0.0661024	0.0691743	0.101619	0.0807246	0.104897
pipe	0.024106	0.0247345	0.0162205	0.01229	0.012226	0.00789421	0.00632216	0.0050098	0.00343097	0.00289193	0.00429213	0.0015705	0.00186515	0.00179376	0.00278934	0.00277484	0.00346623	0.00758392	0.0104102	0.0190126	0.0154158	0.0198433	0.0108846	0.00537438	0.00507854	0.00608144	0.00744636	0.0142015	0.0227158	0.0283409	0.0432708	0.0557031	0.0420635	0.0399202	0.0442484	0.0533569	0.0708152	0.0639978	0.0884183	0.0911408	0.0381752	0.0628225
</S>	0.0677444	0.0520581	0.0205468	0.0132403	0.0125211	0.0109952	0.00699863	0.00658857	0.00632828	0.00542741	0.00743854	0.00453071	0.00251945	0.00201978	0.00193166	0.00123515	0.00333829	0.00778898	0.00687566	0.00665597	0.00417524	0.00555554	0.00457309	0.00390197	0.00285585	0.00309556	0.00394714	0.00748473	0.0126545	0.00850424	0.0144944	0.0148869	0.0200289	0.0257372	0.0625909	0.0604951	0.0972269	0.0649029	0.0638726	0.0765777	0.0451756	0.15048
