 	a10	a87	a23	a24	a62	a13	a98	a73	a41	a12	a56	a32	a11	a75	a94	a75	a44	a53	a15	a90	a15	a73	a58	a53	a90	a32	a25	a44	a94	a90	a93	a75	a41	a90	a98	a73	a90	a98	a73	a44	a54	a73	a84	a57	a87	a23	a10	a87	</S>
l'	0.0601605	0.0331156	0.0515887	0.044953	0.0307526	0.00907304	0.0134516	0.0479299	0.0253353	0.0226114	0.0241333	0.0142682	0.020718	0.0136127	0.00790402	0.00675123	0.00490875	0.00831581	0.00934407	0.0137552	0.0121526	0.0140992	0.0118254	0.0169212	0.0193723	0.0224783	0.0261177	0.0247756	0.0395866	0.0300661	0.029498	0.0185252	0.0166829	0.0384358	0.023031	0.025587	0.00934345	0.0077462	0.0120575	0.0153796	0.0189099	0.0122962	0.0248049	0.0172837	0.0138652	0.00834755	0.00700443	0.00697495	0.0141485
homme	0.00251807	0.00469309	0.0160273	0.0228758	0.0437367	0.0173532	0.0224599	0.0202618	0.00784358	0.018268	0.0151508	0.0175591	0.03156	0.0656032	0.0372172	0.0562669	0.0835047	0.117692	0.0596874	0.0350869	0.0468009	0.0315275	0.0201222	0.0177328	0.0117461	0.00987411	0.0186847	0.00957497	0.0120818	0.00725842	0.0107364	0.00721308	0.00755858	0.0175523	0.0131675	0.00966301	0.00617411	0.0107852	0.00408712	0.00494722	0.00432869	0.00185138	0.00332951	0.00284892	0.00363397	0.0021134	0.00215792	0.00219371	0.00488861
avança	0.0289743	0.0178615	0.00816595	0.00934583	0.0118741	0.0111742	0.0132601	0.00459858	0.0138066	0.0209251	0.0104105	0.014417	0.0187855	0.0261564	0.032047	0.0266798	0.0358317	0.0796793	0.0514194	0.0201735	0.0205527	0.018828	0.0167313	0.015276	0.0178708	0.00648938	0.00508561	0.00380835	0.00760522	0.00676191	0.00690351	0.00564903	0.00993979	0.00413236	0.00479523	0.00650961	0.00689265	0.0124425	0.0110981	0.0137631	0.0243307	0.0436959	0.0409843	0.0318018	0.0342144	0.0407712	0.0249353	0.0554545	0.0470902
sa	0.0138518	0.0101691	0.0064986	0.0107956	0.0115155	0.0118748	0.00985739	0.00977262	0.0233352	0.0219223	0.018262	0.0309854	0.0310227	0.0316513	0.031007	0.0282173	0.0300891	0.0296352	0.0259915	0.0161692	0.0171628	0.0147945	0.0105419	0.00430863	0.00393912	0.0019611	0.00197875	0.00240063	0.00426339	0.00646062	0.00862072	0.0135916	0.0160059	0.0102788	0.010296	0.0164268	0.0126768	0.0203835	0.0268086	0.0163207	0.0283588	0.0276571	0.0352189	0.03284	0.0426393	0.0551265	0.0451091	0.0511559	0.0600501
main	0.0206477	0.0204843	0.0170142	0.02204	0.0150464	0.018671	0.013291	0.0066245	0.0119559	0.00679855	0.00791034	0.0054762	0.00894402	0.00779914	0.00864078	0.0139113	0.0168655	0.0345387	0.0328422	0.0351713	0.0378969	0.0476747	0.0579515	0.0529462	0.0525023	0.0325418	0.0356604	0.0337571	0.0261329	0.0241639	0.0221599	0.0196342	0.0198665	0.0167089	0.0160262	0.0187067	0.0132081	0.016507	0.0104164	0.0096967	0.00879887	0.00727235	0.0097986	0.00794318	0.011057	0.0133401	0.00830838	0.0222203	0.0224298
pour	0.0218285	0.0148445	0.0156012	0.0122894	0.00828857	0.00875445	0.0061891	0.00334734	0.010897	0.00559441	0.00666925	0.00553255	0.00413444	0.0027919	0.00444914	0.0113043	0.0127843	0.0150798	0.0302129	0.0419949	0.0359077	0.0524547	0.042617	0.0457967	0.0359677	0.0299054	0.025815	0.0345618	0.0335558	0.032431	0.0269225	0.01131	0.0128702	0.0138453	0.0167499	0.0272444	0.0282768	0.029359	0.0220205	0.0177411	0.0166579	0.00972621	0.00919983	0.00999442	0.0160072	0.0206164	0.0147855	0.0256759	0.059396
me	0.0223467	0.0107849	0.0151779	0.00771276	0.0072614	0.00738472	0.00381391	0.00360038	0.00522919	0.00363319	0.00176111	0.00189885	0.00189212	0.00211873	0.00180062	0.00379161	0.00431136	0.00589923	0.0162673	0.0102933	0.0182601	0.0277196	0.0381576	0.0495839	0.0604587	0.0423489	0.0312162	0.0210959	0.0239096	0.0168926	0.0145384	0.0144467	0.0145644	0.0143611	0.0254699	0.0355362	0.0334018	0.0475866	0.0294698	0.0254214	0.0214768	0.00882912	0.0121272	0.0147413	0.0207054	0.0368111	0.0362321	0.0527802	0.0748781
dire	0.011001	0.012395	0.0167394	0.0144079	0.0111807	0.0114598	0.0110053	0.0116037	0.0112269	0.00831674	0.00747702	0.00635621	0.00762319	0.00549797	0.00422936	0.00767017	0.00858549	0.00872947	0.0121585	0.0108609	0.0153225	0.0169464	0.0244869	0.0276868	0.0286341	0.0256404	0.0263099	0.02199	0.0322378	0.0247616	0.0258693	0.036255	0.0293111	0.0268309	0.0431248	0.0324195	0.0403022	0.0330523	0.0284841	0.0389166	0.0401571	0.02654	0.023387	0.0208325	0.0176083	0.017978	0.014549	0.0191315	0.0427098
bonjour	0.00939882	0.0129155	0.0166798	0.0147623	0.0110177	0.0079626	0.00593774	0.0111218	0.00910945	0.00934335	0.00827981	0.00728087	0.00735462	0.00483296	0.00311339	0.00552322	0.00570191	0.00914607	0.0159604	0.0148795	0.0249184	0.0215	0.0259521	0.0254741	0.0231071	0.0214111	0.0154938	0.012256	0.0204383	0.0167369	0.0227071	0.0267243	0.0285824	0.0280962	0.0422478	0.0557731	0.0480348	0.0455974	0.042237	0.0550276	0.0441696	0.0158604	0.0269196	0.0181697	0.0218329	0.01481	0.012061	0.0139168	0.0396228
</S>	0.0176698	0.017279	0.0328915	0.0111174	0.00830085	0.00739886	0.00532691	0.0122342	0.00744199	0.00848387	0.00616986	0.00764681	0.006118	0.00378496	0.00284971	0.00521229	0.00616291	0.00644506	0.0145161	0.0134443	0.0194176	0.0217585	0.0333252	0.0407888	0.0402414	0.039209	0.037069	0.0315615	0.0350012	0.0297169	0.0305355	0.0478814	0.0210817	0.0288353	0.0336469	0.0310895	0.0253933	0.0255079	0.0187867	0.023574	0.0246903	0.0175835	0.0215122	0.0144048	0.0156398	0.0151312	0.0113434	0.0176436	0.0471355
