 	a66	a87	a23	a99	a83	a36	a37	a98	a92	a56	a93	a44	a13	a38	a66	a9	a38	a70	a90	a15	a7	a84	a54	a47	a36	a37	a61	a62	a21	a85	a6	a37	a93	a70	a57	a82	a97	a87	a23	a87	a23	a87	a23	</S>
apporte	0.0241336	0.0380596	0.0248515	0.0272467	0.023117	0.0167364	0.028879	0.141428	0.0869062	0.0278787	0.062482	0.0308546	0.0219789	0.0294549	0.0160507	0.0233117	0.0241322	0.0142197	0.0141233	0.0164949	0.00913087	0.0121465	0.017891	0.0232947	0.0167877	0.0148456	0.0208184	0.0224011	0.0120014	0.0102031	0.0122969	0.00991671	0.0120175	0.00841282	0.0160876	0.00815986	0.00809773	0.00875138	0.00706971	0.00778689	0.00761479	0.00889792	0.00935185	0.0236783
moi	0.0250271	0.0125465	0.0245859	0.0251244	0.0325621	0.0260202	0.0263368	0.021488	0.0186932	0.0220299	0.021157	0.0230662	0.0215565	0.0174271	0.0197662	0.0202561	0.0250517	0.0254619	0.0244511	0.0258845	0.0240781	0.0154507	0.00967339	0.00631972	0.0132191	0.0141408	0.0127519	0.0181218	0.0223349	0.0216562	0.0277261	0.0364198	0.037284	0.0583448	0.0337119	0.0354146	0.0237414	0.018904	0.0125536	0.0209269	0.0242374	0.0185919	0.0219056	0.0139988
la	0.0432073	0.0149894	0.0446789	0.027414	0.0441703	0.0310211	0.0234661	0.0134676	0.0205932	0.0578787	0.0564272	0.0676965	0.0556598	0.0435497	0.0433417	0.0412165	0.038951	0.0359677	0.0307413	0.0341859	0.0248921	0.0160259	0.00808352	0.00671043	0.00797055	0.00730509	0.00593104	0.00299099	0.00453405	0.00518069	0.00794431	0.00300737	0.00530398	0.00228554	0.00809524	0.00611857	0.00562626	0.00701052	0.00753498	0.010338	0.0160216	0.0156635	0.0231123	0.0236898
serviette	0.0188048	0.0195391	0.0105144	0.0241665	0.0306011	0.0177468	0.0266234	0.0136099	0.0217562	0.0190724	0.0245573	0.0279692	0.0287871	0.0452405	0.0358528	0.0350172	0.0455259	0.0379721	0.0366247	0.0295754	0.0395541	0.0528302	0.0494065	0.0520674	0.0219557	0.0278884	0.0253273	0.0274138	0.0157205	0.0154696	0.0097409	0.00666293	0.00657207	0.00789442	0.00785203	0.006714	0.00880025	0.0111173	0.0101316	0.0124262	0.00872553	0.00692244	0.0114121	0.00783799
pour	0.0507411	0.0318611	0.034114	0.0279815	0.0380016	0.0378903	0.0282518	0.0305014	0.0317632	0.0217019	0.0190324	0.0217963	0.0251868	0.0229032	0.0305814	0.0297121	0.0386334	0.0336933	0.0235118	0.0300115	0.0205881	0.0197806	0.0135346	0.0110028	0.0079352	0.00712556	0.00606753	0.00347368	0.00277987	0.00414058	0.0102747	0.00705767	0.00727336	0.00651269	0.0107276	0.0114722	0.0131246	0.0148007	0.0209417	0.0268715	0.0259356	0.034406	0.0603863	0.045917
que	0.0286377	0.0255956	0.019082	0.0191597	0.0177464	0.0120472	0.0133361	0.010615	0.0133882	0.0164899	0.0220492	0.0285756	0.0412723	0.0321363	0.0369461	0.0397326	0.0417661	0.0545314	0.0381671	0.0520729	0.021679	0.0184575	0.00923851	0.00777381	0.00484482	0.0102699	0.00774773	0.00475892	0.00920758	0.0071136	0.0173536	0.0183841	0.0165208	0.0106408	0.0297182	0.0248672	0.0262761	0.0336164	0.0323373	0.0273826	0.0272275	0.020611	0.0303987	0.0202266
je	0.0553049	0.0354377	0.036234	0.0271311	0.0178903	0.0166561	0.00861122	0.00610811	0.00723666	0.0087096	0.0127896	0.0133931	0.0287403	0.0115673	0.0277941	0.0293978	0.0404662	0.0569054	0.0256882	0.0324572	0.0177372	0.0161476	0.00975471	0.00450929	0.00291782	0.00933573	0.00535835	0.00376599	0.00894964	0.006742	0.0270688	0.0275763	0.0245089	0.0176227	0.0425775	0.0268415	0.0289776	0.0359005	0.0362607	0.0313854	0.0307255	0.0301486	0.0327436	0.023925
puisse	0.0440868	0.0419719	0.030452	0.0277698	0.0234551	0.0143712	0.00760271	0.00530035	0.00648343	0.00884281	0.00993475	0.0102989	0.0173943	0.0079276	0.0165924	0.0167687	0.0164724	0.0207323	0.0155554	0.0152193	0.00808162	0.00814678	0.0062495	0.0037786	0.00282661	0.0086997	0.00517828	0.00458195	0.0162733	0.0114579	0.0256034	0.0239142	0.0189688	0.0242991	0.0378249	0.045011	0.0496193	0.0628093	0.0543047	0.0668481	0.0434148	0.0367553	0.0453015	0.0328192
m'	0.0283035	0.0362704	0.0229883	0.0213544	0.0153814	0.0102578	0.0109054	0.0147738	0.0107283	0.0177305	0.0225301	0.0165342	0.0274776	0.0103034	0.026511	0.0220857	0.017208	0.0315394	0.0151238	0.0171769	0.0102398	0.0097984	0.00775589	0.00537155	0.00547192	0.00742764	0.00560122	0.00478294	0.0103395	0.00755022	0.0170541	0.0127083	0.0158236	0.020344	0.0454125	0.0304172	0.0370321	0.0479192	0.0460937	0.045941	0.0509571	0.0494131	0.0607595	0.0506017
essuyer	0.0427584	0.0310767	0.0146297	0.0130951	0.0109333	0.00512149	0.00765171	0.0120752	0.00972478	0.0124651	0.0155397	0.0157654	0.0226743	0.0122233	0.0179986	0.016459	0.0133351	0.0153004	0.0141821	0.0166129	0.00761049	0.00802558	0.00680728	0.00470733	0.00669746	0.0124699	0.00936639	0.00896539	0.0184404	0.0135808	0.0277035	0.0123848	0.0145401	0.0116478	0.0425508	0.0217189	0.0348593	0.0465166	0.0437022	0.0561089	0.0655163	0.0629394	0.0671719	0.0763464
