 	a15	a66	a10	a87	a23	a83	a61	a41	a6	a5	a43	a31	a62	a0	a75	a41	a0	a44	a26	a75	a85	a6	a85	a47	a98	a47	a36	a2	a57	a87	a23	a87	</S>
il	0.0765431	0.0750781	0.0667275	0.0614713	0.0486652	0.0380694	0.0205809	0.0176599	0.0181874	0.0174259	0.015084	0.0321021	0.0262919	0.0214009	0.023239	0.0181938	0.0159728	0.0195475	0.0196067	0.0489674	0.02987	0.0260113	0.0165034	0.0131249	0.0186714	0.0186204	0.0265226	0.0194303	0.0240651	0.0220476	0.0280837	0.0407938	0.0354406
fait	0.0278952	0.0152853	0.0326657	0.0262686	0.0293857	0.0270967	0.0238755	0.0329418	0.0292232	0.0328062	0.0233081	0.0232449	0.0261482	0.0289906	0.0399442	0.061117	0.109857	0.0821181	0.051252	0.0274721	0.0305364	0.0194432	0.0327782	0.0240435	0.0217938	0.00882073	0.0100227	0.0184264	0.0233269	0.0139548	0.013938	0.0121633	0.0198563
chaud	0.0255596	0.00990471	0.0142301	0.0132673	0.0121232	0.0146773	0.0149613	0.0233132	0.0264285	0.0461272	0.0229295	0.0351917	0.0289089	0.03592	0.043383	0.0574766	0.0534566	0.0450428	0.0398008	0.0280946	0.0314652	0.0421942	0.0467047	0.0269533	0.0371818	0.0296559	0.0237548	0.0289048	0.0327271	0.0268862	0.027725	0.0248445	0.0302055
dans	0.109181	0.0813053	0.0369522	0.0348785	0.0304338	0.0264157	0.0331172	0.0200701	0.029016	0.0246365	0.0324332	0.0262901	0.021205	0.0156796	0.0168607	0.0207859	0.0232548	0.0254028	0.0232346	0.0170576	0.0298492	0.0220876	0.0206384	0.0214714	0.0221369	0.0339868	0.0242106	0.0169704	0.0253077	0.0301726	0.0333087	0.0217595	0.0498897
la	0.0394861	0.0384362	0.0179409	0.0191732	0.0174924	0.00995184	0.0114634	0.00904731	0.0122638	0.0118508	0.0310892	0.0292259	0.0381227	0.0542231	0.0549108	0.0679676	0.0775314	0.0388309	0.0315881	0.0371891	0.035564	0.020776	0.0213964	0.0236313	0.0271029	0.0274741	0.0224233	0.0170586	0.0329088	0.0254832	0.0315455	0.0230325	0.0438189
cuisine	0.0146365	0.0158622	0.00950716	0.00856222	0.0106083	0.0162948	0.0123677	0.00981977	0.0130316	0.0170913	0.0440762	0.0539735	0.109723	0.106012	0.108069	0.0883525	0.0886081	0.0495473	0.0321368	0.0390569	0.0358821	0.0231326	0.0104917	0.0154402	0.00844018	0.0150295	0.0130233	0.0078083	0.00817768	0.00343415	0.00428249	0.00301277	0.00450789
de	0.117783	0.0678729	0.044014	0.0297111	0.0197077	0.0184049	0.0189662	0.018114	0.0352255	0.00783704	0.012331	0.0037586	0.00746768	0.0038562	0.00579426	0.0134539	0.010317	0.0230321	0.029197	0.0253523	0.021267	0.0317751	0.0339017	0.0317845	0.0420918	0.0708002	0.049383	0.0241785	0.0566283	0.0357464	0.0310125	0.0404134	0.0188215
leur	0.0728432	0.047402	0.0306614	0.0294119	0.0297078	0.0151209	0.021493	0.0174946	0.0309676	0.0115678	0.0232741	0.00592431	0.0104468	0.00491139	0.0120511	0.0251898	0.0250811	0.0210253	0.0289053	0.021526	0.0174959	0.0204527	0.0283157	0.0231833	0.0336257	0.0328867	0.027521	0.0332527	0.0799162	0.0601202	0.0447978	0.0615122	0.0519144
grand-mère	0.0662779	0.0367398	0.0293869	0.0256995	0.0298323	0.0152413	0.0211569	0.0129584	0.0269242	0.0127655	0.0255911	0.00865587	0.0153273	0.00628132	0.012264	0.0266797	0.0328567	0.0422817	0.0589065	0.0274825	0.0346671	0.0358052	0.0220134	0.0349375	0.0320548	0.02435	0.0173223	0.0185321	0.0620831	0.0537287	0.0573808	0.0382371	0.0355784
</S>	0.0808749	0.0254956	0.0105365	0.00642866	0.00475214	0.00202052	0.00255436	0.00271078	0.00590716	0.00116922	0.00244429	0.000977442	0.00164139	0.00141788	0.00287324	0.00914545	0.00923164	0.0134788	0.0177354	0.0255851	0.0385603	0.0515006	0.0535254	0.0390803	0.0634182	0.038264	0.0332189	0.0436781	0.116894	0.0806208	0.0549084	0.0616681	0.0976819
