 	a85	a87	a23	a79	a4	a57	a9	a53	a44	a96	a61	a96	a56	a44	a34	a75	a85	a44	a26	a38	a90	a25	a85	a47	a36	a2	a57	a82	a79	a4	a13	a61	a66	a9	a40	a75	a47	a44	a79	a70	a62	a0	a66	a13	a99	a87	a23	a87	</S>
un	0.0205049	0.0197006	0.0265086	0.0281705	0.0155395	0.0167128	0.0123208	0.0284128	0.00991011	0.0141119	0.020168	0.0254702	0.0339411	0.0770747	0.0717348	0.0644119	0.061493	0.0146905	0.0219775	0.00830591	0.0127173	0.0158493	0.0106062	0.00639318	0.00733874	0.00665679	0.00674098	0.00919852	0.0129756	0.0195582	0.0132659	0.0125507	0.0212662	0.0186161	0.0220009	0.0204765	0.0145277	0.0109693	0.0110135	0.0118656	0.0118707	0.0147767	0.017287	0.0137701	0.0113004	0.0118444	0.0175986	0.0122866	0.0335182
malade	0.00343101	0.00618817	0.0114528	0.0220786	0.0308109	0.065614	0.190147	0.0828935	0.0892831	0.0258835	0.14114	0.0587712	0.012874	0.0238705	0.0136118	0.0161635	0.0265332	0.012356	0.0116841	0.0130768	0.011623	0.0139104	0.00827628	0.00975315	0.00771416	0.00933476	0.00852857	0.00852728	0.00659919	0.00790467	0.00591513	0.0071467	0.00289048	0.0021733	0.00323103	0.00222146	0.00413165	0.00203777	0.00473057	0.00189531	0.00165255	0.000869061	0.000776248	0.000973607	0.0012891	0.00100797	0.0018493	0.00208532	0.00308799
qui	0.024732	0.020802	0.0183571	0.023523	0.0155139	0.0211411	0.0124306	0.016708	0.025001	0.0461005	0.0330714	0.0478119	0.061164	0.0326846	0.0197052	0.0308121	0.0274468	0.0409975	0.0304184	0.0190253	0.0274517	0.0242509	0.0348138	0.0223113	0.0429453	0.0686513	0.0305106	0.0289966	0.0254464	0.00774414	0.00491705	0.00567059	0.00253938	0.0033029	0.00215683	0.00246412	0.00267528	0.00290717	0.00322593	0.00368537	0.00378164	0.00337054	0.0070114	0.00702571	0.00808916	0.0184579	0.0147469	0.0103821	0.0130216
a	0.0526697	0.0265572	0.0128482	0.018042	0.0131682	0.00989699	0.00554376	0.00764452	0.0094826	0.021769	0.0135784	0.0273671	0.038107	0.0213162	0.0168027	0.0119751	0.00803631	0.01735	0.0115807	0.0116143	0.0157324	0.0160494	0.015656	0.0152028	0.0167942	0.0119702	0.00730497	0.0105198	0.0104929	0.00855172	0.0151738	0.0185846	0.0125481	0.0144284	0.0123548	0.0101583	0.00901886	0.0137787	0.0086738	0.00892031	0.0117288	0.0147319	0.0154378	0.036999	0.0381413	0.0451888	0.0375447	0.063058	0.129906
des	0.0356712	0.0179138	0.0103361	0.0162057	0.0198646	0.0148885	0.00672816	0.00861022	0.00658201	0.0114445	0.0108953	0.020086	0.0149069	0.0183604	0.0159364	0.0158045	0.0230042	0.0365091	0.0239356	0.032126	0.0294534	0.0448828	0.0459935	0.0495172	0.0497258	0.0439104	0.0485607	0.0523403	0.0444664	0.0394402	0.032616	0.020334	0.0202645	0.0226482	0.012244	0.0126209	0.00748709	0.00473208	0.00206512	0.00292181	0.0015108	0.0019833	0.00177888	0.00383425	0.00657782	0.0036127	0.00732458	0.00567399	0.0216701
plaies	0.0261142	0.0248437	0.0156199	0.0216127	0.0261148	0.0233988	0.0127373	0.0122186	0.00648012	0.00953516	0.0129578	0.0174273	0.0120823	0.0111021	0.0129175	0.0121952	0.018154	0.0565411	0.0292309	0.0294713	0.0363654	0.0390867	0.050296	0.0435389	0.0492616	0.0292734	0.035904	0.0326425	0.0225873	0.0121982	0.00738697	0.00930004	0.00949061	0.0127402	0.0173142	0.0197294	0.0137374	0.00993563	0.00776315	0.0101716	0.00958486	0.00775107	0.0111682	0.0132729	0.0196757	0.0146738	0.0250846	0.0129766	0.0263346
a	0.0231956	0.0195954	0.0205556	0.0164252	0.00855744	0.00823041	0.00520018	0.00752384	0.00894224	0.00664445	0.010143	0.00796172	0.0109933	0.015277	0.0156328	0.0187846	0.0186843	0.0218736	0.0265981	0.013214	0.0286231	0.0335364	0.0266736	0.0173311	0.0169931	0.0106816	0.00964852	0.0133664	0.0139137	0.0195652	0.014208	0.0228093	0.0231677	0.0287355	0.0285717	0.0223627	0.0148389	0.0110437	0.0129057	0.0183216	0.0227717	0.0194209	0.0364351	0.0370942	0.0396631	0.0516816	0.0432877	0.0298209	0.0484948
besoin	0.0144882	0.0219182	0.0165655	0.015852	0.00846382	0.0104483	0.0087554	0.00517977	0.00549131	0.00508866	0.0115488	0.00882408	0.00957912	0.0113732	0.00990994	0.0117473	0.0199899	0.0319777	0.024335	0.0256256	0.02346	0.0273704	0.0289521	0.027156	0.0286347	0.0260679	0.0276561	0.039674	0.0383162	0.0331644	0.031859	0.0326964	0.0282767	0.0338131	0.0421393	0.0214282	0.0142396	0.0113459	0.00755683	0.0136214	0.0118874	0.0147038	0.0189313	0.0198021	0.0219901	0.0251612	0.0277485	0.0149222	0.0302633
d'	0.0148563	0.0185676	0.0153405	0.0145691	0.00946715	0.0110385	0.0109987	0.0106789	0.00884629	0.00754538	0.0127812	0.00910602	0.0104403	0.00986963	0.0107644	0.0087089	0.0112863	0.0177089	0.014602	0.0126502	0.013424	0.0146703	0.0119477	0.0108152	0.0125989	0.0144416	0.0107242	0.0142428	0.0134707	0.0121219	0.0110197	0.01244	0.0136313	0.017996	0.028015	0.0155635	0.0129866	0.0131662	0.0122398	0.0209676	0.0263355	0.0415389	0.0350038	0.0630496	0.0533517	0.0588426	0.0585509	0.0609039	0.0761135
un	0.0184552	0.0237851	0.0229935	0.0221307	0.016669	0.0194599	0.019734	0.0154865	0.00936646	0.00933839	0.0169747	0.0111987	0.0094513	0.0107907	0.0119075	0.0096702	0.0136003	0.0222525	0.0169005	0.0125458	0.0118621	0.0137083	0.0100398	0.00893822	0.0113093	0.0146752	0.0101161	0.0117143	0.0130101	0.0128246	0.0138117	0.012406	0.0153672	0.0183378	0.0240412	0.0102493	0.00890668	0.0104734	0.00980523	0.0166409	0.0183158	0.0294225	0.0252969	0.0565991	0.057726	0.0511631	0.0570368	0.0679933	0.0654983
