 	a4	a13	a57	a82	a10	a87	a23	a99	a38	a90	a25	a92	a21	a12	a75	a5	a61	a62	a88	a75	a21	a75	a92	a37	a90	a79	a56	a32	a24	a71	a9	a10	a87	a23	a87	</S>
mon	0.0930573	0.115477	0.107369	0.0641467	0.0598367	0.0413204	0.0569992	0.0227211	0.0135038	0.00775413	0.0111203	0.00887743	0.0068954	0.0114685	0.0053966	0.00797059	0.00445657	0.00509602	0.00493104	0.00463146	0.00480839	0.00578607	0.0108064	0.0212512	0.0190283	0.0331869	0.0266838	0.0273949	0.034654	0.020151	0.0266257	0.0170685	0.0292242	0.023477	0.0209113	0.0259131
beau	0.00712895	0.00993541	0.00892586	0.013349	0.0357243	0.048633	0.0702231	0.079773	0.0407824	0.0402845	0.0569961	0.0239975	0.0395607	0.0458282	0.0464673	0.0364998	0.038189	0.045275	0.0392549	0.0407993	0.0352014	0.032898	0.0388523	0.0312913	0.0286417	0.0215908	0.0136104	0.00235863	0.00372577	0.00185829	0.00259943	0.00315958	0.0037174	0.00465418	0.00416739	0.00404623
frère	0.0049316	0.00566834	0.0055109	0.00513944	0.00902698	0.0122977	0.0164021	0.025961	0.0245495	0.0436272	0.0564496	0.0308159	0.0349674	0.0442312	0.0195628	0.0358212	0.0437396	0.0616797	0.102196	0.136154	0.0857474	0.048788	0.070558	0.0262039	0.0119123	0.00537797	0.00308526	0.00117025	0.00168337	0.00131525	0.00192203	0.0030506	0.00542383	0.00653561	0.00389246	0.00460195
m'	0.0344943	0.0243328	0.0215046	0.0182918	0.0178189	0.0202544	0.0218562	0.0230397	0.0339592	0.0358588	0.0438734	0.0499415	0.0499506	0.0460303	0.0305052	0.0290034	0.0289937	0.042297	0.0538703	0.0507698	0.0436031	0.0284236	0.0196636	0.0126511	0.00967396	0.00544305	0.00634991	0.0039539	0.00499269	0.00623411	0.0121916	0.0144303	0.0272408	0.0319556	0.0401783	0.0563687
a	0.0471189	0.0307055	0.0375626	0.0446574	0.0472095	0.046246	0.0499873	0.0517365	0.0450306	0.0293424	0.0218355	0.040554	0.0416795	0.0438807	0.0702928	0.0409972	0.024195	0.0191694	0.0226098	0.0229264	0.0232957	0.017859	0.0185852	0.00758912	0.00694756	0.00888571	0.00741547	0.0109077	0.0113054	0.00680057	0.00842651	0.0104155	0.01423	0.0237105	0.0160337	0.0298553
apporté	0.0760343	0.0619506	0.0595903	0.0600832	0.0589334	0.0430399	0.0546893	0.0493187	0.0268601	0.0131556	0.00935004	0.012308	0.0100176	0.00740193	0.0061238	0.00543851	0.00405965	0.00442859	0.00459922	0.00969269	0.0106185	0.018192	0.025301	0.0302952	0.0200611	0.0246021	0.0164398	0.0104409	0.0114835	0.0102628	0.020258	0.0187729	0.0436523	0.0508806	0.0423948	0.0692692
un	0.0299531	0.0176021	0.016875	0.0147563	0.0202509	0.0159424	0.0190018	0.0152393	0.0110112	0.00818743	0.00821313	0.010321	0.0109985	0.0130701	0.0072129	0.00955336	0.00561174	0.00648215	0.00790905	0.0127705	0.0157456	0.0195168	0.0159306	0.0143129	0.0137772	0.0274797	0.0256655	0.0397276	0.0398226	0.0434672	0.0524822	0.0869468	0.055851	0.0930269	0.0620329	0.133253
paquet	0.0244315	0.0168073	0.0174295	0.02588	0.0414927	0.0356243	0.0420227	0.0456163	0.0414392	0.0264651	0.01946	0.028272	0.0250003	0.0435987	0.0225432	0.0394302	0.0348695	0.0462253	0.0441112	0.0426266	0.0506992	0.0407415	0.0487982	0.0365626	0.0171851	0.00815171	0.00635233	0.00486099	0.00570617	0.00567206	0.0102546	0.0131035	0.0170869	0.0271282	0.0189314	0.0254197
de	0.0761792	0.0563223	0.0492963	0.0443269	0.039177	0.0238576	0.0370121	0.0277625	0.0246414	0.00971933	0.0153287	0.00537422	0.00740532	0.0186798	0.0107231	0.0152762	0.00717602	0.00733385	0.00774797	0.00983712	0.00766078	0.00756454	0.0113323	0.0145791	0.0146848	0.0276813	0.0158708	0.0270518	0.0330982	0.036764	0.0420174	0.045203	0.0367152	0.0663311	0.0664072	0.0538617
lianes	0.0475537	0.0375381	0.0360251	0.0332444	0.0361889	0.0317938	0.0305159	0.0308874	0.0290019	0.0159454	0.0149027	0.00837506	0.013303	0.0207229	0.0195768	0.0227403	0.0168079	0.0134569	0.0114012	0.0115918	0.0106582	0.0091754	0.0148631	0.0174581	0.0198524	0.0186376	0.0168949	0.0222831	0.0266772	0.0381555	0.0423614	0.0536205	0.042793	0.065912	0.0680193	0.0510651
</S>	0.0513048	0.0564626	0.0609822	0.050055	0.0402778	0.0521724	0.0573734	0.0440008	0.0280092	0.0136922	0.0112085	0.0108308	0.0117688	0.0164838	0.0117357	0.0126863	0.00701915	0.00709711	0.00833728	0.008468	0.00659256	0.00770873	0.00946562	0.00825605	0.00736825	0.00859565	0.00717264	0.01178	0.0231802	0.0271355	0.0380337	0.0323675	0.0284055	0.0540745	0.0611357	0.108762
