 	a23	a83	a54	a6	a27	a11	a75	a25	a56	a75	a73	a37	a47	a6	a43	a11	a75	a85	a5	a31	a21	a85	a41	a61	a66	a90	a92	a61	a83	a18	a93	a66	a9	a87	a23	a87	a23	a97	a3	</S>
pendant	0.0613472	0.0727974	0.0515885	0.0384411	0.0218383	0.0435107	0.0353284	0.0487857	0.071489	0.0513171	0.064396	0.0305463	0.0192004	0.0141895	0.013641	0.0161281	0.0121664	0.0131455	0.014235	0.0189048	0.0188978	0.0281046	0.0205226	0.0175525	0.011621	0.015821	0.0169548	0.013949	0.0113121	0.0142758	0.0102397	0.00709202	0.00894025	0.00772479	0.00861123	0.0103937	0.010971	0.0122011	0.0109961	0.0308226
la	0.00863565	0.00716715	0.0102152	0.0111998	0.0131907	0.0213158	0.0282689	0.055149	0.110433	0.109801	0.128486	0.0866769	0.0460827	0.0327792	0.0290015	0.0313154	0.026232	0.0298405	0.02695	0.0173949	0.0266633	0.0193772	0.0247102	0.0143074	0.0143167	0.0136668	0.00410465	0.00222267	0.0011292	0.00306598	0.00244432	0.00198728	0.00277899	0.00293488	0.00330769	0.00541629	0.00513014	0.00750418	0.00791265	0.00688376
saison	0.0328488	0.0152608	0.0127079	0.0107748	0.018585	0.0120612	0.010024	0.00814374	0.009946	0.00887819	0.0298326	0.0208803	0.0260545	0.0522788	0.0547654	0.072068	0.0355865	0.0465224	0.0382585	0.0166342	0.0180898	0.0169645	0.0104784	0.00991085	0.0109244	0.00911362	0.0105902	0.00714697	0.0092348	0.0173505	0.0190998	0.0226239	0.0322621	0.0254791	0.0403216	0.0499592	0.0484294	0.057434	0.0294794	0.0229958
de	0.0319201	0.0126814	0.00633927	0.00699491	0.00553774	0.0101489	0.00858642	0.0112959	0.00946652	0.0136683	0.0199043	0.0263885	0.055748	0.0840887	0.0947887	0.125641	0.0724122	0.0732253	0.0835108	0.030984	0.0281107	0.0170834	0.0245594	0.0152269	0.0158278	0.00702518	0.00932694	0.00727291	0.0060114	0.00531305	0.00415498	0.0078283	0.00868069	0.00618449	0.00767417	0.0115327	0.0080967	0.00937704	0.00909296	0.00828891
grandes	0.0319347	0.0252919	0.0183893	0.0159267	0.0186634	0.0143603	0.0119963	0.0108946	0.0159848	0.0173036	0.0254714	0.0287058	0.0340579	0.0338914	0.0315552	0.043502	0.0268168	0.0279133	0.0361646	0.0557341	0.0642334	0.0400161	0.0472536	0.0570448	0.05833	0.0361397	0.0413745	0.0271883	0.0235334	0.0113327	0.00887452	0.00878252	0.00811652	0.00665748	0.00562071	0.00578312	0.00604037	0.0043847	0.00445523	0.0102802
pluies	0.0603884	0.0303865	0.0238408	0.0212989	0.0229544	0.0173156	0.0155151	0.0169673	0.0233527	0.0180253	0.0275778	0.029738	0.0208614	0.0189407	0.020652	0.0322311	0.0373236	0.0336922	0.0444638	0.0407772	0.0422068	0.0429937	0.0338832	0.0301857	0.0311011	0.0243546	0.0341493	0.0250812	0.0293587	0.0230472	0.0130389	0.0153508	0.0135713	0.00973917	0.0084218	0.018277	0.00724464	0.0105403	0.00722184	0.0239301
la	0.0535406	0.03999	0.036082	0.0236081	0.0179585	0.0262789	0.0212926	0.0302449	0.025624	0.0272858	0.0310594	0.0294151	0.0280807	0.0266082	0.023311	0.0261161	0.0354263	0.039439	0.0526829	0.0390658	0.0389731	0.041222	0.0409335	0.0173851	0.0197599	0.0182647	0.0238384	0.0182045	0.0153494	0.0196912	0.00952288	0.00952577	0.0118891	0.00866799	0.0116238	0.0136525	0.00994438	0.0108111	0.00665046	0.0209804
température	0.0369933	0.020411	0.0211969	0.0174076	0.0212931	0.0220583	0.0214391	0.0299636	0.0264277	0.0308786	0.0341523	0.0308064	0.0247869	0.0168887	0.0187543	0.0228966	0.0182265	0.0362741	0.0504841	0.0411335	0.0546926	0.063993	0.0525291	0.0292521	0.0298059	0.016698	0.0149189	0.00939975	0.00506274	0.0134626	0.0073205	0.00898845	0.0146153	0.0104109	0.0119379	0.0238388	0.0158254	0.0218971	0.018628	0.0342505
est	0.106502	0.0492163	0.0282896	0.021014	0.0226577	0.0276691	0.024518	0.0341234	0.025205	0.02483	0.0306928	0.0321869	0.0314096	0.017862	0.0145108	0.0160547	0.012077	0.0166136	0.0160891	0.0149941	0.0188232	0.0221417	0.0202325	0.011352	0.0113144	0.0132142	0.0137194	0.0105136	0.00709452	0.0173197	0.00721297	0.0136948	0.021952	0.0175547	0.0226563	0.0400818	0.0332815	0.038218	0.0412938	0.0518132
souvent	0.0361886	0.0222846	0.0192436	0.0146048	0.0147851	0.016223	0.0140245	0.0238238	0.0282994	0.0265072	0.0271897	0.0173994	0.015769	0.013355	0.00993741	0.0138745	0.0108068	0.0127234	0.015694	0.0211999	0.0239859	0.0292721	0.0256799	0.0175087	0.0230552	0.0204894	0.0259502	0.0196087	0.0206777	0.033903	0.0216327	0.0238141	0.0407974	0.027498	0.0299098	0.0544814	0.0351105	0.0397766	0.0353955	0.0775195
