 	a23	a66	a10	a87	a23	a61	a32	a75	a41	a94	a98	a76	a44	a2	a11	a75	a14	a35	a14	a73	a76	a73	a2	a40	a14	a73	a20	a41	a26	a24	a71	a53	a90	a94	a58	a38	a94	a43	a24	a9	a87	</S>
on	0.107086	0.0994283	0.0400808	0.0280483	0.0247763	0.0147341	0.0189388	0.013221	0.0113738	0.0124196	0.0200302	0.0150921	0.0175681	0.0157342	0.0238364	0.0130443	0.0167677	0.0180088	0.0127121	0.0140008	0.0126563	0.00803477	0.015505	0.0149776	0.0170253	0.0318359	0.0320693	0.0234291	0.0144934	0.0284937	0.0142865	0.0194955	0.0312874	0.0191568	0.0280869	0.0140421	0.0220574	0.0161353	0.0116687	0.0206682	0.0203618	0.0473313
ne	0.00436542	0.00388706	0.00596011	0.00472191	0.00519404	0.00845737	0.011215	0.0155409	0.0416225	0.0523495	0.068471	0.102882	0.149667	0.0479336	0.0497777	0.0426917	0.0244238	0.0213807	0.0313421	0.0117597	0.0104933	0.0141917	0.012602	0.0061844	0.010323	0.00609212	0.0089286	0.0180015	0.0281286	0.0242239	0.0216774	0.0121427	0.0109096	0.0148245	0.0100426	0.0107627	0.00823706	0.0170486	0.0150173	0.0111823	0.0115186	0.0138251
peut	0.0667595	0.0469815	0.0495972	0.0273646	0.0270025	0.0252834	0.0225853	0.0365863	0.0353951	0.0648592	0.0222625	0.0739873	0.0756535	0.0450024	0.0254069	0.0271095	0.00949684	0.0101157	0.00885858	0.00400789	0.00192574	0.00527903	0.00629964	0.00246619	0.00295032	0.00411739	0.00801486	0.00553963	0.0114344	0.00529915	0.00406981	0.00315632	0.00710518	0.00784568	0.0162964	0.0175292	0.0191962	0.0290594	0.0269287	0.0266693	0.0367183	0.0477834
pas	0.0279537	0.0308612	0.0433844	0.0477898	0.0432181	0.0572348	0.0420842	0.0702683	0.0588676	0.0522712	0.025562	0.0408867	0.0264308	0.0232231	0.0199749	0.0312694	0.0195873	0.0313332	0.0265685	0.0203195	0.0148195	0.0165092	0.0136377	0.0106372	0.00718134	0.00531552	0.00913132	0.0123309	0.0182665	0.0119699	0.0121855	0.00963652	0.0060472	0.00517588	0.00452438	0.00467166	0.00714769	0.00879594	0.0114989	0.0168018	0.0200528	0.034574
parler	0.0256133	0.0267093	0.0236364	0.0215029	0.0173227	0.0168605	0.0231171	0.019418	0.0271396	0.0197577	0.0201196	0.0351446	0.0296887	0.038837	0.0370006	0.072356	0.033938	0.0535104	0.066889	0.0437191	0.0485137	0.0453759	0.0177715	0.0261111	0.0221595	0.0163916	0.0226827	0.025812	0.020331	0.0165819	0.00850092	0.00383479	0.00309461	0.00305154	0.00350325	0.00436054	0.00679075	0.00789215	0.0110644	0.0104257	0.0140649	0.0094049
avec	0.0580271	0.0402467	0.0368124	0.0266019	0.0167992	0.0161634	0.0204259	0.00821086	0.0117732	0.00842295	0.00722221	0.014376	0.0130388	0.0174953	0.0334281	0.031429	0.0260888	0.0263437	0.0472807	0.0312337	0.0373322	0.0316373	0.0142098	0.0185804	0.0146905	0.0115095	0.014813	0.0187557	0.0168032	0.018168	0.0152958	0.0131285	0.00537701	0.00866413	0.0141496	0.0192988	0.0306207	0.0354242	0.0377174	0.0431825	0.0417915	0.0474302
lui	0.0369158	0.0264856	0.022978	0.017486	0.0153728	0.0142882	0.00875863	0.00609475	0.0119331	0.00613382	0.00379166	0.0258679	0.0230936	0.0239812	0.0269643	0.0305253	0.0252081	0.0266867	0.0361408	0.0282647	0.0324963	0.0391581	0.0159605	0.0226967	0.0156461	0.0136966	0.0187434	0.0268565	0.0206701	0.0374027	0.0397483	0.0389471	0.00973362	0.0177626	0.0149562	0.0222038	0.0290968	0.0275051	0.0269669	0.0416703	0.0391788	0.0319325
il	0.0276908	0.0250068	0.0291083	0.0369451	0.0420848	0.0269337	0.0227148	0.00719382	0.00805183	0.00265168	0.00359702	0.011474	0.0144364	0.018715	0.0306352	0.0215368	0.0242823	0.0271865	0.0354999	0.0333084	0.0402221	0.0309785	0.0287238	0.0449779	0.0301627	0.0246228	0.0226365	0.0253625	0.0190505	0.0239676	0.0309615	0.0302969	0.014143	0.023411	0.0162097	0.0172093	0.0130589	0.0124423	0.0151653	0.0211564	0.0271039	0.0390841
est	0.0224392	0.0210494	0.0248634	0.0380105	0.0516143	0.0225616	0.0160241	0.00552131	0.00443012	0.00238869	0.00262108	0.00528868	0.00711789	0.00738977	0.0169432	0.00600734	0.0129041	0.0123434	0.0134286	0.016939	0.0169636	0.017349	0.0197718	0.02292	0.0247098	0.0241314	0.0277686	0.0322335	0.0240312	0.0271676	0.037747	0.0415161	0.0324657	0.0341886	0.0326425	0.0334923	0.0171769	0.0226317	0.021307	0.0405373	0.0391017	0.100261
borné	0.0455497	0.0378298	0.0359345	0.0334474	0.0300749	0.0184615	0.0201657	0.0111772	0.00981292	0.00916553	0.00814079	0.00944338	0.00877897	0.0100562	0.0168688	0.0110309	0.0151395	0.0106478	0.0199195	0.0219651	0.0246424	0.0215514	0.0164452	0.0151936	0.0181974	0.0171154	0.0210422	0.023852	0.0201797	0.0280121	0.0229888	0.0253243	0.020903	0.0229549	0.0275238	0.0390608	0.0415179	0.0390155	0.0340471	0.0486398	0.0397761	0.0484064
