 	a82	a87	a23	a30	a4	a50	a62	a12	a4	a54	a56	a44	a70	a93	a4	a53	a15	a44	a93	a75	a6	a56	a70	a13	a11	a54	a7	a2	a84	a82	a57	a10	a87	a23	a87	</S>
dans	0.0251564	0.0227962	0.0444381	0.0370394	0.0430126	0.0548394	0.0489374	0.0331849	0.0534451	0.0487925	0.0325771	0.0187241	0.0190596	0.0189523	0.0121437	0.0152209	0.0255056	0.0392946	0.0259147	0.0325992	0.0212699	0.0219089	0.0132089	0.0100794	0.0187991	0.0209657	0.0253783	0.0264002	0.0256696	0.024819	0.026498	0.0206191	0.0141566	0.024631	0.016165	0.0377977
ce	0.0327456	0.0375416	0.0293327	0.0384196	0.0393673	0.0406085	0.0484334	0.0241215	0.0234082	0.0213271	0.0130769	0.0121423	0.0230338	0.0169008	0.0283128	0.0128501	0.0145925	0.0153304	0.0152439	0.013827	0.0143268	0.0151037	0.0143903	0.0172669	0.0196159	0.0290444	0.0361506	0.048779	0.045165	0.0332866	0.023708	0.0392262	0.0404442	0.0409722	0.0444708	0.0374334
village	0.032026	0.0150682	0.0154937	0.0201903	0.0453633	0.0245526	0.0201466	0.0280752	0.0271045	0.0575954	0.0626443	0.0920465	0.113056	0.0583486	0.0797737	0.039427	0.0188222	0.00781201	0.0207092	0.0148396	0.00603265	0.0108778	0.0107236	0.0129291	0.0114754	0.0171619	0.0233959	0.0186562	0.0214832	0.0094401	0.0168938	0.00627414	0.00696891	0.0068032	0.0107943	0.0169946
on	0.0582267	0.0336427	0.027127	0.0256931	0.0209502	0.0245598	0.034987	0.0289259	0.0408214	0.0567214	0.0250783	0.0493465	0.0588047	0.0272646	0.0529742	0.0214889	0.0135775	0.01939	0.0169889	0.014126	0.0159766	0.0207127	0.0185501	0.0299356	0.0288679	0.0224765	0.0195448	0.0101019	0.0109754	0.0154669	0.0225117	0.0202917	0.0205989	0.0164881	0.0287423	0.048064
parle	0.0449478	0.0248711	0.0259972	0.0325276	0.0355219	0.0243058	0.0265137	0.0318511	0.0465976	0.0580214	0.0444413	0.0669309	0.063123	0.0354032	0.037982	0.0261489	0.0158873	0.0162968	0.0288439	0.0177913	0.00907056	0.0115507	0.0102671	0.0124345	0.0119916	0.0130922	0.0161992	0.0218224	0.0275695	0.0230405	0.01637	0.0183436	0.0219322	0.0182668	0.0336002	0.0304451
mal	0.0309571	0.01951	0.0211614	0.0163252	0.0213063	0.0177373	0.0166058	0.0190736	0.0158008	0.0135008	0.00907874	0.0134116	0.0147236	0.00853896	0.0135318	0.012294	0.0114263	0.0150762	0.0264958	0.0227256	0.0235475	0.0341497	0.0415827	0.05611	0.0592061	0.0773667	0.0749999	0.0602941	0.0607854	0.0375493	0.0273965	0.0247975	0.0204654	0.0232167	0.0174016	0.0218501
de	0.020431	0.021724	0.0211283	0.0214109	0.0221699	0.022818	0.0222736	0.0178948	0.0194444	0.0232048	0.0143344	0.0129771	0.0199304	0.0124395	0.0184302	0.0137649	0.0156865	0.0171602	0.0243985	0.0182108	0.0218545	0.0243454	0.0294476	0.0341182	0.0460042	0.0465505	0.043621	0.0427613	0.0482413	0.0459787	0.0368023	0.0421667	0.0412077	0.041035	0.0345329	0.0415004
ngala	0.0286969	0.0312453	0.029621	0.0375167	0.0401058	0.0401152	0.0452875	0.032461	0.0498933	0.0548782	0.0448286	0.0208802	0.0208948	0.0112199	0.00888931	0.00954188	0.00723609	0.00977716	0.00819037	0.00686758	0.00813115	0.00885865	0.00978879	0.00968077	0.0116415	0.0141931	0.0177784	0.0247751	0.0329979	0.0489955	0.0348576	0.0588521	0.0570861	0.0389849	0.0427041	0.0425274
parce	0.0241378	0.0260391	0.0184448	0.0188769	0.0183893	0.017446	0.0212391	0.0167148	0.0230874	0.0269581	0.018021	0.015312	0.0152111	0.0115071	0.00792833	0.0103007	0.0121465	0.0156348	0.0122609	0.0119846	0.0151144	0.0138965	0.0124007	0.00899377	0.0151775	0.0260437	0.0296915	0.0298019	0.0425411	0.0666953	0.0390429	0.0660197	0.0789211	0.0456702	0.0618628	0.106486
qu'	0.0474075	0.0470345	0.0503457	0.0380035	0.0316966	0.0191874	0.0229869	0.00961783	0.0266984	0.0347591	0.0157039	0.0126491	0.0179107	0.00884799	0.0107596	0.0119819	0.0136146	0.0160448	0.0136324	0.0117792	0.0180264	0.0129262	0.0105016	0.0124257	0.01473	0.0365173	0.0321916	0.028088	0.030433	0.0371845	0.0331133	0.0407295	0.0518425	0.0370723	0.0582788	0.0852774
