 	a66	a87	a23	a99	a71	a38	a24	a11	a12	a96	a70	a18	a50	a0	a24	a50	a88	a62	a90	a96	a88	a71	a38	a70	a4	a13	a57	a38	a82	a25	a10	a87	a23	a87	a23	a87	</S>
nous	0.091136	0.0931256	0.0695297	0.0259179	0.0306289	0.040092	0.0399212	0.0302861	0.0167431	0.0220329	0.0235027	0.0157123	0.00942804	0.00753147	0.00857678	0.00836608	0.00696922	0.00374313	0.00575094	0.0113311	0.00486265	0.0131452	0.00775406	0.00891506	0.0127547	0.00837915	0.010485	0.00937551	0.0581854	0.0393239	0.0450401	0.042233	0.0312769	0.026062	0.0339517	0.0235624	0.0643681
sommes	0.0298686	0.017001	0.0389073	0.0363555	0.0302482	0.0193453	0.0191211	0.0180275	0.0120842	0.0191357	0.0216171	0.0213165	0.0189287	0.0374627	0.0310251	0.0298659	0.0418168	0.0276572	0.0439156	0.0576299	0.041533	0.0395731	0.0193146	0.0224951	0.0128629	0.0189807	0.0153649	0.0117315	0.0158416	0.0467149	0.0269003	0.0273151	0.0256801	0.0283666	0.0324098	0.0245578	0.0190281
tombés	0.01482	0.0127827	0.0143846	0.0240415	0.0263149	0.0166797	0.0177123	0.0201597	0.0181299	0.017485	0.0163272	0.0198546	0.0209983	0.024779	0.0345106	0.0395503	0.0332542	0.0149555	0.0242377	0.0276464	0.0267226	0.031553	0.0194584	0.0260548	0.0340714	0.0315399	0.020835	0.0196392	0.0301744	0.0356526	0.0306872	0.0419303	0.0426569	0.0584765	0.0236781	0.0492001	0.0390457
d'	0.0858991	0.0311993	0.0360788	0.0216862	0.0171608	0.00940313	0.0113165	0.0183828	0.0119216	0.0190361	0.0130628	0.017818	0.0208126	0.00954318	0.00843097	0.0101898	0.0126974	0.0195481	0.0125154	0.0178933	0.0140447	0.0170014	0.0133032	0.0123009	0.00963296	0.0110347	0.014858	0.016486	0.0224117	0.0228279	0.0247783	0.0390228	0.0516455	0.0537799	0.0729765	0.0790501	0.12025
accord	0.0624156	0.0346663	0.0255236	0.020717	0.0132638	0.0248917	0.02428	0.031254	0.0268067	0.03099	0.0396749	0.0408427	0.0287708	0.0327092	0.0335737	0.0375201	0.031943	0.0369322	0.023086	0.0286274	0.0163207	0.0200063	0.0114922	0.012666	0.013984	0.0165665	0.013479	0.0151837	0.0165482	0.0204559	0.0162301	0.020166	0.0239165	0.0396824	0.0357428	0.0427731	0.036298
pour	0.0638527	0.0544942	0.044487	0.0385975	0.0299534	0.0407162	0.0474556	0.0461035	0.0388315	0.0351353	0.0343821	0.0327798	0.0243088	0.0152581	0.019785	0.0136188	0.0161402	0.0136123	0.0112101	0.0123014	0.00924391	0.0123746	0.00871443	0.00813347	0.00891696	0.00892224	0.0124272	0.0131067	0.0185282	0.0172033	0.018186	0.025685	0.0315719	0.0324032	0.0365766	0.0413433	0.0636391
partir	0.0576953	0.0472382	0.0430839	0.0246571	0.0225601	0.024583	0.0309162	0.0174004	0.0116575	0.0102869	0.00816944	0.00784448	0.00843919	0.0094584	0.0100038	0.00463524	0.00839572	0.00703177	0.00543125	0.0069781	0.00397111	0.00562577	0.00349655	0.00385601	0.00472135	0.00747004	0.0161474	0.0131808	0.029254	0.0332622	0.0306037	0.0513812	0.060208	0.102463	0.0731654	0.103339	0.0913881
à	0.0383432	0.0347136	0.0237888	0.0163979	0.0156803	0.0179196	0.0260207	0.0151608	0.0103735	0.0103475	0.00918472	0.00895387	0.0128466	0.0162609	0.0180937	0.00902224	0.013691	0.01886	0.0145332	0.022258	0.015698	0.0249954	0.0161481	0.0171886	0.0180011	0.015815	0.0198666	0.0185346	0.0348531	0.0456179	0.0535326	0.0491696	0.0449293	0.0706947	0.0429331	0.072845	0.0867275
la	0.0438375	0.0278584	0.0198723	0.0136939	0.0116379	0.0124466	0.0193801	0.0137262	0.0115671	0.0118189	0.0120899	0.0125479	0.0160339	0.0260461	0.019247	0.0116189	0.0200941	0.0299506	0.021097	0.029306	0.0207656	0.0277378	0.0184995	0.0208632	0.0195697	0.0233522	0.0225224	0.0235793	0.0284405	0.0479372	0.0434877	0.0373331	0.030342	0.0666804	0.0343506	0.0442611	0.106407
pêche	0.0498194	0.0233329	0.0114786	0.0104652	0.00676135	0.00948498	0.0160346	0.017738	0.0199816	0.0175839	0.0197744	0.0216233	0.0240161	0.0253212	0.0231861	0.0164013	0.0241513	0.0266508	0.0192099	0.0233371	0.0176915	0.0233185	0.0167543	0.0195115	0.0203932	0.0285456	0.0355312	0.0370487	0.0366532	0.0371917	0.0346348	0.035308	0.0354452	0.0685956	0.0395089	0.0488239	0.0586922
</S>	0.0250237	0.00957904	0.00507151	0.00345581	0.00255387	0.00294907	0.00744101	0.00618864	0.00622474	0.00530251	0.00563255	0.00652049	0.0104692	0.00500743	0.00464899	0.00315764	0.00549655	0.00745775	0.00453595	0.00615452	0.00586005	0.00927625	0.0068731	0.00751832	0.00780917	0.0140791	0.0321461	0.0452315	0.1007	0.0856896	0.0871286	0.0986311	0.108852	0.111588	0.0629163	0.0428891	0.0399406
