 	a66	a82	a97	a99	a97	a87	a23	a99	a40	a79	a44	a75	a92	a85	a47	a37	a56	a34	a96	a90	a98	a85	a6	a0	a75	a47	a88	a75	a6	a7	a26	a82	a87	a23	a99	a97	</S>
les	0.0452866	0.0515554	0.0242521	0.0184004	0.0216365	0.0186783	0.0116354	0.0125682	0.0342396	0.0450056	0.107028	0.102558	0.0225431	0.0243083	0.010706	0.0140621	0.0162131	0.0150478	0.0131669	0.020607	0.00922478	0.0147269	0.0103371	0.0275783	0.0283721	0.0159307	0.0344962	0.0211639	0.0200619	0.0212634	0.0221713	0.0137221	0.0177247	0.019349	0.0245667	0.0313103	0.0385025
chefs	0.003314	0.00408692	0.00313462	0.00223035	0.00531203	0.00600223	0.00911666	0.0131077	0.0229012	0.0304531	0.0783559	0.0811793	0.0921822	0.151309	0.108766	0.117824	0.123875	0.0660625	0.021858	0.0105905	0.00757722	0.00403519	0.00254287	0.00171917	0.00108203	0.000868548	0.00162833	0.00103557	0.00220564	0.00196636	0.00265121	0.00235845	0.00120714	0.00403236	0.00333365	0.0078003	0.00229383
traditionnels	0.0414667	0.0342472	0.0200655	0.014782	0.0253673	0.0265201	0.0645045	0.0552114	0.0560857	0.0615916	0.0475012	0.0490825	0.0568472	0.0321089	0.0585425	0.0307021	0.0339365	0.061035	0.0232971	0.0169512	0.0259559	0.0118667	0.00853824	0.00327284	0.00540484	0.0023642	0.00660121	0.00316909	0.00843117	0.00713017	0.0089063	0.0129961	0.00670863	0.0248446	0.0213294	0.0239761	0.00865824
de	0.031397	0.0139781	0.00674677	0.00506968	0.00359313	0.00279564	0.00294637	0.00277954	0.0086831	0.01718	0.0220032	0.0186014	0.01491	0.00717889	0.0134135	0.0105023	0.0237165	0.0355532	0.0221572	0.0234535	0.0458512	0.0337323	0.0276209	0.0194906	0.0189266	0.0244226	0.0400609	0.0412453	0.03563	0.0448007	0.0462076	0.050858	0.0600854	0.0607487	0.0547496	0.05627	0.0526408
boundji	0.0313667	0.0175896	0.0092708	0.00855593	0.00683356	0.00734871	0.00937816	0.0128466	0.0197961	0.0162348	0.0202836	0.0176675	0.0215767	0.0214816	0.0279272	0.0148439	0.0161179	0.0549029	0.0344086	0.0490336	0.0661908	0.0413339	0.0306967	0.019211	0.0218806	0.0172149	0.0249974	0.0164465	0.0283306	0.0281651	0.026869	0.0300632	0.0500049	0.0619379	0.0403825	0.0349746	0.043836
sont	0.0708821	0.0571484	0.0344798	0.0258171	0.0225405	0.027417	0.0308057	0.0337773	0.0360169	0.0352408	0.0180743	0.0128214	0.0160339	0.0166237	0.0157558	0.00806946	0.0127397	0.0343707	0.0268347	0.0534011	0.0480397	0.0240503	0.0234706	0.0253007	0.0222518	0.00702938	0.0211742	0.00692042	0.0225811	0.0142396	0.0165354	0.020835	0.0168872	0.0539899	0.0381763	0.0334299	0.0162381
en	0.0560651	0.0546531	0.0395482	0.0185735	0.0233225	0.0235089	0.0338208	0.0257491	0.0350484	0.0273671	0.0138973	0.0181986	0.0114772	0.0142153	0.0104834	0.00935113	0.0172641	0.0297269	0.0388507	0.0535716	0.0435684	0.0378908	0.0426553	0.02672	0.0181203	0.0119312	0.0212639	0.00992022	0.0204608	0.017668	0.0167387	0.0157232	0.0153344	0.0449665	0.0319864	0.0498043	0.0205546
train	0.0309287	0.0266928	0.0178414	0.0104482	0.0116695	0.0129317	0.019738	0.0187197	0.0329486	0.0228759	0.0214786	0.0179516	0.0159413	0.0139654	0.00823093	0.00775172	0.00909204	0.0114853	0.0146062	0.0252237	0.0267308	0.0217129	0.0237332	0.0166299	0.0215549	0.0262591	0.0491937	0.0287074	0.0397043	0.0454012	0.0391942	0.0421378	0.0473212	0.0607963	0.0555954	0.059785	0.0450212
de	0.0354817	0.016374	0.00500892	0.00321727	0.0037394	0.00298819	0.00126633	0.00145149	0.00300485	0.00234899	0.00681578	0.0104761	0.00292537	0.0046872	0.00544401	0.00827845	0.0117907	0.00850219	0.0084717	0.0153135	0.0103686	0.0113787	0.0129939	0.0148802	0.0141875	0.0311423	0.0374841	0.0534134	0.0594053	0.0656622	0.0652815	0.0563564	0.078963	0.104477	0.0928586	0.0805697	0.0529913
chanter	0.0165458	0.0179289	0.0163718	0.011836	0.0109301	0.0105908	0.00836855	0.00599834	0.013828	0.0129626	0.0153474	0.027384	0.0157118	0.0123947	0.0107115	0.0144811	0.0318727	0.0638417	0.0511172	0.0673005	0.0443413	0.0575852	0.0652686	0.0561466	0.0423685	0.0303518	0.0285132	0.0183266	0.0302026	0.0229479	0.0249575	0.0129828	0.0171675	0.0361315	0.0250548	0.028073	0.0240569
l'	0.0158695	0.0155823	0.0154139	0.0107076	0.0108906	0.0113855	0.010501	0.0105854	0.0114986	0.00929035	0.00794009	0.0114042	0.00937504	0.00662784	0.00787929	0.00898757	0.0168536	0.0626568	0.0332954	0.0427784	0.0273013	0.0450983	0.0452028	0.0568349	0.0516762	0.0455766	0.0386909	0.0315511	0.0331592	0.0446993	0.0406286	0.0267846	0.0325929	0.0477277	0.0293713	0.0333475	0.0402339
hymne	0.0231627	0.0238605	0.021303	0.0132665	0.0160351	0.013803	0.00976215	0.00948512	0.0164044	0.0140121	0.0160363	0.0288736	0.00844602	0.00786332	0.00619906	0.0143485	0.0189606	0.0453427	0.0218835	0.0360348	0.0217121	0.0409009	0.0352192	0.0453619	0.0533708	0.0553352	0.0413679	0.0336218	0.034938	0.0381223	0.0403233	0.020506	0.0242823	0.0392574	0.0312415	0.031873	0.0474837
à	0.0418172	0.0343704	0.035242	0.0232368	0.031895	0.0250608	0.0111537	0.0103984	0.00809109	0.00537942	0.00331169	0.00491999	0.00587781	0.00695311	0.00808275	0.00719475	0.00909963	0.0130817	0.00933237	0.0107965	0.00846478	0.00847036	0.00894247	0.0181325	0.0264873	0.0371319	0.0257883	0.0309307	0.0360575	0.040268	0.036636	0.0343652	0.0612365	0.0579961	0.0683945	0.0824868	0.112916
la	0.094981	0.0642005	0.0629216	0.0437986	0.0522762	0.0432522	0.0222118	0.021149	0.0156841	0.00826423	0.00900293	0.0108278	0.0071217	0.00448903	0.00697319	0.0049846	0.00600266	0.0110062	0.00609938	0.00657452	0.00571885	0.00621845	0.00711255	0.0178554	0.0310999	0.0422531	0.0175463	0.0297838	0.0208359	0.0243019	0.0208531	0.0234163	0.0369483	0.0276582	0.0515448	0.0644084	0.0706234
sagesse	0.0229642	0.0202617	0.0155495	0.0123633	0.0144198	0.0113628	0.00880158	0.00791606	0.0149815	0.010589	0.0219385	0.0245961	0.00796289	0.0103328	0.00740221	0.00862721	0.0126229	0.0230303	0.0237787	0.0169419	0.0153491	0.0170727	0.0143829	0.0162104	0.0181318	0.0392729	0.0340044	0.0295392	0.0455136	0.0419973	0.045476	0.0294716	0.0452101	0.0665315	0.0699875	0.0870692	0.0883368
traditionnnelle	0.028006	0.0194081	0.0159604	0.0141054	0.0163166	0.0136805	0.00651038	0.00668802	0.0145715	0.0105296	0.0194182	0.0248224	0.00734949	0.0105157	0.00704886	0.00876487	0.0129723	0.0133503	0.0148362	0.0147195	0.0105711	0.0144446	0.0134906	0.0167804	0.0197431	0.0423191	0.0355425	0.0385771	0.0501284	0.0471012	0.0547472	0.0455937	0.0563265	0.0608913	0.0653137	0.0689411	0.0799143
</S>	0.0598298	0.0447984	0.0246637	0.015572	0.0221464	0.016011	0.00767099	0.00651342	0.0106182	0.00391319	0.00629348	0.00928279	0.00218757	0.00363482	0.00389179	0.00394143	0.00437581	0.0061149	0.00663987	0.00829607	0.00632299	0.010369	0.00916674	0.0128727	0.0151702	0.0362746	0.0298018	0.0383644	0.0429229	0.0449203	0.0561934	0.050165	0.0578451	0.0606664	0.0762123	0.0785127	0.107824
