 	a66	a10	a87	a23	a83	a62	a21	a12	a18	a75	a61	a12	a75	a21	a12	a24	a47	a31	a88	a47	a88	a0	a31	a21	a12	a18	a71	a3	a87	a23	a87	a23	a99	a97	a30	</S>
la	0.0433515	0.0350251	0.0483777	0.0179305	0.0200504	0.0205346	0.0241364	0.0186972	0.0174889	0.0198466	0.0211239	0.0226376	0.0218994	0.0165514	0.0225497	0.0202468	0.0145897	0.0144994	0.0116318	0.0162796	0.0139254	0.018935	0.0139122	0.0242506	0.0355699	0.0981862	0.0613234	0.041341	0.0344109	0.0334149	0.0234676	0.0222607	0.03286	0.0275762	0.0247077	0.04641
maison	0.00435046	0.0168505	0.0354886	0.0468973	0.0413278	0.0398178	0.0917159	0.14045	0.0969446	0.103573	0.0942475	0.0843785	0.0749989	0.0416716	0.0303882	0.00527938	0.00519053	0.00511223	0.00345642	0.00503146	0.00424658	0.00440067	0.00292823	0.00272199	0.00183372	0.00286747	0.00117922	0.00137693	0.000931207	0.000794045	0.00156453	0.0011284	0.000670062	0.00128346	0.00312603	0.001777
que	0.0278329	0.0426923	0.0593357	0.0540479	0.0827193	0.0931497	0.119317	0.143161	0.108355	0.0812644	0.0514351	0.030975	0.018913	0.0204016	0.0132838	0.00901748	0.00446478	0.00453084	0.00403549	0.00324039	0.0015724	0.00230134	0.00271235	0.00243636	0.00149878	0.0032262	0.00125646	0.000744208	0.0012698	0.00120105	0.00149937	0.000861198	0.00146104	0.00111265	0.00356981	0.00110462
tu	0.148218	0.130615	0.0789927	0.0713346	0.0237102	0.0319813	0.0317628	0.0299981	0.0219959	0.0158699	0.0242783	0.017341	0.0142402	0.0131413	0.012023	0.0118305	0.0074282	0.00621842	0.0109146	0.0065359	0.00727132	0.00572653	0.00865282	0.00933413	0.00569605	0.0100457	0.0181694	0.0107143	0.0105377	0.0146118	0.0207819	0.0247396	0.0200121	0.0318543	0.0367336	0.0566887
as	0.0508706	0.0451089	0.0205187	0.0298113	0.0179957	0.0236919	0.0156947	0.0253483	0.0395031	0.0401384	0.057126	0.0317948	0.0325208	0.0658523	0.0697913	0.0550434	0.0615416	0.04968	0.0427777	0.0210803	0.0107357	0.0128401	0.0110564	0.0087815	0.00690108	0.0120833	0.00831296	0.00850815	0.00681969	0.00994461	0.0117896	0.0133894	0.0130223	0.0159541	0.0364865	0.0174848
construite	0.0506659	0.0403225	0.0186977	0.0347402	0.0165346	0.0275919	0.0178181	0.0255666	0.0262677	0.0198214	0.0398018	0.0353432	0.0259496	0.0236897	0.0391101	0.0450042	0.0358118	0.0617025	0.0812932	0.0721552	0.0272555	0.0454932	0.0330299	0.0296527	0.0164791	0.0216801	0.0112318	0.00614146	0.00353175	0.00547112	0.00544128	0.00728542	0.00890742	0.00923428	0.0141425	0.0171345
a	0.0805775	0.0447011	0.0292594	0.0337366	0.026048	0.0291257	0.0340485	0.0324322	0.0396604	0.0288386	0.0363139	0.0268241	0.0221614	0.0415992	0.0267761	0.0268848	0.0170346	0.0207673	0.0168653	0.0234733	0.0150419	0.0168004	0.0151799	0.0151195	0.015798	0.023324	0.0317867	0.0226235	0.0272497	0.0263882	0.0209362	0.0208365	0.0355274	0.0269189	0.0221851	0.0271564
une	0.0398218	0.0228134	0.0155933	0.0110091	0.00880435	0.00724866	0.00589185	0.00689491	0.00686723	0.00799815	0.00955348	0.0101295	0.0117366	0.0127854	0.013452	0.0224595	0.0203209	0.0294906	0.038482	0.0318984	0.0333419	0.043209	0.0376319	0.040161	0.0394472	0.0380683	0.0630987	0.048366	0.0267587	0.0417947	0.0388603	0.0553733	0.0431827	0.0371984	0.0377098	0.0425472
courte	0.0330121	0.0175722	0.0105846	0.00862757	0.0112205	0.0129073	0.0130332	0.0176467	0.0257364	0.0277758	0.0327205	0.0315301	0.0297461	0.0343876	0.0289409	0.0500442	0.0295635	0.0311751	0.0352076	0.0247466	0.0181241	0.019819	0.0286218	0.0221918	0.0206484	0.0270683	0.0392382	0.032883	0.0248739	0.0281944	0.0390954	0.0441557	0.0288738	0.0356103	0.0566367	0.0277866
largeur	0.0291939	0.0252737	0.0208239	0.0188836	0.0178236	0.0174993	0.0191408	0.018029	0.0162452	0.0151676	0.0188348	0.017733	0.0178587	0.0192225	0.0165513	0.0158721	0.0134168	0.0192723	0.0196067	0.0231353	0.0127444	0.0212493	0.0192662	0.0209163	0.0273059	0.0263528	0.0493297	0.0316009	0.0183412	0.0202881	0.0461146	0.0519411	0.0513318	0.0592157	0.0725785	0.0918393
</S>	0.0183845	0.0169995	0.0155789	0.0134067	0.0150618	0.0162152	0.0181841	0.0229621	0.0247667	0.0226748	0.0242515	0.0194174	0.0184707	0.0187924	0.0203203	0.016113	0.0167519	0.0212805	0.0240536	0.0335197	0.025299	0.0314267	0.0339053	0.0300739	0.0444936	0.0320509	0.0488643	0.039562	0.0246422	0.0231301	0.0337446	0.0458292	0.0359383	0.0382585	0.0328992	0.0826769
