 	a66	a87	a23	a30	a93	a94	a43	a56	a93	a56	a62	a70	a90	a98	a56	a75	a92	a37	a21	a47	a62	a34	a56	a93	a70	a11	a93	a4	a13	a44	a54	a36	a2	a57	a87	a23	a99	a97	</S>
tu	0.0357194	0.058281	0.103826	0.0842429	0.0436659	0.0462111	0.0661416	0.0335752	0.0384728	0.0264906	0.017806	0.016025	0.0119139	0.0141347	0.0147153	0.0103421	0.0092969	0.00718668	0.00685353	0.00678538	0.00683944	0.00509416	0.00658808	0.00815726	0.00714073	0.00645211	0.00707473	0.00808221	0.0201087	0.027698	0.0275003	0.0342051	0.0294287	0.0297944	0.0264927	0.0243709	0.0214034	0.0166191	0.0352638
n'	0.0528044	0.0221808	0.011414	0.0126672	0.0255572	0.0301737	0.0274188	0.0179874	0.0328086	0.0402657	0.019069	0.0179582	0.0322957	0.0232007	0.0236062	0.0100443	0.0187582	0.0154849	0.0134213	0.030492	0.020607	0.0130991	0.0241229	0.0276727	0.0283862	0.0287074	0.032599	0.029537	0.0342847	0.0336365	0.0267973	0.0250871	0.0288881	0.0245485	0.0323948	0.0285596	0.0296183	0.0325491	0.0212963
es	0.0643475	0.0284787	0.0165122	0.0185111	0.0445598	0.0713425	0.0313277	0.033686	0.0339435	0.0496288	0.0211167	0.0160097	0.0308313	0.0165846	0.0123022	0.00415612	0.0109265	0.00670118	0.00374506	0.0123659	0.0106348	0.0085568	0.0056625	0.0119396	0.00445211	0.00555603	0.00332412	0.00389681	0.00884276	0.0167277	0.0225767	0.0271369	0.0411746	0.0436557	0.0386347	0.0458927	0.0456843	0.0631311	0.0654433
pas	0.079675	0.0877394	0.0651112	0.0406533	0.0235336	0.0304588	0.0213174	0.0195131	0.0145211	0.0133029	0.0150638	0.0104717	0.0201733	0.0174425	0.0168804	0.0116357	0.0182584	0.0132509	0.0158805	0.0262676	0.0138448	0.0161947	0.0223146	0.0135782	0.0130414	0.0171905	0.0218096	0.0223498	0.0239783	0.0196504	0.0165499	0.0104747	0.0247429	0.0230959	0.0298683	0.0244767	0.0284107	0.0322942	0.0649838
le	0.0484861	0.0306897	0.0292563	0.0266073	0.0295779	0.0305786	0.0310686	0.0345183	0.0279286	0.031876	0.0242762	0.0153442	0.0189444	0.011591	0.0117948	0.0108641	0.0116078	0.00619135	0.00555007	0.00680471	0.00586517	0.00534989	0.0170989	0.0150794	0.012338	0.0268324	0.0207727	0.0184428	0.059412	0.0297381	0.0212183	0.025504	0.0488304	0.0503533	0.0424234	0.0323609	0.040098	0.0343486	0.050378
seul	0.0271488	0.0180092	0.0185444	0.02077	0.0243691	0.0447942	0.0375513	0.0767854	0.0571074	0.0635506	0.0621229	0.0509842	0.0584533	0.0422622	0.0476586	0.0327679	0.0366461	0.0263542	0.0247373	0.0174972	0.00952164	0.00725334	0.00792309	0.00730042	0.00505955	0.00619483	0.00414921	0.00643124	0.00869293	0.0141535	0.0197302	0.0227608	0.014636	0.0160818	0.0143425	0.0141631	0.0108835	0.00959683	0.0130111
à	0.199947	0.056723	0.0375111	0.0268492	0.0201519	0.0169921	0.0174619	0.0119671	0.0109061	0.0134707	0.0133185	0.0177674	0.0163834	0.0115791	0.0112966	0.00561216	0.00698718	0.00731042	0.00478611	0.0087963	0.014541	0.0058499	0.0305152	0.0387658	0.0298131	0.0293851	0.033748	0.030566	0.0404565	0.0239255	0.0154416	0.0190272	0.0140849	0.0242221	0.0336539	0.0264783	0.02731	0.0282748	0.0181241
t'	0.0629839	0.0259076	0.0106421	0.00770187	0.00514095	0.00601786	0.00545158	0.00480984	0.00534103	0.00591915	0.00558514	0.00607211	0.0126964	0.0123714	0.0128819	0.00714079	0.0100506	0.00973141	0.00733044	0.0090314	0.0159721	0.0148215	0.0391728	0.0391249	0.0388617	0.04035	0.0716068	0.0559312	0.0477848	0.0434543	0.0329796	0.0329186	0.0377792	0.0479666	0.0630033	0.0418775	0.0441859	0.0423002	0.0171015
abriter	0.0510616	0.038003	0.0322176	0.0241584	0.0181975	0.0173091	0.0168546	0.01772	0.0159525	0.0166512	0.0203932	0.0191783	0.0208891	0.0176617	0.0175432	0.013475	0.0184036	0.0161978	0.0163607	0.0234942	0.0273712	0.0182984	0.0136583	0.0144659	0.0133165	0.0128436	0.016728	0.0113572	0.0108782	0.00880985	0.0131194	0.0244853	0.0427233	0.0439775	0.0438497	0.0657028	0.048489	0.0632229	0.0749805
de	0.0687398	0.0442274	0.0173997	0.0136715	0.0152185	0.0207394	0.0208378	0.0171862	0.0234285	0.0277707	0.0164374	0.0107769	0.0188426	0.0073966	0.00933799	0.00482181	0.010241	0.00384271	0.00610663	0.0155767	0.0120721	0.00506603	0.0085796	0.0125471	0.0131691	0.00915815	0.011068	0.0103512	0.0253114	0.0193696	0.0268716	0.0612356	0.0285268	0.0721856	0.0597989	0.0573876	0.0659803	0.0447128	0.0840085
