 	a23	a85	a87	a23	a79	a20	a94	a73	a0	a11	a31	a41	a36	a11	a75	a41	a18	a43	a24	a71	a76	a94	a76	a94	a38	a73	a2	a84	a90	a98	a0	a32	a54	a73	a84	a57	a87	</S>
elle	0.00809112	0.0191471	0.0288063	0.0253839	0.061911	0.072286	0.04616	0.146807	0.067655	0.0854223	0.109455	0.0294244	0.0339924	0.0406264	0.0353182	0.0218088	0.0253782	0.0112021	0.00932482	0.00867098	0.00845077	0.00585482	0.00470433	0.00211177	0.00175244	0.00336211	0.00202359	0.00441501	0.00527897	0.00570783	0.00398404	0.00580702	0.00635053	0.0093623	0.00770673	0.012059	0.0113829	0.0128138
cultive	0.00167873	0.00233017	0.00391212	0.00451961	0.00428843	0.0104893	0.0123269	0.0178147	0.0411642	0.0582527	0.0442247	0.0370345	0.0332599	0.0453943	0.0576001	0.0472855	0.0479199	0.0521537	0.049825	0.0503756	0.0281523	0.0361748	0.0402382	0.0382715	0.0246905	0.0182161	0.00801324	0.0104918	0.0143939	0.0139687	0.0121343	0.0112971	0.0168969	0.0169289	0.0195591	0.0240133	0.0262487	0.0184609
les	0.014305	0.0117112	0.0154627	0.0109747	0.0114064	0.0114151	0.0195495	0.0372551	0.0508192	0.0360537	0.0263319	0.0314491	0.0284275	0.0348174	0.0495319	0.0428785	0.0683822	0.0253802	0.0389913	0.0467611	0.0308018	0.0230757	0.0141491	0.00506177	0.00410781	0.003153	0.00307245	0.00498943	0.00723322	0.0106611	0.0181727	0.0243746	0.0274747	0.0599252	0.0550341	0.0381616	0.0206197	0.0380283
aubergine	0.0213048	0.0146266	0.0102982	0.0109874	0.0208179	0.0118041	0.0146597	0.0143349	0.0126231	0.0137677	0.0204167	0.0179587	0.0195849	0.0490585	0.0403185	0.0327551	0.027354	0.0159501	0.0185912	0.0166735	0.017454	0.0307994	0.0366798	0.0613571	0.0697206	0.140593	0.0693947	0.0342292	0.0284948	0.0189312	0.0170888	0.0244435	0.0136424	0.0116168	0.00814493	0.00419658	0.00299266	0.00633538
dans	0.025645	0.0241555	0.0173305	0.0176826	0.0199595	0.0151899	0.0169997	0.0196059	0.0208897	0.0421657	0.0323827	0.0195418	0.0288306	0.0693456	0.0366276	0.0219766	0.0110111	0.0244111	0.016845	0.00843883	0.00962078	0.0101941	0.0422019	0.0444407	0.0344021	0.0289605	0.0212748	0.0164149	0.0179742	0.0155909	0.013503	0.0252544	0.0159484	0.0222961	0.0280777	0.0403714	0.0239769	0.100462
son	0.0122769	0.0205191	0.0181252	0.0204574	0.0252951	0.0278075	0.0177405	0.0261707	0.042963	0.0837863	0.0783492	0.0176063	0.0395447	0.067914	0.0319138	0.0157599	0.0222602	0.0223314	0.018797	0.00714078	0.010398	0.00630487	0.0221461	0.0135798	0.0147305	0.0395614	0.0217262	0.0159375	0.0215554	0.0188911	0.012591	0.025755	0.0165195	0.0190237	0.0291117	0.0271206	0.0310591	0.0372295
jardin	0.00620207	0.0154597	0.0122174	0.0101715	0.00505014	0.00319929	0.00569636	0.00962333	0.00748494	0.0333402	0.0206155	0.0110841	0.0120233	0.018533	0.0147651	0.0306042	0.0206725	0.039287	0.0226144	0.018732	0.0245043	0.0354338	0.0210589	0.0360212	0.052103	0.0739802	0.0520826	0.0793574	0.0840457	0.0776367	0.0244757	0.0212249	0.0240083	0.0247157	0.0130687	0.0132182	0.0125185	0.0131698
de	0.0142737	0.0275636	0.0317418	0.0402592	0.0448704	0.0367089	0.0336223	0.0345223	0.0318213	0.0714132	0.0445207	0.0258467	0.0400278	0.0387661	0.0254161	0.0174703	0.0143872	0.0210405	0.0136741	0.00740266	0.0138863	0.00666101	0.010319	0.00290759	0.0022362	0.00837251	0.00380964	0.00504429	0.0066965	0.0124165	0.00686811	0.0222345	0.0115348	0.0167326	0.0161358	0.040919	0.103424	0.0944523
case	0.0194456	0.0056479	0.00648996	0.00468782	0.00558668	0.00422111	0.00630096	0.00497833	0.00334826	0.00516657	0.00362456	0.00344668	0.00418045	0.0151806	0.0101652	0.0103895	0.00732809	0.00651422	0.00878034	0.0100593	0.00478684	0.0100828	0.018869	0.0137655	0.00982633	0.0399916	0.0247973	0.0186203	0.0349202	0.0593016	0.0723959	0.101219	0.0905679	0.0914248	0.0524481	0.0750134	0.0744656	0.061962
</S>	0.014805	0.00879472	0.010379	0.00805199	0.0111479	0.00826634	0.00808581	0.0083722	0.00710348	0.0114278	0.00827826	0.0115988	0.0121885	0.016052	0.014997	0.0153217	0.008189	0.0147647	0.0116187	0.0104309	0.00621253	0.00842908	0.0105949	0.00717014	0.00574119	0.00824939	0.00701455	0.0105862	0.0224774	0.0608808	0.0588821	0.0497025	0.0688688	0.0499977	0.0555215	0.098196	0.115957	0.135645
