 	a66	a87	a79	a69	a40	a85	a6	a75	a56	a98	a85	a5	a12	a96	a54	a36	a26	a30	a97	a87	a23	a99	a97	a87	</S>
qui	0.0554648	0.114114	0.0969424	0.0976644	0.1259	0.0643203	0.0346053	0.0324768	0.0176056	0.00609583	0.00339235	0.00212094	0.00211471	0.00458827	0.00786508	0.0118378	0.0152467	0.0185588	0.0223147	0.0298061	0.0375607	0.0441288	0.052392	0.0450915	0.0577917
est	0.0340352	0.030473	0.0279883	0.021785	0.019089	0.0510781	0.048525	0.0628579	0.0494315	0.0451119	0.0371319	0.0371234	0.0287602	0.024922	0.0463351	0.0462536	0.0509109	0.0561649	0.0469402	0.0565163	0.0404185	0.0393178	0.0348908	0.0326327	0.0313066
ce	0.0355648	0.0433718	0.0444619	0.072012	0.089103	0.0504872	0.0233729	0.0170257	0.0196068	0.00964044	0.00400994	0.0084747	0.0116405	0.0207098	0.037181	0.0217766	0.0308586	0.0354423	0.0524935	0.0611524	0.0493708	0.0374769	0.0720165	0.0753179	0.0774322
qui	0.0225691	0.0142151	0.0211344	0.026077	0.0208708	0.0159267	0.0248735	0.0438051	0.046075	0.125083	0.081627	0.101323	0.0306768	0.117786	0.0601092	0.0925927	0.0376699	0.0264678	0.0230259	0.0172267	0.0170422	0.013922	0.00614555	0.00473358	0.00902232
a	0.0712432	0.0448109	0.0205464	0.0113068	0.0110346	0.00507093	0.0051912	0.00736616	0.00786711	0.00960959	0.00580007	0.0148868	0.00742563	0.0130016	0.0330585	0.0204454	0.029877	0.0376037	0.0484118	0.0883482	0.0892147	0.107946	0.106765	0.103649	0.0995197
affronté	0.0788102	0.0533905	0.0529474	0.0534965	0.0895844	0.0773131	0.0564593	0.0591923	0.0378028	0.0390656	0.0112073	0.0237376	0.0146247	0.0382664	0.0254979	0.0298185	0.0256593	0.0422865	0.0475073	0.0353788	0.0274135	0.0182466	0.0192291	0.0200877	0.0229768
le	0.088693	0.0715647	0.038447	0.0186211	0.014809	0.00668389	0.0026657	0.00346813	0.00471232	0.00331517	0.00573233	0.00704216	0.0130231	0.0205549	0.053762	0.0601136	0.109429	0.0712417	0.0786724	0.0769846	0.0679391	0.0483367	0.0446508	0.0458849	0.043653
chef	0.0913941	0.0742608	0.0296978	0.0148742	0.00967339	0.0042286	0.00256729	0.00371821	0.0041513	0.00522297	0.0112814	0.0121952	0.017978	0.0258331	0.0250407	0.032575	0.036569	0.035472	0.0466209	0.0523472	0.0632244	0.047376	0.0824967	0.104934	0.166267
traditionnel	0.0527974	0.03823	0.0206774	0.00986853	0.00351739	0.00157151	0.00109297	0.00267396	0.00331409	0.00309085	0.0050531	0.0087115	0.00818267	0.01133	0.0170387	0.0112913	0.0136875	0.0208674	0.0288608	0.0566645	0.0597701	0.0823497	0.142565	0.166623	0.23017
</S>	0.0578654	0.0376323	0.0175367	0.00851467	0.00259405	0.00194499	0.00157355	0.00228023	0.00274626	0.00427808	0.0111419	0.0222531	0.0214575	0.0227808	0.0432683	0.0198418	0.0235922	0.0231282	0.0267778	0.0410999	0.0473588	0.0575487	0.097935	0.146144	0.258706
