 	a66	a87	a23	a50	a83	a75	a5	a12	a61	a21	a12	a21	a85	a47	a36	a2	a53	a15	a47	a36	a7	a84	a57	a87	a23	a62	a34	a21	a5	a18	a0	a62	a34	a75	a92	a37	a93	a13	a93	a90	a20	a7	a84	a87	a23	a87	</S>
le	0.0717112	0.100025	0.0445674	0.0464016	0.0390445	0.0451627	0.0632315	0.0415928	0.0288131	0.0273614	0.0127468	0.00933511	0.00617594	0.00447509	0.0101241	0.00789194	0.00522314	0.00960153	0.00460202	0.00651169	0.00682479	0.012993	0.0119539	0.0118101	0.00884359	0.0076555	0.0122817	0.015676	0.0274314	0.0189386	0.014386	0.0330767	0.0305619	0.0180695	0.0114982	0.00939484	0.00887093	0.0132	0.0133254	0.032207	0.0217589	0.0154385	0.0149011	0.0160713	0.00653877	0.0102843	0.0114098
football	0.00102107	0.00181171	0.00452559	0.00317427	0.00255293	0.00234484	0.00655651	0.00502847	0.0180295	0.0381911	0.0838327	0.101141	0.088987	0.0265866	0.104048	0.0897227	0.0137931	0.065549	0.160744	0.031845	0.0135689	0.0122823	0.00585644	0.00590789	0.0238074	0.00898926	0.0120708	0.00841797	0.00971601	0.00831576	0.00590597	0.0044627	0.00227362	0.00410883	0.00450276	0.00194203	0.00271904	0.00113794	0.000687304	0.00184952	0.000716828	0.000808782	0.000877013	0.00100591	0.00172528	0.00486995	0.00198884
que	0.0450048	0.022023	0.0133916	0.030305	0.0190335	0.0208951	0.0355694	0.0268699	0.0263994	0.0390534	0.0469276	0.0536101	0.0513606	0.0341869	0.0866502	0.068587	0.0145564	0.0406859	0.0429524	0.0199083	0.0202227	0.0185856	0.0173767	0.0198954	0.0219367	0.020168	0.0190163	0.0120592	0.0109798	0.00689925	0.0143406	0.0108667	0.0124116	0.0107187	0.00451188	0.00378758	0.0063527	0.00465482	0.0037305	0.00386487	0.00188338	0.00230861	0.00419118	0.00175972	0.00324037	0.00310834	0.00315849
j'	0.0420296	0.0297352	0.0165926	0.0188448	0.0292594	0.0227397	0.024284	0.017408	0.0218138	0.0459512	0.0436017	0.050069	0.0388506	0.021076	0.0240489	0.0149239	0.0131752	0.0336786	0.0132203	0.0143641	0.0107137	0.0103213	0.0134548	0.0106367	0.0130843	0.0127648	0.0189782	0.0121621	0.00853527	0.00930491	0.0144351	0.00716288	0.00909513	0.0101968	0.0073265	0.00504147	0.0129755	0.0113576	0.00920153	0.0155446	0.0202088	0.025757	0.0318412	0.0293575	0.0355616	0.0450275	0.0542869
ai	0.0703015	0.0396322	0.0292395	0.0266419	0.0172193	0.0167599	0.0132469	0.010714	0.00767015	0.00995283	0.0117501	0.0146727	0.0106415	0.0231483	0.0308274	0.032048	0.0343783	0.0256171	0.0111384	0.0104576	0.0106282	0.0132223	0.016236	0.0121526	0.0123552	0.018044	0.0264892	0.0244958	0.0219952	0.0308789	0.0402118	0.0331644	0.0286481	0.0449267	0.0161551	0.0159211	0.0370479	0.0194625	0.0184631	0.0085726	0.0131461	0.0111671	0.021541	0.005839	0.0196311	0.01685	0.0166973
joué	0.0245618	0.0159146	0.0195362	0.00957931	0.00711207	0.00734804	0.00807367	0.00895198	0.00892328	0.0142565	0.0141445	0.0202939	0.0153152	0.0199035	0.0208052	0.016839	0.041303	0.0447721	0.0246903	0.0275117	0.032251	0.0479214	0.0425593	0.028667	0.024694	0.0224106	0.0244946	0.0256847	0.0244565	0.0190477	0.0185832	0.0231371	0.0335398	0.0329448	0.0234856	0.0158737	0.0363847	0.0217747	0.0218093	0.0151215	0.013692	0.00996573	0.0155968	0.00713736	0.0147687	0.0125081	0.0216542
hier	0.013816	0.0119481	0.0149368	0.00661872	0.00774028	0.00526963	0.00486928	0.00615136	0.00920846	0.0112654	0.0114867	0.0135724	0.0148672	0.0135247	0.00827853	0.0097004	0.0160531	0.0331168	0.0180976	0.0216065	0.0352394	0.0437777	0.0317374	0.050102	0.0242824	0.0206419	0.0378178	0.0309751	0.0253784	0.0169726	0.019476	0.0251759	0.0222777	0.0308204	0.0251619	0.0179534	0.0191961	0.023143	0.0154218	0.0259689	0.0266433	0.030472	0.0304482	0.0225139	0.0297408	0.0291163	0.0374177
a	0.0243349	0.0167268	0.0182635	0.0114333	0.0137289	0.0112877	0.0112096	0.0136762	0.0191411	0.0223856	0.0359774	0.0347625	0.0343493	0.0355167	0.0296646	0.0308467	0.0273111	0.0265072	0.0206617	0.0240449	0.0185147	0.0335441	0.034526	0.0452669	0.0279971	0.01756	0.0221294	0.02236	0.0233362	0.012664	0.0142547	0.0116655	0.0135686	0.0128224	0.0147627	0.00949964	0.0161119	0.0134752	0.0162985	0.0197947	0.0214917	0.0239839	0.0126277	0.0172298	0.0131494	0.0171625	0.0323731
réactivé	0.0285707	0.0332848	0.0375459	0.0224395	0.0217376	0.0178266	0.0146133	0.0119609	0.0175478	0.0162788	0.0206868	0.0164543	0.0164396	0.0208085	0.0274392	0.0368813	0.0447412	0.0419064	0.037638	0.0461055	0.0244322	0.0243259	0.0191174	0.014402	0.0113195	0.0105901	0.00965753	0.00914304	0.0113065	0.0090584	0.00905178	0.00828699	0.00937016	0.00858037	0.0107428	0.00974571	0.0169509	0.0148134	0.0186183	0.0319046	0.0263858	0.0318697	0.0220457	0.0262282	0.0278604	0.015191	0.0380949
ma	0.035391	0.0321889	0.0335286	0.0294213	0.0325705	0.0243122	0.0189849	0.0183412	0.0230937	0.0169341	0.0139312	0.0123279	0.0142327	0.0198937	0.0278776	0.0351973	0.0306079	0.0250578	0.0205905	0.0342536	0.0204681	0.0239633	0.0196334	0.0130879	0.00749184	0.00735188	0.00601128	0.0060962	0.00895914	0.00539758	0.00619311	0.00522929	0.00726124	0.00568562	0.00789666	0.00978791	0.017955	0.0147633	0.019765	0.0368769	0.0398638	0.0437279	0.0333856	0.0371285	0.0355293	0.0216238	0.0401299
maladie	0.0380466	0.0386138	0.0353146	0.0331839	0.0301433	0.0241592	0.0173552	0.0171722	0.0210603	0.0139838	0.0110109	0.00942399	0.0118486	0.0176898	0.0277844	0.0384452	0.0410324	0.03621	0.0228647	0.0328479	0.0217605	0.0290783	0.0281362	0.0228108	0.0153991	0.0131101	0.0106916	0.00989854	0.0144853	0.00982938	0.0120634	0.00970188	0.01545	0.0119427	0.0127463	0.0110667	0.0198066	0.0140824	0.0129386	0.0262355	0.0244345	0.0288313	0.0230061	0.0252964	0.0260371	0.0111476	0.0218222
</S>	0.06631	0.0604725	0.0424795	0.0388871	0.032966	0.0263278	0.0217627	0.0207098	0.0228459	0.01326	0.0113801	0.00935715	0.0112337	0.0150064	0.0191087	0.0211204	0.016059	0.0119042	0.00697495	0.0148451	0.0131288	0.0203202	0.0152862	0.0108438	0.00518123	0.00559965	0.00544981	0.00591555	0.00905714	0.00461793	0.00460425	0.00488737	0.00511183	0.004478	0.00499656	0.00901434	0.0205011	0.0197296	0.0218474	0.0548743	0.0526323	0.0518018	0.0371462	0.0526941	0.0264953	0.0196102	0.0311638
