 	a66	a38	a62	a31	a0	a31	a21	a56	a93	a75	a21	a56	a93	a4	a11	a90	a15	a20	a7	a84	a87	a23	a99	a97	</S>
le	0.0637282	0.0928373	0.0519424	0.0355954	0.0267177	0.0192577	0.0120808	0.0159487	0.00598537	0.010417	0.00650984	0.00528182	0.00431383	0.00490726	0.011303	0.0282262	0.0557042	0.0664396	0.0842722	0.0754326	0.0716942	0.0374288	0.0683209	0.0690362	0.0766187
tisserin	0.0322496	0.0309234	0.0251683	0.0168607	0.0608779	0.0255297	0.1279	0.0399195	0.0251539	0.0273194	0.0719869	0.0166062	0.0418841	0.0743366	0.100291	0.0760218	0.032746	0.0250803	0.0177463	0.0119801	0.00869989	0.0239859	0.0149526	0.0423844	0.0293953
à	0.0596849	0.0590722	0.052067	0.0355461	0.0319756	0.0331684	0.0209673	0.0242121	0.0221692	0.0186811	0.0303768	0.0180496	0.0487208	0.0695271	0.0692946	0.044086	0.0321082	0.0769956	0.0334982	0.0267712	0.0466306	0.0587705	0.0259845	0.0362152	0.0254272
ventre	0.027102	0.0160263	0.0191924	0.0181551	0.0221096	0.0339137	0.0256589	0.0145464	0.0122923	0.0263519	0.0229694	0.0178466	0.0729234	0.07743	0.123923	0.0606363	0.0376466	0.0429174	0.0468189	0.0465611	0.0500709	0.071613	0.028019	0.050927	0.0343494
noir	0.0677669	0.0563477	0.0673308	0.0602981	0.0640472	0.0731796	0.050866	0.0834374	0.0673739	0.0630111	0.0405345	0.0277909	0.0360479	0.0389135	0.0195646	0.012221	0.00492045	0.0100894	0.0150238	0.0188632	0.0177853	0.0210089	0.0146911	0.0198397	0.0490475
est	0.0540283	0.0390626	0.0375969	0.0310495	0.0288973	0.0276342	0.0260086	0.0249659	0.0302589	0.0266853	0.0242217	0.0168691	0.0141391	0.0148548	0.0175316	0.0452394	0.0218897	0.0453594	0.0507821	0.0534011	0.0734837	0.0626789	0.0574871	0.0518767	0.123998
un	0.0591499	0.0471314	0.0510423	0.0490263	0.0518517	0.0378432	0.0387337	0.0332992	0.0248754	0.0261471	0.0254559	0.0186874	0.021629	0.0257811	0.0296808	0.0410366	0.036134	0.0341797	0.0375314	0.0343302	0.0477386	0.0601984	0.0403012	0.0571707	0.0710449
bel	0.0745912	0.0582848	0.0610763	0.0406283	0.0339218	0.0188661	0.0172934	0.0200184	0.0102194	0.0073519	0.0060579	0.00707615	0.004731	0.00523006	0.00996247	0.021082	0.0290881	0.0367431	0.0464448	0.0496694	0.0594517	0.0948649	0.0633197	0.0964092	0.127618
oiseau	0.083817	0.0630317	0.0677845	0.0435863	0.0333062	0.0242292	0.0195562	0.0264578	0.0227052	0.028271	0.0285423	0.0206174	0.0218141	0.035142	0.0263732	0.0358612	0.0197477	0.0180245	0.0197506	0.0229675	0.0333732	0.0414009	0.035465	0.0585901	0.169585
</S>	0.0546295	0.0443871	0.0360111	0.0250217	0.0230455	0.0140019	0.0134148	0.0159689	0.0114114	0.010092	0.0107079	0.00688281	0.00991701	0.0106956	0.00945324	0.0315832	0.0219154	0.0381986	0.0545025	0.065052	0.0637287	0.056756	0.0844573	0.0651209	0.223045
