 	a23	a83	a50	a75	a14	a35	a43	a75	a35	a24	a32	a11	a10	a94	a35	a26	a24	a25	a40	a93	a90	a4	a13	a9	a87	a23	a10	</S>
l'	0.165109	0.107998	0.0553547	0.0360439	0.0384566	0.0264588	0.0183157	0.0113343	0.00845115	0.00961939	0.00890192	0.012966	0.0142616	0.034933	0.0250532	0.0161003	0.0150901	0.0216018	0.0136722	0.0161563	0.0209623	0.0286716	0.0215401	0.0416596	0.0655406	0.049305	0.0635501	0.0528928
oiseau	0.0166347	0.0240682	0.0296503	0.0756886	0.0638072	0.0783903	0.0619581	0.0462659	0.0486741	0.043295	0.0581076	0.0308941	0.044015	0.0250132	0.0273071	0.0182093	0.0266416	0.0224002	0.0378561	0.0253189	0.0161474	0.0171242	0.0196935	0.0144941	0.0201085	0.0183334	0.0287789	0.0611246
s'	0.0411271	0.0442676	0.0546612	0.0682219	0.0519686	0.0758497	0.0468993	0.0304525	0.0305714	0.0243152	0.025142	0.0415014	0.0776204	0.0412141	0.020848	0.0199786	0.00872341	0.0129162	0.00939452	0.0121463	0.00832875	0.0211565	0.025021	0.02743	0.0359411	0.0362944	0.0588951	0.0491137
est	0.0104381	0.00473762	0.00583797	0.00949428	0.00858202	0.0163185	0.0377124	0.0484925	0.0490852	0.062789	0.0654805	0.0388495	0.0552948	0.0435921	0.035848	0.0369447	0.0242907	0.0254274	0.0294483	0.0248186	0.020802	0.0184499	0.0340839	0.0260783	0.0515848	0.0570351	0.0733046	0.0851794
envolé	0.0539897	0.0571706	0.0444298	0.0441164	0.0374495	0.0348046	0.0660782	0.0756381	0.0604283	0.0367709	0.0387173	0.0493236	0.0336002	0.0558207	0.0337108	0.0330013	0.0280656	0.0302605	0.0290179	0.0252372	0.0209272	0.0130912	0.0230731	0.0163605	0.0165561	0.0151766	0.0146881	0.012496
loin	0.0618387	0.0767298	0.074009	0.0887809	0.131487	0.105204	0.0914909	0.0625633	0.0358038	0.0200541	0.0173024	0.0299446	0.0147948	0.0104755	0.0094598	0.00713568	0.00755324	0.0121868	0.0136321	0.0120255	0.0107948	0.0106865	0.0152793	0.0158495	0.0184584	0.0176562	0.0144332	0.0143697
dans	0.204501	0.109755	0.0961547	0.0363741	0.0181503	0.0149504	0.013683	0.00877137	0.0120703	0.0102421	0.0102947	0.0110657	0.00840213	0.00595285	0.0055398	0.00407678	0.00420386	0.0120115	0.0143109	0.0206796	0.0126662	0.0187812	0.0258165	0.0373938	0.0329252	0.0484055	0.0747049	0.128117
les	0.0795739	0.0549591	0.0594049	0.0392674	0.0391938	0.0304739	0.0268315	0.0277788	0.0442062	0.0267005	0.026734	0.0360835	0.0323681	0.0444024	0.0269056	0.0221114	0.0189512	0.0208006	0.0183939	0.0290258	0.0159735	0.0220623	0.0274721	0.0295207	0.0348774	0.0411449	0.0510577	0.0737249
air	0.0249565	0.0113802	0.0109597	0.0120416	0.0161127	0.0198711	0.0260199	0.0250187	0.0297484	0.0222561	0.023328	0.0519136	0.04123	0.077905	0.0513287	0.0458473	0.0428936	0.058626	0.0482501	0.0564775	0.0389413	0.0340449	0.0356271	0.0304165	0.0432107	0.0395932	0.0439836	0.0380182
</S>	0.0504079	0.0356483	0.0367387	0.0356294	0.0420279	0.0392039	0.0511699	0.0484073	0.0565664	0.0276074	0.0229795	0.0374561	0.036825	0.0349251	0.0308582	0.0261811	0.0187292	0.0360083	0.0258089	0.0207468	0.0319355	0.0250514	0.0241868	0.023467	0.0366264	0.0357634	0.0445501	0.0644941
