 	a15	a66	a87	a23	a40	a7	a54	a47	a37	a79	a44	a26	a54	a15	a25	a92	a98	a85	a6	a36	a21	a92	a79	a44	a75	a5	a12	a18	a82	a97	a87	a23	a99	a87	</S>
les	0.0506587	0.0652119	0.0475163	0.0642396	0.0455097	0.0547494	0.0752259	0.09505	0.0913809	0.0854919	0.0491642	0.0273876	0.0108271	0.0122546	0.006694	0.00605379	0.00649263	0.00926461	0.00765925	0.00466585	0.00673672	0.01043	0.00999767	0.0097694	0.010143	0.0109366	0.0104631	0.0145914	0.0119005	0.0129741	0.0100859	0.0111938	0.0160889	0.0114472	0.0277438
hommes	0.00350456	0.00489631	0.00497431	0.00716095	0.0151606	0.0290428	0.0237991	0.0579256	0.0520432	0.0346422	0.0510315	0.0858005	0.170685	0.0951109	0.0497199	0.0363114	0.060526	0.0516582	0.0274514	0.0221284	0.0206627	0.017033	0.00977091	0.015997	0.00869932	0.0172166	0.00647903	0.00359252	0.00349527	0.001672	0.00204435	0.00189521	0.00183748	0.00356517	0.00246645
sont	0.076597	0.0610092	0.0404132	0.0370957	0.0679623	0.0819297	0.0776351	0.1146	0.0546254	0.0239082	0.0594348	0.0337444	0.0302751	0.0347187	0.0192085	0.0190369	0.0140392	0.0149191	0.0116144	0.0149251	0.00912353	0.0054265	0.0064415	0.00523268	0.00730387	0.00914415	0.00535862	0.00503604	0.00436602	0.00574082	0.00655363	0.00894922	0.00826756	0.0141099	0.0112543
partis	0.0263395	0.0216035	0.0221287	0.0184099	0.0350595	0.0291111	0.0376078	0.0448741	0.0624589	0.0360214	0.0427668	0.0202174	0.0333346	0.0127419	0.0142914	0.0231398	0.0333572	0.0192978	0.0152625	0.0307571	0.0229797	0.0356973	0.0220861	0.0377571	0.0242525	0.0372963	0.0216201	0.0344841	0.0296352	0.0277557	0.0389568	0.0251476	0.0207681	0.0238826	0.0188996
chercher	0.134163	0.0421001	0.0395153	0.0409212	0.0439183	0.0224753	0.0216396	0.0274302	0.0452349	0.0371784	0.036194	0.0226915	0.011508	0.0101349	0.00839405	0.0132364	0.011292	0.0100639	0.00994036	0.017222	0.0102298	0.00744825	0.0127652	0.0199152	0.0255395	0.0402891	0.0151854	0.0322717	0.0235501	0.0290483	0.0446801	0.0219648	0.0209344	0.019415	0.07151
du	0.14713	0.0946429	0.0871681	0.0518011	0.0303651	0.030002	0.0242917	0.0236061	0.0307718	0.0376154	0.0428914	0.0216295	0.01333	0.0177529	0.0152596	0.0115075	0.00847252	0.00805465	0.00700746	0.00763521	0.00663233	0.0070083	0.0105014	0.0108858	0.0190584	0.0203955	0.0225281	0.0215372	0.0229174	0.021262	0.0306684	0.0232169	0.0213254	0.0177959	0.0333317
gravier	0.0557137	0.0329441	0.0357524	0.0274925	0.0249251	0.0353639	0.0368455	0.0467524	0.0454771	0.0889287	0.108331	0.0424062	0.0232846	0.0238667	0.044071	0.0179058	0.0155141	0.0181548	0.0149614	0.0112974	0.0158528	0.0132985	0.0126382	0.0156533	0.0213265	0.0219179	0.0247303	0.0188472	0.0164698	0.0128906	0.015105	0.0143942	0.0153889	0.0145329	0.0169651
au	0.102396	0.0558954	0.062053	0.0260059	0.0236493	0.0280155	0.0238077	0.0232404	0.020086	0.0125751	0.0172593	0.0208551	0.0109261	0.0132428	0.012638	0.0122017	0.0111225	0.0141547	0.00750537	0.0058639	0.00803434	0.00636587	0.00859838	0.00641113	0.0114884	0.0187118	0.0261372	0.0214564	0.0263972	0.0274864	0.0688648	0.0704392	0.0559653	0.0697117	0.0704381
fleuve	0.0592224	0.0293093	0.0372937	0.0200829	0.022241	0.023969	0.0167066	0.0223584	0.0289823	0.0163852	0.0287987	0.0213007	0.0126756	0.01367	0.00998423	0.0101137	0.0161239	0.0215798	0.0165395	0.0138939	0.0180901	0.0143706	0.0201448	0.0165181	0.0190479	0.0366868	0.0407601	0.0329305	0.0345594	0.0293109	0.0517904	0.05348	0.0555598	0.0682398	0.0672799
</S>	0.0415448	0.0248056	0.0192389	0.00914745	0.00763349	0.00821733	0.00567748	0.00554915	0.00733731	0.00685556	0.0103799	0.00739536	0.00739657	0.0052852	0.00378383	0.00418019	0.00510939	0.0095298	0.00692137	0.00447864	0.00800992	0.0116551	0.0145291	0.00937403	0.0218233	0.0247374	0.0421583	0.0199451	0.0421014	0.0505054	0.112042	0.139346	0.120424	0.109526	0.0733547
