 	a15	a66	a87	a23	a83	a54	a85	a5	a61	a75	a92	a37	a98	a79	a98	a47	a0	a75	a37	a44	a93	a44	a75	a21	a47	a31	a88	a38	a13	a99	a87	a23	a87	</S>
je	0.0337123	0.0450905	0.0319844	0.0311688	0.0346943	0.0356479	0.0278688	0.0179425	0.0231259	0.0206907	0.0313546	0.0294792	0.0302701	0.0236667	0.0114798	0.0105536	0.0194685	0.0255019	0.0313649	0.0406613	0.0594396	0.0430287	0.0367302	0.040861	0.022579	0.0265681	0.0229302	0.0265536	0.0189194	0.0324781	0.0264218	0.0307347	0.0202183	0.0368106
les	0.0294995	0.0158073	0.0128144	0.0166324	0.0149778	0.0185921	0.0350612	0.051776	0.0614007	0.0941639	0.0882274	0.105571	0.083448	0.0617977	0.0374061	0.0241616	0.0228739	0.0105242	0.0103316	0.00761891	0.00539811	0.00571074	0.00837633	0.0129783	0.0209047	0.0119154	0.0132752	0.0146157	0.0182481	0.0163712	0.0152847	0.0145536	0.0186197	0.0210622
suis	0.107037	0.0192275	0.016142	0.0191492	0.0138609	0.0200826	0.0223815	0.0268765	0.0134507	0.02341	0.029242	0.0254076	0.0288641	0.0619791	0.0663443	0.0442485	0.0264137	0.0131131	0.00824952	0.00909395	0.00740213	0.0060934	0.00703959	0.0183777	0.0155741	0.020375	0.0330961	0.0246921	0.0458701	0.037946	0.0599963	0.0224138	0.0548322	0.0517173
dans	0.0481587	0.0521047	0.0649167	0.0408776	0.0356091	0.0260719	0.00929792	0.00446244	0.00241925	0.00279973	0.00610306	0.0031063	0.0060709	0.0157513	0.028887	0.0501968	0.0358476	0.0536511	0.0674854	0.0560971	0.050536	0.0451855	0.0572316	0.0586508	0.0171468	0.0327223	0.0238395	0.0133639	0.0316213	0.0198487	0.0117451	0.00821162	0.00810728	0.0118751
le	0.0521404	0.0318888	0.0236513	0.0168354	0.0200001	0.0149235	0.007963	0.00762965	0.00589374	0.00469381	0.00612764	0.0042548	0.0050583	0.0107012	0.0123529	0.0131539	0.0114389	0.0161823	0.0208658	0.0186534	0.0333683	0.0263867	0.0520887	0.0415399	0.042707	0.0468454	0.0626511	0.0391641	0.0767629	0.0687754	0.0512733	0.0539333	0.0536729	0.046422
champ	0.0760259	0.040644	0.0351258	0.0192888	0.0194848	0.0216806	0.015964	0.0155911	0.012664	0.00861202	0.010386	0.00476207	0.00892181	0.025564	0.0353209	0.0526666	0.0400087	0.0507965	0.0524696	0.0479732	0.0524365	0.0425284	0.0527678	0.0487109	0.0512023	0.0432389	0.0315672	0.0137248	0.019389	0.017921	0.00981389	0.0083587	0.00660668	0.00778327
de	0.216039	0.0810943	0.0461813	0.0342549	0.0344101	0.0268578	0.013058	0.00987778	0.0113425	0.0139797	0.0280832	0.0329175	0.028945	0.0450997	0.0347164	0.0141815	0.0218336	0.00970472	0.0121639	0.0144389	0.0177997	0.0104133	0.00957362	0.01966	0.0134559	0.0327191	0.0458578	0.0134607	0.027001	0.0293545	0.0205135	0.0115906	0.00927404	0.0101459
canne	0.0522284	0.0190344	0.0126731	0.0082557	0.00737544	0.00826625	0.00401351	0.0028761	0.00309248	0.00381466	0.00835158	0.0130202	0.0145301	0.0208468	0.0318507	0.0141089	0.0123435	0.00851441	0.0135847	0.0167716	0.0216765	0.0148288	0.00972212	0.0409732	0.0365812	0.0694535	0.105376	0.0436851	0.0711184	0.065947	0.103555	0.0522909	0.0584109	0.0308287
à	0.0748887	0.0376015	0.0258039	0.0227311	0.0245142	0.0273747	0.010953	0.00601351	0.00450769	0.00744595	0.0134995	0.0162613	0.0216058	0.0234365	0.0219264	0.0147435	0.0185582	0.0155351	0.0216334	0.0300161	0.0254299	0.0192177	0.0128293	0.0283493	0.0242459	0.04075	0.0774874	0.0469694	0.0493318	0.0374676	0.0713242	0.05054	0.0369571	0.0400502
sucre	0.0495634	0.015411	0.00915637	0.00608055	0.00575537	0.00639926	0.00274485	0.00193656	0.00184333	0.00442117	0.0081423	0.00889378	0.00864706	0.0146408	0.0219821	0.0211909	0.0228901	0.0180954	0.0187666	0.0265055	0.0287233	0.0212455	0.0193175	0.0783481	0.0528799	0.0533719	0.0621054	0.047307	0.0589569	0.0493222	0.0856543	0.0685284	0.0550247	0.0461485
</S>	0.0460586	0.0369751	0.0281213	0.0212734	0.0225669	0.0208839	0.0113543	0.00976864	0.00964993	0.0223376	0.0277825	0.0367037	0.0163347	0.0145515	0.0165527	0.014601	0.0172528	0.0146252	0.0228072	0.0333421	0.0238737	0.0170579	0.0156679	0.0347149	0.0334803	0.0331555	0.04295	0.049759	0.0379907	0.0369435	0.0626312	0.062004	0.0449487	0.0612796
