 	a85	a66	a87	a23	a99	a53	a15	a79	a7	a62	a0	a24	a88	a9	a0	a62	a31	a0	a24	a9	a87	a23	a87	</S>
la	0.0686383	0.127894	0.15896	0.115658	0.113056	0.100092	0.0733682	0.0270836	0.0189111	0.01504	0.00563812	0.0047501	0.00518354	0.00533251	0.00995053	0.00833412	0.0121398	0.0102923	0.0245763	0.0140985	0.0179757	0.0194524	0.0125251	0.0310497
pluie	0.00293931	0.0127594	0.0555358	0.101943	0.116943	0.188309	0.221279	0.141764	0.0625742	0.0585211	0.0141988	0.00974997	0.00225186	0.00102715	0.00104761	0.00032564	0.000308416	0.00167029	0.000418336	0.00194018	0.000686103	0.00139023	0.00152105	0.000896475
a	0.0608616	0.113745	0.0795409	0.0812306	0.0919719	0.0451555	0.057468	0.0253978	0.0325519	0.0233301	0.0918609	0.0334229	0.0282682	0.0395213	0.0180872	0.0217557	0.0269792	0.0466959	0.0104983	0.0289882	0.0089936	0.00723173	0.0150339	0.0114096
fait	0.0105231	0.016434	0.0276772	0.0422559	0.0243409	0.0346045	0.0324737	0.0253729	0.023414	0.0151013	0.0499535	0.0529661	0.0410689	0.0574117	0.0468407	0.0729284	0.0669103	0.0804345	0.0621252	0.028097	0.0519649	0.0376478	0.0475441	0.0519092
couler	0.0179629	0.0125016	0.00839463	0.0078299	0.0180504	0.0132512	0.0121733	0.0257336	0.0281335	0.0634233	0.0503551	0.035984	0.0397016	0.0337835	0.0628682	0.0443546	0.0405954	0.0403996	0.048236	0.0603902	0.0888158	0.0622593	0.111216	0.0735862
beaucoup	0.0267908	0.00558016	0.00392729	0.00369962	0.00445727	0.00850218	0.00816348	0.0157238	0.0109616	0.0121047	0.0214587	0.0210037	0.0214191	0.0436817	0.0714021	0.0696861	0.0480048	0.098063	0.058633	0.0701844	0.0673191	0.0643501	0.0922639	0.152619
d'	0.035079	0.0123386	0.00784747	0.00818807	0.0111826	0.0231347	0.0165677	0.0182336	0.0100478	0.0085406	0.0136452	0.00746016	0.00847408	0.0149883	0.0327366	0.0419891	0.050722	0.109235	0.058576	0.14913	0.0768454	0.0748917	0.061957	0.14819
eau	0.024462	0.00942768	0.00721632	0.00688705	0.00676062	0.0110448	0.00687033	0.0129162	0.0106132	0.00921942	0.0166596	0.00715129	0.00684328	0.00861272	0.0199336	0.0172746	0.0349162	0.0898432	0.068155	0.209274	0.124865	0.102768	0.0961303	0.0921561
dans	0.00804545	0.00266267	0.00268727	0.00257609	0.00158824	0.00290445	0.00191581	0.00503563	0.00242805	0.0046309	0.00442955	0.00526312	0.00569886	0.00565685	0.0219167	0.00948274	0.0228232	0.0726406	0.113833	0.161071	0.149902	0.186041	0.141007	0.0657602
les	0.0243808	0.00889305	0.00684952	0.00447223	0.00393915	0.00836448	0.00586176	0.00998995	0.00689656	0.0159363	0.014294	0.0141151	0.0149866	0.016882	0.0427601	0.0325422	0.0400195	0.0613395	0.0923601	0.0875075	0.0819486	0.111805	0.0732843	0.220572
ruisseaux	0.0162033	0.00471579	0.00511374	0.00415233	0.00322902	0.00601719	0.00446228	0.00711656	0.00533747	0.011908	0.0101246	0.0105254	0.0161939	0.0238339	0.0536563	0.0478459	0.0456596	0.0752045	0.0584649	0.145925	0.109897	0.1172	0.103285	0.113929
</S>	0.0254591	0.0190955	0.0359524	0.0172126	0.0119895	0.0132698	0.00804598	0.00287868	0.00121558	0.00216917	0.00501323	0.00800583	0.0204037	0.0186915	0.027503	0.0411708	0.049487	0.0551408	0.054355	0.0900865	0.0754801	0.0888156	0.0982878	0.230271
