 	a23	a13	a90	a94	a25	a56	a15	a73	a44	a11	a75	a73	a36	a56	a90	a13	a53	a90	a15	a73	a44	a15	a56	a66	a9	a10	a87	</S>
notre	0.0512526	0.063871	0.0351505	0.0341135	0.0214888	0.0308432	0.0277755	0.021968	0.0335848	0.0635255	0.0736399	0.0735813	0.0381097	0.0477617	0.0247722	0.0122493	0.00647396	0.0132856	0.00824218	0.0160713	0.0397683	0.0463896	0.0373758	0.03682	0.0331644	0.0389303	0.0221449	0.0476462
oncle	0.00455912	0.00807944	0.019611	0.024808	0.0468129	0.0630545	0.0787281	0.0567573	0.0600754	0.0353054	0.0484141	0.0375116	0.0402125	0.04883	0.0673732	0.0520546	0.0647696	0.0728088	0.0389965	0.0168575	0.0207742	0.0131147	0.00610571	0.0097302	0.0114182	0.0190795	0.0110775	0.0230805
a	0.0294242	0.0461772	0.0393359	0.0368292	0.053569	0.036104	0.024881	0.0185875	0.0334125	0.0467629	0.0203159	0.0664609	0.0453319	0.0487027	0.0430535	0.021116	0.0163247	0.0137154	0.0251621	0.0298886	0.0240822	0.0301231	0.0435557	0.049919	0.0483028	0.0338	0.0473123	0.0277498
déjà	0.0188138	0.0181416	0.0165693	0.0136755	0.0212372	0.0104021	0.0227604	0.0275567	0.0289142	0.0241736	0.0387825	0.0277288	0.0450702	0.0423889	0.0695763	0.0820029	0.0972909	0.0339974	0.0353331	0.0184351	0.028921	0.0321959	0.0252514	0.0335145	0.0334662	0.0306469	0.0461477	0.0770058
construit	0.0679279	0.0358897	0.0295889	0.0400828	0.0216904	0.0217719	0.0209441	0.0159919	0.0204464	0.136831	0.0323333	0.0838673	0.0755758	0.0817338	0.0588625	0.0439251	0.0367551	0.0340668	0.0187811	0.0108909	0.0164369	0.018617	0.0133958	0.0132172	0.0112477	0.0117812	0.0139896	0.0133584
un	0.0851252	0.0673931	0.0450033	0.0474815	0.0305959	0.0465767	0.0422031	0.0281925	0.0180937	0.00568053	0.00926104	0.00589689	0.0119298	0.0127097	0.0133879	0.0103753	0.0104643	0.0166887	0.014028	0.017522	0.0279607	0.0389425	0.0443807	0.051348	0.0746343	0.053499	0.0564896	0.114136
barrage	0.0512407	0.0290579	0.025526	0.0308181	0.026745	0.0187839	0.0113911	0.0130344	0.0356343	0.0127241	0.0211247	0.0101363	0.0207663	0.0225632	0.0299897	0.0418115	0.0392697	0.0449649	0.0411038	0.0370115	0.0513984	0.0556966	0.0618489	0.0599259	0.0580815	0.0533701	0.0503455	0.0456363
à	0.0552429	0.0563767	0.0362189	0.0294542	0.0166918	0.0124466	0.00638942	0.00919498	0.0063698	0.003831	0.00978337	0.00434143	0.00928843	0.00995804	0.00810838	0.00690389	0.00778508	0.0122516	0.0164624	0.0232791	0.0275986	0.0536997	0.0693692	0.0841052	0.16013	0.099495	0.108499	0.0567263
nasses	0.0236154	0.0207855	0.0204487	0.0172332	0.0120352	0.011544	0.00866942	0.00799184	0.0154888	0.0370915	0.0306882	0.0389489	0.0181989	0.0136132	0.0128236	0.0131637	0.0215122	0.0192424	0.0209769	0.0220341	0.0509673	0.0830282	0.0517921	0.0754804	0.102049	0.0819266	0.085607	0.0830442
</S>	0.0275833	0.028152	0.0229506	0.0199031	0.0215998	0.01872	0.0124925	0.017468	0.0242319	0.0450426	0.0470435	0.0366082	0.0343633	0.0475018	0.0441038	0.026364	0.0129317	0.0152853	0.0110635	0.0110975	0.0503987	0.0504568	0.0456902	0.05041	0.068133	0.0520642	0.046976	0.111365
