 	a66	a87	a23	a54	a6	a85	a6	a36	a79	a44	a94	a12	a62	a88	a53	a90	a56	a12	a43	a21	a92	a37	a75	a92	a34	a12	a18	a25	a87	a23	a97	a23	a99	a97	</S>
papa	0.0481568	0.0658052	0.0550057	0.0631316	0.0520118	0.108836	0.143799	0.107135	0.025677	0.0108787	0.00474286	0.00599025	0.00602193	0.00582173	0.00597142	0.00763073	0.00677552	0.00656634	0.00575125	0.00563027	0.00604825	0.00547079	0.0110071	0.0164513	0.0176404	0.0111539	0.0231673	0.0248221	0.026512	0.0196596	0.0180191	0.0157435	0.0169459	0.020301	0.0257196
tisse	0.0257974	0.0182371	0.0225991	0.0221784	0.0276813	0.0402568	0.0657071	0.0457522	0.0229381	0.0119907	0.0143041	0.00870136	0.00846208	0.0101907	0.0189759	0.0172342	0.0194501	0.0227102	0.0184124	0.0231974	0.0319018	0.039333	0.0366435	0.0387387	0.0404946	0.0657656	0.0528731	0.0487521	0.0234132	0.0292027	0.029329	0.0297409	0.0317764	0.0247665	0.0124923
les	0.0564123	0.0386704	0.0329843	0.0397413	0.0467742	0.0662604	0.0954315	0.0726396	0.0347251	0.0246456	0.0217289	0.0116556	0.0127852	0.0131244	0.0168089	0.0117829	0.012641	0.0179876	0.0168995	0.0170297	0.0219528	0.0136962	0.00880301	0.00587616	0.00863499	0.00993038	0.0135037	0.0115008	0.0160007	0.0231887	0.0241927	0.0380556	0.0480035	0.0333271	0.0626054
nasses	0.0178284	0.013776	0.0143037	0.00936993	0.00481666	0.0127663	0.00685271	0.0108629	0.00743843	0.00707997	0.0101452	0.0165613	0.0220517	0.0376923	0.0315082	0.048949	0.0818046	0.0577679	0.0246754	0.030131	0.032679	0.0302318	0.0266201	0.0155221	0.0240275	0.0286292	0.0365967	0.0380019	0.0521792	0.0497382	0.0470725	0.0495845	0.0418127	0.0306941	0.0302291
dans	0.0372309	0.0279737	0.0178269	0.0159254	0.0127591	0.0165732	0.0188912	0.0218014	0.0205124	0.0225496	0.0246897	0.0256566	0.0292569	0.0437682	0.0481636	0.0459952	0.0489586	0.0410143	0.0216982	0.0133235	0.00830411	0.0187662	0.0236047	0.0166188	0.0229246	0.0255181	0.0240296	0.026199	0.0286044	0.0381162	0.049767	0.042879	0.0393263	0.0274183	0.053355
le	0.0622894	0.0330999	0.0224352	0.0210569	0.0226265	0.0193256	0.0092015	0.00616844	0.00499186	0.00388917	0.00760344	0.0101834	0.0153792	0.0148605	0.0141512	0.0160853	0.0163572	0.0308814	0.0336234	0.0240177	0.0281669	0.03176	0.034385	0.0355618	0.0387164	0.0412432	0.0312892	0.0423988	0.0385159	0.0411042	0.0441436	0.0471713	0.060042	0.0406632	0.0566112
lieu	0.0363478	0.0520353	0.0436991	0.051095	0.0581885	0.0771942	0.0843199	0.0810898	0.0389035	0.029947	0.0224914	0.0176044	0.016818	0.0231636	0.0251171	0.0301837	0.0315306	0.0267255	0.019913	0.0234308	0.0108225	0.0104412	0.00939188	0.00856813	0.00801911	0.00786447	0.0112013	0.011435	0.0125733	0.0150809	0.0171694	0.0147001	0.0140538	0.0119488	0.0469319
qu'	0.0448547	0.0535887	0.0390932	0.0305832	0.0236075	0.024578	0.0152321	0.0140921	0.00814133	0.00845702	0.0112451	0.0181279	0.0209453	0.0211457	0.0311472	0.0242506	0.0234201	0.0250779	0.028244	0.0237232	0.021572	0.0194212	0.0152097	0.0172275	0.0188338	0.0133973	0.0236631	0.0276506	0.0470031	0.0441928	0.0505752	0.0459219	0.0473784	0.0503837	0.0680146
il	0.129959	0.0950765	0.0354962	0.0217194	0.00863139	0.00867964	0.00510058	0.00779594	0.00462309	0.00396009	0.0037564	0.00441676	0.00426153	0.00313131	0.00341458	0.0026281	0.00126451	0.00199959	0.00256451	0.00119259	0.00342576	0.00704814	0.00921285	0.0140482	0.0182298	0.0106401	0.0197499	0.0357958	0.0334925	0.0600017	0.0664577	0.0718573	0.0722842	0.135238	0.0928457
a	0.0272909	0.0296963	0.019727	0.0139441	0.0118045	0.00736403	0.00873835	0.011431	0.00789245	0.00855791	0.0118898	0.0137167	0.0241917	0.0282313	0.0375995	0.0302639	0.0171623	0.0274802	0.0337153	0.024677	0.0313575	0.0405639	0.0237728	0.0211829	0.0185288	0.0102098	0.0251527	0.0229253	0.0271006	0.0503894	0.0577578	0.059762	0.0474135	0.0707503	0.0977585
aménagé	0.0530354	0.0465146	0.0395814	0.0222368	0.0182615	0.0114297	0.0120181	0.015904	0.0220028	0.0322413	0.0424748	0.0403663	0.0481	0.0450941	0.0512665	0.0403748	0.0250468	0.0226179	0.0224853	0.0175638	0.0141526	0.0198753	0.0121702	0.00993206	0.0090304	0.00578036	0.00997114	0.0106833	0.012521	0.0232734	0.0227685	0.0262339	0.0278514	0.0590023	0.108138
derrière	0.0854187	0.0625356	0.0246467	0.0245331	0.020695	0.0181664	0.0166953	0.0263844	0.014779	0.00972852	0.0112564	0.0102345	0.012013	0.0110568	0.00978952	0.0123961	0.011001	0.0196131	0.0199389	0.0116705	0.0095085	0.0169306	0.0137965	0.0211697	0.0210672	0.0172134	0.0254078	0.0369098	0.0274136	0.03432	0.0499447	0.0440184	0.0393998	0.0703315	0.140016
la	0.0473782	0.0250054	0.00570589	0.00522439	0.00420491	0.0039491	0.00406533	0.00719772	0.00918483	0.0107535	0.0123799	0.0132419	0.0169902	0.02105	0.0226328	0.0238516	0.0195578	0.0414241	0.0473515	0.0284113	0.0298096	0.0426048	0.0304279	0.0459612	0.0359397	0.0380475	0.0340701	0.0469734	0.0230064	0.0308384	0.053776	0.0439974	0.0364951	0.0442121	0.0942801
maison	0.019664	0.0110084	0.00554029	0.00388958	0.00363874	0.00473973	0.00294494	0.00368533	0.00490879	0.00457358	0.00753771	0.0119204	0.0154517	0.0159881	0.0194391	0.0236804	0.0174307	0.0230514	0.0338545	0.0317206	0.0347447	0.0407844	0.0272019	0.0298992	0.0367579	0.0343941	0.0353427	0.0584208	0.0510508	0.0561986	0.0734859	0.0701116	0.0739091	0.0687904	0.0442397
