 	a87	a23	a93	a34	a56	a93	a35	a98	a92	a37	a85	a43	a11	a75	a34	a88	a71	a75	a25	a44	a11	a75	a25	a92	a25	a90	a57	a38	a25	a56	a96	a61	a47	a61	a47	a96	a34	a56	a35	a75	a96	a83	a9	a99	a97	a87	a23	a87	</S>
pourquoi	0.0131065	0.0248094	0.0390647	0.0435632	0.0318403	0.0827799	0.0332263	0.0368032	0.0349942	0.038243	0.0471095	0.0684865	0.0403432	0.0468978	0.0237605	0.0319179	0.031335	0.0364565	0.0184456	0.0156119	0.0121019	0.0073903	0.00854665	0.00565771	0.00513197	0.00773225	0.0052406	0.00792774	0.00882278	0.00683251	0.00624273	0.00658654	0.00863686	0.00538772	0.00602569	0.00578106	0.0100768	0.00948256	0.0103768	0.00771577	0.00737491	0.0059908	0.00801812	0.00798843	0.00944623	0.00741831	0.0119274	0.0074395	0.0439042
ton	0.0104948	0.00891849	0.0115704	0.0110421	0.0135496	0.0235698	0.0295065	0.0379794	0.0331091	0.0347051	0.023115	0.0295112	0.0207568	0.0179437	0.0181835	0.015354	0.0184961	0.0172066	0.0273161	0.0301507	0.0257665	0.0190794	0.0250633	0.019284	0.0134429	0.0148511	0.0190208	0.0161499	0.020301	0.0295737	0.0277541	0.0342377	0.0368145	0.0205289	0.0153206	0.0117817	0.0114813	0.0166049	0.0151832	0.0178194	0.014999	0.0122144	0.0117213	0.0168904	0.0183647	0.0166835	0.0213263	0.0225301	0.0227324
époux	0.0173272	0.0128084	0.0176387	0.0172596	0.0136758	0.0202775	0.0305595	0.0286495	0.0284962	0.0364112	0.0324955	0.0359559	0.023839	0.0223535	0.0146101	0.0196071	0.0276198	0.0176628	0.0297322	0.0524671	0.0550511	0.0594457	0.0716794	0.0594367	0.0438061	0.0362271	0.0387021	0.0111358	0.0103896	0.0148272	0.00995562	0.0072383	0.0124552	0.00736211	0.0079419	0.00738748	0.00508853	0.00730695	0.00419908	0.00410898	0.00428975	0.00420755	0.00292656	0.00278034	0.00235462	0.00172601	0.00297572	0.00163611	0.003912
a	0.0406451	0.0206529	0.0146739	0.0117346	0.0123098	0.0104611	0.0184223	0.0206782	0.0177225	0.0378675	0.0245935	0.0407944	0.0291353	0.0549319	0.0246342	0.0272512	0.0335411	0.018912	0.0431949	0.0346074	0.0298995	0.0229479	0.0201022	0.0180407	0.0191434	0.0131245	0.0206379	0.01578	0.0123648	0.0170029	0.0130647	0.0174304	0.025574	0.0137456	0.010683	0.0103012	0.00787156	0.00779154	0.0109991	0.00527552	0.00707133	0.0115909	0.00927485	0.0110489	0.00956143	0.023092	0.0243926	0.0374373	0.0179864
acheté	0.0387097	0.0418958	0.0301548	0.023254	0.0218515	0.026561	0.0213926	0.026984	0.0165184	0.0161771	0.0157795	0.0236341	0.0173935	0.0202294	0.010515	0.0113891	0.013114	0.00743087	0.0148259	0.019301	0.0318479	0.038973	0.0524732	0.0457781	0.0294982	0.0340201	0.0312808	0.0156373	0.0310029	0.0361786	0.0196793	0.023004	0.0235978	0.0146222	0.0149746	0.0151751	0.0111293	0.00963902	0.0102721	0.00870108	0.0079567	0.00893975	0.0089246	0.0109129	0.008863	0.00916777	0.0107938	0.0133479	0.0064973
cette	0.0396423	0.0221222	0.0201734	0.0153014	0.0120921	0.024104	0.0259086	0.0274631	0.0259972	0.025167	0.0246635	0.0297806	0.0243476	0.0267163	0.0201581	0.0185937	0.0237002	0.0146223	0.017362	0.0164875	0.0170362	0.0228384	0.0216518	0.0186496	0.0127328	0.019269	0.0172869	0.0168837	0.0195814	0.0145675	0.00815312	0.00967779	0.0152974	0.014603	0.0174666	0.0181708	0.0145769	0.0172408	0.0158489	0.018061	0.0184585	0.0230928	0.0278918	0.0323006	0.0221903	0.0232211	0.0261163	0.023551	0.0191807
épave	0.0222615	0.0200628	0.0166249	0.013848	0.0130028	0.0239426	0.0344092	0.0373449	0.0376249	0.0469008	0.0442142	0.0350159	0.0336831	0.028939	0.019945	0.0185734	0.0240972	0.0156179	0.017409	0.0215489	0.0214975	0.0259804	0.0315461	0.0334715	0.0241822	0.0299298	0.02787	0.0265953	0.0217675	0.0203631	0.0145152	0.0110447	0.0132961	0.00897108	0.00629741	0.00711127	0.00793381	0.00619077	0.00815326	0.00872646	0.0102309	0.0117572	0.0190023	0.0149443	0.0101174	0.0147107	0.0115508	0.0149703	0.0122067
de	0.0537522	0.0280132	0.0192137	0.0131174	0.0111009	0.01769	0.0153891	0.00859818	0.00742423	0.00887765	0.0103241	0.0152722	0.0141192	0.0311321	0.0137927	0.0228937	0.0212278	0.0198518	0.028315	0.0266024	0.0185889	0.0108431	0.0110912	0.00765016	0.00439419	0.00984938	0.00606008	0.0199835	0.00674892	0.00339051	0.00275836	0.00389125	0.0073694	0.00740883	0.013577	0.0180535	0.0197724	0.0220345	0.0259227	0.0292484	0.0474421	0.0427592	0.0593184	0.06084	0.0492583	0.0346782	0.0375946	0.0236022	0.00916313
véhicule	0.0179443	0.0119037	0.00935704	0.00852935	0.0076854	0.0078548	0.00619987	0.00555601	0.00452209	0.00462192	0.00449153	0.0051459	0.00742885	0.00470713	0.00603992	0.00309646	0.00498568	0.00373259	0.0031129	0.00748685	0.00834004	0.0156283	0.0183617	0.0127855	0.0115996	0.0192732	0.0199366	0.024944	0.02727	0.0222233	0.0239894	0.0250244	0.0291379	0.0303789	0.0287891	0.035341	0.0450751	0.039449	0.0462908	0.0558001	0.0367425	0.0518479	0.0632601	0.0475002	0.0285952	0.0375245	0.0255404	0.0217565	0.0131922
</S>	0.028993	0.0295908	0.0234075	0.0161706	0.0231873	0.0116332	0.00971863	0.00797273	0.00579579	0.00610876	0.00585835	0.00761189	0.0121873	0.00790131	0.0116126	0.0051332	0.0076191	0.00673811	0.00561376	0.0100995	0.00929668	0.0138965	0.0135029	0.011723	0.00980536	0.015608	0.0143755	0.0178161	0.0139228	0.0112744	0.013228	0.0119996	0.015066	0.0217531	0.0239603	0.0279678	0.0325223	0.0303625	0.0338006	0.03682	0.0234532	0.0342112	0.0464579	0.0459112	0.0380712	0.0599743	0.0388503	0.0506647	0.040751
