 	a23	a79	a15	a41	a90	a41	a94	a24	a94	a25	a87	a23	a13	a20	a73	a94	a98	a9	a10	a11	a12	a94	a53	a15	a73	a69	a58	a53	a4	a57	a3	a87	</S>
il	0.0240397	0.0585556	0.111201	0.214192	0.101261	0.0651373	0.0233845	0.0321945	0.0316034	0.0169537	0.0139685	0.00928031	0.00279403	0.00274876	0.00398534	0.00313568	0.00492917	0.00318224	0.00461489	0.00586418	0.0101822	0.00940853	0.0158662	0.0191158	0.0120962	0.0138871	0.0253682	0.0161611	0.0204621	0.0247462	0.0350665	0.0237604	0.0408529
s'	0.00228904	0.00284928	0.00265192	0.0136344	0.0340813	0.0620935	0.0439252	0.0459212	0.0449508	0.0513324	0.0392419	0.0262188	0.0365359	0.0276808	0.0197426	0.01545	0.0134587	0.00953977	0.0167977	0.0130332	0.0258251	0.023077	0.0239438	0.0469582	0.0417767	0.0322227	0.037812	0.0530658	0.0671554	0.0471215	0.0341667	0.0279705	0.017476
est	0.00873916	0.0133638	0.0174395	0.0204853	0.0334147	0.0334246	0.0348294	0.0288561	0.0468929	0.0474874	0.0336289	0.00925144	0.00825986	0.00973342	0.00783153	0.0152655	0.0190254	0.00565605	0.0145647	0.0106943	0.00762814	0.0165758	0.0236302	0.0236111	0.0492039	0.0550313	0.0455227	0.0720426	0.0933877	0.0652611	0.0523171	0.0449775	0.0319667
levé	0.0208505	0.0137678	0.0073897	0.00739654	0.024466	0.0109708	0.0115245	0.0086674	0.0138808	0.0141416	0.0187113	0.0261354	0.0230819	0.0656713	0.108477	0.0810255	0.127162	0.101663	0.112578	0.0450862	0.0340225	0.0361767	0.0253226	0.00959992	0.0148297	0.0120452	0.00745564	0.00495851	0.00406678	0.00310279	0.00174242	0.00144734	0.002582
et	0.0539277	0.0336525	0.0268263	0.0278893	0.0278676	0.0241255	0.0317925	0.0163626	0.0182972	0.0161082	0.0238568	0.0306473	0.023994	0.0151354	0.0113589	0.00809333	0.00804871	0.00475067	0.0156436	0.0156604	0.0169048	0.0282681	0.0337374	0.0236913	0.0219126	0.0239647	0.0267161	0.0340462	0.056938	0.058229	0.0784797	0.042221	0.120853
j'	0.018828	0.0101422	0.00716503	0.0107849	0.00980253	0.011099	0.0116099	0.0103493	0.0104118	0.010134	0.0111191	0.00899231	0.0104051	0.0103839	0.0102529	0.0142869	0.0149731	0.0169371	0.0136466	0.0252542	0.0152643	0.0317522	0.0387805	0.039049	0.0481377	0.0536119	0.0494945	0.0634528	0.0807208	0.0792108	0.0760897	0.0804692	0.097389
en	0.019792	0.0174266	0.0153417	0.0150944	0.0181592	0.0390432	0.0294731	0.0302246	0.0231516	0.0150811	0.0112712	0.00696511	0.00925041	0.00755154	0.00903519	0.00627215	0.00535419	0.0039079	0.0143668	0.021794	0.0139567	0.0156818	0.0209742	0.0196436	0.0182129	0.0246559	0.0229201	0.0271439	0.0594583	0.0752436	0.129677	0.123703	0.130172
ai	0.020689	0.0163458	0.01126	0.0114127	0.00946672	0.0138481	0.0115313	0.00791113	0.0095133	0.00860067	0.0105143	0.0105637	0.0216931	0.0247172	0.0327649	0.0339557	0.0324118	0.0356213	0.0271795	0.0632226	0.0293432	0.0305088	0.0304845	0.0308177	0.0322829	0.0448753	0.0367214	0.0532439	0.0637624	0.0581642	0.0578313	0.0494059	0.0693359
fait	0.0396194	0.035736	0.0259677	0.0331096	0.0197526	0.0078953	0.00654859	0.00467399	0.00493639	0.00560635	0.0066028	0.00688755	0.00642751	0.00810359	0.0100085	0.00906173	0.0108094	0.00865308	0.0110787	0.0174228	0.0207472	0.0194937	0.0272674	0.02505	0.0323437	0.0513038	0.0617197	0.0474091	0.0658158	0.0649727	0.0896325	0.0683818	0.146961
autant	0.0476495	0.0456394	0.0443818	0.0530909	0.0526753	0.0386018	0.0342805	0.0223429	0.0180236	0.0135429	0.0124628	0.0151657	0.00934766	0.00944807	0.0102187	0.00575028	0.00490871	0.00271316	0.0109428	0.0151723	0.0241546	0.0231438	0.0261462	0.0251526	0.0205697	0.0296102	0.0307357	0.0320592	0.0535841	0.0470195	0.0732891	0.0540223	0.0941543
</S>	0.0146815	0.0192775	0.0257514	0.0433661	0.0273221	0.00860645	0.00696413	0.00420086	0.0024754	0.00212254	0.00141739	0.00148125	0.00173466	0.00152219	0.00212231	0.00198266	0.00219294	0.00223985	0.00269389	0.00752222	0.00746074	0.0098415	0.0328797	0.0347256	0.0384945	0.0423437	0.0609262	0.0511317	0.0811656	0.105472	0.131901	0.0863944	0.137586
