 	a87	a23	a87	a79	a93	a4	a75	a21	a47	a12	a75	a85	a37	a11	a93	a25	a73	a56	a96	a93	a56	a21	a5	a43	a11	a75	a44	a84	a53	a90	a57	a82	a87	a23	a87	</S>
le	0.055536	0.0678365	0.0743012	0.060985	0.0524023	0.0579582	0.0366727	0.0300224	0.0175686	0.0115253	0.0127839	0.0136318	0.0101509	0.0113701	0.011197	0.0142649	0.0160806	0.0173281	0.0150826	0.0144396	0.0150848	0.0143737	0.0134794	0.0153026	0.0143768	0.0119373	0.0157663	0.0356414	0.0367248	0.0549695	0.0425097	0.0352645	0.0210175	0.0202075	0.020069	0.0321376
chasseur	0.00381328	0.0232022	0.0524087	0.0948316	0.0439551	0.0674253	0.0339277	0.0597358	0.0912477	0.0801636	0.0301285	0.0472911	0.0181047	0.0086128	0.0187348	0.0238608	0.0308564	0.0244703	0.0309768	0.0220167	0.0211398	0.0292013	0.0230134	0.0158056	0.0201	0.0194618	0.0123365	0.00594964	0.004347	0.00418433	0.00420798	0.00816507	0.00451487	0.00561239	0.0084525	0.00774385
a	0.0147306	0.0276548	0.0329139	0.0464276	0.0545865	0.0636855	0.0437761	0.073897	0.08975	0.0733112	0.0525339	0.0378379	0.0159301	0.0216953	0.0173241	0.0248379	0.0177261	0.0256544	0.013398	0.00794501	0.00549929	0.0072886	0.0101	0.0134472	0.00735987	0.01329	0.0205763	0.0206157	0.0248176	0.0156835	0.0178595	0.0196805	0.0144619	0.0182669	0.0177515	0.0176854
pisté	0.0280623	0.0186772	0.0190237	0.0117067	0.0108899	0.00814873	0.0114629	0.0300996	0.0868475	0.111308	0.0540701	0.0781899	0.031789	0.0475623	0.0751649	0.0813789	0.0715156	0.0398537	0.0319362	0.0208257	0.0139619	0.0150453	0.0173915	0.00987497	0.00723298	0.00436668	0.00436609	0.00354328	0.00624387	0.00567597	0.00562198	0.00626221	0.0081116	0.00688354	0.00897647	0.00792886
des	0.0585199	0.0416856	0.0303667	0.0179042	0.026935	0.0238939	0.0389498	0.0559264	0.056931	0.0649517	0.069383	0.0625244	0.0461528	0.0598555	0.0343572	0.0254187	0.0190982	0.015784	0.0161582	0.0210589	0.0201427	0.0131692	0.0104637	0.00596417	0.00365862	0.00419187	0.00504514	0.00704308	0.0126995	0.0135394	0.0163629	0.0116913	0.0159815	0.0169298	0.0172678	0.0399944
sangliers	0.0274695	0.0218043	0.0156832	0.0153265	0.0186796	0.0267104	0.0252524	0.0244876	0.0192814	0.0218239	0.0319402	0.0324563	0.0630718	0.0803546	0.056483	0.0653038	0.0462807	0.0416243	0.048496	0.0494011	0.0345455	0.0271918	0.0251317	0.0222104	0.00924432	0.00856364	0.00912559	0.0113424	0.0260455	0.0196603	0.0171054	0.0108126	0.0125999	0.0117107	0.0120185	0.0107611
dans	0.0571832	0.0444914	0.0325639	0.0318151	0.0691799	0.0567058	0.0523054	0.0506279	0.0314426	0.0219603	0.034057	0.0268248	0.0258928	0.0349507	0.0228676	0.0229268	0.0164004	0.0166661	0.0183197	0.0219596	0.0223936	0.0195527	0.0202416	0.0123216	0.0073884	0.00728073	0.00703526	0.0083078	0.0119024	0.0147187	0.0178164	0.0230681	0.025539	0.0305292	0.0266167	0.0561468
la	0.0728919	0.0511336	0.0289053	0.0185076	0.0389185	0.0454708	0.0342	0.0336887	0.0183567	0.0126854	0.0239304	0.0171707	0.0147703	0.0349331	0.0183346	0.0165191	0.0139137	0.0160964	0.00642181	0.00723424	0.00487576	0.00369921	0.00455495	0.00322669	0.00379616	0.00288782	0.00395683	0.00835124	0.0145215	0.0251348	0.0391597	0.0578029	0.0617202	0.0767338	0.0605574	0.104938
forêt	0.0136409	0.031559	0.0336	0.0165817	0.0126636	0.00947852	0.00892835	0.0103313	0.00966115	0.013851	0.016547	0.0158425	0.0294884	0.0507832	0.0380563	0.0492567	0.0353171	0.0389241	0.0401608	0.0287508	0.0254297	0.0227379	0.0274239	0.0159381	0.0182755	0.0106617	0.00983558	0.0145511	0.015078	0.0281583	0.0318753	0.0429997	0.0645681	0.0581287	0.0601896	0.050726
</S>	0.0363863	0.03442	0.0363395	0.0230539	0.0313967	0.0246116	0.015853	0.0204063	0.0119669	0.00951667	0.014391	0.015234	0.0148925	0.0268569	0.0141237	0.0129954	0.00966163	0.0099835	0.0112107	0.00985781	0.00736258	0.00690468	0.00696602	0.00389606	0.00323292	0.00331227	0.00362218	0.0111932	0.0189904	0.0515561	0.0742858	0.0768332	0.0627564	0.0657281	0.0686701	0.151532
