 	a66	a87	a23	a3	a99	a87	a23	a12	a34	a56	a44	a34	a61	a21	a75	a61	a37	a90	a56	a69	a93	a56	a96	a61	a62	a88	a71	a9	a99	a87	a23	a30	a13	a34	a93	a70	a66	a34	a37	a92	a47	a15	a7	a4	a43	a90	a69	a15	a7	a26	a36	a2	a57	a87	a23	a87	</S>
la	0.0371053	0.0351057	0.029411	0.0235518	0.0129598	0.0143617	0.0195181	0.0138239	0.0304822	0.0385393	0.032325	0.0322771	0.0427716	0.0207867	0.0195661	0.0257237	0.0189689	0.0200688	0.0155858	0.0312083	0.0194376	0.0151771	0.0124836	0.0352825	0.0222323	0.0143688	0.0129762	0.0168747	0.00541846	0.0049	0.00455972	0.00774625	0.00727933	0.00925085	0.0121851	0.0106262	0.00936291	0.00645902	0.00653726	0.0087287	0.00736761	0.00483669	0.00742549	0.00532511	0.00299675	0.00378692	0.00605317	0.00945991	0.0115634	0.00924809	0.019686	0.0210487	0.0240601	0.0203576	0.0208894	0.0288742	0.0409935
manière	0.00125471	0.00398404	0.00873982	0.0165919	0.00977274	0.0231902	0.031327	0.0343617	0.0428447	0.103351	0.0743297	0.0722583	0.0382948	0.047965	0.0361732	0.0481609	0.0350139	0.0329196	0.027706	0.0125377	0.010693	0.016161	0.015099	0.0141782	0.0166131	0.0146663	0.0115885	0.0263055	0.0324809	0.0265715	0.0120068	0.00721327	0.0104039	0.00413014	0.0025633	0.00141688	0.00576045	0.00224088	0.00403912	0.00596282	0.00528223	0.00714335	0.00472998	0.00374616	0.00151028	0.0025243	0.00177457	0.00227018	0.00146928	0.000954799	0.00103119	0.00140997	0.00131875	0.00176184	0.00153404	0.0130937	0.0075737
dont	0.0373015	0.0517584	0.0374924	0.0306641	0.0213544	0.0222393	0.0289242	0.0380206	0.0206263	0.0313661	0.0363051	0.0374934	0.0258428	0.0382235	0.0243407	0.022749	0.0206819	0.0180664	0.015462	0.017693	0.0210457	0.0174818	0.0150145	0.0263222	0.0151059	0.0314942	0.0180061	0.051583	0.0398058	0.0190434	0.00831884	0.011252	0.00357771	0.00481634	0.0128862	0.00732876	0.0041752	0.00280249	0.00474996	0.0044365	0.00151225	0.00401041	0.00319029	0.00448179	0.00380342	0.00285175	0.00452008	0.00558028	0.00661029	0.00881588	0.0098665	0.00722795	0.00644209	0.00343504	0.00563604	0.0111198	0.0150444
s'	0.0114087	0.010827	0.00461008	0.00295556	0.00199121	0.00134528	0.00112936	0.00190843	0.00251364	0.00220277	0.00240763	0.002745	0.00177356	0.00275278	0.00303963	0.00329504	0.00507587	0.00562462	0.007832	0.0115621	0.00687496	0.00700393	0.0100285	0.0169003	0.00974716	0.00969561	0.00870442	0.0209635	0.0284224	0.0247931	0.0110109	0.01851	0.0368921	0.00781608	0.0401926	0.030484	0.00833145	0.0191078	0.0306145	0.0289138	0.0155384	0.0526927	0.079267	0.0775611	0.0945231	0.0679006	0.0272763	0.0129015	0.0117888	0.0123007	0.010172	0.0130463	0.0142648	0.00798812	0.0136736	0.0143835	0.0127141
embourbé	0.0164515	0.0187	0.0123547	0.00822769	0.00909742	0.00738569	0.0077001	0.00736445	0.00830978	0.00991982	0.0121487	0.00868583	0.00683616	0.00892654	0.0100196	0.0105444	0.0133048	0.0176594	0.00731062	0.0177849	0.0146907	0.0125871	0.0117632	0.0122503	0.0161623	0.0259084	0.0235759	0.0394497	0.0446488	0.0304644	0.0281176	0.0382864	0.0536467	0.0293261	0.0463207	0.0797054	0.0192533	0.00835973	0.0146506	0.016927	0.00858464	0.0135144	0.0112097	0.0227794	0.0199453	0.0226739	0.020583	0.00897318	0.00611131	0.00750949	0.00461974	0.00759225	0.0105301	0.00863495	0.0129086	0.01394	0.0150637
leur	0.0164759	0.0118102	0.00792504	0.00560043	0.00566289	0.00507036	0.00544145	0.00793631	0.00736787	0.0114613	0.00591929	0.0106719	0.0122011	0.0119544	0.0215389	0.0185001	0.0253075	0.0302896	0.0145011	0.0244128	0.0210269	0.0219719	0.0200835	0.0204723	0.030649	0.0431744	0.0333734	0.0463523	0.0368349	0.0320632	0.0265904	0.0367024	0.0438966	0.0330475	0.0529202	0.0508256	0.0189975	0.00846173	0.0102139	0.00793849	0.00414913	0.00555148	0.00589463	0.00594849	0.00650689	0.011148	0.00989695	0.013164	0.00688148	0.00726857	0.00624704	0.00997805	0.00477835	0.00783857	0.00792971	0.0118499	0.0193242
véhicule	0.0168769	0.0108625	0.00754419	0.00624331	0.0061963	0.00650912	0.00598153	0.0099533	0.0076062	0.00529725	0.00297429	0.0036878	0.00643631	0.00822461	0.00858793	0.0129019	0.0118517	0.024373	0.0226805	0.0306284	0.0303938	0.0326828	0.0450256	0.0196057	0.0382016	0.0351369	0.0383154	0.0459989	0.0421293	0.0275739	0.0257393	0.0427169	0.0611898	0.0400327	0.0291132	0.0369277	0.0294386	0.0139574	0.0152931	0.00932458	0.00670822	0.00897999	0.0102436	0.01311	0.0160836	0.00913537	0.00569661	0.0037756	0.00648302	0.00340757	0.00544513	0.00370191	0.00655753	0.00604518	0.00751452	0.00595878	0.00693931
ils	0.0233803	0.0165899	0.0119707	0.00956696	0.00664178	0.00732602	0.00564451	0.00590756	0.0048475	0.0037411	0.00266093	0.00291669	0.00463878	0.00495129	0.00467653	0.00742029	0.00778546	0.0212179	0.0278829	0.025485	0.0251402	0.0299787	0.0443069	0.0151395	0.0262489	0.0256554	0.0201103	0.0156768	0.0122666	0.0128651	0.0138152	0.0169268	0.0174659	0.0198953	0.0118728	0.0168596	0.0200128	0.0139918	0.0119978	0.0217151	0.0128191	0.0295697	0.0200532	0.0496228	0.0463793	0.0366138	0.0304577	0.0193718	0.020596	0.0287068	0.020576	0.0199117	0.0223635	0.012761	0.0115609	0.0123279	0.00911491
ne	0.0145685	0.0103827	0.00775135	0.0068707	0.00448039	0.0038583	0.00308378	0.00325622	0.00231344	0.00197024	0.00198682	0.00281478	0.00464083	0.00589796	0.00686866	0.0142948	0.0123467	0.0228769	0.0254507	0.0145583	0.0131319	0.0120547	0.0166227	0.0102215	0.0143092	0.009636	0.00860819	0.00594928	0.00700356	0.00668822	0.0109081	0.00788611	0.00965919	0.012235	0.0103987	0.0149043	0.0176935	0.0259172	0.0113396	0.0183462	0.0234605	0.0404784	0.0347569	0.0417171	0.0291903	0.0242941	0.0225828	0.0194081	0.0229712	0.0300018	0.0389584	0.0361529	0.0551893	0.0273202	0.0493922	0.0401955	0.050145
s'	0.0196207	0.0164837	0.0108753	0.00992234	0.00749893	0.00690554	0.00520686	0.0064401	0.00385517	0.00368439	0.00309226	0.00633824	0.0169295	0.0175945	0.0113786	0.0296182	0.0161133	0.0366432	0.0377143	0.0199361	0.0290853	0.0244479	0.030631	0.0185967	0.0287407	0.01918	0.0162599	0.009168	0.00773256	0.0063714	0.00720338	0.00539341	0.0047878	0.00699918	0.00779745	0.00767701	0.0105484	0.0150112	0.00643766	0.00986515	0.0162945	0.0235279	0.0213109	0.0237905	0.0195534	0.0152097	0.0138893	0.0111126	0.0143725	0.0181355	0.0215898	0.027817	0.042081	0.0394569	0.0474043	0.0536283	0.0330406
