 	a66	a87	a97	a87	a23	a87	a23	a13	a9	a83	a99	a62	a41	a15	a69	a94	a53	a93	a70	a62	a96	a88	a43	a25	a93	a90	a94	a7	a37	a70	a11	a62	a83	a9	a99	a97	a87	a23	a87	a23	</S>
le	0.0246552	0.0211681	0.0531237	0.0321014	0.0309175	0.0360753	0.0323124	0.0379817	0.0330436	0.034706	0.0227831	0.0187179	0.0155119	0.0120767	0.0174211	0.0226439	0.0301478	0.02623	0.0206321	0.0305308	0.0116006	0.00875393	0.00589552	0.00828611	0.00803014	0.00531801	0.00529766	0.0104697	0.0124851	0.026367	0.035127	0.0442427	0.0506229	0.0379776	0.0424326	0.0147822	0.0246138	0.0197981	0.0198242	0.0185514	0.0367438
maçon	0.000607109	0.00241688	0.00365099	0.00516564	0.00699848	0.0176792	0.0211452	0.0226575	0.00968735	0.0121968	0.0241262	0.0230311	0.0260091	0.0250322	0.0454203	0.052233	0.0555803	0.0649864	0.0867725	0.129702	0.108658	0.0579784	0.0375228	0.0225544	0.0220581	0.0148448	0.0266287	0.0137141	0.0116126	0.0112277	0.0122553	0.00836532	0.00246859	0.00511215	0.00134688	0.00217261	0.00130692	0.000906576	0.00116651	0.00257534	0.000425606
a	0.0333474	0.0620438	0.0661131	0.0557529	0.0586687	0.0397794	0.0393011	0.0401624	0.0387292	0.0325924	0.0269669	0.0484135	0.0316674	0.0077863	0.0163561	0.0339805	0.0298464	0.018096	0.0332129	0.0487447	0.0366593	0.0250901	0.013076	0.0106943	0.015583	0.011454	0.0130255	0.0119428	0.00716626	0.00434536	0.00474636	0.00371891	0.00326087	0.00602558	0.00844698	0.00974356	0.00760238	0.00535978	0.00974967	0.0218489	0.00889925
encore	0.0461921	0.0323237	0.0416802	0.0413565	0.0343047	0.0234121	0.0102675	0.0114464	0.0139751	0.00604021	0.010567	0.0111062	0.0141877	0.00716553	0.00736559	0.00969275	0.00988779	0.00765559	0.00797669	0.00459188	0.00550389	0.00437597	0.00659596	0.00849274	0.00743635	0.00869131	0.0110261	0.00648207	0.0113828	0.0112331	0.0154767	0.0151472	0.0218329	0.0348883	0.0574783	0.0760499	0.0492897	0.0787726	0.0644381	0.0708078	0.0834029
élargi	0.0291855	0.0594212	0.0238022	0.0482996	0.0274057	0.0268153	0.0210485	0.0179747	0.0239994	0.0136263	0.0212413	0.0299808	0.0293014	0.031385	0.0406654	0.0376165	0.031634	0.0638029	0.0678153	0.0479088	0.0418665	0.0269723	0.0158224	0.00740448	0.00420115	0.0068206	0.00428386	0.00289582	0.00497661	0.004109	0.0101837	0.00769408	0.00778333	0.00527678	0.0138882	0.00838246	0.0110057	0.0162331	0.0214275	0.0248153	0.0610273
la	0.0270541	0.0256246	0.0147569	0.0176035	0.00759036	0.00849823	0.00643862	0.010053	0.0111131	0.00744948	0.0164952	0.0235836	0.031775	0.0391644	0.0472987	0.0366623	0.0223188	0.026313	0.0271	0.0165117	0.0121881	0.0130889	0.0075156	0.0119038	0.00441594	0.00653888	0.00271305	0.00407871	0.00961603	0.0142828	0.0189237	0.0221669	0.0174068	0.0185615	0.0467255	0.0432996	0.0329305	0.0709749	0.055714	0.0716628	0.0918874
porte	0.0295367	0.0171898	0.0137353	0.0143079	0.0116878	0.0121989	0.0121839	0.0153247	0.0146387	0.0130878	0.016721	0.0232548	0.0209281	0.010521	0.0162493	0.018295	0.0155885	0.0142495	0.0148213	0.00982437	0.00922727	0.0100518	0.00808963	0.00797385	0.00490798	0.00594538	0.00482727	0.0071533	0.0118287	0.0119172	0.0221447	0.0195893	0.0249976	0.043194	0.0587459	0.0781142	0.0478138	0.0449489	0.0577041	0.0764948	0.129986
de	0.0272586	0.0153811	0.0166127	0.0148719	0.0111956	0.00596193	0.00374826	0.0050825	0.0100322	0.00448226	0.0123374	0.0152348	0.00915453	0.00557411	0.00500637	0.00367761	0.00369343	0.00300455	0.00299884	0.00404946	0.00360316	0.00411723	0.00320406	0.00590002	0.00294316	0.00404665	0.00487787	0.00582548	0.0101868	0.0151084	0.0202607	0.030552	0.0367263	0.0535269	0.088817	0.123702	0.07012	0.09349	0.0611818	0.0759251	0.106527
la	0.0167623	0.00588619	0.00419941	0.00264882	0.00266339	0.00177268	0.00109941	0.0017813	0.0023753	0.00208603	0.00370053	0.00459814	0.00280834	0.00246729	0.00309113	0.00429648	0.00451685	0.00351089	0.00315753	0.00426858	0.00452443	0.00567719	0.00434133	0.00669396	0.00532395	0.00341046	0.00202484	0.00421937	0.0114811	0.0233013	0.0314765	0.0536475	0.0830598	0.0915609	0.0947979	0.132069	0.0822956	0.0854921	0.0696298	0.0613928	0.0658894
maison	0.018093	0.00993713	0.0128531	0.0104858	0.010883	0.00843777	0.0089295	0.008795	0.0081486	0.00827481	0.0146088	0.0132517	0.0104989	0.0110563	0.00906726	0.00671549	0.00896619	0.00759165	0.00808947	0.0114064	0.0135001	0.0146854	0.0108143	0.0203504	0.0199448	0.0169564	0.0158398	0.0109003	0.0142242	0.0150106	0.0175519	0.0277905	0.0439598	0.0886216	0.0704862	0.0671568	0.0732825	0.0733662	0.0501201	0.0619193	0.0674291
