 	a66	a87	a23	a97	a79	a36	a5	a12	a18	a0	a62	a88	a0	a75	a85	a47	a36	a75	a6	a36	a37	a66	a9	a97	a87	a23	a97	a99	a54	a7	a54	a6	a36	a11	a18	a71	a25	a87	a23	a87	</S>
nous	0.0211431	0.032947	0.056173	0.053002	0.0362201	0.0272161	0.0367143	0.0264342	0.0209969	0.0326566	0.0282525	0.0217564	0.0204308	0.0179083	0.0174573	0.0130817	0.0147643	0.0129496	0.0175386	0.0231337	0.0213968	0.0338494	0.0227514	0.0255744	0.0208775	0.0239581	0.0349845	0.02435	0.0104643	0.0126513	0.0221496	0.0218861	0.0163647	0.0197336	0.0217238	0.0144408	0.0186573	0.0186722	0.0179849	0.0319321	0.0348207
devons	0.0219418	0.0167116	0.0133982	0.0107384	0.0141913	0.017676	0.0106963	0.0137019	0.0154119	0.0163394	0.0104988	0.00955561	0.0110443	0.0136595	0.0227609	0.0183687	0.0262098	0.0212936	0.0213007	0.0188848	0.0192029	0.0171278	0.0143541	0.019628	0.0262748	0.0191162	0.0138893	0.00860861	0.0351733	0.0574526	0.0668272	0.0663405	0.0578154	0.0440731	0.0422891	0.0480687	0.0334465	0.027828	0.0210109	0.0225586	0.0145308
aider	0.0300947	0.0237948	0.0178208	0.0153396	0.0128385	0.0187321	0.0116127	0.0161586	0.018242	0.0371247	0.0246392	0.025513	0.0247819	0.0305872	0.0448282	0.0299937	0.0260455	0.0308151	0.0180207	0.021099	0.0227523	0.0228235	0.0179339	0.0215504	0.02328	0.0194012	0.0187406	0.0199115	0.0225204	0.0290541	0.0299112	0.0313416	0.0278724	0.0258834	0.0281184	0.0269533	0.0215895	0.0211374	0.0282772	0.0375653	0.0253006
les	0.0354231	0.0475174	0.0348035	0.0508832	0.0402098	0.0291533	0.0260166	0.0192534	0.0246291	0.0156617	0.0138613	0.0127678	0.0146279	0.0135372	0.010022	0.0134158	0.0118956	0.0160706	0.0137439	0.012167	0.0147428	0.0139775	0.0176549	0.0184788	0.0205168	0.0200675	0.0307484	0.042838	0.0416915	0.0182436	0.0262384	0.0225605	0.0277366	0.0404125	0.0238606	0.0275908	0.0232852	0.0204299	0.0258913	0.0335363	0.0338379
pauvres	0.0274814	0.0272685	0.0326962	0.0297708	0.0270512	0.0258431	0.0250781	0.0226265	0.0243003	0.0149038	0.0310691	0.0307821	0.0313752	0.0212471	0.0252979	0.0380587	0.030767	0.0237723	0.0295455	0.0260221	0.0240795	0.0230404	0.0186363	0.0210057	0.0191934	0.0244832	0.0152464	0.0143768	0.0150037	0.0091946	0.0208357	0.026323	0.0297058	0.036105	0.0246705	0.0259813	0.0234516	0.0234966	0.0242894	0.0148545	0.0210697
comme	0.0362432	0.0439701	0.0344541	0.0325474	0.0269245	0.030253	0.0452996	0.043244	0.0495413	0.045335	0.0433323	0.0384704	0.0409114	0.0383485	0.0316478	0.0337207	0.0264759	0.0258241	0.0177369	0.0120163	0.0141261	0.00954132	0.00749978	0.0092907	0.00818505	0.00802579	0.00709748	0.00603798	0.00709368	0.00774908	0.0130644	0.023293	0.0185229	0.0237658	0.0216123	0.0191239	0.0146341	0.0163313	0.0196277	0.0199653	0.029116
le	0.0304294	0.0290197	0.0298224	0.0314207	0.0340465	0.0339817	0.0322048	0.0375575	0.0346284	0.053117	0.0358476	0.0315628	0.0291906	0.0288627	0.0242899	0.0218254	0.0198357	0.0250743	0.019465	0.0200117	0.0204605	0.0148172	0.0116026	0.0109608	0.0115204	0.0141589	0.0111099	0.0105766	0.0150212	0.0150026	0.0194591	0.0181395	0.0216257	0.0274142	0.0195251	0.0235846	0.0209533	0.020656	0.0289851	0.0246253	0.0376076
recommande	0.0248883	0.0157656	0.0121153	0.0152217	0.0194431	0.0227539	0.0237981	0.0217588	0.0333454	0.0456096	0.0408964	0.0378502	0.0356179	0.0330596	0.0356117	0.0245986	0.0226582	0.0342618	0.0179933	0.0202016	0.0186917	0.0168394	0.0146725	0.0125948	0.0124958	0.012657	0.0127097	0.0124197	0.0107775	0.0112482	0.0131704	0.018213	0.0287493	0.0264706	0.0319029	0.0366326	0.0338678	0.030195	0.0400899	0.0375457	0.0306072
dieu	0.0671979	0.0382989	0.026736	0.0293606	0.0303189	0.0230209	0.0231466	0.0169027	0.0211682	0.0219502	0.0164173	0.0129898	0.0169142	0.0123172	0.0149484	0.0116336	0.0114257	0.0166322	0.00954109	0.00975733	0.00848307	0.00792705	0.00810747	0.00884315	0.00833624	0.0121359	0.0111662	0.0123077	0.0111306	0.0146455	0.0308075	0.0271498	0.04264	0.0404728	0.0323308	0.0389451	0.0473099	0.0399668	0.0561348	0.0505182	0.0599635
</S>	0.0349639	0.0238589	0.0183138	0.0204206	0.0184278	0.00745433	0.00955187	0.00802742	0.012466	0.0123678	0.0103922	0.00942147	0.0115277	0.011035	0.0131589	0.0143292	0.0139382	0.0187617	0.0121106	0.0153336	0.0110551	0.0154299	0.0139082	0.0150572	0.0145914	0.0197382	0.0167718	0.0159604	0.0117256	0.0179673	0.0398294	0.0222514	0.0417232	0.0531374	0.0357662	0.0387003	0.0487473	0.0470251	0.0499685	0.0834731	0.091312
