 	a66	a87	a23	a83	a18	a75	a92	a85	a47	a98	a47	a85	a92	a85	a5	a36	a90	a25	a79	a56	a12	a96	a18	a21	a12	a18	a21	a85	a6	a36	a6	a36	a2	a57	a87	a23	a99	a97	</S>
inscrire	0.0399977	0.0386561	0.0440457	0.046627	0.046113	0.0362501	0.072935	0.0656414	0.0774578	0.0205997	0.0178987	0.0118705	0.00788004	0.00480803	0.00510191	0.00595618	0.0126615	0.0160888	0.0171593	0.0295768	0.0158923	0.0233532	0.0273458	0.0121972	0.0251133	0.0322357	0.0221959	0.0100162	0.0150075	0.0150903	0.0115286	0.00837177	0.0204687	0.0107303	0.014992	0.0195093	0.0250363	0.0272154	0.046375
les	0.0279605	0.0309654	0.0389969	0.0300361	0.0357209	0.0373636	0.0314207	0.0364461	0.0310764	0.0353018	0.0338729	0.0271237	0.0141048	0.0250968	0.0152793	0.00819972	0.0091923	0.0237926	0.0116146	0.0165352	0.00994911	0.0165083	0.0141573	0.00937755	0.0140337	0.0218659	0.0164621	0.00746657	0.0235999	0.0303076	0.0135505	0.0191155	0.030291	0.0483893	0.0322463	0.0413238	0.0475996	0.0528763	0.0307791
enfants	0.0198513	0.0179215	0.0173938	0.0104205	0.0149306	0.0164079	0.022457	0.0298003	0.0296545	0.029331	0.0415597	0.0526484	0.0747777	0.0651756	0.0976484	0.0826226	0.080666	0.0582713	0.0328297	0.0316405	0.0206593	0.0201112	0.0173973	0.010375	0.00938609	0.010131	0.0061124	0.00208749	0.00489039	0.00593631	0.00344836	0.0034039	0.00514363	0.0075496	0.00601871	0.00862055	0.00896722	0.0159142	0.00783911
à	0.0460296	0.0181265	0.0159738	0.0125016	0.0193786	0.038767	0.0149384	0.0249263	0.0126243	0.0258668	0.0126781	0.029623	0.0337288	0.044248	0.0506713	0.0429166	0.0356206	0.0440292	0.0391901	0.0379124	0.0326211	0.0311441	0.0267772	0.0310195	0.0175533	0.0213624	0.0122913	0.00985776	0.00850948	0.0140155	0.0273864	0.0187481	0.0119004	0.0211459	0.0204731	0.0189037	0.0189896	0.0149601	0.04259
l'	0.0712955	0.0357756	0.0286966	0.0212902	0.0197365	0.0224877	0.0109715	0.0151902	0.0219571	0.0323542	0.0263115	0.0269138	0.0211289	0.0207422	0.0208965	0.0272075	0.0258882	0.0322243	0.0317961	0.0209387	0.0312782	0.026395	0.0220969	0.0225743	0.0183424	0.024545	0.0296753	0.0197928	0.0368152	0.0271559	0.0196093	0.0103561	0.0168813	0.020639	0.0189086	0.0271793	0.0211407	0.0283445	0.044467
école	0.0508431	0.0322391	0.023296	0.0261803	0.0244784	0.0324438	0.0306749	0.0240811	0.043914	0.0434242	0.0495722	0.0326114	0.0200109	0.01885	0.0110757	0.0121973	0.0152315	0.0185838	0.0333207	0.0260501	0.0391731	0.0515401	0.0643956	0.0394616	0.0375712	0.033068	0.022452	0.0228979	0.016298	0.0115605	0.014966	0.0118588	0.0172232	0.00510169	0.0130474	0.0080585	0.00540451	0.00707661	0.00976674
me	0.0410952	0.0311909	0.0232678	0.0248635	0.0212152	0.0207451	0.0235486	0.0229496	0.0160237	0.0206646	0.0167316	0.0157992	0.0123905	0.0113016	0.0120838	0.0138921	0.013235	0.0195681	0.018468	0.027162	0.024361	0.0426573	0.0585768	0.0177586	0.0509842	0.0272702	0.0241961	0.0114891	0.047655	0.0311254	0.0305358	0.0167806	0.017556	0.0268598	0.0359826	0.0459931	0.0371067	0.0307321	0.0161835
parait	0.0304822	0.0225564	0.0238605	0.0173735	0.0229296	0.0183782	0.0248337	0.0186303	0.0171384	0.013861	0.0106402	0.0107528	0.00717415	0.00699806	0.0071786	0.00617984	0.00831415	0.0197531	0.0161258	0.0153602	0.0262506	0.0368174	0.0323881	0.0235232	0.0331103	0.0262789	0.0269268	0.0188885	0.0312001	0.0266737	0.0417382	0.0249316	0.0440816	0.0478914	0.0517519	0.0549184	0.0456257	0.0473147	0.0411681
simple	0.0309997	0.0228793	0.0300895	0.0214567	0.0222931	0.016196	0.0253256	0.0236876	0.0159292	0.0159227	0.0137574	0.0174505	0.0139648	0.0119449	0.0141595	0.0153055	0.0161228	0.0227927	0.0249208	0.0250299	0.0267386	0.0294325	0.0270035	0.02395	0.0228731	0.0210616	0.0241286	0.0206118	0.0277036	0.0267693	0.0364247	0.0248431	0.0434307	0.0438753	0.0389342	0.0397058	0.0344946	0.0346617	0.0531293
</S>	0.0252802	0.0177332	0.0167906	0.012751	0.0130739	0.0100594	0.0127379	0.0126486	0.00969266	0.0121954	0.00810535	0.00948139	0.0108481	0.0107874	0.0114828	0.0129228	0.0120175	0.018574	0.012786	0.0170812	0.0198005	0.0212138	0.0133716	0.0144953	0.0206391	0.0198133	0.0301782	0.0247651	0.0359666	0.0318615	0.0454724	0.0317825	0.0426881	0.0616786	0.0534693	0.0543581	0.0519638	0.04682	0.112613
