 	a66	a87	a23	a87	a23	a99	a24	a31	a61	a98	a85	a92	a85	a92	a56	a47	a62	a0	a75	a25	a92	a85	a92	a37	a43	a75	a92	a37	a6	a36	a2	a57	a87	a23	a87	</S>
le	0.0719142	0.0588376	0.040215	0.0405063	0.032355	0.0262872	0.0346683	0.0255655	0.0351755	0.0311112	0.0159095	0.0161854	0.0131432	0.0213988	0.0207995	0.0176238	0.0217173	0.0218775	0.0230804	0.0200438	0.0342953	0.0349116	0.0396323	0.0283264	0.0156788	0.0169057	0.0124369	0.0237641	0.0167227	0.0151937	0.0176278	0.0226288	0.0228501	0.029157	0.0341643	0.0472894
fait	0.00230661	0.00283797	0.00590215	0.00831917	0.0091886	0.0179336	0.0284715	0.0608076	0.0691316	0.0963487	0.0536262	0.137552	0.133724	0.103075	0.102623	0.0594034	0.0421186	0.0185739	0.0219806	0.00535177	0.00653299	0.00387205	0.0032195	0.00184064	0.000487627	0.00043894	0.000360399	0.000275188	0.000119146	0.000184058	0.000249925	0.000259917	0.000412968	0.000337154	0.001454	0.000679091
que	0.0224002	0.01845	0.0480663	0.0275344	0.0577002	0.0230564	0.0437329	0.0901355	0.0730595	0.0532237	0.0898795	0.0671162	0.0858746	0.0608126	0.0676577	0.0513887	0.0330046	0.0187144	0.00753096	0.00857864	0.00811364	0.00732949	0.00576614	0.00475474	0.00281034	0.00376414	0.00213698	0.00176772	0.00165554	0.00105882	0.00379082	0.00186973	0.0027614	0.00140274	0.00216479	0.000935934
cet	0.122357	0.117427	0.104141	0.0988399	0.0650709	0.0144616	0.0147403	0.0256789	0.0147622	0.007594	0.0126448	0.00703539	0.0109677	0.00917197	0.0110599	0.0141826	0.00989756	0.0250059	0.0216443	0.0420674	0.031505	0.0237975	0.0237603	0.014041	0.0072691	0.00661789	0.0102358	0.00709721	0.00911691	0.011264	0.00820187	0.012362	0.0139992	0.017237	0.020759	0.0339854
enfant	0.0524081	0.0548636	0.0370245	0.034108	0.0401564	0.0404858	0.0519036	0.0448432	0.0584566	0.0524083	0.0787748	0.0314631	0.0378866	0.0355208	0.0498813	0.0537982	0.0418022	0.0289846	0.0323668	0.0221154	0.0251857	0.025425	0.0145731	0.0177414	0.00900452	0.00658135	0.00246911	0.00254015	0.00142971	0.00178976	0.00225619	0.00156183	0.00222617	0.00192527	0.00364245	0.00239656
vole	0.0294107	0.0201497	0.0200219	0.0129422	0.0115377	0.00648783	0.010604	0.0152058	0.019301	0.01568	0.04503	0.0181141	0.0183815	0.019129	0.0122326	0.0106557	0.0146087	0.0108515	0.0143548	0.0172743	0.0170747	0.0189471	0.019349	0.0439632	0.0387861	0.0420197	0.043548	0.0520232	0.052703	0.0667835	0.0776262	0.0555794	0.0427313	0.0290377	0.0232988	0.0345563
des	0.0407337	0.0251719	0.0171738	0.00781378	0.0097891	0.00470152	0.00778651	0.00775434	0.00757938	0.004697	0.00620229	0.00575749	0.00878652	0.00949474	0.00848284	0.0104311	0.00884589	0.0133153	0.0110264	0.036155	0.0389969	0.0587278	0.0441742	0.0735389	0.0523818	0.0458357	0.0404396	0.0491185	0.0470076	0.0469921	0.0595469	0.0414629	0.0418124	0.0312842	0.0332578	0.0437242
choses	0.0152084	0.0117389	0.0125659	0.0069506	0.00914617	0.00347965	0.00777403	0.00983404	0.013887	0.0140266	0.0130466	0.0194405	0.0263589	0.028667	0.0379208	0.0644055	0.0526564	0.0437078	0.0455697	0.0451594	0.0520936	0.0527401	0.0465342	0.0386173	0.0436339	0.030172	0.0229089	0.0274158	0.0206799	0.0301717	0.0332385	0.0296207	0.0280153	0.0197331	0.0193383	0.023543
me	0.0279513	0.0171013	0.0152442	0.00769433	0.0105381	0.00688739	0.014743	0.0136515	0.0216937	0.0258351	0.0298317	0.0254863	0.033318	0.0266982	0.0242522	0.0347495	0.0211268	0.0206207	0.0160812	0.01761	0.0163651	0.0178439	0.0151951	0.04464	0.0619836	0.0714354	0.0333242	0.0605043	0.0337427	0.0252491	0.0646644	0.0346777	0.0359988	0.023914	0.0362349	0.0131124
dépasse	0.0197431	0.0118989	0.0123924	0.00709184	0.011815	0.0126021	0.0156464	0.0109966	0.0147505	0.0155446	0.0182602	0.0220198	0.0257798	0.0318995	0.0337556	0.037858	0.037541	0.0211492	0.0354668	0.0313338	0.0365709	0.0296246	0.0210162	0.0256778	0.0299259	0.0293948	0.0243555	0.0475519	0.0275098	0.0446233	0.0379274	0.0542006	0.0363163	0.043555	0.0347266	0.0494781
</S>	0.0522186	0.0202142	0.01266	0.00600087	0.00879152	0.00779469	0.00874203	0.00725891	0.0129136	0.0108285	0.0145492	0.0108714	0.00676102	0.0116704	0.00584435	0.00461982	0.0103774	0.010907	0.00933607	0.0163069	0.0262015	0.0262818	0.0228049	0.0395213	0.0448601	0.067809	0.0357757	0.0995254	0.0381726	0.0305615	0.0646021	0.0472843	0.0559051	0.0436475	0.0806688	0.027712
