 	a15	a66	a87	a23	a79	a69	a94	a90	a25	a76	a0	a12	a75	a85	a6	a0	a21	a12	a18	a21	a85	a5	a12	a24	a62	a24	a21	a56	a96	a94	a13	a18	a71	a9	a87	a23	a87	</S>
celui	0.038549	0.0485066	0.0579738	0.088812	0.0448326	0.0490803	0.0565117	0.0568785	0.0538915	0.0565024	0.0331454	0.0201628	0.0126582	0.0105679	0.00995719	0.0101928	0.00893363	0.00648785	0.00603417	0.00723582	0.00996732	0.00981119	0.00933882	0.00508276	0.00410323	0.0047099	0.00937013	0.0100999	0.0119551	0.013022	0.0138751	0.0302749	0.0267961	0.0277607	0.0299381	0.0345228	0.031211	0.0412471
qui	0.0518356	0.0330321	0.0283376	0.0236937	0.0191198	0.0227169	0.0259879	0.0376115	0.0284398	0.0302197	0.0333785	0.0246499	0.026486	0.0220019	0.0107839	0.0104833	0.00898194	0.0109108	0.0141986	0.016651	0.0171767	0.0176113	0.0118827	0.0160388	0.0130384	0.00959982	0.0214607	0.0137594	0.0174466	0.0222993	0.026843	0.0358241	0.0325421	0.0455036	0.0451619	0.0543013	0.0663175	0.0536723
cause	0.0593618	0.0655506	0.0669418	0.0623225	0.0526272	0.0452641	0.0384319	0.033843	0.0248235	0.0236515	0.0283531	0.0274066	0.0420537	0.0276936	0.0209984	0.0228485	0.0170024	0.0200208	0.0201341	0.0171199	0.0211638	0.0202868	0.0154665	0.0132554	0.00833674	0.00772314	0.00488469	0.00456828	0.00511868	0.00637105	0.00527169	0.0121892	0.0114056	0.012049	0.0151202	0.0257303	0.0274276	0.0671824
avec	0.110057	0.0838888	0.0405338	0.0337124	0.0176665	0.0147498	0.0125417	0.0108772	0.0115285	0.0112229	0.0187904	0.0134362	0.0179301	0.0186142	0.0101642	0.0114571	0.010848	0.00862437	0.0109654	0.0108268	0.0261379	0.0306177	0.0232013	0.0302472	0.0352119	0.0296042	0.02213	0.0230909	0.0162525	0.023435	0.0164682	0.0301232	0.0225737	0.0359259	0.0379393	0.037722	0.0376401	0.0432437
moi	0.0925166	0.105	0.0746821	0.0607533	0.0432511	0.0357277	0.0327189	0.0237881	0.0305831	0.0251456	0.0169447	0.0167846	0.0214811	0.0207891	0.0121637	0.014726	0.0113989	0.0169091	0.0153571	0.0165185	0.021991	0.0170251	0.0159387	0.0138155	0.0172667	0.0131834	0.0108703	0.00940067	0.010249	0.0116107	0.0108659	0.0139223	0.0122732	0.0219453	0.0224287	0.0263097	0.0369837	0.0266814
dans	0.0730678	0.0664775	0.0509658	0.0453251	0.0166557	0.0162417	0.0194824	0.0216349	0.0261567	0.0233606	0.0285566	0.0292865	0.0340926	0.01972	0.0190724	0.0185504	0.0156492	0.0165215	0.0178868	0.0293457	0.0370998	0.0379212	0.0376574	0.0215924	0.0238563	0.0176459	0.0204505	0.0132917	0.0181303	0.0165325	0.014308	0.0214074	0.0152813	0.0250544	0.022116	0.0219019	0.0249017	0.0228014
ce	0.101382	0.0589898	0.0422414	0.0191682	0.0110524	0.00879323	0.0124594	0.0117392	0.0117574	0.00953529	0.0138141	0.00989363	0.0130835	0.00923098	0.00824945	0.00859766	0.00907271	0.00916111	0.0141989	0.0110293	0.022198	0.0261783	0.0401552	0.0240959	0.0310389	0.0132014	0.0228428	0.0160505	0.0331312	0.0434467	0.0309843	0.0630978	0.034596	0.05135	0.0384351	0.0468645	0.0537718	0.0151122
quartier	0.0665502	0.0312858	0.0164553	0.00695654	0.00520967	0.00460005	0.00743075	0.00822115	0.00985506	0.00831517	0.00835809	0.00844021	0.00887761	0.00875632	0.00659628	0.00547218	0.00598895	0.00741804	0.00889185	0.0104161	0.022287	0.024361	0.0404532	0.0294892	0.0283487	0.0169499	0.0291924	0.022059	0.0394901	0.049577	0.0329415	0.0659292	0.0491363	0.0765153	0.0742597	0.0593127	0.0682806	0.027322
c'	0.118498	0.0812433	0.0531862	0.0212194	0.017561	0.0154937	0.0210547	0.0128121	0.0225795	0.0169786	0.0146562	0.0149069	0.0195806	0.0219184	0.013475	0.0121307	0.0136172	0.0100426	0.0123377	0.0110707	0.0210452	0.0160253	0.0300585	0.0211195	0.0187678	0.0154439	0.0113283	0.00644313	0.013348	0.0160666	0.0162132	0.0258204	0.0281685	0.040624	0.0376452	0.0528005	0.0820398	0.0226797
est	0.0846339	0.0880139	0.0969116	0.0498453	0.0281982	0.015766	0.0206993	0.0152809	0.0196148	0.0212639	0.0119347	0.0112681	0.0100859	0.00860803	0.00715641	0.00790661	0.010035	0.0142971	0.0130663	0.0150904	0.0206506	0.012164	0.0231232	0.0167645	0.0271719	0.0153064	0.0273928	0.0180563	0.0297147	0.0279216	0.0231393	0.0432952	0.0336254	0.0286979	0.0227556	0.0342608	0.0339312	0.0123521
