 	a87	a23	a54	a47	a5	a61	a34	a93	a13	a9	a38	a34	a93	a34	a61	a47	a66	a75	a85	a61	a85	a37	a56	a93	a4	a34	a62	a83	a9	a97	a87	a97	a87	a23	a87	</S>
ils	0.117203	0.0662703	0.0852689	0.0277665	0.0918323	0.0835389	0.0300985	0.0262287	0.026357	0.0185787	0.01441	0.0105453	0.00822356	0.0121776	0.0137814	0.018168	0.0137746	0.0296402	0.0367195	0.0461369	0.0156896	0.0228319	0.0219933	0.0142946	0.0166458	0.0140823	0.0211622	0.0108448	0.0110451	0.00851713	0.00955106	0.00819308	0.00628844	0.0106562	0.00790507	0.0235801
sont	0.025454	0.0318315	0.0306137	0.0376209	0.02638	0.0299936	0.0268853	0.015135	0.0162259	0.0193503	0.0587244	0.0284774	0.0271779	0.0172488	0.0195376	0.0221667	0.0184534	0.0461774	0.0203463	0.0196654	0.0356927	0.0253225	0.0310348	0.0440829	0.0522486	0.0464941	0.0248572	0.0238665	0.0218727	0.0217791	0.0196521	0.0177962	0.0211501	0.02526	0.0284282	0.022997
venus	0.019635	0.00903543	0.010807	0.00943466	0.0130666	0.0200794	0.0241172	0.0228989	0.0333128	0.03126	0.0326802	0.0298546	0.0235317	0.0208563	0.026086	0.0348469	0.0331766	0.0407371	0.0349846	0.0277929	0.0199803	0.0236646	0.039705	0.013067	0.0164978	0.0126482	0.0178649	0.0227889	0.0271895	0.0457102	0.0425174	0.0472288	0.0483343	0.0547566	0.0455678	0.0242851
pour	0.0820035	0.0169825	0.0102666	0.0100194	0.00814595	0.0141571	0.0216509	0.0224252	0.0426207	0.0366882	0.0199821	0.0317616	0.0181196	0.0178723	0.0276177	0.0750905	0.049848	0.0492646	0.0793852	0.0631523	0.035723	0.0469451	0.0322164	0.0170585	0.0143849	0.0156246	0.0153392	0.0100247	0.0106762	0.0153749	0.0122902	0.0136414	0.0170115	0.0145175	0.0220436	0.0100747
disputer	0.0171973	0.00706193	0.00869504	0.0100384	0.0112688	0.0238677	0.0249845	0.021195	0.04483	0.0606738	0.0429234	0.0426332	0.0399231	0.0321666	0.0370249	0.0468845	0.0259927	0.0294151	0.03686	0.0321717	0.0161503	0.0319249	0.0255417	0.0168462	0.0196332	0.0296858	0.0239884	0.0244808	0.0188396	0.0196319	0.0154953	0.0249028	0.0290444	0.0278904	0.0509168	0.02922
les	0.0494275	0.0228148	0.0227814	0.0219546	0.0184343	0.037249	0.0391483	0.0199825	0.0399239	0.037472	0.0206368	0.0241761	0.0185448	0.010241	0.0127526	0.0129571	0.00874981	0.0107069	0.0246794	0.0283401	0.0120758	0.0201997	0.0164308	0.0115563	0.00932982	0.0176124	0.0219215	0.0302223	0.0263974	0.0415248	0.0470768	0.0382448	0.0478522	0.0591178	0.049315	0.0701496
habits	0.0464429	0.0201787	0.0139872	0.012148	0.00876423	0.0111174	0.0121282	0.0126364	0.0180123	0.0152203	0.00495313	0.0122512	0.010381	0.010746	0.00970381	0.0112078	0.00777779	0.0061385	0.00911765	0.0138925	0.0134701	0.0245985	0.0248113	0.0187794	0.0345239	0.0320417	0.0407864	0.0475863	0.0486514	0.0491278	0.0618911	0.0592848	0.0599552	0.0846477	0.0569405	0.0760989
du	0.0514038	0.0369657	0.0348585	0.0322182	0.0422775	0.0373924	0.0304276	0.0277734	0.028488	0.0286453	0.016068	0.0326097	0.026053	0.0211885	0.0189592	0.0186125	0.0123358	0.00808909	0.00610634	0.00805398	0.00620785	0.00475418	0.0067275	0.00477296	0.00579977	0.00993556	0.0142776	0.0210383	0.0282826	0.0304809	0.0335607	0.0359872	0.0448225	0.0734895	0.0468701	0.114466
mort	0.0406374	0.0341617	0.0434434	0.0286186	0.040818	0.0339163	0.0214859	0.0212228	0.0175703	0.0274434	0.023374	0.0250818	0.0169974	0.0208077	0.0183168	0.0290377	0.0224358	0.0152243	0.0128271	0.0130159	0.00942016	0.00977392	0.0107307	0.00635947	0.00666566	0.0068564	0.0133771	0.0160753	0.030427	0.0242867	0.0387955	0.0399935	0.0436124	0.0799952	0.0470316	0.110163
</S>	0.0373712	0.0174565	0.0117535	0.00796673	0.00984526	0.00811607	0.00612887	0.00448849	0.00706672	0.0032283	0.00175017	0.00184648	0.00160193	0.00224482	0.0044992	0.00489102	0.00496578	0.00596746	0.00707265	0.0133338	0.00933668	0.014849	0.0188666	0.0104396	0.0194663	0.0156977	0.0305586	0.0449271	0.0819839	0.066109	0.108542	0.0948987	0.0917487	0.101801	0.0883274	0.0408534
