 	a66	a87	a23	a13	a38	a62	a96	a98	a5	a43	a31	a43	a62	a90	a92	a56	a62	a88	a9	a24	a88	a71	a9	a10	a87	a23	a87	</S>
okyemba	0.0669786	0.105798	0.0938278	0.052324	0.0286809	0.0228492	0.0207857	0.0084325	0.0105725	0.0114891	0.0104338	0.0106577	0.00992243	0.0104916	0.00807089	0.00439299	0.00362743	0.00657702	0.00941568	0.0284661	0.0293913	0.0511421	0.0671737	0.059186	0.0537003	0.065031	0.0650912	0.0854909
a	0.0315196	0.0287327	0.106119	0.0634291	0.0483836	0.060409	0.0606453	0.0520744	0.08159	0.0346095	0.0405906	0.0249733	0.0106713	0.0204392	0.0333778	0.0467364	0.0307566	0.0262193	0.0214538	0.026898	0.0175069	0.0105821	0.0134378	0.0158336	0.0162899	0.0203521	0.0263242	0.0300457
donné	0.0161644	0.0122101	0.0123781	0.00512847	0.0071918	0.00878572	0.0164709	0.0172524	0.0325287	0.0239141	0.0577501	0.0564364	0.0592932	0.0697189	0.0351046	0.0250129	0.0244379	0.0169217	0.0248796	0.0209424	0.0372557	0.069055	0.0522785	0.0511613	0.059407	0.0307765	0.0673719	0.0901717
un	0.115731	0.0783044	0.0381193	0.0359622	0.0276416	0.0278417	0.0682149	0.0443904	0.0460704	0.0461533	0.0329203	0.0341117	0.07057	0.0407584	0.0392221	0.0278908	0.033612	0.0197995	0.0141481	0.0151032	0.0193117	0.0107689	0.0121084	0.0140648	0.0157726	0.0204074	0.0253122	0.0256885
coup	0.0703933	0.035852	0.0196998	0.040337	0.0213848	0.0301355	0.0552287	0.061652	0.0492244	0.0547598	0.0659908	0.0706496	0.0729559	0.0553602	0.0407572	0.0204544	0.0104704	0.01072	0.00954132	0.00647453	0.0157456	0.0132365	0.0116157	0.0256337	0.029831	0.0335379	0.0391833	0.0291747
de	0.0916196	0.0903045	0.0844388	0.0988993	0.0926058	0.054263	0.0476957	0.0156029	0.0112708	0.0118974	0.015688	0.014772	0.0124616	0.018113	0.0140495	0.0159306	0.0197363	0.0203014	0.0202988	0.0203299	0.0492603	0.0363188	0.0231563	0.037268	0.0119922	0.0265135	0.0262621	0.0189497
pied	0.0801746	0.0507373	0.0495351	0.103729	0.0494109	0.0501049	0.0695038	0.0436238	0.0552274	0.0462924	0.0633883	0.0424626	0.037738	0.0289904	0.0321389	0.0173256	0.00525209	0.012618	0.0133311	0.0130266	0.0247218	0.0109262	0.0164655	0.0343662	0.0104031	0.0175059	0.0155949	0.0054058
à	0.0824319	0.0497447	0.0562657	0.0602636	0.0433088	0.0310399	0.0454131	0.0280918	0.0138547	0.0176019	0.0120077	0.00727284	0.00496039	0.00306796	0.0054862	0.00853968	0.0107313	0.0219767	0.0282879	0.0193399	0.0702022	0.0357021	0.0428075	0.0531973	0.0564662	0.0492941	0.0766252	0.0660191
sa	0.0584281	0.047363	0.0427378	0.0355864	0.0378791	0.0207515	0.0290451	0.0211315	0.0172054	0.0143845	0.01158	0.00941831	0.0092633	0.00610941	0.00858176	0.0124432	0.0202607	0.0146513	0.0166306	0.0229977	0.0562816	0.0723466	0.0569306	0.0473841	0.0793471	0.0491291	0.0702762	0.111856
femme	0.0492927	0.0326838	0.0216248	0.0252618	0.0180624	0.0137234	0.0291187	0.0246083	0.0208032	0.0197881	0.0212658	0.0155193	0.0158891	0.0165622	0.0219588	0.0212844	0.0206433	0.0198116	0.0146224	0.0272781	0.0339598	0.0570261	0.0481589	0.0537071	0.107595	0.0647207	0.0736582	0.111372
</S>	0.0225112	0.0146652	0.00965475	0.00965745	0.0113361	0.00452234	0.00760936	0.00599672	0.00510338	0.00511521	0.00419918	0.00347	0.00328523	0.00427988	0.00893073	0.0144138	0.0122948	0.0212778	0.0160241	0.0384919	0.0481557	0.0681453	0.0638387	0.0909356	0.168989	0.0981217	0.0804607	0.158514
