 	a27	a10	a9	a10	a87	a23	a99	a83	a70	a96	a34	a5	a94	a18	a88	a0	a90	a44	a90	a99	a13	a57	a3	a97	a87	a23	a87	</S>
le	0.122078	0.113689	0.0874819	0.080628	0.0600337	0.0399737	0.0311768	0.0268758	0.0208174	0.0129194	0.00577997	0.00352281	0.0031618	0.00288404	0.00336808	0.0019204	0.00427162	0.00498586	0.0206727	0.0383321	0.0526352	0.062267	0.0378328	0.0309359	0.032766	0.0225838	0.012063	0.0643433
lézard	0.0138895	0.0795387	0.0742996	0.0745618	0.124048	0.069499	0.0708801	0.0854919	0.0716257	0.0321609	0.0245094	0.00946222	0.00910341	0.0162616	0.0392006	0.0238504	0.0438542	0.0268357	0.0275526	0.0103214	0.00819512	0.00917756	0.011838	0.00441169	0.00740915	0.00870231	0.0133402	0.00997978
à	0.0389894	0.0832495	0.0763785	0.0746312	0.0768367	0.07259	0.0800163	0.066847	0.040724	0.035172	0.0193919	0.0152234	0.00793408	0.0040975	0.00243436	0.00123763	0.00102553	0.00164432	0.00493654	0.00573918	0.00806957	0.00824823	0.0182037	0.0324388	0.03743	0.0459186	0.0778723	0.0627199
gueule	0.017096	0.0154339	0.0143005	0.0237033	0.0148896	0.0363265	0.0226276	0.0262888	0.0208161	0.0467994	0.0440606	0.0289626	0.0361622	0.0456659	0.0133202	0.0130356	0.0162542	0.0215853	0.0165977	0.0212962	0.0141873	0.0313215	0.0595183	0.0361852	0.0565661	0.0859014	0.1599	0.0611979
rouge	0.0389847	0.0263437	0.0208931	0.0240681	0.0241401	0.0526725	0.0709968	0.043923	0.0345438	0.0399235	0.0548803	0.0425907	0.0443252	0.0287999	0.0192455	0.0193295	0.0140749	0.0131133	0.0161626	0.0185292	0.0150252	0.0154507	0.0569881	0.0263189	0.0363907	0.0526077	0.0932449	0.0564335
vit	0.0584777	0.0479153	0.0312483	0.0173439	0.0169224	0.018065	0.0247345	0.0135828	0.0242135	0.021556	0.0291645	0.0362248	0.0272684	0.0218112	0.0208361	0.013801	0.0103818	0.00718936	0.0100302	0.0164585	0.0173311	0.0208942	0.0667548	0.0623577	0.0619219	0.0629816	0.102738	0.137796
dans	0.0706625	0.0667391	0.0348135	0.0236743	0.0194957	0.0136592	0.0140801	0.0115381	0.0137741	0.0115235	0.00825984	0.00911689	0.0150424	0.0142069	0.0122658	0.012666	0.0134383	0.0189941	0.0298318	0.045522	0.0445654	0.0417454	0.0626873	0.0668721	0.0651698	0.0623858	0.0648101	0.13246
la	0.0391152	0.0261928	0.0164227	0.00989638	0.01104	0.00627536	0.00694674	0.00575594	0.00838859	0.00844201	0.00947182	0.0094198	0.0117546	0.0122329	0.012103	0.0150354	0.0245717	0.0270666	0.0525178	0.0316238	0.0493707	0.0236787	0.054445	0.0940819	0.117826	0.103323	0.100738	0.112262
plaine	0.024295	0.0287214	0.0169713	0.0130996	0.0159628	0.0138128	0.0122856	0.0125462	0.0062902	0.00595055	0.00529347	0.00652554	0.00894033	0.0120341	0.0139764	0.00451927	0.00791183	0.00809242	0.0264657	0.0490232	0.0632406	0.0796873	0.153397	0.0824167	0.0887294	0.0908402	0.0872395	0.0617316
</S>	0.0573208	0.039671	0.0263143	0.021121	0.0218488	0.020354	0.0239708	0.0142581	0.0130519	0.0116914	0.0142291	0.0162367	0.0130395	0.0115238	0.00859106	0.0138919	0.0146571	0.0162972	0.0277595	0.0223301	0.0358077	0.0458219	0.0727952	0.100606	0.0821747	0.0860423	0.0725436	0.0960507
