 	a66	a87	a23	a87	a23	a30	a93	a34	a62	a61	a62	a47	a34	a21	a47	a96	a75	a6	a7	a44	a11	a24	a9	a10	a87	a23	a87	</S>
celui	0.0783011	0.0667421	0.082558	0.0514677	0.032793	0.0166824	0.00820388	0.00675977	0.0101241	0.0169779	0.0127053	0.00801156	0.00852716	0.00786167	0.0092293	0.00702187	0.0117426	0.019272	0.0288945	0.0644373	0.0389607	0.0484369	0.0486314	0.0671019	0.0525645	0.0725326	0.0445047	0.078954
qui	0.0177885	0.0135746	0.0117443	0.00962787	0.010178	0.0206928	0.0181388	0.0167298	0.0170938	0.0232588	0.0194941	0.0299729	0.0267721	0.0338322	0.0273956	0.0388773	0.0440869	0.0415195	0.0652765	0.0572194	0.0822439	0.0758285	0.0601002	0.0661044	0.0470604	0.0623741	0.0337673	0.0292474
a	0.0801804	0.0672453	0.05773	0.0510398	0.0247753	0.0196595	0.0143241	0.0121698	0.00903463	0.00788581	0.00585364	0.0064278	0.00423808	0.0122243	0.00697192	0.0173577	0.0260116	0.00907123	0.0126006	0.0150183	0.0263251	0.0269031	0.0537116	0.068094	0.0695526	0.0639479	0.106291	0.125356
exigé	0.127545	0.0750431	0.072573	0.0691294	0.0378297	0.040344	0.0169336	0.014588	0.0130507	0.0098195	0.00989811	0.00909366	0.0111645	0.0127362	0.0131734	0.0215128	0.0228769	0.0168795	0.0314139	0.0204036	0.0345966	0.0310822	0.0430329	0.0339667	0.034975	0.0344287	0.0413951	0.100514
ta	0.0869256	0.100498	0.107674	0.111474	0.0754836	0.0516447	0.0372317	0.0426596	0.0343009	0.0125774	0.0158777	0.00889188	0.00678976	0.0170828	0.0134537	0.0169733	0.0183392	0.0133576	0.0281609	0.012222	0.0223923	0.017085	0.0236406	0.0216531	0.0247126	0.020684	0.0365202	0.0216943
présence	0.0577593	0.0162198	0.0100099	0.00860955	0.0115868	0.0133001	0.0196717	0.028895	0.0407458	0.0375851	0.021247	0.0171438	0.0119778	0.0142573	0.0211104	0.0288367	0.0529634	0.0515011	0.0623978	0.0617242	0.0549724	0.0535258	0.0532294	0.0589996	0.0500172	0.0445483	0.0356605	0.0615045
en	0.0608493	0.0391747	0.0283586	0.021768	0.00987378	0.013131	0.0104039	0.0113228	0.012466	0.00644036	0.00462891	0.00346052	0.00196733	0.00519487	0.00468737	0.00768239	0.0157832	0.0152783	0.0226437	0.0163347	0.0372684	0.0385739	0.10849	0.114236	0.139556	0.0899685	0.114118	0.046339
ce	0.0464334	0.0357723	0.0232253	0.0202176	0.0119751	0.00483233	0.00317955	0.00513213	0.00590871	0.00793998	0.00480943	0.00387171	0.00298877	0.00744624	0.00953798	0.0119002	0.0228712	0.0267017	0.041921	0.0471148	0.0629479	0.0612221	0.101137	0.0884737	0.110766	0.0660631	0.095513	0.070098
lieu	0.0320718	0.0237112	0.0206647	0.0213266	0.0179987	0.0220878	0.0145571	0.0217773	0.0202616	0.0128981	0.0108458	0.0119902	0.0058925	0.0129334	0.00961101	0.0077263	0.0156748	0.0110059	0.0119302	0.0152005	0.0200158	0.0212726	0.0573621	0.0787303	0.127484	0.0581455	0.153649	0.163176
c'	0.0213551	0.0206454	0.0197515	0.0148016	0.0167776	0.0115163	0.00960233	0.0105449	0.00862011	0.00671657	0.00682548	0.00626745	0.00396175	0.00578963	0.00598166	0.00476143	0.00943141	0.0116781	0.0125777	0.0246158	0.0241591	0.0300529	0.0787669	0.0994613	0.155185	0.076615	0.15007	0.153467
est	0.0661183	0.0410187	0.0414681	0.029868	0.00712972	0.00234048	0.00101761	0.0013523	0.00316556	0.00422607	0.00401098	0.00198631	0.00128532	0.00304155	0.00364934	0.00561558	0.0192069	0.0474775	0.0494497	0.0614235	0.0591764	0.0697979	0.0734782	0.087457	0.0770317	0.0846991	0.0968595	0.0566487
ngakosso	0.0865691	0.0474437	0.0703781	0.085894	0.0651588	0.0304078	0.01967	0.0239645	0.0322026	0.0213526	0.0330091	0.0182515	0.00998102	0.019245	0.0219714	0.0197227	0.0363389	0.0288958	0.0273561	0.01776	0.0220505	0.0149127	0.0299316	0.0304559	0.0534479	0.027709	0.045761	0.0601585
</S>	0.0194739	0.0116367	0.00926908	0.00816701	0.0060492	0.0113092	0.00657216	0.0128505	0.019284	0.0138605	0.0241676	0.0159113	0.00863815	0.0198412	0.024655	0.0210869	0.0493596	0.0581062	0.0540584	0.0474698	0.0605639	0.0514084	0.0744205	0.0898478	0.108189	0.0646978	0.0636861	0.0454201
