 	a66	a87	a97	a87	a97	a87	a97	a99	a83	a98	a6	a85	a5	a61	a18	a24	a18	a96	a83	a75	a92	a5	a61	a96	a75	a5	a36	a18	a11	a75	a5	a36	a88	a70	a4	a93	a94	a11	a54	a7	a36	a11	a9	a10	a87	a97	a87	a97	a99	a97	a99	a97	</S>
cet	0.0232123	0.0430434	0.0193002	0.0167898	0.0126591	0.0218724	0.0287184	0.0394332	0.0252467	0.132087	0.0640643	0.0569087	0.0394963	0.0144401	0.0159709	0.0124243	0.0110115	0.00838646	0.00664925	0.00858013	0.00833673	0.0112076	0.012269	0.0101951	0.0123641	0.00888912	0.00963268	0.0133406	0.0126102	0.0161685	0.0229333	0.0279439	0.0194406	0.0218313	0.0117651	0.011628	0.0128638	0.0153535	0.00720556	0.00753795	0.00892081	0.00894012	0.00915205	0.0106343	0.00984658	0.00901607	0.00942415	0.00994513	0.0104161	0.00776845	0.0154274	0.00803188	0.00866633
homme	0.0030116	0.00295888	0.00432843	0.0079008	0.0287107	0.0110901	0.0705914	0.0682467	0.0718324	0.121225	0.0801017	0.0569832	0.0275019	0.0500211	0.0366304	0.0184083	0.0286579	0.0328185	0.0198221	0.0530086	0.0339663	0.0215851	0.0215207	0.0130216	0.0290157	0.0123929	0.0136418	0.0113771	0.00394952	0.00310784	0.00211996	0.00252213	0.00411543	0.00476087	0.0026193	0.00121547	0.00193364	0.00272942	0.000655608	0.000439556	0.000581029	0.000508336	0.000399565	0.000802109	0.000581624	0.000413547	0.00113237	0.00201577	0.00161045	0.00217672	0.00336982	0.00183077	0.00403857
est	0.0308612	0.0190162	0.0202652	0.0104529	0.00945833	0.00638205	0.0081705	0.00825586	0.0102841	0.0114524	0.0213081	0.0361719	0.0457631	0.0170172	0.0178447	0.0225631	0.0213649	0.0231032	0.0327145	0.0554808	0.05042	0.0686789	0.0422586	0.0421352	0.0318193	0.0339088	0.0119971	0.0137463	0.00887647	0.00832549	0.00461493	0.00298385	0.00422696	0.00289334	0.00359254	0.00606312	0.00348397	0.00485676	0.00911537	0.0108725	0.0144555	0.0132327	0.0129501	0.0110911	0.0132281	0.0159386	0.0113642	0.0100123	0.00991169	0.0155266	0.0147333	0.026252	0.0385042
accablé	0.0308312	0.0248711	0.0201388	0.0155571	0.013114	0.00603587	0.00629443	0.00443206	0.00528771	0.00442647	0.00580182	0.00930598	0.00789397	0.0142431	0.0183114	0.0264516	0.0358255	0.0238018	0.0310699	0.0365514	0.0417328	0.032614	0.0272341	0.0270091	0.0136907	0.0183566	0.00748004	0.0106474	0.0196032	0.0259427	0.0236352	0.0204977	0.0328864	0.0262417	0.0217635	0.0252804	0.0155068	0.0192876	0.00892906	0.0121759	0.0105486	0.0134195	0.00738666	0.0124495	0.0117599	0.0124952	0.0131433	0.015419	0.0194238	0.0252604	0.0279728	0.0211096	0.0388514
de	0.0301971	0.0265726	0.01832	0.0127	0.00824595	0.00596373	0.00558311	0.0052907	0.00631945	0.00697149	0.0115155	0.0266535	0.0206588	0.0111285	0.0129624	0.0204765	0.0234809	0.0250077	0.0311888	0.0421692	0.036155	0.0332015	0.0402578	0.0312808	0.0307647	0.0342499	0.0340775	0.0410498	0.0436825	0.0382883	0.038701	0.0267302	0.0302505	0.0254715	0.0164572	0.0105382	0.00299494	0.00423691	0.00203056	0.00151576	0.00185167	0.00282091	0.0010694	0.00279758	0.00601841	0.00522287	0.00593212	0.0100792	0.00884976	0.0223661	0.0145165	0.0214727	0.0236623
tristesse	0.0205102	0.0124446	0.0124444	0.00893249	0.00739762	0.00585154	0.00656638	0.00644848	0.00617639	0.00956052	0.00919425	0.0124762	0.0161056	0.0143481	0.0194884	0.031039	0.0273145	0.0277671	0.0405789	0.0557416	0.0573285	0.0595713	0.0468492	0.0385129	0.0256341	0.0330988	0.0165214	0.0177718	0.0190504	0.0166855	0.0142897	0.0109212	0.0130978	0.0102545	0.0137985	0.0164232	0.00734705	0.0106328	0.00463643	0.00678525	0.00926536	0.00705697	0.00358981	0.0089636	0.0138538	0.0122229	0.0111299	0.0154465	0.0138826	0.0327118	0.021684	0.0252369	0.0353596
parce	0.0240876	0.0150197	0.0187412	0.0120722	0.0151276	0.0082439	0.0120453	0.015215	0.0153682	0.0136142	0.017164	0.0200838	0.0267329	0.0264482	0.0265992	0.0392821	0.0355389	0.0386112	0.049718	0.0395134	0.0460139	0.0471063	0.0318114	0.0333809	0.0252632	0.0226466	0.0176403	0.014678	0.0173318	0.0155453	0.0151177	0.0101722	0.0153389	0.0115095	0.00894137	0.00884451	0.00696421	0.0051086	0.00370195	0.00459509	0.00742909	0.00866038	0.00606892	0.0074792	0.00880302	0.00604083	0.00840489	0.0111594	0.00868018	0.0149611	0.0175903	0.0164184	0.0473658
qu'	0.0322614	0.019943	0.0126005	0.00517198	0.00309283	0.00345594	0.00382355	0.00477834	0.00466126	0.00595443	0.00957749	0.014964	0.00927266	0.0060948	0.00661985	0.0101831	0.0166882	0.0235758	0.0219962	0.0352555	0.0360427	0.0446423	0.0487151	0.0442091	0.0411708	0.0369452	0.0358621	0.0345279	0.0210458	0.0281149	0.0180832	0.0179239	0.0197172	0.014611	0.0111636	0.01137	0.0094738	0.00750832	0.00623209	0.00606334	0.00979814	0.0189323	0.0109242	0.0178313	0.0134788	0.0127511	0.0152823	0.0231331	0.021794	0.0317248	0.0200301	0.0287372	0.0321893
il	0.0254277	0.0159436	0.0112832	0.00494098	0.00268928	0.00267801	0.00294667	0.00418676	0.00374999	0.00490897	0.00676904	0.0101521	0.00747588	0.00340136	0.00586662	0.0085997	0.014667	0.0204563	0.0222659	0.0432302	0.0474064	0.0523817	0.0480257	0.0446738	0.0392741	0.0476112	0.029296	0.0285604	0.0239855	0.0300629	0.0230213	0.022858	0.0276492	0.0236834	0.0243711	0.0263059	0.0176205	0.0167783	0.00595789	0.0081001	0.0109012	0.0157945	0.00551986	0.0137052	0.0160253	0.0147329	0.01126	0.0166142	0.0130212	0.0207765	0.0127801	0.0170436	0.0225628
a	0.0438879	0.0269585	0.0256431	0.018528	0.0153531	0.0181627	0.0190533	0.0232399	0.0213595	0.0195315	0.0157014	0.0138375	0.0099219	0.0055384	0.00780403	0.00991665	0.0136344	0.0187071	0.0172201	0.0261202	0.0321584	0.0281591	0.0272198	0.0181244	0.0232686	0.0193634	0.0152193	0.0186817	0.0183108	0.023464	0.0210769	0.0259488	0.0320477	0.0331659	0.0271935	0.0249425	0.01728	0.0179024	0.0067388	0.00721632	0.0111248	0.0129974	0.00629071	0.0138474	0.0115568	0.0089753	0.00893205	0.0180611	0.0106215	0.0255214	0.0146425	0.0176039	0.0322234
