 	a66	a87	a23	a99	a54	a47	a6	a37	a90	a98	a47	a37	a21	a85	a6	a37	a5	a43	a62	a34	a75	a47	a6	a37	a5	a12	a18	a71	a25	a87	a23	a99	a97	</S>
les	0.0232833	0.0394274	0.0236617	0.0264754	0.0553852	0.0696413	0.0642934	0.0697782	0.0737134	0.0497302	0.0184226	0.0296315	0.0276111	0.0146973	0.0261232	0.0244944	0.0168294	0.0148725	0.020585	0.0203099	0.0265173	0.0125101	0.0203473	0.0258452	0.0327739	0.0256918	0.0285653	0.0172069	0.0122834	0.0120704	0.016077	0.0172018	0.0136977	0.0302451
enfants	0.00313428	0.00798289	0.0074965	0.0109152	0.029289	0.039212	0.103317	0.205393	0.141986	0.0798535	0.142959	0.0591213	0.0207918	0.0202827	0.0113305	0.0150091	0.00832409	0.0112249	0.0046875	0.00569043	0.00568131	0.00531007	0.00828265	0.00445823	0.00402717	0.00831424	0.00669227	0.00243831	0.00348436	0.00411247	0.00544865	0.00393724	0.00721597	0.00259641
sont	0.102757	0.133359	0.067291	0.0764856	0.0960881	0.0605982	0.0618426	0.0590842	0.0387822	0.0237719	0.0192492	0.00889877	0.00301025	0.0019527	0.0031617	0.0053774	0.00391421	0.0130683	0.00493488	0.0060743	0.014352	0.00361125	0.00988225	0.00425053	0.00585884	0.00831956	0.0332513	0.00903144	0.02266	0.0178974	0.0132022	0.00654312	0.0532863	0.00815228
en	0.0181565	0.0221252	0.0147459	0.015285	0.0173277	0.0178739	0.0185157	0.0232674	0.0313389	0.038144	0.0279115	0.035189	0.018113	0.0266437	0.0301544	0.0515805	0.0601112	0.0640542	0.0696546	0.0333653	0.0209543	0.0277574	0.0167874	0.0189485	0.0161123	0.0190108	0.019591	0.0229499	0.0472263	0.0267496	0.0433871	0.025424	0.0238666	0.0376772
train	0.0421579	0.0416424	0.03378	0.0274502	0.0289044	0.0174102	0.0148068	0.0159976	0.0199923	0.025377	0.0243035	0.0344186	0.0261423	0.0273972	0.0399246	0.090262	0.0833843	0.0782668	0.0662241	0.0435024	0.0303688	0.0321285	0.0236049	0.0183781	0.0127843	0.00850232	0.0147771	0.00977658	0.013057	0.0106316	0.013013	0.00963057	0.00758192	0.0144207
de	0.0442153	0.0213965	0.0175959	0.0159893	0.0265443	0.0142991	0.019184	0.0227525	0.0233746	0.0356133	0.0601375	0.0494354	0.0345542	0.0153146	0.0232199	0.0167251	0.0148127	0.0119009	0.0096543	0.0265582	0.0354548	0.0221076	0.0335195	0.065993	0.0351614	0.0230576	0.035063	0.0177589	0.0233771	0.0455678	0.0311075	0.0276243	0.0548897	0.0460405
piéger	0.0433321	0.0252006	0.0173165	0.00931634	0.0138397	0.0143209	0.0184879	0.0263386	0.0453876	0.0925049	0.0627127	0.0764522	0.0476507	0.0230898	0.032743	0.0270244	0.0203448	0.0171908	0.0155053	0.0267814	0.0442337	0.030329	0.0420222	0.0550454	0.0358765	0.0261712	0.013684	0.0116798	0.00816784	0.0131015	0.0109721	0.010221	0.0182817	0.0246738
les	0.0569194	0.0209928	0.0242627	0.0147841	0.0118042	0.00644811	0.00710379	0.00992655	0.0152503	0.0215307	0.0270767	0.0290717	0.0280814	0.0208844	0.0380703	0.0256524	0.0146911	0.0148916	0.0186237	0.0325919	0.0457794	0.0382498	0.0585768	0.0498648	0.0371357	0.0331085	0.0340671	0.0310796	0.0372282	0.0416458	0.0224912	0.0282753	0.0445521	0.059288
oiseaux	0.0588654	0.0289942	0.0279584	0.0199554	0.0153299	0.00431996	0.0046982	0.00628873	0.00730082	0.0094054	0.0179254	0.0118104	0.0103467	0.005422	0.0102087	0.00709589	0.00552713	0.00517792	0.00841368	0.0160976	0.0208789	0.0256881	0.0326413	0.0502958	0.032913	0.037898	0.0366946	0.0416064	0.0673024	0.0869395	0.0540156	0.0640409	0.0634967	0.104447
avec	0.0386727	0.0235267	0.0182594	0.014137	0.0194236	0.00647962	0.00537936	0.00664045	0.00692215	0.0125111	0.0222623	0.0204151	0.0212062	0.0130906	0.0258134	0.0169506	0.012277	0.010605	0.0182329	0.0192141	0.0211902	0.021386	0.0379717	0.0528683	0.0445379	0.0457621	0.0562515	0.0515591	0.0612009	0.0557301	0.0462071	0.0673514	0.0374829	0.0684814
