 	a66	a87	a23	a18	a83	a61	a12	a62	a21	a12	a61	a21	a5	a98	a47	a79	a15	a47	a36	a7	a2	a57	a87	a40	a36	a26	a93	a70	a13	a62	a75	a6	a36	a26	a2	a57	a87	a23	a87	</S>
de	0.0661282	0.0860475	0.0385768	0.0274928	0.0278973	0.0391703	0.0520178	0.0583712	0.0453137	0.0242461	0.0158766	0.0175915	0.0106592	0.00772888	0.00810874	0.00664854	0.00488912	0.00837271	0.0134115	0.0134874	0.0150516	0.0341943	0.023119	0.0195893	0.0219912	0.0177902	0.0145285	0.00813306	0.0110528	0.0136974	0.0196574	0.0196686	0.0240265	0.0251057	0.0252334	0.0227849	0.0224563	0.0233726	0.0268133	0.0396979
la	0.0124684	0.0136031	0.0123574	0.0169968	0.0155071	0.00947139	0.014053	0.0133101	0.012501	0.0218092	0.0194382	0.0312413	0.0376724	0.0641817	0.074975	0.112336	0.148	0.0891476	0.0555208	0.042157	0.0121604	0.0188551	0.00576593	0.00952866	0.00791911	0.00921523	0.0096585	0.0122912	0.00532634	0.00457535	0.00680827	0.00343766	0.00545437	0.00706868	0.00953436	0.00980069	0.00963895	0.0122094	0.00949556	0.0145087
manière	0.00986705	0.0100083	0.00509136	0.00881775	0.00945855	0.00767686	0.0149256	0.0188452	0.0185622	0.017431	0.0167076	0.0250265	0.0284382	0.0515186	0.0573445	0.113618	0.04993	0.0495393	0.100388	0.0363151	0.0251647	0.0457741	0.0220656	0.0322048	0.0147234	0.0162655	0.0138525	0.00715549	0.00531361	0.0038127	0.0123949	0.0100519	0.00890451	0.0191905	0.0185695	0.0234412	0.0229575	0.016907	0.0227667	0.00897415
dont	0.104632	0.0500973	0.0143182	0.013833	0.00911149	0.00621058	0.00236668	0.00392371	0.00399736	0.0062553	0.0057566	0.00902672	0.0108842	0.0154252	0.0217539	0.0163267	0.0373161	0.0348452	0.0440229	0.0434818	0.0266341	0.0121136	0.0364502	0.0284821	0.030698	0.0241903	0.0347318	0.0372037	0.0162752	0.0286118	0.0139158	0.0202346	0.0224413	0.0146219	0.0301916	0.0302486	0.0312459	0.0392325	0.0391243	0.0297679
on	0.0589924	0.0353844	0.0202726	0.0140129	0.00631579	0.00312005	0.000908922	0.00186195	0.00229122	0.00383707	0.00336183	0.00821281	0.0150583	0.014876	0.0308956	0.0308675	0.054639	0.0664601	0.0593552	0.0553988	0.050548	0.0393019	0.0576754	0.0289544	0.0461314	0.0696845	0.0259346	0.0378295	0.02081	0.0253617	0.0191898	0.0183866	0.00956034	0.00883422	0.00953556	0.00863662	0.00759322	0.00894204	0.0117355	0.00923232
l'	0.0313594	0.021211	0.0174624	0.011093	0.00884268	0.00639951	0.00337651	0.00338027	0.00548111	0.0105792	0.0105783	0.0166195	0.0185559	0.0190579	0.0511411	0.0494582	0.0925193	0.0935749	0.0470666	0.0289205	0.0281586	0.0341009	0.0362729	0.019059	0.0271167	0.0394523	0.0215891	0.0442402	0.0232062	0.0175518	0.0186217	0.0142213	0.0107448	0.0144639	0.0196363	0.015846	0.0159078	0.017257	0.0159371	0.0199394
a	0.0271321	0.01807	0.0188432	0.0105002	0.0118765	0.00711718	0.00614148	0.00443154	0.00528048	0.0125363	0.0198568	0.0240365	0.0246913	0.0449138	0.0716058	0.0656561	0.0552176	0.0637714	0.0431681	0.0327721	0.0353435	0.0498272	0.0355987	0.0143626	0.0134871	0.00933596	0.0118059	0.0239024	0.0171187	0.0134576	0.0140047	0.0176411	0.013798	0.0211298	0.0295213	0.0234224	0.024585	0.0222805	0.0249604	0.0167985
poignardé	0.050512	0.0294104	0.0396136	0.0194904	0.018442	0.0105439	0.00741771	0.00759303	0.00687834	0.0152343	0.0193184	0.0253339	0.0207952	0.0314982	0.0527877	0.0433567	0.0545354	0.0313347	0.0319541	0.0154729	0.00817368	0.0109662	0.0129484	0.0109888	0.0123822	0.0171371	0.012961	0.0230617	0.011861	0.0139943	0.0140785	0.0257536	0.0255503	0.0293822	0.0397821	0.0377149	0.0433305	0.0348365	0.0410239	0.0425504
il	0.0488227	0.0409615	0.0415171	0.0176212	0.0254492	0.0184509	0.00914502	0.00862796	0.00597837	0.00912495	0.0126057	0.0151368	0.0120571	0.0116793	0.0197436	0.0156938	0.0314742	0.0156235	0.0184857	0.0161294	0.00755355	0.0166756	0.0135706	0.0119692	0.01341	0.0205623	0.0134682	0.0207971	0.0165675	0.0230828	0.0233025	0.0302117	0.0293992	0.0438034	0.0430698	0.0419022	0.0510721	0.0445608	0.0585104	0.0821831
ne	0.0475149	0.0316685	0.0316144	0.0149683	0.029144	0.0206843	0.010988	0.0123774	0.00948136	0.0144173	0.0160289	0.0210685	0.0203556	0.0223904	0.0361251	0.0258895	0.0385844	0.0279979	0.0235196	0.0182402	0.00779973	0.0148303	0.013202	0.00903993	0.00794233	0.0145128	0.0112005	0.0159736	0.0166765	0.0204074	0.0164086	0.0254313	0.0207903	0.025844	0.0294487	0.0299188	0.0340673	0.0334936	0.0536915	0.126262
survivra	0.0410545	0.0251306	0.0255177	0.013729	0.0222496	0.0180843	0.015915	0.016404	0.0121611	0.0267372	0.0273599	0.0324564	0.0233316	0.0246968	0.0360498	0.0225954	0.0291565	0.0309271	0.0293819	0.0294274	0.0179562	0.0252309	0.0173663	0.0102517	0.00819443	0.0105994	0.0088147	0.00973551	0.0118878	0.0132638	0.013811	0.0229081	0.0209089	0.0209048	0.0282835	0.0295559	0.0326788	0.0323944	0.049817	0.113071
pas	0.0836438	0.0520153	0.036701	0.0285537	0.0324339	0.0318005	0.0182484	0.0144593	0.0105932	0.018567	0.0114105	0.0133251	0.00833295	0.00742395	0.0113605	0.00744032	0.0115721	0.0124208	0.0114009	0.0100348	0.00427877	0.0100457	0.00685179	0.00629734	0.00786901	0.00982679	0.00602663	0.00722599	0.00759552	0.0190242	0.0294842	0.0273766	0.0230102	0.0264328	0.0321444	0.0350728	0.0377132	0.0443448	0.0667089	0.160932
</S>	0.0552	0.0355015	0.0289662	0.0114065	0.0244033	0.0212937	0.0167765	0.0153623	0.0134389	0.0237735	0.0232915	0.021617	0.0126771	0.0111867	0.0139521	0.00822413	0.0107353	0.0104387	0.0109928	0.0134341	0.00918726	0.0129992	0.00679504	0.00347564	0.00414523	0.00801649	0.00940264	0.0119398	0.0151629	0.0223262	0.0275984	0.0223011	0.0221893	0.0276831	0.0424281	0.0486764	0.0482646	0.055609	0.0788765	0.140251
