 	a87	a23	a83	a54	a6	a37	a61	a66	a61	a47	a96	a0	a75	a25	a69	a54	a98	a47	a85	a92	a79	a98	a92	a85	a92	a37	a43	a24	a0	a10	a87	a23	a87	</S>
l'	0.058455	0.0494214	0.0431156	0.0703954	0.158978	0.118121	0.0413603	0.0203143	0.0266911	0.0144409	0.0159049	0.0189921	0.0245537	0.0129143	0.0154852	0.0116176	0.0120964	0.0117791	0.0132438	0.0259826	0.0338526	0.00958578	0.00789797	0.00590419	0.0115703	0.00738141	0.00979043	0.015523	0.0161933	0.0188461	0.0188648	0.0170508	0.0188548	0.0448223
enfant	0.0183096	0.040976	0.0239568	0.0632635	0.0690784	0.0882892	0.0334245	0.0141238	0.0273778	0.0603382	0.0478416	0.0525396	0.0555964	0.084476	0.0614466	0.0525636	0.0454912	0.0464876	0.018563	0.0210418	0.0110503	0.022502	0.00430354	0.0051236	0.00211231	0.0021063	0.00386458	0.00379244	0.00210397	0.00304104	0.00220282	0.00200012	0.00681328	0.00379813
a	0.0312184	0.0186561	0.0193348	0.0245264	0.0191853	0.0298514	0.0184857	0.011634	0.0433793	0.0453208	0.0775794	0.0766776	0.118813	0.162968	0.0984793	0.0431296	0.0200747	0.014402	0.00735684	0.00269796	0.00200503	0.00839143	0.00547915	0.00904035	0.00406646	0.00402286	0.00730816	0.00721075	0.00976958	0.0057403	0.0103423	0.0139833	0.0207897	0.0080798
sali	0.0487892	0.0207927	0.00842871	0.0105394	0.00698481	0.0125325	0.0184815	0.0156206	0.0277282	0.0242215	0.0460765	0.0539824	0.0622489	0.0800545	0.117963	0.109474	0.0481391	0.0435241	0.0277872	0.0168968	0.0121762	0.010767	0.0100402	0.0135551	0.0162258	0.014755	0.0158166	0.0148997	0.015395	0.00971514	0.0145227	0.0146203	0.0108589	0.0263869
l'	0.0776086	0.0559548	0.0340157	0.0324584	0.0246656	0.0575945	0.0787445	0.0729501	0.0763976	0.0559226	0.0585263	0.0510431	0.0285908	0.0112178	0.0164357	0.0219406	0.0240568	0.0202489	0.0124628	0.0175788	0.0158818	0.0181625	0.0125224	0.0129915	0.00759699	0.00566171	0.00690272	0.0102821	0.0134043	0.0103457	0.0127964	0.00920543	0.0100735	0.0257592
habit	0.0248663	0.00875116	0.00666868	0.00773825	0.00794909	0.0144262	0.0366419	0.0490467	0.0589732	0.0695088	0.138427	0.0747128	0.0497116	0.0543765	0.0537701	0.0466071	0.0302023	0.0199814	0.0147286	0.0121477	0.0114315	0.00977181	0.00979703	0.0147473	0.0152248	0.0165541	0.017837	0.0300888	0.0252805	0.0160829	0.0138907	0.0179144	0.00970931	0.0124341
avec	0.0683842	0.0321204	0.0268269	0.0289881	0.0224437	0.0452924	0.0435993	0.0411659	0.0542279	0.0334462	0.0897135	0.0596116	0.0691221	0.0498904	0.0485949	0.0246782	0.0135469	0.0122642	0.013698	0.0110757	0.00908057	0.00671823	0.00687612	0.0106763	0.0136248	0.0117272	0.012386	0.0162979	0.0238545	0.0216546	0.0212632	0.018994	0.0138165	0.0243399
le	0.0430122	0.0127106	0.0145427	0.0111344	0.00636265	0.0078922	0.00876992	0.0126954	0.0177612	0.0248232	0.0592056	0.031134	0.0380973	0.0418164	0.0336462	0.0315101	0.0223068	0.0154253	0.0160301	0.0134185	0.0204803	0.02209	0.0177307	0.0734277	0.0478091	0.0396311	0.0528288	0.0487021	0.0513746	0.0411305	0.0387458	0.0299344	0.023536	0.0302845
jus	0.0440134	0.0213718	0.0194793	0.0181116	0.0138545	0.00867999	0.010056	0.0156405	0.0174598	0.0188961	0.0295567	0.0189575	0.0201926	0.0188701	0.0149449	0.0187074	0.0176696	0.0131743	0.0182181	0.0175446	0.0201262	0.0208089	0.0282564	0.0345903	0.0596948	0.0691256	0.0589875	0.056395	0.05073	0.0612483	0.0441463	0.0433527	0.0471872	0.0299518
de	0.0508896	0.0314321	0.0203071	0.0215491	0.0217378	0.0256961	0.0299797	0.0337289	0.0288996	0.0249819	0.0332958	0.027004	0.0290962	0.0274969	0.0330452	0.0272792	0.023427	0.0173625	0.0136325	0.0134126	0.0115305	0.011116	0.00856259	0.0132696	0.0213048	0.0205747	0.018237	0.0409229	0.0404749	0.0687657	0.0402945	0.0441135	0.0345281	0.0920515
de	0.0541141	0.037429	0.0340827	0.0278648	0.0241337	0.0201245	0.0208828	0.0182236	0.019799	0.0137959	0.0158119	0.0147878	0.0155769	0.0166752	0.0177109	0.0178098	0.0170018	0.0148058	0.015867	0.0181071	0.0193652	0.0197925	0.0194607	0.029635	0.040137	0.0427833	0.034494	0.0408511	0.0475977	0.0534994	0.0423073	0.0408928	0.034606	0.0999738
tswiteke	0.0555091	0.033959	0.0283282	0.0200577	0.0160075	0.0135087	0.0169514	0.0168282	0.0203958	0.0144833	0.0152844	0.0149469	0.0157723	0.0162067	0.016026	0.0157674	0.0141328	0.0123017	0.0142487	0.016002	0.0192083	0.0155584	0.0128309	0.022512	0.0371792	0.0325338	0.0327091	0.046534	0.0607993	0.0685669	0.0548923	0.0602102	0.0495992	0.100149
</S>	0.0662998	0.0290642	0.022009	0.0205793	0.0186448	0.0184323	0.0181974	0.0191784	0.0284046	0.0215478	0.0241214	0.0223483	0.0253342	0.0218329	0.0204268	0.0147204	0.00899545	0.00852153	0.0103538	0.0119282	0.0177577	0.0103434	0.0104617	0.0197274	0.0326946	0.0202305	0.0288416	0.0387722	0.0791027	0.0434549	0.0660248	0.0566358	0.0602925	0.0847197
