 	a82	a87	a23	a30	a53	a20	a47	a12	a61	a34	a75	a98	a92	a85	a92	a44	a93	a56	a44	a11	a21	a12	a47	a96	a93	a90	a79	a44	a90	a4	a58	a82	a87	a23	a87	</S>
il	0.0416707	0.0291153	0.0717965	0.0670516	0.0936806	0.13149	0.0752419	0.0423091	0.0277849	0.0164318	0.0154844	0.00863544	0.0105847	0.00516434	0.00784371	0.0075025	0.00471505	0.00548595	0.00537911	0.00477851	0.00709132	0.0111019	0.0077614	0.00608255	0.0110695	0.0145828	0.0203252	0.0210624	0.034076	0.0378325	0.0370338	0.0242621	0.0208773	0.0205176	0.0226708	0.0315067
boude	0.0089514	0.0169748	0.0170958	0.0251161	0.0230068	0.040301	0.0362256	0.0454351	0.036233	0.0291023	0.046078	0.0486268	0.0387343	0.0297041	0.0235239	0.0276404	0.0183672	0.0146223	0.0205024	0.0181663	0.0238607	0.0263563	0.0299799	0.0239674	0.0359522	0.0304802	0.0250989	0.044472	0.0328993	0.0227829	0.0295141	0.0288204	0.02234	0.0165396	0.0281512	0.0143773
parce	0.045337	0.0222912	0.0268374	0.0219525	0.0280978	0.021779	0.037192	0.0356619	0.028035	0.0306724	0.0320601	0.0288107	0.0302848	0.0209919	0.0160941	0.00860862	0.00488779	0.00219348	0.00350048	0.00289795	0.00363977	0.00546949	0.00656729	0.00564672	0.00826311	0.00397336	0.00542128	0.0136174	0.021373	0.0248552	0.0369921	0.0493904	0.0663906	0.0544721	0.0658659	0.179876
que	0.0784682	0.0406695	0.0353533	0.0161865	0.0303825	0.0283782	0.0298818	0.0266082	0.0222585	0.0193425	0.0178295	0.0244891	0.0167415	0.0175982	0.0111148	0.0130159	0.0120609	0.0074949	0.0122055	0.0133231	0.0141629	0.0160543	0.027773	0.0218083	0.0200781	0.0318674	0.0234529	0.0343204	0.0351438	0.0336998	0.0413638	0.0410158	0.0353453	0.0335612	0.0398935	0.0770568
sa	0.0782572	0.0768471	0.0815481	0.0474198	0.0297024	0.0145909	0.0112022	0.0116308	0.00831069	0.00811811	0.00631653	0.00600376	0.00627883	0.00559789	0.00439235	0.00668933	0.012429	0.01169	0.0142232	0.019277	0.0321811	0.0628363	0.0765139	0.0704988	0.054964	0.0333524	0.013988	0.0241626	0.0159877	0.0135084	0.0194782	0.0206216	0.0191533	0.0186281	0.0356632	0.0279372
mère	0.0346652	0.0247346	0.0194263	0.0287421	0.0213532	0.0204913	0.0234927	0.0115349	0.00927961	0.00845402	0.00887718	0.0116905	0.016509	0.0107818	0.0130568	0.0301539	0.0286634	0.0235549	0.0161753	0.0188057	0.0174284	0.0375404	0.0484751	0.0663245	0.0635561	0.0636971	0.0275556	0.0507932	0.0384309	0.0340427	0.0318523	0.034512	0.0263659	0.026548	0.0305477	0.0218873
lui	0.0457104	0.082691	0.0622322	0.0484521	0.0651063	0.0387474	0.0299732	0.0153533	0.0130127	0.010834	0.0106557	0.00677712	0.0104468	0.00783398	0.00731679	0.00958597	0.0131514	0.00656485	0.00916368	0.00729635	0.0105516	0.0217475	0.0281989	0.0232731	0.0268327	0.0217564	0.0106998	0.0177964	0.0221271	0.0276618	0.0349993	0.0396283	0.0501484	0.0416732	0.0576592	0.0643413
a	0.0298359	0.0713333	0.0425628	0.0329821	0.0381742	0.0214753	0.021729	0.0214724	0.0157135	0.0151587	0.0154995	0.0138388	0.0167412	0.0144534	0.00980363	0.0105804	0.0216382	0.0172065	0.0246396	0.0241471	0.0241248	0.0323498	0.0399489	0.0296924	0.0307988	0.0346475	0.023012	0.0321809	0.0439674	0.0375089	0.0264592	0.0383663	0.0298003	0.0303353	0.0376324	0.0301898
refusé	0.0238416	0.0516763	0.0322027	0.0360402	0.069783	0.0715121	0.052424	0.0633468	0.0374153	0.0336031	0.0297071	0.0137727	0.0175041	0.0136213	0.00989358	0.0121234	0.0188271	0.0096796	0.0117031	0.00547329	0.00905749	0.0120087	0.0109536	0.00813262	0.00833401	0.0114519	0.00801776	0.0127659	0.0341386	0.0334873	0.034276	0.0350088	0.0344209	0.0428638	0.0378633	0.053069
de	0.0297476	0.0221543	0.0245302	0.0211766	0.0284199	0.0258853	0.0291436	0.0287314	0.0220136	0.0191646	0.0195608	0.0113371	0.0117913	0.00717025	0.00654191	0.00477429	0.00819933	0.00823961	0.0100099	0.0050586	0.0130545	0.0307	0.023149	0.019956	0.0278978	0.0312257	0.0320241	0.0461084	0.0431116	0.0329409	0.0640864	0.0538691	0.0543863	0.0558347	0.0669603	0.0610452
