 	a66	a87	a97	a87	a97	a87	a99	a0	a24	a11	a12	a98	a62	a50	a99	a50	a24	a50	a83	a50	a96	a83	a71	a38	a4	a58	a26	a82	a9	a10	a97	a99	a97	a99	a97	</S>
nous	0.11055	0.180314	0.131362	0.0615452	0.0573945	0.0324782	0.0408902	0.0501973	0.0216351	0.0152219	0.011319	0.00513827	0.00357341	0.00496465	0.00218261	0.00287132	0.0024142	0.00143192	0.00130126	0.00154681	0.00431587	0.00505951	0.00282733	0.00485921	0.00812778	0.00939218	0.014936	0.0183705	0.0272019	0.0238655	0.021028	0.0248379	0.0273799	0.0197325	0.0226712	0.0270622
sommes	0.018238	0.0180493	0.022398	0.023201	0.0167858	0.0168617	0.0145553	0.021843	0.0300646	0.0374347	0.0207777	0.0340928	0.0294929	0.0274237	0.0198037	0.0807125	0.0446634	0.0237245	0.0288921	0.0349163	0.118933	0.0545839	0.0511718	0.022248	0.0126924	0.017889	0.0129738	0.0122053	0.0188798	0.0306153	0.0203197	0.0191604	0.0129493	0.0076884	0.0134335	0.0103249
tombés	0.0141866	0.0103658	0.012437	0.0154652	0.0107928	0.0146141	0.00996893	0.0100567	0.0142507	0.0166309	0.0418362	0.0337192	0.0394089	0.0615012	0.0158396	0.0404357	0.0344603	0.042731	0.0352171	0.0426284	0.059134	0.0492649	0.0406874	0.0293697	0.0152222	0.0173685	0.0133856	0.014541	0.01465	0.0307712	0.0208243	0.032933	0.0230457	0.0432568	0.0396525	0.039347
d'	0.085619	0.0393789	0.0293294	0.0150471	0.0217507	0.0102858	0.0078006	0.00976605	0.0135909	0.0170196	0.0108388	0.0109932	0.00861282	0.00632049	0.00497036	0.00657127	0.0117514	0.00829009	0.00688639	0.00885542	0.0141157	0.00936033	0.0100961	0.0143666	0.0120666	0.0172692	0.0192006	0.026709	0.0282127	0.0291421	0.0775531	0.0549794	0.0438669	0.0752137	0.107653	0.126516
accord	0.044031	0.0260606	0.0181174	0.0131625	0.0141427	0.0146909	0.0261611	0.0180552	0.0146346	0.0171619	0.0496809	0.0447064	0.0327887	0.0403205	0.0611965	0.0340277	0.0363157	0.0367997	0.0425003	0.0283374	0.00760781	0.0207589	0.0153156	0.0217298	0.0184601	0.0157089	0.0253395	0.0216303	0.0248863	0.019775	0.0330459	0.0280541	0.0214193	0.0486004	0.0396413	0.0251349
pour	0.0674134	0.0432355	0.0364648	0.0313305	0.0227655	0.0259593	0.0274109	0.0195928	0.0199776	0.0225541	0.0330197	0.0241599	0.0214697	0.0235232	0.0167657	0.0145866	0.0233905	0.0137301	0.0109514	0.0115417	0.0110174	0.0130129	0.011054	0.014194	0.025141	0.0176486	0.0318217	0.0265767	0.0313636	0.0279568	0.0418868	0.0415013	0.0419391	0.0493525	0.0430166	0.0626741
partir	0.0653998	0.0433445	0.0500162	0.0330778	0.0126748	0.0120539	0.00684473	0.0100774	0.00992037	0.00902887	0.00958912	0.00873694	0.00933917	0.00978536	0.00799251	0.0146178	0.0197587	0.0101904	0.00929519	0.00914835	0.0118633	0.0204778	0.00692745	0.0160343	0.0254302	0.0183756	0.0366387	0.0468936	0.0531763	0.0490386	0.0374235	0.048144	0.0425372	0.0843938	0.0619088	0.0798448
à	0.0675441	0.0415758	0.0423105	0.0275496	0.010456	0.00877525	0.00601509	0.00993605	0.00895337	0.0076634	0.00877836	0.0103024	0.00954376	0.00755184	0.0121349	0.0105807	0.0116661	0.00877646	0.0126762	0.00827298	0.00881192	0.0196487	0.00926348	0.0132974	0.023452	0.0264095	0.0588124	0.0572827	0.0514821	0.0663564	0.0596074	0.0503264	0.0454157	0.0594432	0.0489045	0.0704232
la	0.0784368	0.0477473	0.0378393	0.0294998	0.0118805	0.0101902	0.00959352	0.0112406	0.0103872	0.00657072	0.00701462	0.00913273	0.00865402	0.00837301	0.0127013	0.0124519	0.0104189	0.00745481	0.0125277	0.00996382	0.00754263	0.018884	0.00989793	0.0117499	0.0193418	0.0169907	0.0317201	0.0403054	0.0387937	0.0448337	0.0828184	0.0521247	0.0551569	0.0514236	0.0510846	0.115253
pêche	0.0622211	0.0311978	0.0187269	0.0134127	0.0110076	0.00901479	0.0086171	0.00831927	0.00656637	0.00646999	0.00510374	0.00632533	0.00473052	0.00811097	0.00832523	0.0120886	0.0178211	0.0132627	0.019182	0.0194836	0.0181397	0.034196	0.018249	0.0343441	0.0425474	0.0292072	0.0435591	0.0420663	0.0504028	0.0539994	0.0566404	0.0615436	0.0484128	0.0452939	0.0499346	0.0814763
</S>	0.0615042	0.0294634	0.014481	0.00658865	0.00258182	0.0015555	0.00102941	0.000885237	0.000741719	0.000640221	0.000931071	0.00108286	0.00148839	0.00119201	0.000948751	0.0011525	0.00209467	0.00148306	0.00210841	0.00302146	0.00291452	0.00488516	0.00354893	0.0151979	0.0313041	0.0297618	0.0466654	0.0397542	0.0619338	0.0576611	0.0826891	0.136568	0.0886996	0.119525	0.0853017	0.0586158
