 	a23	a87	a79	a41	a96	a90	a15	a44	a58	a54	a73	a69	a20	a94	a76	a69	a90	a21	a66	a75	a5	a41	a94	a98	a73	a84	a40	a98	a73	a84	a57	a79	a75	a70	a13	a90	a32	a90	a32	a90	a4	a53	a69	a4	a57	a82	a87	</S>
ce	0.0319121	0.0218299	0.0307712	0.0170729	0.0131352	0.0140082	0.0222715	0.0231413	0.0281933	0.0182828	0.0204467	0.0222856	0.0192496	0.0188248	0.0247923	0.0357344	0.0251679	0.0419848	0.036387	0.0242185	0.028897	0.0157227	0.0216552	0.0125834	0.0076118	0.00728813	0.00722015	0.00827749	0.00526584	0.00727845	0.00821939	0.00904548	0.0120136	0.0117129	0.0125588	0.00809829	0.00883616	0.0089114	0.0209478	0.00646145	0.00733087	0.0200295	0.0197183	0.035037	0.0395372	0.0431055	0.0429797	0.0739467
n'	0.00171586	0.00978923	0.0202043	0.0311222	0.0774796	0.0913499	0.071179	0.106924	0.0492018	0.0171561	0.0376728	0.0272757	0.0652945	0.040237	0.0153925	0.0453709	0.022009	0.016056	0.0198342	0.0210247	0.0245943	0.0237312	0.0319133	0.0208936	0.0115599	0.012295	0.0111015	0.00433887	0.00462687	0.0124855	0.00532599	0.00588085	0.00792418	0.0054672	0.00987113	0.00360566	0.00166546	0.00201394	0.00113336	0.00063125	0.000850968	0.000558771	0.000705323	0.000752728	0.000978007	0.00210372	0.00191062	0.00479125
est	0.0428906	0.0318803	0.0255185	0.0376067	0.0287729	0.0342427	0.0237701	0.0487014	0.0194504	0.0278011	0.017105	0.0294312	0.0114651	0.0127561	0.0351299	0.0361103	0.0358475	0.0296941	0.0332572	0.0267721	0.0341871	0.0239477	0.0173472	0.0120929	0.0120561	0.00882529	0.010367	0.00907997	0.00948731	0.00883979	0.00699009	0.00688187	0.00652746	0.00865241	0.00385242	0.00425547	0.00348195	0.00229723	0.00317686	0.00384292	0.00632239	0.0182422	0.0288426	0.0338023	0.036961	0.0243906	0.0342988	0.0327481
pas	0.0309304	0.03137	0.0231678	0.0287319	0.0268017	0.0199124	0.0229978	0.0127291	0.0172747	0.0214835	0.0168577	0.0202209	0.0310044	0.0275149	0.0492651	0.0197194	0.0259241	0.0215089	0.0334219	0.0494532	0.0396676	0.0276152	0.0246083	0.0170869	0.0122551	0.0158096	0.0205217	0.0179202	0.0219855	0.0220948	0.0207091	0.0224913	0.0204589	0.0168668	0.0144298	0.0102065	0.00724928	0.010192	0.00884386	0.00993651	0.00950115	0.00869646	0.0104863	0.0121804	0.0118986	0.0157712	0.016639	0.023588
lui	0.0637142	0.0314453	0.030937	0.0255002	0.0178921	0.0118451	0.0161872	0.00888566	0.0167989	0.0217997	0.0176406	0.0217052	0.0210009	0.0205978	0.0428471	0.0297212	0.0350077	0.0285931	0.0315348	0.0399997	0.0336307	0.0307665	0.0308028	0.0233706	0.0210774	0.0180158	0.0148031	0.0137492	0.0102061	0.0139426	0.011905	0.0137818	0.0172158	0.016972	0.0199276	0.0126867	0.00884157	0.00700141	0.00560696	0.00591366	0.00703291	0.0111204	0.0108031	0.0137014	0.0176484	0.0199944	0.0187623	0.0370665
qui	0.0750191	0.0381416	0.0485836	0.0319922	0.0214758	0.0135491	0.0219971	0.00923812	0.0151243	0.0118083	0.0124373	0.00999117	0.00633744	0.0142677	0.0227312	0.0164278	0.0220552	0.0186968	0.0206424	0.0295525	0.0215137	0.0299583	0.0331508	0.0263969	0.0350281	0.0279445	0.0167037	0.0127846	0.00866888	0.0145218	0.0115879	0.0104739	0.0135171	0.0128764	0.0106004	0.00857779	0.0121615	0.00935398	0.0153908	0.00853894	0.00543489	0.0136587	0.019275	0.0230054	0.0304978	0.0267429	0.0298989	0.0516677
m'	0.0544418	0.0261881	0.0310158	0.0205712	0.0130609	0.0126465	0.0122342	0.00645163	0.00711483	0.00788207	0.00718765	0.00926334	0.00643986	0.00781223	0.014016	0.0111647	0.0170566	0.0176254	0.0127494	0.020347	0.0159509	0.0217065	0.0247213	0.0154935	0.0240221	0.0191418	0.0148792	0.0137879	0.0140064	0.0173538	0.019307	0.0149094	0.017146	0.0196766	0.0139886	0.0126446	0.0101597	0.00845173	0.00962408	0.00790136	0.00624786	0.0120182	0.0208133	0.0341433	0.0493257	0.0436888	0.0608153	0.142806
a	0.0337619	0.0241992	0.0225017	0.0171012	0.00879869	0.00890128	0.00876468	0.00758171	0.0105322	0.0131975	0.00748705	0.00840248	0.0104834	0.0129741	0.0249163	0.022999	0.0157073	0.0324029	0.026566	0.0357561	0.0424426	0.0446209	0.057123	0.0347842	0.0414558	0.0529382	0.0404232	0.0580673	0.0376372	0.0464676	0.0374558	0.0170428	0.0148692	0.021361	0.00421091	0.00308466	0.00240305	0.00143205	0.00116315	0.0013097	0.00159145	0.00462178	0.00369104	0.0100852	0.0119381	0.00892142	0.0195171	0.0263069
battu	0.0262942	0.0318084	0.0288308	0.0152383	0.0104314	0.00870116	0.00928477	0.0043504	0.00460983	0.0046387	0.00446803	0.00425054	0.00619483	0.00622725	0.0158083	0.0173227	0.0134544	0.0192063	0.0174425	0.0328426	0.0343853	0.0327453	0.0416117	0.030892	0.0367193	0.0494611	0.0262324	0.0390939	0.0262924	0.0275583	0.0270676	0.0208795	0.0301756	0.0266243	0.012847	0.0137101	0.0111454	0.0068017	0.00860033	0.007902	0.00630162	0.0126934	0.0123766	0.0143064	0.0171192	0.0157799	0.0395154	0.0897569
c'	0.0198352	0.0184695	0.0126977	0.0121042	0.00740211	0.00583951	0.00734417	0.00335413	0.00438298	0.00498895	0.00463488	0.00464448	0.0032915	0.00459322	0.00893234	0.00916425	0.0149733	0.014476	0.0140717	0.0235204	0.0226868	0.025372	0.0337621	0.0250736	0.0296852	0.0381924	0.0188583	0.0305404	0.0186747	0.0196839	0.020745	0.0198072	0.029364	0.0331389	0.0142115	0.0149687	0.0185487	0.0131569	0.00651679	0.0133334	0.0133373	0.0167171	0.0151652	0.0217441	0.0220216	0.0261799	0.0747516	0.165042
