 	a66	a87	a23	a12	a21	a61	a24	a75	a25	a56	a75	a6	a37	a6	a36	a27	a57	a87	a23	a53	a44	a37	a47	a37	a93	a4	a93	a70	a43	a47	a61	a62	a88	a38	a25	a87	a23	a87	</S>
quand	0.045572	0.0465227	0.0363087	0.027029	0.0409697	0.0346101	0.0521586	0.0648505	0.0626492	0.0519852	0.0430231	0.0324821	0.0195857	0.0305831	0.03132	0.0344221	0.0282219	0.0251405	0.0259275	0.0176672	0.0171512	0.0135337	0.0131951	0.0149822	0.0354254	0.0180643	0.0169967	0.0115782	0.00810951	0.00724973	0.00882755	0.00791491	0.00844342	0.0125459	0.00987006	0.0103721	0.0075967	0.0126644	0.0144496
vous	0.0186807	0.0132673	0.0297317	0.0222445	0.0239355	0.0175826	0.0117605	0.0116098	0.0157932	0.0305762	0.0288065	0.0394396	0.0651528	0.0468172	0.0409416	0.0346834	0.0469509	0.0303649	0.0276856	0.0211943	0.011711	0.00973153	0.00990482	0.00950118	0.00913685	0.0127233	0.009505	0.016016	0.0119859	0.0309301	0.0359808	0.0270476	0.0370946	0.0307059	0.0311429	0.0251954	0.0309729	0.0270126	0.046483
avez	0.0635596	0.0121453	0.0131617	0.0133532	0.0116098	0.0158234	0.0149738	0.0142298	0.019927	0.0406963	0.0314831	0.0267185	0.0483459	0.0537556	0.0423543	0.0557172	0.0454941	0.0505465	0.0363829	0.0442446	0.025065	0.0196152	0.0142524	0.00735899	0.00856333	0.0100644	0.00675406	0.0099372	0.0127361	0.0170052	0.0141317	0.0167205	0.0187804	0.0169437	0.0246242	0.0238152	0.0300517	0.0385757	0.0304825
bu	0.075051	0.0585943	0.0446449	0.0525286	0.0240512	0.0243966	0.0386374	0.020053	0.0274144	0.0195083	0.0162963	0.0165613	0.0103186	0.0166687	0.010768	0.0076809	0.00894322	0.0115999	0.00999434	0.013668	0.0184325	0.0280517	0.0224747	0.0239476	0.039956	0.0250027	0.0324555	0.0235495	0.0132533	0.00960781	0.0100315	0.0162112	0.0157316	0.0187634	0.0360696	0.0356547	0.0351519	0.0268733	0.0614023
de	0.0842865	0.057211	0.0474186	0.0381685	0.0210933	0.018745	0.03228	0.0174755	0.0302319	0.0282542	0.027357	0.0144991	0.0252614	0.0280812	0.0169305	0.017011	0.0248257	0.0212802	0.0295457	0.0223731	0.0178643	0.0144775	0.0159589	0.0137943	0.0178657	0.0133576	0.0104747	0.0111933	0.0156165	0.0183011	0.0166632	0.0216487	0.0176316	0.018913	0.0196331	0.0287005	0.0375386	0.0458312	0.0422067
l'	0.0558527	0.0232831	0.0192846	0.016007	0.0102115	0.0104712	0.0146016	0.00889415	0.0165788	0.0173388	0.0233846	0.0158587	0.0510343	0.0388215	0.0229556	0.0289955	0.054368	0.0493776	0.0508109	0.0423986	0.0360595	0.0245792	0.0183335	0.0203082	0.0162876	0.0225947	0.0100421	0.0172159	0.0210787	0.0229565	0.0148324	0.0155924	0.0165616	0.016739	0.017848	0.0329789	0.0427686	0.0381382	0.024556
alcool	0.0359287	0.0198315	0.0188952	0.0143851	0.0106531	0.0101981	0.0171713	0.0109483	0.018086	0.0234147	0.0248311	0.0197312	0.0493926	0.0385575	0.0312651	0.0460069	0.0695549	0.06596	0.0676687	0.0659476	0.0501219	0.0288155	0.0269036	0.0169962	0.0210525	0.0158004	0.00970827	0.00685595	0.0097239	0.008535	0.00565189	0.00707918	0.009418	0.0111573	0.0141266	0.0211411	0.0296145	0.0305096	0.0183612
de	0.0852649	0.0307457	0.0136171	0.00828697	0.00792897	0.00522178	0.00670087	0.00443156	0.00664315	0.00986486	0.0138809	0.00533213	0.0239938	0.0188177	0.0236986	0.0331153	0.031739	0.0332394	0.0426438	0.0297666	0.0227413	0.0100075	0.0148655	0.0143676	0.021907	0.037597	0.0312489	0.0270956	0.0303572	0.0358484	0.0397722	0.0283781	0.0408426	0.0372264	0.0337524	0.0432796	0.0382153	0.036307	0.0212572
maïs	0.0397749	0.0184085	0.0158039	0.00784026	0.00944104	0.0059031	0.00524633	0.00474848	0.00562106	0.00645326	0.00768468	0.00440833	0.00981123	0.00673292	0.00709289	0.0113602	0.0100848	0.0136808	0.0135034	0.010438	0.0146623	0.00743701	0.0123589	0.0133266	0.0253837	0.0239565	0.0318952	0.035516	0.0573293	0.0796014	0.0751885	0.0660231	0.0646875	0.0680927	0.054073	0.0450589	0.0432557	0.0399516	0.0281639
qui	0.0784349	0.0401051	0.026365	0.0135006	0.0137806	0.0090344	0.0144274	0.0078992	0.0114296	0.0116592	0.0189689	0.0115913	0.029017	0.0140022	0.0111703	0.0329642	0.019974	0.0218556	0.0200355	0.0175025	0.0122367	0.00970511	0.0106353	0.0112412	0.0165377	0.0170061	0.0218957	0.0172881	0.0284862	0.0304793	0.0273182	0.0241885	0.0315972	0.0468618	0.0367969	0.045589	0.0467787	0.0733608	0.0682802
était	0.0528302	0.0233323	0.0170281	0.00746524	0.00757539	0.00589581	0.00662953	0.00426244	0.00622799	0.00824862	0.0132118	0.0100688	0.0299998	0.0160719	0.0162867	0.0352504	0.0278255	0.030251	0.0260983	0.0302575	0.0259114	0.0147767	0.0170176	0.0167978	0.0237127	0.0292314	0.0294873	0.0324281	0.0419614	0.0458059	0.0404114	0.0226013	0.0249473	0.0456745	0.0289654	0.0349174	0.0356533	0.0518581	0.0630236
ivre	0.0523047	0.026152	0.0156458	0.0129005	0.00848987	0.00716873	0.0103524	0.00505184	0.00825476	0.00865137	0.0118374	0.00755721	0.0208751	0.0116852	0.00858785	0.0245212	0.0225972	0.0249455	0.0190744	0.0195656	0.0177391	0.0147916	0.0131985	0.0145054	0.0216888	0.0261757	0.0343806	0.0285465	0.0450435	0.0483632	0.0381785	0.037377	0.0327712	0.0528113	0.0376935	0.0431352	0.051469	0.0704252	0.0454879
avant	0.0327523	0.0222284	0.022133	0.0152743	0.0121203	0.00954191	0.0121695	0.0113875	0.0134985	0.0146625	0.0212168	0.0197356	0.0233884	0.0198543	0.0210178	0.0397684	0.0381086	0.0334646	0.030105	0.0260575	0.0131991	0.011743	0.00929947	0.0126411	0.0136443	0.0272033	0.0282791	0.0180336	0.041161	0.037065	0.0393842	0.0254879	0.0292272	0.0458936	0.0349509	0.0323352	0.0291035	0.0454438	0.0674197
l'	0.0597566	0.042686	0.0345624	0.0197826	0.0207182	0.0164363	0.0149536	0.0135075	0.0137005	0.0122864	0.0159904	0.00922492	0.0224219	0.0163556	0.016688	0.0255979	0.0217145	0.0182301	0.0195342	0.019019	0.0177884	0.0125933	0.0151697	0.0170005	0.0292496	0.0306134	0.0363544	0.0309712	0.046634	0.0458644	0.044212	0.0325029	0.0307801	0.0372257	0.0277007	0.0246935	0.0245504	0.0297464	0.0331828
autre	0.0275997	0.0260152	0.0318925	0.0251633	0.0296947	0.0263075	0.0323752	0.0356195	0.0397555	0.0415694	0.0486073	0.0521094	0.0382831	0.0337313	0.03	0.0352765	0.0145534	0.0116488	0.0163731	0.0114503	0.00800035	0.0103209	0.0142208	0.0177412	0.0200524	0.0164826	0.0200185	0.0132419	0.0186674	0.0176025	0.0188775	0.0171801	0.02322	0.0300075	0.0264248	0.0253996	0.0224066	0.0297503	0.0423595
</S>	0.0420247	0.0327732	0.033539	0.0219104	0.0325016	0.030359	0.0232837	0.0348118	0.0279113	0.0276286	0.0344474	0.0309286	0.0279074	0.0303958	0.023691	0.01964	0.00747651	0.00657674	0.0104837	0.00633758	0.00371818	0.00466828	0.00710199	0.00912454	0.0119956	0.0131765	0.0146106	0.00802526	0.0184192	0.0280522	0.0335223	0.0335515	0.0405818	0.0392935	0.0412456	0.0548895	0.0463458	0.0484895	0.0385602
