 	a66	a87	a23	a18	a30	a53	a15	a79	a56	a43	a75	a79	a7	a44	a96	a34	a0	a62	a83	a11	a96	a70	a13	a9	a87	a9	a62	a47	a0	a31	a0	a11	a93	a43	a96	a0	a75	a21	a5	a36	a27	a57	a87	a23	a87	</S>
notre	0.0309833	0.0276406	0.0156247	0.0210073	0.0789289	0.0619658	0.0668126	0.0243818	0.0171328	0.0470052	0.0420919	0.022201	0.036959	0.0252643	0.0300178	0.030616	0.016956	0.0194057	0.0219934	0.019893	0.0339025	0.0199949	0.0262051	0.0222109	0.00937401	0.00780179	0.0054231	0.00383495	0.00319852	0.0041834	0.00283291	0.00340236	0.00327693	0.00281289	0.0045274	0.00597095	0.0113688	0.0118341	0.0140433	0.0157006	0.0239413	0.020667	0.0176761	0.0182201	0.0204076	0.0303076
maman	0.00530523	0.0089026	0.0159058	0.0272984	0.0477567	0.081384	0.223849	0.200802	0.148288	0.0489015	0.00794698	0.00378006	0.0147535	0.0194433	0.00774503	0.00533537	0.00678362	0.0046762	0.0048805	0.00385265	0.00551435	0.00946015	0.0127339	0.00734353	0.00867888	0.00456886	0.00406886	0.00405412	0.00574186	0.00431085	0.00791361	0.00440182	0.00565256	0.0030708	0.0032587	0.0007708	0.00201024	0.00179512	0.00177781	0.00119529	0.00182647	0.00243828	0.00236289	0.0024511	0.0036797	0.00132942
a	0.0603783	0.0514185	0.0268515	0.0399509	0.0509933	0.0362999	0.0229041	0.0148824	0.019563	0.0132375	0.0139644	0.0155223	0.0375712	0.0327431	0.019813	0.0271745	0.0191056	0.0225	0.0438348	0.0478325	0.0320942	0.0358145	0.029202	0.0169262	0.0130244	0.0140564	0.0186294	0.0178902	0.0213662	0.0227703	0.0183606	0.0115166	0.00993732	0.00775092	0.00554147	0.00936953	0.00344279	0.00386908	0.00609101	0.00719366	0.0092154	0.0141385	0.0135522	0.0115367	0.0230455	0.00712426
renversé	0.015111	0.00892792	0.0127523	0.0127551	0.00557101	0.00933895	0.011487	0.0166085	0.0648986	0.0520979	0.0439243	0.0679169	0.0244412	0.0188672	0.0401401	0.0292045	0.0244756	0.025674	0.0290809	0.0251968	0.0205803	0.0199565	0.0104867	0.011676	0.0095021	0.0090351	0.0137617	0.0154959	0.0245641	0.0163014	0.0125575	0.0139823	0.014713	0.0133689	0.0116188	0.0132959	0.0101419	0.0119186	0.0172238	0.0236828	0.0250258	0.025512	0.0254119	0.0279056	0.0281641	0.0356477
la	0.0320648	0.0213094	0.0111012	0.00837335	0.00651964	0.00467378	0.00695695	0.0238	0.0604396	0.0672582	0.0619913	0.0813715	0.0759205	0.0394173	0.0595803	0.0393796	0.0278037	0.0282788	0.0300603	0.0408699	0.0312034	0.0222548	0.025303	0.0271086	0.0114845	0.00847566	0.00695582	0.00819269	0.00497149	0.00958757	0.00284299	0.0035481	0.00323221	0.00387325	0.0060119	0.00691711	0.00871951	0.0101714	0.0125709	0.0101823	0.00535804	0.00582379	0.00559217	0.00472571	0.00731154	0.0204116
marmite	0.0077444	0.00394656	0.00229288	0.00231089	0.00187475	0.00557728	0.00656644	0.00456261	0.0131528	0.0150173	0.0481125	0.0580017	0.0531393	0.0312791	0.0790538	0.063004	0.0357123	0.0340696	0.0387515	0.0520638	0.0423727	0.0356628	0.0268712	0.029146	0.0182813	0.0155865	0.0125871	0.0111819	0.00968757	0.011149	0.0077694	0.00817645	0.00875379	0.0077561	0.00802547	0.0270564	0.0108692	0.0111862	0.0166127	0.0245648	0.0227074	0.0176826	0.0140094	0.0125449	0.010488	0.0230374
après	0.0100797	0.00504761	0.00264807	0.00282861	0.00133123	0.00245887	0.00279592	0.00435167	0.0146924	0.0196706	0.0427793	0.0718884	0.0633995	0.0368882	0.0510669	0.0618556	0.0408684	0.03697	0.0359429	0.0349828	0.02546	0.0193478	0.0169749	0.0199166	0.0154377	0.010286	0.00809042	0.0116143	0.00883948	0.00685717	0.00535994	0.00666673	0.00622617	0.0059012	0.00746739	0.0170041	0.0146251	0.0204502	0.0237616	0.0235458	0.0266977	0.0237454	0.0367465	0.0299339	0.02553	0.0409671
l'	0.0101997	0.00363465	0.00217034	0.00177117	0.000723423	0.000921975	0.00102958	0.00212275	0.0072552	0.00859309	0.0324534	0.0391654	0.0515776	0.0269248	0.0455144	0.0627947	0.0445557	0.0286767	0.0566943	0.0417232	0.0275049	0.0291208	0.0206241	0.0235811	0.0130169	0.0108926	0.00802883	0.0121502	0.00979217	0.00550719	0.00241107	0.00498409	0.00498671	0.00648879	0.00888428	0.012855	0.0173062	0.028414	0.0311978	0.0259441	0.0251122	0.032399	0.0397758	0.0380006	0.0381902	0.0543295
avoir	0.0163444	0.0170636	0.0125379	0.0083844	0.00246055	0.00280466	0.00217868	0.00609071	0.00858157	0.0204395	0.0492272	0.0619773	0.0738555	0.0399544	0.0772351	0.0505715	0.0285895	0.0343777	0.0308244	0.0342985	0.0279411	0.029334	0.0166476	0.0265461	0.0178871	0.0158845	0.0120645	0.0130527	0.0121569	0.00783304	0.00648438	0.00839441	0.00661042	0.00549585	0.00804625	0.0122356	0.0120121	0.0160942	0.015424	0.0128498	0.0263364	0.0249283	0.0205638	0.0262837	0.0218109	0.0192854
lavée	0.0152029	0.00809827	0.00478356	0.00670144	0.00261886	0.00341358	0.00356704	0.00340565	0.00432805	0.00668701	0.00753092	0.0147031	0.0238178	0.017611	0.0219868	0.0277814	0.0189576	0.0203035	0.015564	0.0131787	0.0176489	0.0200577	0.0128232	0.0209871	0.00854392	0.0078103	0.00336987	0.00284429	0.00129053	0.0017345	0.00119267	0.003219	0.00464212	0.00841112	0.0147143	0.0121891	0.0189056	0.0364702	0.043398	0.0656042	0.0710407	0.0667357	0.0855016	0.0690626	0.063621	0.0979408
