 	a66	a87	a23	a54	a15	a25	a69	a56	a25	a44	a75	a6	a37	a54	a36	a26	a57	a87	a23	a30	a20	a47	a6	a37	a21	a18	a75	a85	a37	a21	a12	a61	a18	a70	a83	a98	a47	a36	a2	a57	a87	a23	a79	a4	a58	a62	a88	a0	a24	a9	a10	a75	a6	a37	a75	a85	a6	a36	a27	a57	a83	a62	a88	a70	a93	a70	a62	a34	a92	a37	a26	a82	a99	a87	a23	a87	</S>
tu	0.0136771	0.0114994	0.0112828	0.0136759	0.0241858	0.0456864	0.0132443	0.037252	0.042088	0.0551933	0.0817316	0.0536041	0.0307543	0.00982137	0.00821255	0.00436137	0.0113369	0.0104247	0.0104781	0.00753491	0.014262	0.0112181	0.00761433	0.00893697	0.0133747	0.0132765	0.00945107	0.0134302	0.00835826	0.0142667	0.00536494	0.00627232	0.0107901	0.0118289	0.00976008	0.0134223	0.0115519	0.00882669	0.0106949	0.00662027	0.00735887	0.00517598	0.0073989	0.00704623	0.00848442	0.00735958	0.0121214	0.00862836	0.0217092	0.0121364	0.0166822	0.00700553	0.00424558	0.00402031	0.00445755	0.00849303	0.00486315	0.00585772	0.010052	0.0122345	0.0162421	0.0136954	0.0105526	0.01017	0.00803866	0.00807186	0.00357529	0.00560089	0.0064939	0.00343656	0.00385061	0.00396697	0.0025636	0.00242888	0.00458	0.00257301	0.0134627
vantes	0.00392228	0.00273071	0.00283448	0.00332042	0.00355036	0.00700439	0.0118388	0.0241032	0.0214578	0.0286179	0.028854	0.0256175	0.0284432	0.0253684	0.0153395	0.0169772	0.0238661	0.0167281	0.0201594	0.0152723	0.0189677	0.0133302	0.0164396	0.00982197	0.0125774	0.0157135	0.0119609	0.0125857	0.0107141	0.0153949	0.0131498	0.00858458	0.0108874	0.0134572	0.0131345	0.016163	0.0130495	0.0124712	0.0190215	0.0137874	0.0190053	0.0135838	0.0130845	0.0114934	0.011832	0.0105882	0.0106361	0.0067312	0.00923028	0.0107842	0.0107064	0.00999171	0.010388	0.0132829	0.0164013	0.0174356	0.00886222	0.013889	0.00648103	0.00407021	0.00517891	0.00270595	0.00298866	0.00541992	0.00502996	0.00565327	0.00705964	0.0112723	0.0111237	0.0160887	0.0199267	0.0116712	0.0140014	0.0142435	0.0128652	0.016328	0.0127476
ta	0.0219348	0.0201348	0.0114139	0.0192177	0.020431	0.035022	0.0363362	0.0267745	0.032823	0.0367777	0.0299693	0.0278742	0.0331637	0.0323691	0.0227698	0.0125301	0.0232112	0.0156357	0.0133396	0.0100146	0.0103248	0.00992754	0.00785015	0.00384188	0.00500948	0.00890463	0.00596859	0.00337556	0.00791695	0.00660411	0.00490957	0.00693998	0.00359205	0.0039005	0.003242	0.00538231	0.00869154	0.00541796	0.00911504	0.00603484	0.00869556	0.00784998	0.00432986	0.00482119	0.0078202	0.0132501	0.00668924	0.00976339	0.0186129	0.0115459	0.0186918	0.00866823	0.0144907	0.0169395	0.0177615	0.0195702	0.0200243	0.0205604	0.0285749	0.0146948	0.0183271	0.0170882	0.0215346	0.0289747	0.00550103	0.00577726	0.00146569	0.00209705	0.000818327	0.000953727	0.000919889	0.00120101	0.00149938	0.00189431	0.00255977	0.00322345	0.00411728
force	0.0309329	0.0277432	0.0285518	0.0432538	0.0345496	0.0234142	0.0227176	0.0119631	0.0118689	0.00583537	0.00605199	0.00417563	0.00472884	0.00349421	0.00477937	0.00265127	0.00536365	0.00865109	0.00569281	0.00633166	0.00684036	0.00742652	0.00724783	0.00967284	0.00962794	0.00707789	0.0121408	0.00637411	0.0152241	0.00853443	0.0211062	0.0343816	0.00597643	0.00738476	0.00859623	0.004134	0.00692153	0.00668882	0.00736153	0.00937355	0.00859099	0.0091909	0.00685992	0.00803528	0.0100833	0.0148326	0.00448491	0.0060868	0.0101462	0.00704525	0.0101131	0.0171346	0.0171936	0.0175182	0.015633	0.0248367	0.0179269	0.0277716	0.0143177	0.0140826	0.0165068	0.0292131	0.0196915	0.0258599	0.0130066	0.0181285	0.0113349	0.00648345	0.00686872	0.0090232	0.00879418	0.0149402	0.0190906	0.0119125	0.0112876	0.0100849	0.0110471
mais	0.0122352	0.00317542	0.00307506	0.00306786	0.00291249	0.00171963	0.00232229	0.00181875	0.00266266	0.00600931	0.00415314	0.00726322	0.00448025	0.00507122	0.00960761	0.00753424	0.00983965	0.0142217	0.0114359	0.0248309	0.0147356	0.0120324	0.0274969	0.0227111	0.0246647	0.0278835	0.0335119	0.02948	0.0405648	0.0216593	0.0422183	0.0787812	0.0211658	0.0399929	0.0371458	0.0186191	0.0155563	0.0140347	0.0154837	0.0214973	0.021062	0.018893	0.0198659	0.0224459	0.0241659	0.0275795	0.00888656	0.0114879	0.0123397	0.00893799	0.0142226	0.0125261	0.0119219	0.00963142	0.00634536	0.00395617	0.00358514	0.00351079	0.00244985	0.00389213	0.00270672	0.00410489	0.00561745	0.00360497	0.00271639	0.00396718	0.00243986	0.00312638	0.00216332	0.00190342	0.00163372	0.00255182	0.00247044	0.003099	0.00459079	0.00394821	0.00497806
si	0.0058406	0.00319229	0.00164952	0.00217833	0.00117269	0.00181395	0.00279327	0.00299394	0.00514306	0.00846464	0.00760767	0.0108834	0.010593	0.0096203	0.012142	0.0106002	0.0172434	0.0191068	0.027971	0.0246734	0.0210448	0.0151173	0.0315672	0.0166282	0.0228544	0.0367171	0.0187514	0.025458	0.0182545	0.0231717	0.0150564	0.0308077	0.0153985	0.03499	0.0207004	0.0225647	0.0216205	0.00863526	0.0123093	0.0170303	0.0262023	0.0178062	0.0170799	0.0230042	0.0319769	0.0448895	0.0171433	0.0237717	0.0251754	0.015337	0.0198939	0.0141493	0.0223024	0.0114202	0.0176412	0.00613992	0.0075402	0.00785045	0.0062368	0.00521712	0.00558296	0.00296349	0.00214556	0.00257515	0.00157699	0.00174425	0.000767539	0.00116017	0.000851019	0.000479851	0.000565182	0.000643533	0.000635185	0.000713988	0.000907712	0.000705896	0.00084266
on	0.0157424	0.00923978	0.00449097	0.00642838	0.00193315	0.00224571	0.00206636	0.00424408	0.00498992	0.00974075	0.0108807	0.00900597	0.00992595	0.00946281	0.0098751	0.00619111	0.0140868	0.0158771	0.0230175	0.011891	0.0138019	0.0170785	0.0280245	0.0172704	0.0281149	0.0360804	0.016435	0.0245161	0.0128026	0.03638	0.0201313	0.0287493	0.0317404	0.0575911	0.0259107	0.0304385	0.0295577	0.00937795	0.0183718	0.0177291	0.0291045	0.0118185	0.0118067	0.0190069	0.022976	0.0323838	0.0130392	0.0143123	0.0171481	0.01022	0.0135142	0.00889677	0.0125776	0.00866262	0.00853114	0.00247498	0.00315824	0.00430514	0.0056277	0.00626211	0.00549759	0.00428803	0.00343952	0.00353743	0.00366095	0.00384826	0.00200298	0.0033375	0.00314033	0.00211432	0.00254523	0.00328267	0.00298111	0.00485045	0.0055377	0.00428067	0.00439092
commence	0.0116065	0.00594219	0.00412717	0.00519334	0.00179769	0.00196044	0.00148573	0.00402896	0.00434521	0.00580289	0.00756386	0.00463512	0.00353589	0.00352367	0.00416364	0.00240437	0.00814861	0.0110817	0.0205711	0.0118142	0.0207399	0.0191159	0.0251602	0.0237217	0.0156212	0.0377898	0.0169707	0.0202199	0.00679795	0.0208583	0.0172221	0.0250052	0.0284679	0.0473706	0.0279307	0.0287839	0.0219314	0.0100469	0.0130048	0.0227792	0.039041	0.02084	0.0269287	0.0440381	0.0341203	0.0398918	0.0184574	0.0203047	0.0362023	0.0149203	0.0218154	0.00879003	0.0121342	0.00738543	0.00696689	0.00247259	0.00308032	0.00351392	0.00372419	0.00345075	0.00421953	0.00306714	0.00352148	0.00334729	0.00396699	0.00311105	0.0017402	0.00264598	0.00264809	0.00172075	0.00174235	0.00447046	0.00295329	0.00498261	0.00683697	0.00397401	0.00370284
le	0.0229774	0.00786364	0.00813234	0.00687263	0.00333899	0.00497777	0.0037301	0.00585751	0.00533994	0.00284579	0.00428627	0.00307472	0.0020305	0.00230526	0.00281815	0.00158936	0.00602922	0.00717301	0.008435	0.0117258	0.0210379	0.0161431	0.0163286	0.0278505	0.0214007	0.0345399	0.0339768	0.0151007	0.0170085	0.0252428	0.0186934	0.0257877	0.0249035	0.0228927	0.0147792	0.0125104	0.0121157	0.00720024	0.00866154	0.0165842	0.0240363	0.0151321	0.0197715	0.0279782	0.023523	0.030633	0.0198095	0.021412	0.0342159	0.0142748	0.0217535	0.0127223	0.0153111	0.0134025	0.0103599	0.0068951	0.00815286	0.00942921	0.0135355	0.0123505	0.0146744	0.012919	0.0153277	0.0145199	0.0111805	0.009508	0.00482321	0.00646877	0.0054238	0.00351663	0.00330844	0.00466087	0.0030929	0.00472892	0.00645343	0.0040839	0.0064491
combat	0.00458863	0.00142636	0.00124888	0.00150409	0.000972141	0.0011773	0.00106401	0.00177661	0.00188795	0.00391098	0.00454122	0.00537553	0.00501732	0.0062798	0.00513277	0.00281125	0.0146418	0.0140291	0.00972059	0.023327	0.0189565	0.020253	0.0376031	0.0402543	0.0185235	0.0338971	0.0367241	0.015768	0.0250867	0.0168714	0.0367419	0.034729	0.0146484	0.0174943	0.0144079	0.0101484	0.0131005	0.0123087	0.0151345	0.020842	0.0226796	0.018855	0.0215077	0.0255245	0.0270257	0.0227669	0.0205076	0.0115357	0.0138652	0.00805639	0.0117296	0.0229586	0.0160501	0.0141809	0.0135152	0.0145845	0.0105345	0.012986	0.00781131	0.00913372	0.00683562	0.008443	0.00806141	0.00774655	0.00686195	0.00865832	0.00533702	0.00962821	0.00668688	0.0029035	0.00337658	0.00500284	0.00508964	0.00691837	0.00810687	0.00559213	0.00501598
