 	a66	a87	a23	a13	a53	a79	a25	a79	a44	a4	a90	a94	a93	a96	a0	a62	a88	a11	a93	a94	a57	a3	a87	a23	a87	</S>
le	0.0934304	0.119157	0.0701449	0.0503584	0.0400605	0.0516742	0.0209688	0.0341102	0.0303329	0.0199226	0.0140026	0.00799828	0.0118039	0.00797791	0.0092431	0.0149268	0.0161145	0.0222996	0.0221259	0.0468462	0.0356447	0.0463559	0.0262979	0.0433846	0.0629407	0.0818777
pêcheur	0.00422914	0.00504753	0.0108326	0.0694263	0.137216	0.161038	0.122758	0.141769	0.189378	0.0606291	0.0180407	0.0153083	0.00497937	0.00520044	0.00951886	0.00425754	0.00377402	0.00352964	0.00228852	0.00387665	0.0045518	0.0081346	0.00552182	0.00339294	0.00416889	0.00113293
a	0.0145357	0.0131225	0.0108519	0.0402265	0.0795728	0.136908	0.147595	0.160171	0.121453	0.0543451	0.0202026	0.0355118	0.00897093	0.00942944	0.0121634	0.00641082	0.00777582	0.00750359	0.0115523	0.0102019	0.0242375	0.0186192	0.0229309	0.0124758	0.0104117	0.00281979
tué	0.0162348	0.00775795	0.00787111	0.0093857	0.015055	0.018376	0.0375996	0.052665	0.0620577	0.0281121	0.0311762	0.0480145	0.0324145	0.068809	0.117697	0.0482326	0.0539238	0.0523372	0.0340286	0.0318715	0.0466288	0.0534389	0.044582	0.0309617	0.0357176	0.0150513
un	0.0569541	0.0693292	0.0551916	0.0322723	0.0310292	0.0329859	0.0538941	0.034114	0.0785679	0.0247818	0.0406763	0.0572284	0.0440121	0.0367374	0.0390137	0.0334121	0.0479614	0.0220682	0.0160293	0.0174061	0.0177335	0.0227246	0.0287118	0.0365175	0.0377289	0.0329187
crocodile	0.0397908	0.0345285	0.0264585	0.0199193	0.0297853	0.0257009	0.0427546	0.0745601	0.15008	0.108874	0.0625884	0.0684744	0.0335525	0.0296078	0.0319178	0.0183584	0.0217408	0.0188373	0.0165478	0.015069	0.0144243	0.0201196	0.0224769	0.0271383	0.0230998	0.0235944
dans	0.0381992	0.0195079	0.00810357	0.00734104	0.00753047	0.0252181	0.0287795	0.0108666	0.021754	0.0103158	0.0167335	0.00769174	0.00559743	0.00695729	0.00527709	0.0215009	0.0322051	0.0262821	0.0911131	0.0609136	0.0580734	0.054657	0.0515275	0.085587	0.0698741	0.228393
l'	0.0275775	0.0168689	0.0104582	0.00798161	0.0072977	0.0166816	0.0176842	0.0151967	0.0355407	0.0181851	0.00986733	0.0103122	0.00710778	0.018819	0.0141682	0.033167	0.0288153	0.0338256	0.0495333	0.0755627	0.088257	0.0736857	0.0810542	0.0980439	0.0910597	0.113249
étang	0.0351296	0.0160352	0.00633178	0.00428883	0.00381828	0.007168	0.00346114	0.00769933	0.0195281	0.0196087	0.0126085	0.0115795	0.00907025	0.0135731	0.0121681	0.0233669	0.0315818	0.0327352	0.0478332	0.0946567	0.0783463	0.112322	0.123576	0.112895	0.105751	0.0548679
</S>	0.0540499	0.0307693	0.0142335	0.010404	0.0108127	0.0282043	0.0160493	0.0146474	0.0139383	0.0084136	0.00570408	0.00485461	0.00517385	0.00554696	0.0062799	0.00960768	0.0105652	0.0149223	0.033413	0.0593329	0.0615628	0.0717624	0.0934748	0.0888783	0.0905277	0.236871
