 	a66	a87	a23	a97	a99	a97	a30	a93	a34	a56	a93	a90	a92	a37	a21	a47	a61	a43	a11	a0	a11	a66	a38	a13	a3	a97	a99	a3	a97	a30	a53	a15	a69	a43	a21	a12	a37	a56	a34	a75	a6	a37	a21	a6	a36	a2	a82	a3	a99	a53	a69	a58	a4	a44	a79	a37	a47	a96	a88	a62	a12	a18	a27	a9	a3	a97	a99	a3	a87	</S>
cette	0.00904095	0.0149309	0.0174166	0.0114571	0.0140443	0.0125141	0.00932326	0.0137832	0.0289341	0.0201577	0.0241123	0.0330506	0.0185384	0.0628236	0.0290937	0.0267114	0.0126914	0.0119609	0.0136917	0.0130491	0.0154014	0.0175023	0.0274238	0.0137877	0.0131165	0.011853	0.00813645	0.0110361	0.00940169	0.00855601	0.00894275	0.0143872	0.0181829	0.0168623	0.0158176	0.0190067	0.0226368	0.0169813	0.0206526	0.0181191	0.0154754	0.0128529	0.0123529	0.0133344	0.0149248	0.020476	0.016565	0.0143395	0.00805455	0.00410692	0.00345864	0.00320075	0.00489788	0.0063981	0.00700449	0.00771872	0.00497927	0.0071901	0.0099299	0.00701727	0.00622462	0.0104711	0.00739577	0.00493394	0.0065474	0.00536135	0.00700319	0.0107683	0.0101668	0.0317202
femme	0.00296503	0.00453201	0.0129243	0.0166617	0.0315618	0.0281195	0.0403159	0.0432048	0.0331593	0.0665247	0.0718026	0.061338	0.0848349	0.0622758	0.0318123	0.015714	0.011203	0.00586325	0.00643956	0.00789908	0.00376923	0.00740099	0.0271926	0.00964987	0.0247775	0.0243785	0.0119655	0.00816271	0.00966518	0.0123875	0.00516491	0.00724446	0.00469631	0.00460647	0.00434031	0.00570455	0.00551797	0.00378249	0.0035683	0.00374625	0.00303749	0.00699188	0.00208398	0.00202651	0.00269193	0.00334525	0.00239865	0.00659351	0.00984246	0.00792148	0.0154956	0.0113218	0.0249339	0.0155114	0.0109197	0.0166325	0.00967939	0.00406431	0.00272735	0.00292536	0.00194676	0.00151082	0.00108477	0.000393067	0.000428205	0.000475338	0.000694618	0.00142621	0.00209657	0.00192616
est	0.0210385	0.0235691	0.0215692	0.0217018	0.0223046	0.0240605	0.017176	0.0321672	0.0196593	0.0229176	0.02318	0.014337	0.0147986	0.0240586	0.0180079	0.0155196	0.011917	0.0101144	0.0105344	0.0189575	0.0148315	0.0201188	0.0117274	0.0141045	0.0186835	0.0156026	0.0121352	0.0203526	0.00948437	0.00887835	0.0161111	0.0112209	0.0130645	0.0184696	0.0119012	0.00950908	0.0103829	0.0096284	0.0131827	0.0133877	0.00641615	0.0105707	0.0175318	0.00782072	0.0137834	0.012148	0.00896903	0.0181935	0.0451365	0.00650754	0.0379643	0.0424928	0.0116395	0.0085129	0.00705433	0.00437009	0.00544677	0.00543254	0.00443627	0.00670983	0.00440465	0.00477296	0.00714536	0.00269651	0.00392944	0.00741617	0.00578779	0.00963874	0.00944989	0.0032561
avide	0.0159218	0.00558027	0.00466053	0.00564809	0.00595144	0.00723254	0.00706252	0.0119842	0.00568342	0.00452943	0.0102037	0.0152999	0.0175274	0.0147497	0.0118272	0.00915075	0.0138474	0.0164702	0.0145207	0.0258201	0.0114732	0.0173001	0.0142312	0.0155523	0.0278894	0.0132829	0.00918433	0.0124425	0.0125366	0.0166733	0.0277882	0.00919755	0.0118425	0.0177071	0.031045	0.0322129	0.0177653	0.0122502	0.01457	0.015558	0.01416	0.026338	0.0197922	0.00815148	0.00629451	0.00504811	0.00747531	0.00697572	0.00680681	0.0153616	0.0280927	0.0205688	0.0231733	0.0301122	0.0272191	0.0317002	0.0180071	0.0196953	0.0192513	0.0140918	0.00600337	0.0104412	0.0098015	0.00895446	0.00973174	0.0069058	0.00885881	0.00915432	0.00531838	0.0123408
quand	0.00361455	0.00198533	0.00168201	0.00168841	0.00236531	0.00209676	0.00229407	0.00492312	0.00373749	0.0039757	0.00262831	0.00637721	0.00647792	0.00792173	0.0120314	0.0192752	0.0257253	0.03129	0.0275712	0.0332564	0.0235817	0.025678	0.0236153	0.0363812	0.0375972	0.0282368	0.017342	0.0199685	0.0230644	0.0243183	0.0384264	0.0253127	0.0291275	0.0290905	0.0410169	0.0355512	0.0438657	0.0276649	0.0277384	0.025805	0.0313369	0.0260682	0.0272767	0.0138923	0.00961135	0.00638494	0.00548739	0.00698768	0.00630025	0.00888306	0.00587992	0.00337175	0.00671201	0.00429709	0.00326227	0.00215711	0.00170098	0.00185723	0.00443893	0.00333345	0.00286935	0.00501858	0.00363446	0.00211897	0.00230888	0.00191632	0.00334631	0.00482345	0.00391067	0.00651354
elle	0.0054398	0.00167351	0.00162241	0.0010578	0.00132663	0.00113975	0.00113967	0.0030045	0.00259011	0.00290313	0.0018498	0.00574327	0.00641138	0.00748508	0.00914696	0.0117607	0.0214453	0.0238008	0.0267676	0.041256	0.0295462	0.0396073	0.014207	0.015399	0.0214182	0.0126804	0.00698205	0.0188006	0.00907222	0.0155175	0.0171677	0.0108068	0.0125468	0.0318348	0.0551211	0.0518753	0.0431548	0.0321933	0.0403047	0.0504769	0.0310053	0.0461865	0.0395331	0.019483	0.0187827	0.0104365	0.0113016	0.0133507	0.0134128	0.0127161	0.010393	0.00687363	0.00741298	0.00408374	0.00323301	0.00236262	0.00146024	0.0022898	0.00232066	0.00345537	0.00228384	0.00482094	0.00536573	0.0030277	0.00260899	0.00246753	0.00242743	0.00405359	0.0022446	0.0043294
voit	0.00951081	0.00500345	0.00455185	0.00343738	0.00404049	0.00477338	0.00351523	0.00642433	0.00554085	0.0051279	0.00588332	0.00682923	0.00931341	0.0145577	0.00983125	0.0146227	0.0239755	0.0227844	0.0256477	0.0344852	0.0284624	0.0267095	0.0101941	0.0117007	0.0138477	0.0110629	0.00845755	0.0190421	0.0118	0.0177121	0.0199752	0.018935	0.0299726	0.0351825	0.0367134	0.0341495	0.0273615	0.0332205	0.0299907	0.0295159	0.0290141	0.0324236	0.0281121	0.0190532	0.0186019	0.0118904	0.0115934	0.0157963	0.0177258	0.0143779	0.0080157	0.004919	0.00632658	0.00384433	0.00372664	0.00320286	0.00258195	0.00416939	0.00607348	0.00715457	0.00804551	0.00851779	0.011331	0.0114384	0.00494766	0.00582848	0.00433692	0.00753861	0.00478286	0.0107676
quelqu'	0.0139322	0.00851498	0.00788617	0.00821063	0.00859499	0.0101194	0.00987061	0.0121081	0.00519485	0.00477814	0.00359979	0.0062141	0.00755866	0.00932964	0.00974831	0.017813	0.0151018	0.0113487	0.0168889	0.024351	0.0140503	0.0169335	0.00747784	0.00956587	0.012091	0.011774	0.011215	0.0134157	0.0175735	0.0175206	0.0293278	0.0192479	0.0273742	0.0423466	0.0501167	0.0436778	0.0288364	0.0285998	0.0315574	0.0196377	0.0222953	0.0330739	0.0267131	0.0135613	0.00992335	0.00715721	0.00807152	0.00710579	0.0118193	0.0169547	0.0162967	0.0131051	0.0111528	0.016259	0.0115763	0.0106889	0.0150688	0.0104789	0.00792494	0.00736825	0.00774819	0.00757828	0.0106313	0.0071131	0.00281859	0.0043372	0.00349488	0.00714323	0.00397422	0.00506214
un	0.0061091	0.00366683	0.00339188	0.00296886	0.00258092	0.00262041	0.0026486	0.00390813	0.00315654	0.00189922	0.0014786	0.00393557	0.00467283	0.00677581	0.00566758	0.0105245	0.0160023	0.0220297	0.0187175	0.0173483	0.0179219	0.0176322	0.0095542	0.0148715	0.0159509	0.0150847	0.0143385	0.0168033	0.0309909	0.0198988	0.0447037	0.0310757	0.0319745	0.0332473	0.04042	0.0372397	0.0320279	0.0258569	0.0228733	0.021607	0.0312081	0.0264519	0.0237472	0.0192385	0.0127911	0.009185	0.0109293	0.00805329	0.00619161	0.00888851	0.00478135	0.00335667	0.00536699	0.00678508	0.0039864	0.00429032	0.00407084	0.00556807	0.00453522	0.00456066	0.00592237	0.00674732	0.00845261	0.0126777	0.0119815	0.0137449	0.0193533	0.0339549	0.0220935	0.0269096
avec	0.0102151	0.00531691	0.00584192	0.00600844	0.00531866	0.00435055	0.00380156	0.00463221	0.00268781	0.00202256	0.00180873	0.00353296	0.00568977	0.00558035	0.0113205	0.0134327	0.0169189	0.0248231	0.0202404	0.0224195	0.0208398	0.0145299	0.0114216	0.0175091	0.0179671	0.0164046	0.00662209	0.0141814	0.0200625	0.012191	0.0186028	0.0151353	0.014523	0.0318398	0.0299555	0.0270758	0.0309523	0.0228431	0.0236602	0.0240898	0.0217473	0.0241739	0.032421	0.0292808	0.023502	0.0218491	0.0248698	0.0166169	0.016385	0.0204962	0.019548	0.0181907	0.0162362	0.0131901	0.00644883	0.00587514	0.00584991	0.00538087	0.00315619	0.00325037	0.00468426	0.00592949	0.00760236	0.0092269	0.00884268	0.0084469	0.0109174	0.019204	0.0185437	0.0117644
