 	a15	a66	a87	a23	a99	a20	a36	a56	a24	a43	a40	a47	a36	a85	a47	a15	a98	a85	a6	a61	a62	a88	a38	a75	a47	a36	a2	a57	a87	a23	a87	</S>
chez	0.0360946	0.0460322	0.0416475	0.0306695	0.0395816	0.0636591	0.0739391	0.134948	0.10406	0.0423875	0.0434213	0.0243995	0.0216339	0.0174752	0.012857	0.00780774	0.00754608	0.0055075	0.00413252	0.00386935	0.00365622	0.00937625	0.0129685	0.0121308	0.0150711	0.0336845	0.0171798	0.0237935	0.0212466	0.0276718	0.0172112	0.0443408
vous	0.0356931	0.0348595	0.0392297	0.0240817	0.0167458	0.0153416	0.0225934	0.0284266	0.0396334	0.029981	0.0297515	0.0248497	0.0205256	0.0166571	0.0199086	0.0413895	0.0645368	0.0385417	0.0304255	0.03229	0.0339051	0.0287328	0.0480481	0.0327603	0.0208622	0.0276439	0.0376702	0.0358583	0.0325693	0.0356353	0.0285569	0.0322959
il	0.0594744	0.0362894	0.0374579	0.034504	0.0383032	0.0188386	0.0237332	0.0254026	0.0183083	0.0254333	0.0452358	0.0693908	0.0482541	0.027197	0.0177318	0.0107415	0.00810712	0.00837607	0.00708657	0.00761875	0.012531	0.0137271	0.0157723	0.0177581	0.0167867	0.0256668	0.0236898	0.0359709	0.0624693	0.0761729	0.0735382	0.0584323
n'	0.0338212	0.0351327	0.0293877	0.0183596	0.0233551	0.0160101	0.0159901	0.0340432	0.041723	0.0364678	0.0524284	0.0270565	0.0311538	0.0416653	0.0332351	0.0326716	0.0303091	0.0366974	0.0269719	0.0166188	0.0176697	0.0110624	0.0161336	0.0185247	0.0307709	0.0372277	0.0392519	0.034879	0.0379724	0.0209442	0.0268028	0.0956622
y	0.0601896	0.0574358	0.0703493	0.058669	0.0732137	0.0634687	0.0320987	0.0221319	0.0218333	0.0205114	0.0128595	0.016718	0.0206959	0.0249233	0.0181911	0.0196044	0.0247241	0.0337623	0.0201334	0.0139279	0.0213047	0.0130157	0.00900104	0.0111175	0.0256	0.0199731	0.0235973	0.0321386	0.0367054	0.0154672	0.0303949	0.0762433
a	0.0787072	0.0626064	0.0565054	0.0530759	0.0503994	0.0493799	0.0406174	0.0335029	0.0278695	0.0362105	0.0269383	0.0226299	0.0195659	0.0114211	0.0116002	0.0106888	0.0134815	0.0174738	0.0177159	0.0225664	0.0326923	0.0310397	0.0215232	0.0290251	0.0305218	0.0194434	0.0286132	0.0248518	0.02761	0.0262155	0.0304436	0.0350644
jamais	0.0430661	0.0334198	0.0296329	0.0199609	0.0191626	0.0114343	0.0117893	0.0120465	0.0119303	0.0135603	0.0139859	0.0116047	0.00872903	0.00530961	0.00599758	0.00620008	0.0116423	0.0153256	0.0165993	0.0140451	0.0330902	0.0531099	0.0342811	0.0572474	0.0685316	0.076294	0.075743	0.0800949	0.0710724	0.0444512	0.0517003	0.0389419
du	0.0750928	0.05384	0.0479311	0.0414392	0.0320751	0.0163843	0.014042	0.0114019	0.00896395	0.014751	0.0102903	0.0098972	0.00647983	0.0046596	0.00482716	0.00617239	0.01093	0.0159402	0.0128958	0.0176618	0.0446891	0.0561571	0.0440498	0.0514129	0.0480833	0.0493605	0.0527656	0.0559606	0.0527056	0.0336535	0.0488176	0.0466685
poisson	0.0571912	0.0404095	0.0382382	0.031914	0.0272167	0.0148729	0.00974211	0.0112613	0.0107635	0.0184998	0.0184852	0.01834	0.0120354	0.0097477	0.00941424	0.00882942	0.0164123	0.0162243	0.0156268	0.0228356	0.0301102	0.0452872	0.0357226	0.0395105	0.0277326	0.0585141	0.0401665	0.0639138	0.0619789	0.0656483	0.0613684	0.0619869
salé	0.106703	0.0894019	0.0760917	0.0609628	0.0392979	0.0262346	0.0201407	0.0165041	0.0120834	0.0160543	0.0133935	0.0136554	0.00808606	0.00263556	0.00310609	0.00349997	0.00600598	0.00455763	0.00277423	0.00657052	0.0150973	0.0215738	0.0170973	0.021845	0.0192708	0.0433394	0.0216984	0.0404036	0.0464623	0.0538371	0.0634736	0.108142
</S>	0.071673	0.0741233	0.0637112	0.050473	0.0278999	0.01723	0.016517	0.018988	0.0167804	0.0255048	0.021199	0.0212805	0.0117572	0.002893	0.00316594	0.00337178	0.00439896	0.00312699	0.0021543	0.00456893	0.0120942	0.0204496	0.017683	0.0263898	0.0216928	0.0425109	0.0305885	0.0404555	0.0552216	0.0614925	0.088084	0.122521
