 	a66	a87	a23	a18	a62	a47	a62	a47	a62	a88	a31	a24	a9	a38	a11	a96	a56	a96	a62	a24	a88	a9	a87	a23	a87	</S>
il	0.0762362	0.0800956	0.183602	0.107543	0.0993423	0.0639257	0.0457036	0.0313983	0.0202668	0.0147857	0.0222841	0.0141088	0.0138644	0.0106226	0.0101554	0.006368	0.00807046	0.00987105	0.00719866	0.0103085	0.0183864	0.01984	0.0228901	0.0208419	0.0355841	0.046706
y	0.0202568	0.0138098	0.0185771	0.0558238	0.0799225	0.0580269	0.0525419	0.0575489	0.0423635	0.0497539	0.0516697	0.0675182	0.0363385	0.0252151	0.0244935	0.0207746	0.0242597	0.0169592	0.0173429	0.0293212	0.0404802	0.0690247	0.0336644	0.0374171	0.0321029	0.024793
a	0.0323549	0.0136795	0.0118393	0.0158787	0.0209612	0.0164022	0.0135261	0.0267123	0.0269536	0.0368767	0.0739242	0.0483835	0.0757651	0.0557059	0.0368763	0.0262526	0.0170789	0.0126336	0.0106459	0.0262137	0.0465792	0.0815849	0.0639255	0.0721787	0.0815269	0.0555407
plusieurs	0.0849221	0.0848409	0.0713991	0.0677389	0.0772611	0.084978	0.0624501	0.0549402	0.0583513	0.0534291	0.0484482	0.0308995	0.0237329	0.0201922	0.0146213	0.0150391	0.0127349	0.0108316	0.0135885	0.0113715	0.0137188	0.0158758	0.01728	0.0127619	0.0140402	0.0245529
manières	0.139295	0.0740787	0.0384744	0.0197676	0.0237745	0.0385802	0.0426081	0.05296	0.0613171	0.0556697	0.0398687	0.0198805	0.0157416	0.0183883	0.016996	0.0147271	0.0133637	0.0174212	0.0136041	0.0181999	0.0296126	0.029135	0.0429332	0.0371105	0.0346337	0.0918587
d'	0.135737	0.0860664	0.0883985	0.0511822	0.07221	0.0520258	0.0422349	0.0282559	0.0279144	0.015249	0.040221	0.0186015	0.0225605	0.0164321	0.0182969	0.0158807	0.00831775	0.0189263	0.0242818	0.0167618	0.029237	0.0280028	0.0344909	0.0247075	0.0295499	0.054457
ouvrir	0.0491662	0.036979	0.0421006	0.0412383	0.0322669	0.0375565	0.0469128	0.0418349	0.0354958	0.0234169	0.0267305	0.0169759	0.0159553	0.0166525	0.0149378	0.0284314	0.0154484	0.0399439	0.0395146	0.0384313	0.0451173	0.0415056	0.0998873	0.0698457	0.0726649	0.0309894
cette	0.0902833	0.0772968	0.0640635	0.0326831	0.0595545	0.0726996	0.0545131	0.0271514	0.0228625	0.0157683	0.0190467	0.011099	0.0187548	0.0131699	0.0169462	0.016514	0.0224223	0.0243072	0.0614029	0.0297403	0.0400727	0.0301698	0.0491979	0.0402891	0.0461573	0.0438338
maison	0.0407459	0.0250519	0.0174424	0.00938995	0.010949	0.0185583	0.0139628	0.013346	0.0103729	0.0121268	0.0115874	0.0118531	0.0138816	0.019664	0.0187701	0.0316786	0.0193185	0.0281585	0.054806	0.0338698	0.0841866	0.0807933	0.132292	0.0925339	0.0912747	0.103386
</S>	0.0367494	0.0339003	0.0268494	0.0106664	0.0116978	0.0114833	0.00735233	0.00999049	0.0065681	0.00607958	0.00783254	0.00650417	0.00533878	0.0120098	0.010604	0.0204393	0.0239421	0.041431	0.0582622	0.0385851	0.0614223	0.0500749	0.118628	0.0833034	0.130405	0.16988
