 	a66	a87	a23	a30	a93	a44	a93	a56	a75	a85	a47	a92	a56	a44	a75	a21	a47	a21	a12	a18	a85	a5	a47	a61	a98	a85	a6	a37	a36	a27	a57	a87	a23	a87	</S>
a	0.0429325	0.0630354	0.0673435	0.0690934	0.0847703	0.0520301	0.0392458	0.0270334	0.0136919	0.0122948	0.00979972	0.0120842	0.0131327	0.0122343	0.0125061	0.0200519	0.0248477	0.0243888	0.0278095	0.0324445	0.0487017	0.0358692	0.00885101	0.0156765	0.0149555	0.0105492	0.0180777	0.0148175	0.0172049	0.0210381	0.0224862	0.0177945	0.0258635	0.0259428	0.0414009
qui	0.0124737	0.0146501	0.0169863	0.0438828	0.0271292	0.0229103	0.0200423	0.0288202	0.0267588	0.0254996	0.020466	0.0211939	0.0184789	0.0219672	0.0252018	0.0309331	0.0228902	0.00919812	0.0167384	0.00727802	0.00656627	0.00980566	0.0174806	0.0213797	0.0265303	0.0338182	0.0383788	0.0479091	0.0428308	0.0468048	0.0502901	0.0585755	0.0892512	0.0556068	0.0212733
appartient	0.0299769	0.0278279	0.028337	0.0220696	0.0358011	0.0244283	0.0162215	0.0159501	0.0191292	0.0289618	0.0187249	0.0280141	0.0372814	0.0187763	0.0271786	0.0166049	0.0286343	0.00958183	0.0130579	0.00464147	0.00743805	0.00785148	0.0076484	0.0278975	0.0236443	0.0225405	0.0248141	0.0186608	0.0443574	0.039966	0.0338411	0.0337478	0.0891694	0.0657146	0.101509
l'	0.0723739	0.0469412	0.0374806	0.0187055	0.0188637	0.0287424	0.0230937	0.024783	0.0236599	0.0175876	0.0147602	0.0123242	0.01821	0.0133967	0.0127814	0.00671316	0.013803	0.0174208	0.0185485	0.0266465	0.0296094	0.0215084	0.029761	0.0267495	0.0221474	0.0270448	0.0464332	0.0362579	0.038887	0.0516165	0.038433	0.0196746	0.0197545	0.0469617	0.0783251
enfant	0.0282169	0.0169364	0.0137556	0.00946946	0.0121144	0.0198518	0.0340766	0.0576338	0.0828458	0.060852	0.0728653	0.0582876	0.0579509	0.0549057	0.043038	0.0362002	0.0363443	0.0192327	0.0156251	0.0166099	0.00997102	0.00571851	0.00580677	0.0107583	0.0141254	0.0139198	0.0203532	0.00609342	0.0173406	0.0197948	0.0177295	0.0162626	0.0253512	0.029397	0.0405656
qui	0.0205355	0.0187058	0.0163304	0.0167019	0.0233926	0.0296456	0.0481789	0.0672167	0.0581241	0.0451327	0.0531539	0.0478855	0.0420943	0.0288627	0.0205556	0.0212768	0.0223332	0.0207086	0.0510473	0.045159	0.0364387	0.0129072	0.00698866	0.00846765	0.0106375	0.0267707	0.028759	0.0229011	0.0233761	0.0297364	0.021175	0.023767	0.0177746	0.0179407	0.0153186
a	0.0445015	0.0281361	0.0253005	0.0154897	0.0237912	0.0190504	0.013846	0.0199351	0.0257314	0.0263484	0.0192752	0.0206068	0.0354165	0.0161202	0.0294462	0.0159493	0.0225769	0.00980179	0.0255419	0.00506681	0.0221203	0.00640862	0.0178312	0.0214356	0.0273783	0.0396748	0.0449555	0.0337694	0.0508861	0.0446276	0.0378023	0.0485191	0.0595442	0.0435947	0.0595203
vomi	0.0649344	0.0380218	0.0365712	0.0240776	0.0319373	0.0271355	0.0114401	0.012821	0.0127745	0.0193286	0.0184492	0.0202228	0.0301312	0.0185163	0.0310076	0.0212555	0.0252441	0.0132164	0.0415582	0.0111241	0.0350929	0.014083	0.0348865	0.025156	0.0205772	0.0213617	0.027059	0.0195987	0.0309948	0.0229459	0.0219527	0.0331319	0.070612	0.0412636	0.0715168
sur	0.0918611	0.0648006	0.0449042	0.0356701	0.0277761	0.0174444	0.00783946	0.00917757	0.00800529	0.0123974	0.0105469	0.0155151	0.0180547	0.0186403	0.019528	0.0142821	0.0162103	0.0115265	0.0122235	0.00978436	0.0287067	0.0116571	0.0203077	0.0221236	0.0146446	0.0128514	0.0243964	0.024026	0.0389003	0.0280795	0.0461518	0.0461528	0.0643734	0.0751894	0.0762514
mon	0.0480546	0.0412281	0.0348792	0.0237212	0.0238987	0.0138031	0.00700609	0.00886418	0.00850281	0.00899334	0.00768053	0.00802334	0.0115658	0.00639357	0.0100714	0.0109443	0.0189604	0.0194665	0.0231968	0.0178389	0.0371026	0.0216824	0.0374902	0.0438935	0.0289414	0.0168193	0.0275842	0.0268514	0.0479011	0.0316227	0.044104	0.0369665	0.0821593	0.085264	0.0785244
lit	0.0271376	0.0168369	0.0118363	0.00583385	0.00859808	0.00499432	0.00372004	0.00636774	0.00923163	0.00933994	0.0059834	0.00564203	0.00908735	0.00531744	0.0111698	0.00979417	0.00832691	0.00751767	0.00891786	0.005719	0.015882	0.00993113	0.0229256	0.0277227	0.0290946	0.0402171	0.0523884	0.0512344	0.0595722	0.0632553	0.06535	0.0817086	0.0945773	0.0919121	0.112857
</S>	0.0390202	0.0165114	0.0146789	0.00752003	0.0111424	0.0088184	0.00621912	0.00922988	0.0109064	0.0144473	0.00821464	0.00896282	0.0133966	0.00983926	0.0256208	0.0266889	0.0216688	0.0183819	0.0173053	0.0119968	0.0210927	0.0190092	0.0374985	0.0413968	0.0394631	0.0329104	0.0617329	0.0290665	0.0342701	0.0430481	0.0496486	0.0663086	0.0744684	0.0648723	0.084644
