 	a87	a23	a87	a23	a87	a30	a10	a83	a54	a15	a37	a98	a47	a37	a66	a62	a21	a85	a44	a93	a70	a83	a75	a61	a0	a50	a83	a9	a10	a87	a23	a87	</S>
les	0.0359608	0.0522656	0.0512199	0.0548075	0.0287992	0.0444764	0.0484918	0.0464819	0.0488368	0.0467685	0.0491707	0.022174	0.0111321	0.0149014	0.0143952	0.0279727	0.0237417	0.0355856	0.0208475	0.025439	0.0231986	0.0158287	0.0239923	0.0232784	0.024493	0.0280518	0.0311669	0.0241533	0.0201589	0.0164198	0.0186533	0.0137049	0.0334319
résidus	0.00252542	0.00288296	0.0069325	0.00748653	0.0168846	0.0128265	0.0410046	0.0298314	0.0501402	0.0701062	0.108377	0.15687	0.229894	0.162143	0.0316922	0.0139576	0.0138593	0.0163658	0.00413156	0.00322523	0.00189358	0.00265014	0.0015669	0.000871138	0.000422712	0.000537025	0.000995627	0.00114753	0.0012424	0.00229317	0.00102439	0.0024946	0.00172315
des	0.0349483	0.0473074	0.0525101	0.0590163	0.0462113	0.0494219	0.0415148	0.0485172	0.0389664	0.0328288	0.0430171	0.0383942	0.0843497	0.0967567	0.0449838	0.0328909	0.0207336	0.0237552	0.0112927	0.00778126	0.00933864	0.00758892	0.00518385	0.00497553	0.00581479	0.00872989	0.0136206	0.010485	0.0147996	0.0189161	0.0136554	0.0204598	0.0112342
noix	0.012422	0.0100028	0.00488067	0.00564893	0.00323179	0.005945	0.00597746	0.00567137	0.0052095	0.00473155	0.00673744	0.0144427	0.00964141	0.0106088	0.0221107	0.120816	0.115754	0.0805667	0.109286	0.0416689	0.0344607	0.028088	0.0350612	0.0412888	0.0672668	0.0397966	0.019145	0.0242462	0.022502	0.0321094	0.018211	0.0209719	0.0214996
de	0.140501	0.0474237	0.0214386	0.0199397	0.0174905	0.0139226	0.0178412	0.0203903	0.0211291	0.0360529	0.0557916	0.0425851	0.0420245	0.0591491	0.066231	0.039703	0.02465	0.0193712	0.0165675	0.00681544	0.0108579	0.0125762	0.0190945	0.0224424	0.0315084	0.0350928	0.0111054	0.0121972	0.018207	0.0164628	0.013357	0.0285949	0.0394858
palmes	0.0452541	0.0221662	0.0185047	0.0176866	0.0201994	0.0148899	0.0183526	0.0209686	0.0272213	0.0261482	0.0167899	0.0109919	0.0179405	0.0353783	0.0925246	0.0561771	0.0375809	0.0318155	0.0312273	0.0140764	0.0154943	0.0155956	0.0301489	0.0504881	0.0557337	0.0623583	0.0239576	0.034571	0.0202923	0.0285089	0.0232021	0.0218146	0.0419409
sèchent	0.0600324	0.0444368	0.0304551	0.0328511	0.0342008	0.0313196	0.0293635	0.0352348	0.0252341	0.0268339	0.0315958	0.0370174	0.0268825	0.0435467	0.0802143	0.0712264	0.0350403	0.026652	0.0241875	0.0138582	0.00967052	0.00774613	0.00794778	0.0129327	0.0142188	0.0271078	0.0201137	0.0226564	0.0162839	0.0310971	0.0227158	0.0404535	0.0268729
au	0.0579734	0.0361257	0.0366304	0.0249266	0.0290842	0.0153125	0.0149544	0.0225508	0.0094075	0.0118173	0.00861933	0.0071967	0.0217768	0.0351189	0.0508311	0.0268664	0.0169425	0.0165819	0.010724	0.00375065	0.00481224	0.00595471	0.0070883	0.0104838	0.0170856	0.0640655	0.061369	0.0536439	0.0575298	0.0472832	0.034833	0.0674528	0.111207
soleil	0.0623949	0.0246154	0.0231806	0.0168318	0.0259298	0.0119285	0.0133815	0.0149626	0.00956124	0.0108394	0.00833184	0.00955578	0.0254157	0.038577	0.0770886	0.0560604	0.0434333	0.0466454	0.0216952	0.00767118	0.0101987	0.00730894	0.00955308	0.00919806	0.0124131	0.0345249	0.0310402	0.0315926	0.0548619	0.0684304	0.0583379	0.0709663	0.0534738
</S>	0.0488618	0.0452027	0.0391318	0.0456331	0.0369163	0.0343434	0.0354964	0.030386	0.0304091	0.0219905	0.0185369	0.00756468	0.00823738	0.0153628	0.0264694	0.0214716	0.0167357	0.0186537	0.0197156	0.0111554	0.0101896	0.00820822	0.00893575	0.0116059	0.0134683	0.0454183	0.0464795	0.0518454	0.0436292	0.0636118	0.051167	0.065084	0.048083
