 	a23	a85	a87	a23	a87	a23	a20	a44	a26	a11	a24	a98	a71	a54	a73	a37	a24	a25	a38	a21	a96	a88	a24	a98	a25	a9	a53	a76	a90	a32	a54	a73	a44	a98	a41	a56	a21	a12	a43	a75	a73	a7	a84	a38	a53	a93	a62	a21	a12	a96	a66	a38	a73	a44	a13	a38	a27	a57	a87	</S>
c'	0.0263533	0.0324474	0.027308	0.017506	0.016288	0.0273418	0.0190135	0.0201937	0.0290877	0.0238501	0.020071	0.0326179	0.0333788	0.0387749	0.0254828	0.038744	0.0504095	0.0314224	0.0294367	0.0601746	0.0468351	0.0145219	0.0132286	0.00571041	0.00693965	0.00806864	0.0142374	0.00747871	0.0070546	0.00715689	0.00448015	0.00438107	0.00537264	0.00296736	0.00340187	0.00507967	0.00553182	0.00561934	0.00693982	0.00886794	0.00723562	0.00789859	0.012364	0.00869191	0.00986039	0.00879024	0.00879773	0.00607783	0.00757506	0.00674961	0.00507668	0.00510067	0.00607219	0.00648777	0.00595156	0.012716	0.01238	0.0170611	0.0293396	0.0319978
est	0.00464058	0.00501965	0.00271267	0.00192725	0.0019048	0.00230667	0.00272011	0.0044004	0.0140414	0.0123424	0.0241148	0.0167419	0.036145	0.0196002	0.0191213	0.0201194	0.0261306	0.0289987	0.0272383	0.0484249	0.0620778	0.0603878	0.0811887	0.0543891	0.0266237	0.00605505	0.0128475	0.00727683	0.0143469	0.00996273	0.0132498	0.0233896	0.0117559	0.0111023	0.010703	0.00533288	0.00600075	0.00629975	0.0133987	0.00408093	0.00422886	0.00565061	0.00324562	0.00865811	0.0158307	0.00617429	0.00519482	0.0075221	0.0141028	0.0138536	0.0243814	0.0180801	0.0258944	0.018738	0.01566	0.0142126	0.0146381	0.00806608	0.0116103	0.00513695
assurément	0.0136346	0.00922134	0.0096144	0.00696578	0.00426877	0.00472458	0.00414697	0.00722022	0.00899016	0.00512737	0.00643317	0.00870233	0.00886922	0.0113038	0.0101113	0.0149482	0.0101821	0.0174615	0.0358652	0.0490659	0.0548599	0.0236821	0.0379587	0.0338721	0.0201279	0.00973648	0.0145691	0.0193844	0.0189367	0.0173755	0.0366948	0.0317954	0.0311278	0.024475	0.0125684	0.0127782	0.0196747	0.0224188	0.0211172	0.0143241	0.00850991	0.00850415	0.0058839	0.00895336	0.00923297	0.00472802	0.00556527	0.0105186	0.00860669	0.00618953	0.0085463	0.00573307	0.00969349	0.010259	0.0194701	0.0230895	0.0288198	0.0157045	0.0458915	0.0317663
le	0.0148623	0.00716753	0.0112847	0.00805864	0.00535247	0.00480361	0.00358907	0.00679636	0.00351834	0.00341535	0.00913291	0.00798113	0.00795475	0.00971557	0.0078392	0.00772447	0.00548954	0.00630841	0.0103547	0.0212855	0.0175788	0.0100928	0.0163215	0.0232059	0.00724244	0.00440751	0.00667899	0.00885458	0.00998855	0.00966347	0.0227805	0.0553374	0.0675109	0.114124	0.0477876	0.0512319	0.0318066	0.0328494	0.0257353	0.018743	0.0125685	0.0137985	0.00860038	0.0138261	0.0206942	0.0109284	0.00830193	0.011311	0.0101581	0.0142543	0.0152579	0.00567506	0.00695666	0.00942919	0.0108026	0.0124555	0.0204064	0.0153887	0.0162748	0.0183366
garçon	0.00497569	0.00242024	0.00566432	0.00622268	0.00940505	0.00620133	0.00497105	0.00538416	0.0187393	0.0170441	0.0388258	0.0228765	0.0189465	0.0170801	0.0432531	0.0393836	0.0347813	0.0170808	0.0270322	0.0303472	0.0209259	0.0079749	0.00944901	0.0064901	0.00788165	0.00505739	0.00824668	0.0134146	0.0104141	0.0303843	0.023852	0.0399241	0.0383498	0.0772765	0.0459216	0.0504029	0.0386961	0.0300525	0.0236122	0.0196213	0.0143765	0.0108796	0.00934955	0.00964639	0.00992735	0.00603954	0.00753031	0.00553509	0.00633854	0.00731612	0.00713874	0.00407002	0.00462533	0.00340339	0.00313544	0.0032886	0.00312065	0.00221606	0.00217777	0.00130232
le	0.0290654	0.0126115	0.0145632	0.0121886	0.0148189	0.0145989	0.0110533	0.00947422	0.0154924	0.0203006	0.0108689	0.0112109	0.00857524	0.00793183	0.0280472	0.0205483	0.0322723	0.00934486	0.0213221	0.0184769	0.00725321	0.00292162	0.00706683	0.00263018	0.00133348	0.00179223	0.0014887	0.00316592	0.0035685	0.00995007	0.0177583	0.0264824	0.0237409	0.0415798	0.0353153	0.0390064	0.0404607	0.0318668	0.0377104	0.0422339	0.0235275	0.017373	0.00962908	0.0118547	0.0113658	0.00864944	0.00549472	0.00523451	0.00850493	0.00786759	0.0078836	0.0121265	0.0132873	0.016393	0.0186553	0.0279593	0.019254	0.0208245	0.0224381	0.0315858
plus	0.0121394	0.00954484	0.0170751	0.0170077	0.0209277	0.0283705	0.030341	0.0249741	0.0375034	0.0222835	0.0507433	0.0435705	0.0428761	0.041284	0.0295932	0.0391271	0.0308926	0.0129569	0.0186946	0.0154045	0.0106972	0.00525387	0.00831767	0.00903658	0.00783486	0.00656161	0.00428947	0.00783684	0.00724735	0.0230317	0.0171533	0.0293962	0.0207101	0.0306125	0.0159475	0.0158469	0.0153912	0.0175179	0.0157842	0.0186422	0.0129367	0.00624897	0.00327482	0.00431511	0.00444108	0.00332649	0.00209099	0.00184278	0.00391029	0.00229846	0.0025584	0.00593275	0.00546595	0.00912864	0.00976237	0.0198959	0.0145708	0.015517	0.0180127	0.0220506
gentil	0.020005	0.016975	0.0255172	0.0214907	0.0256004	0.0232354	0.0186234	0.0144225	0.010115	0.00936073	0.00961932	0.00997192	0.0111996	0.00883623	0.00716888	0.00887775	0.00763158	0.00458637	0.00523457	0.00623835	0.00412826	0.00463026	0.00799257	0.00789878	0.00390398	0.00461786	0.00645705	0.00351268	0.00713826	0.00977496	0.0109219	0.0130656	0.0215659	0.0135869	0.0170277	0.0125352	0.0130614	0.0149701	0.0132805	0.0123497	0.00736057	0.00814866	0.00561865	0.00822671	0.00924474	0.00704434	0.0033675	0.00354765	0.00676986	0.00793378	0.00859841	0.0203158	0.0235862	0.059051	0.0649985	0.110703	0.0426899	0.0482292	0.044153	0.0432835
du	0.0329289	0.0298842	0.0377388	0.0259866	0.0253839	0.0197136	0.0170962	0.023609	0.0182228	0.0156191	0.010282	0.0140235	0.0116955	0.0132331	0.0118908	0.0113743	0.0128262	0.0124829	0.014086	0.0151413	0.0130351	0.00745536	0.0103422	0.0069432	0.00316593	0.00412351	0.00582224	0.00504288	0.00516427	0.00577247	0.0120166	0.0155727	0.02034	0.0176039	0.0140794	0.0159176	0.0110853	0.0125294	0.0143483	0.013414	0.00680479	0.00920071	0.00446052	0.0060918	0.0077198	0.00361908	0.00285953	0.00392608	0.00415293	0.00474553	0.006112	0.00930253	0.0132928	0.0234484	0.02485	0.0439848	0.025871	0.0310166	0.0452238	0.136324
village	0.0121809	0.00828499	0.0124371	0.00996618	0.00980658	0.00806544	0.00729219	0.00755122	0.00543291	0.00554609	0.00455546	0.00661058	0.00763195	0.00621226	0.00600545	0.00864203	0.00832021	0.00966154	0.0151251	0.0172681	0.00812878	0.00504931	0.00662233	0.01522	0.010367	0.0056028	0.01195	0.00974108	0.01724	0.0174361	0.03726	0.0379267	0.0519778	0.0514344	0.0352996	0.0386469	0.0356546	0.043407	0.0337404	0.0292908	0.0157639	0.0162037	0.0108378	0.012548	0.0132037	0.0128361	0.00958678	0.0110279	0.0125442	0.0113873	0.0140824	0.0154242	0.0153611	0.0210058	0.019399	0.0308347	0.0167906	0.0188559	0.0248844	0.0188305
