 	a66	a87	a23	a79	a54	a6	a0	a43	a31	a61	a96	a98	a85	a92	a36	a21	a12	a47	a62	a88	a24	a88	a62	a56	a93	a90	a15	a7	a84	a87	a23	a99	a87	</S>
il	0.0396609	0.11792	0.0733807	0.0979457	0.071395	0.060619	0.048662	0.0230283	0.0149934	0.0146594	0.0165995	0.0137367	0.0140532	0.0139471	0.0116803	0.0151049	0.00970705	0.0147469	0.0125779	0.0123157	0.0147549	0.0114685	0.0166394	0.0169605	0.0246632	0.0205988	0.0235879	0.0258725	0.0295718	0.0235954	0.0171024	0.0301452	0.018754	0.0295517
a	0.0124934	0.017706	0.0191695	0.0456269	0.0516912	0.0815934	0.0621602	0.049254	0.030306	0.0389016	0.0359638	0.0244179	0.0183642	0.0175195	0.0133806	0.0152282	0.0127829	0.0151551	0.0116376	0.0105328	0.0116453	0.0121587	0.0100734	0.0140043	0.02424	0.0384812	0.0456604	0.0582259	0.0462652	0.0370762	0.0458828	0.0295959	0.0267981	0.0160077
donné	0.0274061	0.0192548	0.0126487	0.00807735	0.00883989	0.0181908	0.0203867	0.0361592	0.0384309	0.0556961	0.070926	0.0218145	0.0129753	0.0115678	0.00844288	0.0179731	0.0212393	0.00776081	0.0087713	0.00991552	0.00707749	0.0157147	0.0103485	0.0121186	0.0145722	0.0185634	0.0264728	0.047091	0.0445296	0.0451303	0.0825624	0.0732553	0.0650342	0.101052
un	0.165521	0.0739929	0.0534194	0.0181249	0.00986935	0.015126	0.0261705	0.038443	0.0229058	0.0156146	0.0166712	0.0226736	0.0175801	0.0177263	0.0163234	0.0119682	0.0154231	0.0185758	0.0157391	0.0184067	0.0205177	0.0204553	0.0273085	0.0307634	0.0171468	0.0227461	0.0216688	0.0192369	0.0264724	0.0263479	0.0332007	0.0374319	0.0175293	0.0688991
coup	0.0343384	0.0172648	0.00907629	0.00948776	0.00698397	0.0115011	0.0141571	0.0420722	0.0420038	0.0458064	0.0598368	0.0519942	0.0424056	0.0317132	0.0335453	0.0242608	0.0243387	0.0333726	0.0315539	0.019593	0.0270593	0.0251769	0.0224642	0.0213247	0.0170477	0.0186088	0.0248293	0.0285556	0.0406958	0.0404685	0.0414838	0.0372337	0.0302628	0.0394827
de	0.0594074	0.092262	0.0467891	0.0275646	0.0320624	0.0706792	0.0580079	0.0653519	0.0726621	0.0320435	0.0410327	0.0143148	0.00803939	0.0139038	0.00823203	0.016362	0.0141945	0.0224076	0.0134683	0.0188602	0.0416783	0.0318227	0.0294428	0.0257856	0.0203598	0.014716	0.0109543	0.0108179	0.0167573	0.0143591	0.0174703	0.0145003	0.0132077	0.0104825
pied	0.0794672	0.0505378	0.0235922	0.0171204	0.0164603	0.023418	0.0250293	0.02531	0.0445286	0.037652	0.0248569	0.0278881	0.0200348	0.028553	0.0240499	0.0329128	0.0405001	0.0319572	0.0339632	0.0342046	0.0654407	0.0380956	0.050698	0.0262031	0.0305477	0.00971646	0.0143303	0.0113709	0.0233971	0.0155504	0.0199006	0.0108432	0.0248998	0.0169697
au	0.0679325	0.0399232	0.02619	0.00959851	0.00893753	0.010449	0.00952162	0.0119189	0.0144225	0.0198296	0.0190938	0.0118965	0.00816747	0.00862917	0.00839819	0.0218348	0.0344061	0.0351934	0.0282765	0.0341544	0.0558614	0.0371814	0.0398992	0.0220578	0.02215	0.01926	0.0310839	0.0432808	0.0492313	0.0537892	0.0573371	0.0467233	0.0545884	0.0387824
chien	0.0521669	0.0308537	0.0183474	0.0112553	0.00745049	0.0151695	0.0144427	0.0199041	0.0298127	0.0330303	0.0367046	0.0200341	0.017484	0.015887	0.017805	0.0279219	0.0362554	0.0249358	0.0213944	0.035068	0.0313091	0.0394346	0.0261814	0.0215056	0.0175715	0.0141919	0.0205875	0.0344	0.0378463	0.0514384	0.0553253	0.0449123	0.0565485	0.0628242
pour	0.0367455	0.0324351	0.0276939	0.0299941	0.0270749	0.0403556	0.0351886	0.0409095	0.0487685	0.0415943	0.0560012	0.0338125	0.030574	0.019643	0.0145354	0.018017	0.0198765	0.0148435	0.0119486	0.0193518	0.020352	0.0220942	0.0167231	0.0160694	0.015574	0.0228737	0.0226964	0.0278146	0.0307206	0.0308124	0.0338461	0.0314482	0.0373889	0.0722227
rien	0.0509088	0.0538054	0.0384703	0.0244927	0.0183295	0.0118369	0.0123547	0.0117933	0.0134812	0.0190075	0.0198096	0.0104449	0.00902838	0.00726656	0.00624132	0.0116681	0.012177	0.00991707	0.00933429	0.0154228	0.0172871	0.0185451	0.0221967	0.022785	0.0313575	0.0392184	0.0383921	0.0593397	0.05418	0.0572226	0.0524513	0.0617199	0.0667031	0.0928112
</S>	0.0916327	0.145613	0.0842186	0.0427095	0.032128	0.0170397	0.012295	0.0106877	0.00908274	0.0141793	0.00799922	0.00697342	0.00429597	0.00652318	0.00722562	0.019276	0.014076	0.010554	0.0093193	0.0124471	0.0113527	0.0188015	0.0162856	0.0203526	0.0277945	0.02245	0.0241876	0.0302284	0.0318605	0.0365153	0.0368609	0.0430158	0.0563502	0.0656679
