 	a15	a66	a87	a79	a69	a7	a32	a75	a47	a15	a36	a44	a4	a57	a9	a40	a47	a7	a75	a21	a85	a47	a36	a40	a6	a36	a61	a47	a61	a43	a11	a66	a9	a10	a87	a23	a99	a27	</S>
les	0.0190452	0.0265553	0.0320836	0.0377572	0.0322831	0.0542111	0.0381568	0.0448605	0.0502304	0.0453158	0.0336446	0.0237861	0.0107077	0.0131145	0.0115052	0.0125613	0.0115455	0.012588	0.0103603	0.0115914	0.01387	0.0164547	0.0396232	0.0524029	0.0722005	0.0377421	0.031392	0.0142651	0.0149192	0.0175545	0.0180975	0.0125112	0.0165731	0.0164606	0.0118849	0.0134766	0.0248299	0.00841499	0.0354234
branches	0.00714658	0.0116193	0.0170729	0.0194038	0.0122743	0.0352023	0.0539381	0.0295684	0.052242	0.0633417	0.056913	0.0925256	0.119805	0.0793575	0.057694	0.0267338	0.0419183	0.0817015	0.0246978	0.0138829	0.0170587	0.017029	0.0056928	0.00411324	0.00382101	0.00487593	0.00287756	0.00586203	0.0082729	0.0110501	0.00587056	0.00688203	0.00169952	0.00147246	0.0017658	0.00190387	0.000702436	0.000873816	0.00113739
de	0.0174033	0.0262546	0.0361355	0.0284025	0.022559	0.0470268	0.0385653	0.0475905	0.0452663	0.0731193	0.0379535	0.0383771	0.067678	0.0504396	0.0612219	0.0734672	0.0546697	0.052866	0.0258035	0.0165651	0.0232067	0.0225495	0.0131396	0.0111214	0.00877708	0.00950442	0.00694524	0.00914678	0.00754711	0.00576769	0.00375721	0.00346163	0.00134773	0.00185632	0.00311366	0.00395941	0.000727673	0.00184377	0.000862432
ce	0.0184026	0.00594093	0.00472074	0.00363715	0.00422746	0.00528388	0.00504447	0.00434137	0.00541581	0.00837827	0.00884616	0.0217642	0.0282603	0.0332663	0.0390863	0.0262733	0.0136064	0.016292	0.0162255	0.01222	0.00909334	0.0164516	0.007894	0.00745378	0.00941033	0.012207	0.0294853	0.0420096	0.0614667	0.0626135	0.0444576	0.0479102	0.0668827	0.0770398	0.0559412	0.0714835	0.035026	0.0346328	0.0273079
safoutier	0.018362	0.018436	0.0182535	0.0172921	0.0134835	0.0176167	0.0143628	0.00997558	0.00922276	0.00771802	0.0021689	0.00407096	0.0125628	0.0133501	0.0324558	0.0348203	0.034011	0.0243729	0.026197	0.0366695	0.0204633	0.0170671	0.0260826	0.01856	0.0109191	0.0130097	0.0141595	0.0323296	0.050199	0.029642	0.0390553	0.0352825	0.0691656	0.0522121	0.0529	0.0594646	0.0255668	0.039674	0.028845
pousse	0.0355362	0.026889	0.0285204	0.0257372	0.0165973	0.025307	0.0253186	0.0198096	0.0156472	0.0267186	0.0217031	0.0239493	0.0161247	0.0281993	0.0275641	0.0293204	0.0226819	0.0321793	0.0626784	0.0913982	0.0551266	0.0695372	0.0409175	0.0292267	0.0103105	0.0123787	0.0103942	0.016277	0.0227614	0.0185379	0.0128085	0.0209166	0.0312422	0.00863291	0.00641169	0.00870115	0.00800737	0.00664878	0.00928343
dans	0.0551721	0.0308127	0.0295597	0.0232188	0.0190893	0.0214679	0.0202631	0.0203415	0.0262343	0.0238307	0.0189037	0.0304286	0.015952	0.0271758	0.0241462	0.0184553	0.00932569	0.0143008	0.0237117	0.0322588	0.0245441	0.0252714	0.0314358	0.0348255	0.0227314	0.0325862	0.0170773	0.0219415	0.0254146	0.0253457	0.0228514	0.0177778	0.0276953	0.0139018	0.0270539	0.0296905	0.0393633	0.0174965	0.0583478
tous	0.0404971	0.0354971	0.0280683	0.0222525	0.0254395	0.0252296	0.0240363	0.0209085	0.0272499	0.0217632	0.0314707	0.0299044	0.0200534	0.0259572	0.0238472	0.0183387	0.0107972	0.0132341	0.0106384	0.0115446	0.0141784	0.0147219	0.0109621	0.0147738	0.0157747	0.0375725	0.0343571	0.0239195	0.0293533	0.028115	0.0294115	0.0202272	0.0276875	0.0249204	0.0486797	0.0327155	0.0341855	0.0338762	0.0578402
les	0.0279102	0.0189782	0.0145942	0.013152	0.0139605	0.0099914	0.0120841	0.0153901	0.015821	0.0131844	0.0236615	0.0227956	0.0230359	0.0295427	0.0290762	0.0223205	0.0162403	0.0138864	0.0120552	0.0121565	0.0121788	0.0124116	0.0113642	0.0129415	0.0137456	0.0230409	0.0320338	0.0298999	0.0448894	0.0428336	0.0405978	0.0309881	0.0353168	0.0397949	0.0723878	0.0509652	0.0442442	0.0437963	0.0467328
sens	0.0256622	0.0136305	0.011515	0.00711759	0.0100048	0.00950001	0.009851	0.0144914	0.0158714	0.0126372	0.0145254	0.0147237	0.0134996	0.0221887	0.0166614	0.0211994	0.0132741	0.0146068	0.0280295	0.0255244	0.0208822	0.0190729	0.0197824	0.0145934	0.0152434	0.0192832	0.0347767	0.038567	0.0449705	0.0369051	0.04045	0.0406937	0.03998	0.0443839	0.0592876	0.0543148	0.0507923	0.058843	0.0326638
</S>	0.0209038	0.00808559	0.00543408	0.00354035	0.00590779	0.00329344	0.00294729	0.00335814	0.00357639	0.00376321	0.0102129	0.0132669	0.00621427	0.00907049	0.00823286	0.00725627	0.00615464	0.00492716	0.00854107	0.011162	0.0116247	0.0144168	0.0155874	0.0150635	0.0200997	0.0282679	0.0433458	0.042943	0.0510244	0.0597731	0.0499585	0.0413792	0.0430721	0.046942	0.0850187	0.0802161	0.0658014	0.0798421	0.0597748
