 	a66	a10	a97	a3	a40	a41	a36	a62	a96	a62	a31	a0	a75	a98	a79	a90	a93	a4	a13	a11	a75	a92	a79	a98	a92	a37	a75	a92	a56	a96	a75	a5	a61	a18	a25	a3	a99	a82	</S>
on	0.056145	0.0475281	0.0431164	0.0485695	0.0414806	0.0352037	0.0463698	0.046915	0.0398953	0.0652944	0.0581434	0.0274525	0.0259771	0.0350747	0.0153346	0.0110136	0.0174571	0.0145903	0.0121102	0.0112454	0.0101994	0.0143284	0.0172947	0.0205032	0.0238024	0.0239074	0.0209386	0.0167941	0.015815	0.00975301	0.0089729	0.014637	0.0121783	0.013381	0.00677922	0.012483	0.0174569	0.0111314	0.0307274
l'	0.0122587	0.0119843	0.0134523	0.015426	0.0242047	0.0622502	0.0901148	0.0618945	0.0515471	0.0288927	0.0163417	0.0133744	0.0127232	0.0215944	0.0237014	0.0244918	0.0181095	0.0218452	0.0189281	0.0202231	0.0212465	0.0168437	0.0169016	0.0133394	0.00692781	0.00623256	0.00851042	0.0124486	0.0163049	0.0292437	0.0400071	0.0623965	0.036746	0.0342561	0.0322254	0.0213106	0.0229457	0.0221826	0.0165728
avait	0.0628923	0.0243609	0.0251976	0.0333105	0.0699139	0.0756145	0.0562188	0.0722313	0.0480951	0.0385183	0.0226462	0.0177926	0.0145125	0.020289	0.014288	0.0228925	0.0159939	0.0140383	0.0149917	0.00647712	0.00523066	0.00374098	0.0030073	0.00238613	0.00401081	0.00396342	0.00700316	0.0129792	0.0177393	0.0184445	0.0209639	0.0245083	0.0315651	0.0272363	0.0298346	0.0215109	0.0264178	0.0381775	0.0310049
initié	0.0390883	0.0200063	0.0149814	0.0193663	0.00991133	0.0145653	0.0181478	0.0143889	0.0179105	0.0325385	0.0171725	0.0240629	0.0399073	0.0225226	0.0127778	0.0295982	0.0257197	0.0238721	0.0406988	0.0222982	0.0383675	0.0203169	0.0205578	0.0150527	0.0159254	0.0123275	0.0124863	0.0131151	0.0179789	0.0221818	0.0327039	0.0555362	0.0388132	0.0412444	0.0345753	0.0526859	0.0453845	0.0246987	0.0265133
à	0.103144	0.0485854	0.0345576	0.0391193	0.0293593	0.0227012	0.0145396	0.0161174	0.0142951	0.0209706	0.0149118	0.0193559	0.0278159	0.0264623	0.0207435	0.0224978	0.0177439	0.0144678	0.016874	0.0147707	0.017033	0.0160927	0.0112895	0.0126351	0.0190702	0.0252891	0.0266136	0.0225042	0.0196648	0.0240826	0.0312715	0.0297501	0.0242011	0.0261201	0.025605	0.0362528	0.0325188	0.0264036	0.0345692
la	0.0416178	0.0206004	0.0225784	0.0207527	0.0333526	0.0486212	0.0337748	0.0192436	0.0178417	0.0127245	0.0141756	0.0164023	0.0243145	0.0210447	0.0238043	0.0217416	0.0174594	0.0111885	0.0115648	0.0162438	0.017683	0.0156357	0.0159423	0.0145557	0.0226398	0.030611	0.0298452	0.0320001	0.0307944	0.0324608	0.0356104	0.0390326	0.0326604	0.0344631	0.0303302	0.036561	0.03406	0.0269287	0.0391385
chasse	0.119494	0.0466253	0.0363244	0.0462967	0.0354518	0.0144739	0.00957675	0.00997124	0.0106196	0.00960847	0.0143052	0.0184503	0.0354361	0.0489017	0.0350267	0.0399482	0.0387806	0.0252951	0.0221032	0.016801	0.0188777	0.0138397	0.0106382	0.0128482	0.0151363	0.016553	0.0196106	0.0163239	0.0185346	0.0171285	0.0176842	0.0193465	0.024388	0.0293737	0.0259292	0.0269231	0.0290643	0.0184188	0.0158909
aux	0.248184	0.111	0.0709046	0.0268198	0.0083151	0.00281187	0.00124994	0.00200627	0.00166257	0.00188316	0.00283649	0.00252024	0.0103496	0.0340961	0.0321316	0.0110232	0.0123836	0.00993468	0.0072857	0.0101927	0.0088111	0.00840524	0.00507192	0.00690694	0.0116702	0.0148503	0.0191905	0.0175898	0.0157418	0.0105118	0.0122589	0.0122458	0.0168122	0.0349056	0.0422634	0.0376959	0.0479831	0.0410276	0.0284671
éléphants	0.0760719	0.0319534	0.0290438	0.0140488	0.00691445	0.00373368	0.00211183	0.0037548	0.00515149	0.00667184	0.0074924	0.00744535	0.0106687	0.0152466	0.0229238	0.0199556	0.0223857	0.0228554	0.0221402	0.0209757	0.0225886	0.0227496	0.0164458	0.0229959	0.0224768	0.0171774	0.0223659	0.0202747	0.023723	0.0189389	0.0217794	0.0188773	0.0275964	0.0526814	0.0438584	0.0571676	0.0755675	0.0559653	0.0852245
au	0.0428687	0.0129773	0.0119469	0.00647469	0.00592194	0.00450989	0.00254225	0.00596405	0.00899821	0.00710691	0.00813723	0.00588712	0.0105895	0.0116384	0.0248691	0.0177983	0.0171311	0.0132693	0.0147758	0.0197337	0.0203391	0.0227697	0.0145253	0.0218342	0.0229118	0.0187269	0.0185293	0.024313	0.036206	0.0357961	0.0436671	0.0430078	0.0393108	0.0535466	0.0478641	0.0555409	0.0663183	0.0657335	0.0959191
pays	0.0517095	0.0295635	0.022904	0.020072	0.0157149	0.012512	0.00756045	0.0132976	0.00680724	0.00764082	0.00517084	0.00489425	0.00577941	0.0055284	0.00786978	0.00602925	0.0060142	0.00755749	0.00709909	0.00852233	0.0137648	0.0172072	0.0163066	0.0127582	0.0172176	0.0211955	0.0357636	0.0470085	0.0679196	0.0667687	0.0504361	0.06558	0.0638053	0.055692	0.0311887	0.0350047	0.0523681	0.0290247	0.0487432
