 	a66	a87	a23	a99	a62	a61	a96	a88	a18	a96	a90	a25	a69	a90	a25	a98	a47	a36	a92	a56	a93	a96	a93	a69	a7	a84	a87	a23	a99	a87	</S>
j'	0.0188445	0.0141363	0.0106795	0.0152323	0.0155573	0.0135789	0.0108806	0.0146169	0.0160425	0.0195159	0.0179513	0.0272888	0.0357139	0.0583144	0.0568212	0.0506788	0.0457706	0.0483082	0.0191389	0.0162569	0.0151298	0.0444766	0.0676192	0.0660474	0.0493173	0.0508359	0.0420422	0.0379747	0.045483	0.024803	0.0309433
ai	0.0508264	0.0478559	0.0466912	0.0448377	0.0443298	0.0445691	0.0441455	0.0262062	0.0247102	0.0207745	0.0183456	0.0187132	0.0236533	0.0163624	0.0198848	0.0300901	0.0222352	0.0227922	0.0401937	0.0429635	0.0395704	0.0455901	0.0354389	0.0346643	0.0261294	0.0255361	0.0299987	0.0323876	0.0246853	0.0237168	0.0321018
découvert	0.0599807	0.0451588	0.0434075	0.0472536	0.0519924	0.0585994	0.043861	0.0279457	0.0346688	0.0406406	0.0291592	0.019335	0.014789	0.0101527	0.00864477	0.0136732	0.00590215	0.00530562	0.00634928	0.0133825	0.0132249	0.0191512	0.0295976	0.0361308	0.0343579	0.0364916	0.0568037	0.0406165	0.044346	0.059513	0.0495649
un	0.0711427	0.0219639	0.01333	0.0108414	0.00901727	0.011822	0.0133213	0.00648366	0.00704361	0.00779222	0.0115269	0.0223256	0.0205858	0.0227318	0.0289362	0.0399303	0.0311781	0.0386253	0.0507812	0.0514335	0.0669293	0.0594289	0.0385703	0.0511272	0.0521061	0.0421058	0.0443368	0.0461661	0.0488983	0.0308118	0.0287066
bois	0.0242282	0.0194569	0.0238774	0.0166936	0.020059	0.0208168	0.0218457	0.0177715	0.0169028	0.0259416	0.0365825	0.0632073	0.0926455	0.0920407	0.0798835	0.0461071	0.030836	0.0793412	0.0374741	0.0455325	0.0500786	0.0299214	0.0274233	0.0167304	0.0169531	0.0128997	0.0102748	0.00700766	0.00669227	0.00505156	0.00572349
mort	0.0386023	0.0357699	0.0300494	0.0221147	0.0264096	0.0202033	0.0236177	0.0104865	0.0141201	0.0160577	0.0197149	0.0229177	0.0423808	0.0569748	0.0619702	0.0439516	0.0290061	0.0706864	0.0508445	0.0537152	0.0776043	0.0420446	0.0537366	0.0190065	0.0312781	0.0188161	0.0205302	0.0157271	0.0123805	0.00925364	0.0100288
sur	0.142723	0.0956723	0.0675312	0.0514154	0.0225453	0.0206344	0.02106	0.0128809	0.0100165	0.00887551	0.013231	0.00719014	0.00849407	0.00840234	0.0115554	0.016815	0.0175306	0.0223906	0.0145679	0.0185739	0.0200035	0.0210047	0.035906	0.0195853	0.0334312	0.0339738	0.0435543	0.0415091	0.0361348	0.0413041	0.0814873
lequel	0.0766661	0.0526184	0.0428049	0.0374637	0.0181867	0.02076	0.0172461	0.0170425	0.0121425	0.00920188	0.0122641	0.00692017	0.00510176	0.00452954	0.00661912	0.0109319	0.0120778	0.0121749	0.0121186	0.0239906	0.0196624	0.0195422	0.0340055	0.0162604	0.0393841	0.057613	0.0554291	0.0536591	0.0462881	0.0671885	0.180107
poussent	0.0315279	0.0220704	0.0170268	0.0157659	0.00933969	0.00975443	0.00656724	0.00778976	0.00862434	0.0112776	0.0130607	0.0093381	0.00695143	0.00546797	0.00955603	0.0140846	0.0150887	0.0133961	0.0116598	0.0150988	0.0142499	0.0272394	0.0368738	0.0348063	0.0705829	0.116175	0.08724	0.0794318	0.0567127	0.0732494	0.149993
des	0.0819773	0.0327543	0.0155407	0.0135547	0.0125	0.0132851	0.0101588	0.0126749	0.0157721	0.0177626	0.0107202	0.00797466	0.00524606	0.00437269	0.00847329	0.0110408	0.0158339	0.017919	0.02138	0.0240182	0.0226859	0.0337472	0.032599	0.0293576	0.0467773	0.0948331	0.0784981	0.0826049	0.0586174	0.0646454	0.102675
champignons	0.0612613	0.0256861	0.0186124	0.0192358	0.0172225	0.01905	0.0123692	0.0166387	0.0112318	0.0103421	0.00881614	0.00657378	0.00478865	0.00459263	0.00828232	0.0198716	0.0167441	0.0175318	0.0162211	0.0333732	0.0371071	0.0451887	0.0597499	0.031729	0.0570177	0.0642625	0.0788568	0.0651226	0.0607763	0.060923	0.0908211
apebha	0.0445415	0.0196208	0.0101514	0.0106399	0.00955443	0.011369	0.00814874	0.00818675	0.00608786	0.00595039	0.0053128	0.00396054	0.00340756	0.00335976	0.00511718	0.0121235	0.0117225	0.0172544	0.0122116	0.0197616	0.0236438	0.0408654	0.0547541	0.0449967	0.0744096	0.0838336	0.0916374	0.0984154	0.0786347	0.0894554	0.0908716
dans	0.0222185	0.0113554	0.00757555	0.00910599	0.00720817	0.00849813	0.00767551	0.00904019	0.00743451	0.00580085	0.00489657	0.00527046	0.00578471	0.00366564	0.00418491	0.00558669	0.00710592	0.00928679	0.00597232	0.0126217	0.017462	0.046716	0.0590793	0.0651042	0.0836702	0.101396	0.0926758	0.0884049	0.0866901	0.0838465	0.114667
la	0.0286018	0.0109085	0.00493252	0.00570347	0.006052	0.00726567	0.00619312	0.00799516	0.0116893	0.00969874	0.00691238	0.00762392	0.00819628	0.00640025	0.00736602	0.00779665	0.0119265	0.0166573	0.0130825	0.0235478	0.031677	0.0490411	0.0602934	0.0603059	0.0833613	0.100914	0.101096	0.0901318	0.105361	0.0527286	0.0565401
forêt	0.0272401	0.0144283	0.00912387	0.00923705	0.00890014	0.00748023	0.00567511	0.00729839	0.00904749	0.0117581	0.0118889	0.0172355	0.0229463	0.0198186	0.0219155	0.0252059	0.0265884	0.0355073	0.0206461	0.0342696	0.0855839	0.116131	0.0782589	0.0602218	0.0688215	0.0324808	0.0534327	0.0373603	0.0530309	0.0477735	0.0206937
oyoa	0.0178847	0.0210952	0.0160557	0.0173611	0.0206465	0.0206842	0.0193462	0.0282562	0.0246002	0.0245391	0.0163583	0.0183595	0.0212622	0.0205882	0.0222246	0.0233974	0.0217924	0.0269316	0.0179248	0.0204043	0.0420798	0.069017	0.0557374	0.045354	0.0624966	0.0325386	0.0661098	0.0416731	0.0594333	0.0866245	0.0192236
